global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
909112.7824026078	n/a	826486051127.8114	n/a	1395417.8341765874	n/a	n/a	1947190931938.078	929728.2609047684	n/a	n/a	864394639125.005	974341.738430851	914575.3563746064	n/a	n/a	n/a	n/a	-0.0707584784	0.0327967248	-0.0303107817	0.0896510923	-0.1193931008	-0.2360449515	-0.0886815872	0.3597755792	-0.0349761493	0.2105439823	-0.5503783409	0.1075900807	-0.0183478661	0.1373037833	-0.1096180559	0.0716881966	-0.056713551	0.0557834672	-0.1271367219	0.044214651	-0.117225133	0.0215496566	-0.0960813076	0.0933442481	-0.0467297393	0.0626721029	-0.291980787	-0.1018426638	0.040542633	-0.1093938786	0.0444088523	-0.0187610957	0.1188318324	-0.1922127819	0.2478491223	-0.1702598395	0.0419579697	-0.0394375219	0.0085750066	-0.0623370342	0.0272444297	-0.0060151085	-0.0541166266	0.0618542537	-0.0182309815	-0.0762458117	0.1004995159	-0.0182266296	-0.0280904516	0.0753702328	0.0552828915	-0.0190050516	0.0853229914	-0.3047611205	0.0159653216	-0.1974454625	0.0180348779	-0.0327609403	0.0243580836	-0.2012200771	0.1189735809	-0.0338361216	0.4796020333	-0.0721058082	0.1506885195	-0.0711987461	0.0144538327	-0.1134271894	0.3082396972	0.0369300322	-0.0999348023	-0.1423285065	0.0390344894	-0.1882692806	0.015849743	-0.0782429261	0.0329582674	-0.0383920866	0.0337858771	-0.0387471528	0.0846864663	-0.0413388144	0.0296617662	-0.074490924	0.0721243587	0.0879081023	-0.0947302028	-0.0725007542	0.0198317599	-0.0289160704	0.074476998	-0.0109798058	0.052253273	0.0716198901	-0.0256049186	0.0244428254	-0.2056250547	0.0956020071	-0.0309071874	0.084337103	-0.1197180068	0.0824314664	-0.0635311357	0.0661046186	-0.1020583527	0.1164706659	0.0196568545	-0.1126033005	0.1138111668	0.0158754705	0.1154637225	0.1154447293	0.1154130763	-0.033115702755424	n/a	0.0010966497689855	n/a	-0.0527116182564384	n/a	n/a	0.0027785146992124	0.0307663216056539	n/a	n/a	0.0009465665451425	-0.0004039991448116	n/a	n/a	1.6321530900850416e-07	3.1212758855314604e-06	n/a	n/a	9.742363153600204e-12	-0.0006009989753575	n/a	n/a	3.611997683807649e-07	0.0	0.0	0.0	0.0	0.0
903285.2087745792	-5827.573628028622	815924168390.9352	33960614.390094675	1360140.889707341	-35276.944469246315	1244462811.0862882	1849983239853.8772	924840.4283007168	-4887.832604051568	23890907.565229528	855329817819.4532	965833.6674268616	914540.637763969	1.18714	24.512825	0.0475979870558863	0.0318652526820079	-0.0368196403	-0.0292396801	0.0837689302	0.0005755915	0.0352826935	-0.0040258374	-0.0915656466	0.0854707885	0.1173764852	-0.0399376369	-0.1556297047	-0.1278713198	0.08972148	-0.1328857531	-0.0820035831	0.1019741262	-0.0956526251	0.0899817957	-0.0351241059	-0.0398485196	0.0256999512	-0.0412800112	0.022944252	-0.0001871726	0.0639079226	0.0595741121	-0.0786195976	-0.0022950081	-0.1188650264	-0.0749316337	-0.0150113831	0.0007220539	0.0953482914	-0.0126456445	0.0464958247	0.0336226551	0.0740457336	-0.0689977663	-0.0054592633	-0.027722207	-0.0886377721	-0.0116026086	-0.0713960901	0.0474561678	0.0306597863	0.0778155876	0.042891438	-0.0435104469	-0.1927742781	-0.0418628063	-0.0445096015	0.0823097357	0.1168829415	0.0977009359	-0.1027772196	-0.1419322447	0.1002704087	-0.115400757	0.0544794936	0.0338591783	-0.0142132704	-0.0570646277	0.0963799289	0.0072750713	0.076238871	-0.0683476469	-0.0636108142	-0.0498681138	0.0072181893	-0.0026793053	-0.1232108316	-0.0398938732	-0.0075682412	-0.1061451239	-0.0654625256	-0.0712932902	0.0317896864	-0.1063301811	0.1062179364	-0.0053246832	-0.014318675	-0.0422513679	0.0371281799	-0.0196821756	-0.0368667193	0.018796964	-0.0368985466	0.0838061816	-0.0182675975	0.0232042749	0.050111919	0.0846562256	0.0529414634	0.0002527144	-0.0109429053	0.1083272573	-0.2096093333	0.0956706741	-0.0554604494	-0.0716424908	-0.0589682416	0.044085462	-0.0146543282	-0.0088829346	-0.0814332062	-0.0092901922	0.0675826033	-0.1732704034	-0.0073237806	-0.0142643548	0.1154130763	0.1152422001	0.1149575937	-0.0284833362119769	0.004632366543447	0.0008113004417645	2.145881979284802e-05	-0.0525781201131962	0.0001334981432421	1.7821754249114577e-08	0.0027644587146376	0.0165038823877097	-0.0142624392179442	0.0002034171724455	0.0002723781338673	-0.0004040032984368	-4.153625200026528e-09	1.7252602302295412e-17	1.632186651478141e-07	-5.765565640025727e-06	-8.886841525557188e-06	7.897595230036759e-11	3.3241747149445274e-11	-0.0011635016432318	-0.0005625026678743	3.164092513657051e-07	1.3537360738030988e-06	0.0	0.0	0.0	0.0	0.0
902718.9674892686	-566.2412853105925	814901534264.8912	320629.1931901918	1343828.3956845235	-16312.494022817584	266097461.2444594	1805874757048.0403	924236.0119556228	-604.4163450939814	365319.11821676674	854212205795.6342	962989.3572972076	922280.3648777708	1.021607	21.094795	0.121118392366468	0.0743719124471616	0.0878182241	0.0129546803	-0.0925022594	0.0605127942	-0.0493794368	0.0739042418	0.1530382062	-0.0710852451	-0.0224089677	-0.0342521665	-0.0670930902	-0.1620924025	-0.146557015	0.0221371103	-0.1192744021	0.0513222841	-0.0826466148	0.1586399228	-0.0909487437	0.0146679483	0.0280303042	0.0855447966	0.0367287642	0.1118377559	-0.0035067965	-0.0605184506	-0.0568345849	-0.0642020437	0.0124680145	-0.0465311784	0.0621209879	0.0345425564	0.0424685115	0.0583957748	-0.1120816437	0.0713465196	0.0801610302	-0.0704227355	0.0168535899	-0.0295361019	0.0975600097	0.020316401	0.0873021286	-0.1287289436	0.0500314837	-0.0401395415	-0.0693518738	0.0055384423	-0.015840117	0.0130738044	-0.0102533124	0.0257687478	-0.1632872188	0.0229589982	-0.1515238885	-0.1294830766	0.0253508877	-0.1206144469	0.0693996433	0.1010944277	0.0675544028	0.0350671293	0.0860444811	-0.0098073309	0.073676989	0.0550967562	0.0525295633	-0.0131788016	0.0260237466	0.0650958259	-0.0118465211	0.0227349245	-0.0055337882	0.0657958308	-0.080383147	0.0870886356	-0.0465260406	-0.0473835763	0.0922749273	-0.0659717145	-0.0522605238	0.1355758293	-0.0553676882	0.0690236459	0.0025064912	0.0667013987	0.0806511375	0.0558412904	-0.0211672632	0.0198254241	0.1279700902	-0.0760334234	0.0340786461	0.060995575	0.0343619133	-0.0319468731	-0.2360123077	0.0674949474	-0.0650455357	0.086357385	0.0019947077	-0.0181167512	-0.052414765	0.0190130248	-0.0750035929	-0.0206512499	0.0916643467	-0.0695707817	0.0365762112	-0.0165819685	0.1153118061	0.1148374968	0.1140484259	-0.0288185892084982	-0.0003352529965213	0.0008305110839681	1.1239457167651125e-07	-0.0173990122813307	0.0351791078318655	0.001237569627846	0.0003027256283658	0.0543820673083246	0.0378781849206149	0.0014347568928802	0.0029574092447271	-0.0012869617030474	-0.0008829584046105	7.796155442724959e-07	1.656270425110664e-06	6.524848151490126e-05	7.101404715492698e-05	5.042994893322193e-09	4.257364340000411e-09	-0.001162957162648	5.444805838000777e-07	2.9645910613527344e-13	1.3524693621542866e-06	0.0	0.0	0.0	0.0	0.0
902707.8752822642	-11.092207004432566	814881508096.6199	123.0370562291829	1348580.0914434523	4751.695758928778	22578612.585421734	1818668263037.63	928867.1833827178	4631.17142709496	21447748.787140764	862794244365.3435	967920.8759308512	919238.7244413202	1.090132	22.509756	0.0686137048116457	0.032347167324201	0.0325412129	0.02293584	0.1875894038	0.1332533536	-0.0072028145	-0.0611812577	0.002655959	-0.046257443	0.100944422	-0.2146887287	-0.059655774	0.0205826833	0.0206097488	-0.2091182221	0.043511035	0.0861281487	-0.0922603983	0.0570793715	-0.0453468926	-0.0196373062	-0.1206023484	0.0669976479	-0.025189684	0.0138190766	0.0474874764	0.0122201981	-0.0096624068	0.0102066223	-0.0480496676	-0.0829302644	0.0057028356	0.0043487819	0.0217550384	-0.0082271941	-0.0555567	0.0525468724	-0.0280840438	0.0577639503	0.101885935	0.0625432845	0.0524440174	-0.0285266909	-0.0296600555	-0.0517085841	0.0166138828	-0.0212309272	0.0725263921	-0.0391892369	0.1482162902	-0.129457255	-0.0483356952	-0.047372899	0.0792005888	0.1777268663	0.0386557056	-0.0732674568	0.1033703595	0.0019253599	0.0615996604	0.0186506242	0.067721755	0.0138749947	0.0792200604	0.1317353195	0.0073773912	-0.0504406762	0.0694081605	-0.0349821679	-0.0339808054	-0.0684593776	-0.0712325187	0.005888616	0.0030827774	0.0510589336	-0.0451184549	0.0261368223	-0.1295037398	0.0335591423	0.0208777264	0.066597402	0.0369378545	-0.020083026	-0.1018064084	0.0364352977	-0.1301504927	0.0889894729	0.0586348728	-0.0914100692	-0.0293619593	-0.0051770042	0.0421339893	0.1377918839	0.0515700736	-0.032939879	0.0324046937	0.1542819361	-0.1867067432	0.0307218476	0.0556024415	0.0169650451	0.0324446564	0.0881342965	-0.099736287	0.0435289326	0.0194766443	0.0260401032	0.0297446087	-0.0524312841	-0.020706542	0.0045343718	0.1151599564	0.1142313295	0.112689161	-0.0368102523352433	-0.0079916631267451	0.0013549946769842	6.386667953137727e-05	-0.0082493808451573	0.0091496314361734	8.371575541781251e-05	6.805228432844817e-05	0.0782962331934982	0.0239141658851735	0.0005718873299836	0.0061303001322906	-0.0012050085445359	8.19531585115e-05	6.716320190011044e-09	1.452045592404528e-06	-3.002439991717232e-05	-9.527288143207358e-05	9.076921936369951e-09	9.014645903862972e-10	-0.0007890183153205	0.0003739388473274	1.398302615406193e-07	6.225499019112e-07	0.0	0.0	0.0	0.0	0.0
901526.3113592414	-1181.5639230228262	812749690072.9999	1396093.304189091	1341330.289360119	-7249.802083333256	52559630.24750321	1799166945154.9006	923853.2624207552	-5013.920961962547	25139403.412807435	853504850485.4728	962560.6412101064	892524.6259509444	1.253387	25.880739	0.0936628900061945	0.0556392468819043	-0.0898775695	-0.1019464005	-0.1520119792	0.1041487744	0.0629510508	0.0796692959	0.0660758575	0.0444090877	-0.1039888216	-0.1460986619	0.1337595532	-0.2035567815	0.0885302655	0.0516811536	0.0001960413	0.1576680227	-0.0792034719	-0.056876278	-0.1284238367	-0.0640935039	-0.052413069	-0.0702075427	0.0561713265	0.0648090581	0.0685376956	-0.0057543888	0.0596487858	-0.0060618418	0.0099752885	-0.0054448462	0.0721525876	-0.066507581	0.0009480406	0.1857532974	-0.0226528729	-0.0266638291	0.0617322579	-0.0187952899	-0.1062733321	0.0636888109	-0.1653406668	0.0330895621	-0.0640309204	0.0721510757	0.034561703	-0.0404951913	-0.1619213399	0.0403304887	0.0397186269	0.110872459	0.0431132212	0.1496685267	-0.0477636173	-0.0145235745	-0.0657342386	0.0336726855	0.1703597479	-0.0821923927	0.2080724601	-0.005957892	-0.0366368899	-0.1222277273	-0.0964080588	0.1844149758	0.0052347538	0.0529508598	-0.020676022	0.0323258055	-0.0195553389	0.0115808144	0.059609139	0.0765499775	0.0788240032	-0.0272247084	-0.0068809355	0.0439198968	0.0323784294	-0.0320523999	0.1160620599	0.0627749649	0.0271411267	-0.0838582969	-0.0021340714	-0.0314389191	0.0563401018	-0.1248665851	-0.0778823232	-0.0279147884	-0.0691247416	0.0365410754	-0.0020763134	0.0323211749	-0.0089803442	0.2192689056	0.1142830039	0.0044406174	-0.0810730229	0.0999371021	0.0899491897	0.0091115504	0.018246449	0.105724493	-0.0066499857	-0.0509409456	0.0605059962	0.0431084404	-0.0788411246	-0.0129819814	0.0535618978	0.0485852467	0.1149575937	0.1134247617	0.1108851636	-0.0179607789651328	0.0188494733701105	0.0003225895810343	0.0003553026463305	-0.0108878111993249	-0.0026384303541675	6.96131473379296e-06	0.0001185444327121	0.080105271549641	0.0018090383561428	3.272619773995875e-06	0.0064168545300417	-0.0002798781883264	0.0009251303562095	8.558661759803163e-07	7.833180030086784e-08	0.0003530964202957	0.0003831208202128	1.4678156288058402e-07	1.2467708202563765e-07	-0.0006899505332274	9.906778209310002e-05	9.814425448845951e-09	4.760317383007736e-07	0.0	0.0	0.0	0.0	0.0
904640.861228454	3114.549869212671	818375087804.159	9700420.887812668	1340327.6516369048	-1002.6377232142258	1005282.4040122066	1796478213742.5	927303.7839891124	3450.5215683571296	11906099.093697743	859892307800.5264	964635.3287699468	916400.0082797745	1.193665	24.647572	0.2148018360839539	0.0990770936121447	-0.0283425885	0.0760364584	0.024265671	-0.0611670571	0.1341426213	0.0934377391	0.0234749913	-0.2007525279	-0.073487569	0.0266951823	0.0508764558	-0.0469128079	-0.1027228611	-0.047019099	-0.1704111185	0.0298743231	0.1407983459	0.0392773169	0.0405082356	0.0443801141	-0.1355966412	-0.0705747345	0.0425873489	-0.0022451828	0.0287726606	-0.0351196215	-0.0806474609	0.0807795442	-0.0851740012	0.0199752175	0.0946231379	-0.0725955509	-0.0722922956	0.1804290096	0.0297904009	-0.0700623921	0.0469325407	-0.0541163162	-0.0998237561	-0.0603959074	0.0525444257	-0.0221193372	-0.086664858	-0.0660257808	1.357e-07	-0.0539646275	0.0477377743	-0.089885835	0.0285668826	-0.0383939438	0.1715930118	-0.0778708712	-0.0873304743	0.033012951	-0.1826945141	0.0915967142	0.0361674577	-0.0471368222	-0.1073867048	0.0221531735	0.109568887	-0.0910965556	0.0039216835	0.1213716498	-0.0274092922	-0.0521252715	-0.1340224152	-0.0710531094	-0.0598945777	0.1248383364	0.06933183	0.0356524677	0.1140534812	-0.0073972999	0.0067826216	-0.0466790818	0.0572650108	-0.0134517732	0.0857780753	-0.1751851208	0.0304806432	0.054647544	-0.0260544241	-0.0408938527	0.0162476761	0.0277254057	-0.0424592383	0.0888104619	0.043991207	0.0626945278	0.1040364916	0.0098006495	0.0059476957	-0.1129673333	0.0329178101	0.0774816335	0.0084657236	0.1670803323	-0.0225299665	0.1427888388	-0.0183119359	0.011497849	-0.1138317806	-0.148267382	0.1208034632	-0.0713495354	0.0670445362	0.0501644075	-0.0335034963	0.0369202039	0.1147048067	0.1124192083	0.108643553	-0.0047825574744138	0.013178221490719	2.28728559960713e-05	0.0001736655216584	0.0436065340986857	0.0544943452980106	0.0029696336694588	0.0019015298160998	0.0056595843819167	-0.0744456871677243	0.0055421603378746	3.203089537603544e-05	-0.0008686426743123	-0.0005887644859859	3.466436199582411e-07	7.545400956364245e-07	-0.0003256195869121	-0.0006787160072078	4.606554184400984e-07	1.0602811538080665e-07	-0.0008761416825837	-0.0001861911493563	3.4667144098620034e-08	7.67624247960597e-07	0.0	0.0	0.0	0.0	0.0
906956.0909879754	2315.2297595213167	822569350980.1886	5360288.839373134	1360388.7413194445	20061.08968253969	402447319.2509005	1850657527508.7024	931075.7435053748	3771.9595162624023	14227678.5923225	866902040144.0864	971822.2765724732	923863.850066402	1.330925	27.481806	0.2393227754067531	0.1154623625968614	0.1087015752	-0.1431736609	0.0403667482	-0.0317013691	-0.0610415326	-0.0497173477	0.0685123373	0.1253456815	0.1117456455	-0.0373640847	0.0159756798	0.002017539	0.0813064263	-0.0608060255	0.2326366208	-0.0413707498	-0.1345882589	0.2011028492	-0.016852403	-0.0155085776	0.0012502664	0.0587388244	-0.1132043707	-0.0427789051	-0.0932121678	-0.0545227042	0.013831904	0.152710049	0.0037437772	-0.0163633794	0.0887185658	0.0041067086	-0.0743700293	0.22559886	0.1670953354	0.0125245962	0.0639320222	0.0840287368	-0.0455583663	0.0701002728	0.0760780825	0.0763433619	-0.0823059891	-0.1731043998	-0.1629365468	-0.0600391813	-0.0726392363	0.1605863163	-0.017746855	0.091230888	0.0135220861	0.0777753905	0.0535263645	0.054190384	0.2384859867	-0.0797041343	-0.0389747544	-0.1630356597	0.0251113947	-0.0034000755	0.0072395776	0.0276087465	0.0205620239	-0.0141027743	-0.1677154596	-0.0817546522	0.1626159387	-0.051857902	-0.142134189	0.1068278638	0.1727721621	0.1989252736	0.2539208941	-0.2279965111	0.1725979995	0.0356095524	-0.0380308342	-0.1018644855	-0.0318190999	0.0800827475	-0.1227135508	0.1419068968	0.0370837388	0.0629569306	0.0153910254	0.0448392008	0.1564612585	-0.023136847	-0.00797923	-0.0127429917	-0.0893550592	0.0851054463	-0.0884383982	0.0107886963	-0.1163372306	-0.067866354	-0.1456129075	0.1907442456	-0.1194564409	0.0835590186	-0.0277240675	-0.1170436697	0.0267410492	-0.0738211527	-0.0664397291	0.0114520345	0.029237583	0.081200793	-0.1239003891	-0.038455931	0.1144017065	0.1112164334	0.105973176	-0.0469326891152235	-0.0421501316408097	0.0022026773075862	0.0017766335973375	-0.003520864573403	-0.0471273986720887	0.0022209917055979	1.2396487344244288e-05	0.0900855496841614	0.0844259653022447	0.0071277436172158	0.0081154062618975	-0.0010607020297348	-0.0001920593554225	3.6886796005306224e-08	1.1250887958835248e-06	0.0005081171236767	0.0008337367105888	6.951169025834326e-07	2.581830113734829e-07	-0.0011627312124046	-0.0002865895298208	8.213355860296449e-08	1.3519438722998709e-06	0.0	0.0	0.0	0.0	0.0
902398.25549338	-4557.835494595347	814322611517.4956	20773864.39579321	1343408.1018353174	-16980.639484127052	288342117.28989464	1804745328076.7708	926784.7517227122	-4290.991782662575	18412610.478877746	858929976025.7292	966185.2349800532	897651.039681946	1.420465	29.330681	0.1705567317322381	0.0870069677222676	-0.1147075277	0.0692448253	-0.0876610507	0.0900853011	-0.0944990863	0.0067456487	0.0028111738	-0.0169568987	-0.1829297911	-0.0926882421	0.1000843803	-0.0403641173	-0.0427579922	0.0280867422	-0.123066858	0.0886749314	-0.0934403253	-0.0106579019	-0.0778898318	0.0647374195	0.0795359346	0.1345515811	0.0118538946	0.0741020064	-0.0330946862	-0.0036833349	0.0391762996	-0.0447393174	-0.0601984482	-0.1232172539	0.0527065407	-0.0725725928	0.0363867778	-0.1251632512	0.0435773985	0.0075841193	-0.0412963373	0.0189476476	-0.0126198778	0.0653875334	-0.0366606427	0.154258645	0.005690088	-0.0296650549	0.0838855316	0.2281208324	-0.0923491192	0.0304264579	0.0463300235	0.0680112986	-0.0553917434	-0.0304587559	-0.0564576838	-0.0638109504	-0.0830981969	-0.0459891405	0.0948311981	-0.0220004059	0.1461996711	0.0620440832	0.1074930654	0.0785736093	-0.008821429	-0.0514763194	-0.0013901674	0.1193469326	0.0043085158	-0.0428826348	0.0007959136	-0.033549867	-0.0715922721	0.0150293471	0.0670478698	-0.1195147874	-0.0204265753	0.0070872406	-0.0171338787	-0.0282945678	-0.0617693241	0.0851710735	-0.048186201	-0.0405775426	0.0120709516	0.1363077182	-0.0809825249	-0.1014471532	-0.0999882664	-0.0916987855	-0.0915790761	-0.0314142709	0.0386926616	-0.1366619662	0.001993837	0.0564672861	-0.0115732052	0.0296142847	-0.1060186103	0.1102585789	-0.0415193111	0.2461785886	0.0658445882	0.0195585822	0.0008654243	-0.0274178368	0.0137385827	0.130276602	-0.1338394961	0.0168372231	0.0871735341	-0.0267301976	0.1140484259	0.1098185471	0.1028845713	-0.0329239230341613	0.0140087660810621	0.0010839847079593	0.0001962455271139	0.0585322963418946	0.0620531609152976	0.0038505947795798	0.0034260297150553	0.0687159413775191	-0.0213696083066422	0.0004566601591793	0.0047218805993986	-0.0001300133899737	0.0009306886397611	8.661813441803666e-07	1.6903481572453397e-08	-2.292496911882047e-05	-0.0005310420927955	2.820057043206463e-07	5.255542090988722e-10	-0.0011635044084327	-7.731960281001388e-07	5.978320978698307e-13	1.3537425084423277e-06	0.0	0.0	0.0	0.0	0.0
905120.1199626264	2721.8644692463567	819242431561.1592	7408546.188945752	1349702.0684151787	6293.9665798612405	39614015.3084102	1821695673484.212	928016.710463754	1231.9587410418317	1517722.339629375	861215014899.967	967373.3389993352	922491.382488687	1.157193	23.89447	0.1484380879727452	0.0795176270577134	-0.0290825362	0.023603533	0.1106289458	-0.0753321767	0.0229797898	0.0458140319	-0.1129665265	-0.1209481845	0.0899145469	-0.0162914634	-0.0207961286	-0.0429854788	0.0769110069	-0.1451341244	-0.0517622277	0.0109435978	-0.0480475596	0.0132811031	0.0939480755	-0.0766331427	-0.1471372387	0.0938709224	0.0070137863	-0.1018041908	-0.0107637965	-0.0058099837	-0.0445232072	0.0057590443	0.0831535452	-0.121574462	-0.0006587632	0.0385740818	-0.0800809903	0.1559705664	-0.047434095	-0.0489964126	-0.039593337	-0.0452603501	0.0446499711	0.0063562979	0.0605251829	0.0069456369	-0.048164311	-0.0003105464	0.1101433107	0.0494844666	0.0797455933	-0.1062509009	-0.0777639061	-0.0040399717	0.0455318412	-0.0172666924	0.097690253	0.1340893036	-0.0863321759	-0.0256657003	-0.0053812133	0.0252587154	0.0187459995	-0.006454581	0.003765308	0.0692309833	0.0310574351	0.1739820169	-0.0562599734	-0.0557353056	0.0227142694	-0.0025544136	0.047457112	-0.0546278599	0.1157247977	0.188209876	0.0568450634	0.0282586718	-0.0703511918	-0.0636135392	0.095101844	0.0076811828	0.0649931166	-0.0185582005	0.0611030524	0.068195152	0.0028039701	-0.0104027553	-0.1007221341	0.0288860382	-0.0286880434	0.0979550757	-0.0284404311	0.0056434215	0.0367714886	0.0561863796	0.0394704102	-0.0389072017	-0.049453562	0.1440009025	-0.0691065288	-0.008916138	0.0269440901	0.02874617	0.0269776095	0.0785710763	-0.0126533318	-0.0701734284	0.0327805495	-0.0257305579	0.0600564297	0.0906486799	-0.077643536	-0.0453063148	0.1136451198	0.1082280018	0.0993899282	-0.0138905633954919	0.0190333596386694	0.0001929477514441	0.0003622687791349	-0.0053187987780773	-0.0638510951199719	0.0040769623480197	2.828962044167658e-05	0.0251667928508112	-0.0435491485267079	0.0018965283374012	0.0006333674623956	-0.0003789433614714	-0.0002489299714976	6.19661307098457e-08	1.435980712032441e-07	0.000103708849364	0.0001266338184828	1.6036123983539922e-08	1.0755525436404842e-08	-0.0010989785046653	6.452590376740007e-05	4.163592256999774e-09	1.207753753716379e-06	0.0	0.0	0.0	0.0	0.0
903714.268989291	-1405.8509733353276	816699479974.8486	1976416.959227888	1343656.080654762	-6045.987760416698	36553967.99910852	1805411663080.5164	926212.5006890848	-1804.20977466926	3255172.911012101	857869596432.7278	964277.2809242022	916224.180531873	1.052505	21.732805	0.0837573490082442	0.0507229934809087	0.059017877	-0.1000541988	-0.1021252527	-0.0301937122	-0.0276184673	0.1285619613	0.1011042811	-0.0190618692	0.0083628695	-0.0470966628	0.0765331865	-0.1636281707	-0.0678660465	0.09429584	0.056916816	0.0729354117	-0.0262458356	-0.1420225071	-0.0055932148	-0.051303749	0.0079305133	-0.0627110098	-0.0931119141	-0.0635480195	0.0512302357	0.0247788888	0.0050675444	0.0552167481	0.1012771024	-0.0653290497	-0.022318851	0.0104238551	0.0021032867	-0.0128892613	0.0252663766	0.0378371197	-0.005072386	-0.0025503156	0.0312820185	-0.103899475	0.0242399082	-0.0389106135	0.0769190306	0.0988254873	-0.0284186786	-0.1193354765	-0.0082290232	-0.0211048948	0.112829102	-0.0940658329	0.182929603	0.1244246147	-0.1478268648	0.0116729052	-0.0380775313	-0.0304215109	0.0508540684	0.0918270931	0.071775217	-0.0116683693	-0.1091679475	-0.0831310464	-0.0462610757	0.0097661455	-0.0758932721	-0.0137041494	-0.0285995866	0.0485939116	-0.0251821085	-0.0950753984	0.0519322982	-0.0216284977	-0.1112739907	0.0587446001	-0.0719702524	0.0078314991	-0.0600890529	-0.0038059199	-0.0413190868	-0.0998973476	0.0760390774	0.0197453111	-0.0488657807	-0.1332824743	0.0871274574	-0.0341068401	0.0877245315	0.0618126497	0.0294144848	0.016563579	0.0004603362	0.0086101948	-0.0067531093	0.1818708345	-0.01077111	0.1178848087	0.0635050683	0.0359594671	-0.010794839	-0.0427546738	-0.0090484635	-0.0864815541	0.0446019915	0.0276355987	0.1046046439	-0.0531421592	0.0423350122	-0.0100671984	-0.0176693842	-0.0630007182	0.1131919653	0.1064475877	0.0955030384	-0.0140139855063949	-0.000123422110903	0.0001963917897734	1.5233017459752454e-08	-0.0097824393694594	-0.004463640591382	1.9924087329033932e-05	9.56961200171492e-05	0.0487775502489853	0.0236107573981741	0.0005574678649154	0.0023792494082922	-0.0010509623384472	-0.0006720189769758	4.51609505415601e-07	1.104521836834407e-06	0.0001038469491003	1.380997363000067e-07	1.9071537166131382e-14	1.07841888374403e-08	-0.0006599450032217	0.0004390335014436	1.927504153898275e-07	4.355274072772897e-07	0.0	0.0	0.0	0.0	0.0
