global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
939109.4136384852	n/a	881926490784.4196	n/a	1558663.3774354758	n/a	2429431524158.5645	n/a	921769.1730212356	n/a	849658408332.2526	n/a	1013390.0009057972	1070833.250764994	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0164213868910962	n/a	n/a	0.000269661947427	0.0154575163514607	n/a	0.0002389348117556	n/a	-0.0927790519859712	n/a	0.0086079524874155	n/a	-0.0004668394232383	n/a	n/a	2.179390470894686e-07	0.0016551217395377	n/a	2.739427972690302e-06	n/a	0.0016178848443081	n/a	2.617551369441845e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0
918149.7477882064	-20959.665850278805	842998959363.5471	439307592.5553436	1482440.8988486845	-76222.47858679132	2197631018579.296	5809866241.91386	916190.9102618244	-5578.262759411242	839405784046.3904	31117015.413034324	990017.1162250906	1028751.596918748	1.954701	47.335838	0.2284108365216291	0.1450104755494644	-0.0501117135	-0.1226864359	-0.0148989539	0.0574751194	-0.0624504514	0.0259087251	-0.1209749431	-0.1016850254	0.0394288258	-0.2660352544	0.255532214	0.0178366766	-0.1798233426	0.0206917943	-0.0801290772	0.010608924	-0.0136944351	0.0908360755	-0.2603768084	0.1534499919	-0.0524940082	0.1692162715	-0.2477986865	0.1197297246	0.0660650116	-0.0806575081	0.177798707	-0.130470777	0.0212890477	-0.0484802272	0.1052049796	-0.0630817034	0.0642334346	-0.3501229605	0.1202497552	-0.0244428354	0.0378602151	-0.0849209906	0.0787864617	-0.0492393142	0.0242099067	-0.0335799543	0.026644096	0.0056865117	0.0078234966	-0.0619544877	-0.0885202822	0.0976243124	-0.0959841444	0.083787064	-0.1073360684	0.0976992773	-0.1845246879	0.0494249955	-0.2137475257	0.1202855664	-0.209645741	0.1265662308	-0.2408667615	0.0529101844	-0.385715173	0.1527544745	-0.0952726397	0.0380424295	-0.1746963586	0.0829640984	-0.0631568511	0.0788274719	-0.0637109626	0.1325877441	-0.1541377752	0.0868811991	-0.0348487667	0.2078845209	-0.128499038	0.0446977848	-0.0525031001	0.0506954903	-0.0418323411	0.1775475596	0.1509365222	-0.1476636442	0.0021638571	-0.094677929	0.2782907624	-0.2863250147	0.2925933771	-0.0324876159	0.1562796505	-0.085026804	0.2827290265	-0.1526032142	0.0291135764	0.2632986392	-0.2400295214	0.0166393615	0.1158504512	0.1158311377	0.115798951	0.0	0.0200465501691269	0.0036251632780307	1.3141808792382289e-05	0.0004018641736833	0.1517015139466195	0.1362439975951588	0.0230133493336963	0.0185624268807096	-0.0519033767106265	0.0408756752753446	0.0026939605139652	0.0016708208292154	-0.0011899184302718	-0.0007230790070335	5.228432504125523e-07	1.4159058707005047e-06	0.0015889430587572	-6.617868078049997e-05	2.5247400439726867e-06	4.379617789847316e-09	0.001781947163956	0.0001640623196478	3.1753356951308318e-06	2.6916444728249692e-08	1.0	0.0	0.0	0.0	0.0	0.0
923760.5854310124	5610.837642806	853333619195.8468	31481499.053928792	1463044.1291751012	-19396.76967358333	2140498123913.7305	376234673.770042	924973.2883083976	8782.378046573256	855575584084.05	77130164.15293188	1001435.0996754228	979740.7029624388	2.01093	48.69751	0.7519736973577814	0.4024795804507285	-0.07286668	0.0339210277	0.039639462	-0.2312125957	0.1625736803	0.0486592672	0.1819548757	0.1047136308	-0.2399913554	-0.1722737296	0.1614498558	0.1390708935	-0.0281519307	0.0133027097	-0.3890286657	-0.237922062	0.1671156754	0.1186452128	-0.0764758939	-0.2876859405	-0.1377545356	0.0865511365	-0.0569075603	-0.1406465012	-0.3804106635	-0.1280547354	0.0100623127	-0.0917067781	-0.1073974488	-0.1885089442	-0.0857420063	-0.1202404624	0.1088888203	0.052472084	0.1155381286	-0.0609174014	0.0133066011	0.0698402315	-0.0284679145	-0.0371761206	-0.0219011569	0.1073592686	0.0091402182	0.0630975742	0.0793214771	0.0272336829	0.1741037854	-0.0843251595	-0.4027867618	0.1271507315	-0.2487085864	0.1320165816	0.1295601239	-0.0011001108	-0.2551925333	0.2472247302	0.0487683866	0.0916963046	-0.0250349431	0.1881257407	0.1924996044	-0.2129960311	-0.0776953414	0.0870461143	0.0106481164	-0.0444248723	0.1221625683	-0.1390740449	0.1711932787	0.0090499093	-0.1279861936	0.2067721639	0.2118727563	0.3426165376	-0.1035763362	0.1700184482	-0.5118098181	0.130444993	0.1598101128	-0.1373912783	0.012294942	-0.2327693526	0.0100398313	-0.180003318	-0.0563932947	0.3156388927	0.1636255942	-0.2734503299	-0.0091451467	-0.1165216751	-0.1517521026	0.0356218567	0.0584396339	-0.0792075348	0.0092929323	-0.0414701584	0.115798951	0.1156251942	0.1153357926	0.0	0.0809633810750938	0.0609168309059668	0.0037108602876261	0.0065550690751108	-0.1140580932899411	-0.2657596072365605	0.0130092486449369	0.0706281688385309	-0.3235833157489054	-0.2716799390382789	0.1047061622310558	0.0738099892758429	0.0008902020370344	0.0020801204673062	4.326901158506165e-06	7.924596667401951e-07	0.0023391860976349	0.0007502430388777	5.471791599368393e-06	5.628646173844463e-07	0.0015399642666004	-0.0002419828973555	2.371489942406108e-06	5.8555722612610824e-08	0.0	1.0	0.0	0.0	0.0	0.0
925983.3381816458	2222.752750633401	857445142590.0243	4940629.79044835	1470229.0740447876	7184.944869686384	2161573530166.5933	51623432.780432686	921428.5421995656	-3544.7461088320706	849030558380.0166	12565224.976080108	992646.5066613829	1011271.094408612	1.743727	42.226803	0.4807749332275152	0.2443002516238916	-0.0574319292	-0.066852545	0.1081704421	0.1199351394	0.116487056	0.0618884489	0.0005240682	0.1039079904	-0.1994341233	0.0231173905	0.020989428	0.1336280548	-0.0963725779	-0.0285293748	-0.2681385189	0.0653762725	0.2149407211	-0.170853073	-0.0948158637	0.1408311502	0.0448326835	0.1096511082	0.0506461008	0.1446077507	0.1278211183	0.275036116	-0.0399219871	0.0037016483	-0.1072359173	-0.0989575297	0.0536708048	0.0659714289	-0.067704041	0.1858052846	-0.0368098878	-0.0356983048	0.0790820328	0.1237114187	0.0622930883	-0.1209337022	-0.0131869711	-0.1286846389	0.0261055892	-0.0493136911	0.0809327832	-0.0784469749	0.0207521198	-0.03225599	-0.1486424703	0.3050930204	-0.1729040563	-0.0936481958	-0.0162320093	-0.1439052053	-0.0054478169	-0.1768618891	-0.1219788586	-0.0107651934	-0.0502229397	-0.3330069697	0.1320830937	-0.1232532026	0.1519385306	-0.1450197796	-0.0755174446	0.1101709251	-0.072174156	0.1273878841	-0.0865090008	0.1283755179	-0.0143478362	-0.082006171	0.0579864786	0.2576787776	-0.201434399	-0.0168503046	-0.1640340377	-0.0409078961	-0.0283308794	-0.077862008	-0.1357237449	0.0058135145	-0.0205085908	0.214070261	-0.0990702206	-0.1335260683	-0.1732942701	0.1973906546	-0.0185120296	0.2932899926	-0.1878571571	0.2234258413	-0.0625711894	-0.1774062303	0.0950160157	-0.0162915921	0.1156959735	0.1152136733	0.1144113283	0.0	0.0533949640747266	-0.0275684170003671	0.0007600176159061	0.0028510221885413	0.0050788264438921	0.1191369197338332	2.5794478047177677e-05	0.0141936056436658	-0.1866423015679856	0.1369410141809198	0.0348353487345948	0.0187528413648988	-0.0020780492303481	-0.0029682512673825	8.810515586317818e-06	4.318288603750332e-06	0.0016086579653453	-0.0007305281322896	2.5877804494688807e-06	5.336713520665315e-07	0.0012961720200246	-0.0002437922465757	1.680061905494652e-06	5.9434659490475655e-08	0.0	0.0	1.0	0.0	0.0	0.0
924350.454698059	-1632.8834835868329	854423763100.5084	2666308.4709706707	1467356.4982287448	-2872.5758160427213	2153135092894.1245	8251691.818913506	918099.5120053088	-3329.030194256804	842906713944.3861	11082442.034273494	991096.4341032607	1005429.4069863068	1.292147	31.291155	0.1611890980294659	0.1054347261065266	0.0859590031	0.0158010324	0.035732437	-0.0050924849	0.0842890605	-0.0282351055	-0.0141228631	0.0055707885	-0.2400979395	-0.0285907269	-0.1384207582	0.0223153175	-0.1199523307	0.0807954403	-0.2782147364	-0.0293745723	-0.0112477568	0.0185530974	-0.1533385334	0.1410371791	-0.0573661675	-0.1475464878	0.0979424258	0.0047401373	0.1514336819	-0.1129860421	-0.0052004577	0.1038094856	-0.1652014896	-0.0344544697	0.1204055427	-0.0123923847	0.0592603805	0.1001623228	-0.1124046262	-0.1010475837	-0.0231136752	-0.1279517377	-0.0366484191	0.0472063162	0.1369533913	0.1224906129	-0.0310856005	-0.0370494974	0.0271275632	-0.0538098915	0.0046051112	0.0837771509	-0.2570092299	0.0945857193	0.1517520293	-0.0790734545	0.0804631132	-0.122769839	-0.1079297074	-0.0983912842	-0.1034542195	-0.0926591603	-0.1241610398	-0.0720845197	-0.107720375	-0.0844762377	0.0402509095	-0.104942926	0.1063707269	-0.1924350217	0.0439740201	-0.0884301188	-0.0008596489	0.1169816029	0.0676495267	-0.1547496216	0.0426316132	0.292142802	-0.0687770167	0.0884266327	-0.0434209631	0.0187770879	-0.0138189861	0.1068148522	-0.1065881391	-0.0169712441	0.027620001	0.0052826901	-0.093961635	-0.1443006097	-0.1333565821	0.3183863284	0.2796493552	0.231597124	-0.0644585788	-0.1110465651	-0.1539187881	0.0813320627	-0.1145120908	0.195377449	0.1155415645	0.1145973067	0.1130292557	0.0	0.042458797751351	-0.0109361663233756	0.0001195997338525	0.0018027495064901	0.1057787716275271	0.100699945183635	0.0111891485270285	0.010140478959987	-0.1640540045647753	0.0225882970032103	0.0269137164137393	0.0005102311615052	-0.0019480100982519	0.0001300391320962	1.6910175876333025e-08	3.794743342891377e-06	0.0013740706146023	-0.000234587350743	1.888070053913543e-06	5.5031225128619326e-08	0.0014708393275703	0.0001746673075456	2.163368327527452e-06	3.0508668325264125e-08	0.0	0.0	0.0	0.0	0.0	0.0
925108.745821662	758.291123603005	855826191595.7285	575005.4281351077	1473684.103049089	6327.604820344131	2171744835579.598	40038582.76244229	921869.5829814188	3770.070976110059	849843528026.3351	14213435.164907452	995080.0729732788	998450.3890758874	1.408477	34.108265	0.3849736849876017	0.2136165222101284	0.0511656659	0.05787607	-0.0348818603	-0.1374531593	-0.0673292563	0.0165412459	0.1559227931	0.0412735539	0.0065784699	0.0790811401	0.0811973901	-0.0732504778	0.0565346156	-0.0349181509	-0.1684849245	0.0151755511	0.0812151346	0.0718035546	0.0895603823	-0.0049103447	0.1420202268	-0.266279666	-0.1222493838	0.0876619437	-0.082732358	0.0440088053	0.0123392753	0.0132398754	0.0213655379	0.3386987623	0.0494801743	-0.0129825314	0.0870059376	-0.1111785656	-0.0275647391	0.2229896508	-0.0683261645	0.0236711991	0.0435526606	0.0573729899	0.0586454975	0.076358378	-0.0762187756	0.0209676846	-0.154012374	0.0813785541	-0.0244386568	-0.0935690145	-0.0331440125	0.1255608828	0.0270865936	-0.0663129948	0.1547171453	-0.0146635839	-0.0780890742	-0.1684221471	0.0323929948	0.113291057	0.1087742988	0.1529110906	-0.0084221328	0.2971294206	-0.0467007125	-0.0662653146	0.0575661939	0.0308563489	0.0010106738	0.2435296331	-0.2295327403	-0.1149028724	0.035674709	0.1673635456	0.119541461	0.1046114355	-0.0914338094	-0.0404614879	0.0807808839	0.2008258874	-0.1062152342	0.1375510346	0.0654116063	0.1398371425	-0.119936046	0.0272150141	0.0841108244	-0.1556348748	-0.2973458686	-0.1136818603	-0.3039067765	-0.1632378774	-0.0213310132	0.1071072894	0.3149067026	0.0374831074	-0.0857426018	0.058419062	0.1153357926	0.1137771902	0.1111951025	0.0	0.0248127414940881	-0.0176460562572629	0.0003113833014344	0.0006156721404524	-0.0961358723017298	-0.2019146439292569	0.0092421059432145	0.0407695234330786	-0.1149428319540533	0.049111172610722	0.0132118546176177	0.0024119072752001	-0.0006848970229864	0.0012631130752655	1.5954546409066683e-06	4.690839320956333e-07	0.0008711889556596	-0.0005028816589427	7.589701964632645e-07	2.528899629009621e-07	0.0009107978179713	-0.0005600415095989	8.295526652212814e-07	3.136464924739267e-07	0.0	0.0	0.0	0.0	0.0	0.0
925862.8345965912	754.0887749291724	857221988487.2347	568649.88047418	1466005.4817181174	-7678.621330971597	2149172072427.569	58961225.54445202	922847.1185750484	977.535593629582	851646804262.2694	955575.836812739	992843.4888096316	998029.161757956	1.206897	29.226719	0.3049045561862283	0.1909540593356106	-0.0314797796	0.0228877758	-0.0613235991	0.0011032043	0.0118662149	0.0646909681	0.0315911337	0.0142162957	-0.0925666514	0.0399905904	-0.0498263452	0.1146343097	-0.051936876	-0.0624028961	-0.1841958843	0.0020545621	0.0458465017	0.0446885881	0.1138802866	-0.0288795172	0.0233917593	0.0113284946	0.0089508304	-0.0308343414	0.20875053	0.0407598756	-0.0924112457	0.0634502061	0.0203130294	0.0148331698	-0.022051849	-0.0348032713	0.0238335768	-0.1027958114	-0.1251073551	0.0662812218	0.0313954044	-0.0028045733	-0.1358157223	0.0874862933	-0.1439086002	-0.0875020233	0.0498508175	-0.0049148441	0.1334799	-0.0907604668	-0.0074974621	-0.070339859	-0.1163032783	0.1367803046	-0.0572450767	-0.0281695605	0.1004670329	0.0386350747	0.0361607002	-0.0322018359	-0.0869552065	-0.1117688013	0.1339264547	-0.0215874304	-0.1110108111	-0.0275491678	0.160791386	0.0341249563	0.1281667763	-0.0926170569	0.1075464457	0.0686212443	0.0832110939	-0.2170062816	-0.0736296434	-0.0906579095	-0.0064206171	0.1911332346	-0.0649335729	-0.0297126059	0.0493501501	-0.0633250806	-0.1485072623	0.081051532	-0.074290284	0.0163216139	-0.1771140201	0.1135556966	0.0287036756	-0.03071711	-0.0199788139	-0.0407818209	0.0042726692	-0.1666230187	0.2256657793	-0.1098137515	-0.0148003722	-0.030971992	0.1902380214	-0.1279925964	0.1150787493	0.1127547821	0.1089162049	0.0	0.0459310378720942	0.0211182963780061	0.0004459824419093	0.0021096602400077	0.0876847960260391	0.1838206683277689	0.007688623454128	0.0337900381044676	-0.098578160249275	0.0163646717047783	0.0097176536781317	0.0002678024800051	-0.0016591018334373	-0.0009742048104509	9.49075012705674e-07	2.75261889371501e-06	0.0007892357292276	-8.195322643200006e-05	6.228930362894215e-07	6.716331322614672e-09	0.0015266581766019	0.0006158603586305	2.330685188185438e-06	3.7928398133261113e-07	0.0	0.0	0.0	0.0	0.0	0.0
927510.4370406602	1647.6024440689944	860275610819.3564	2714593.813702124	1476611.3581098178	10605.876391700467	2180381102898.921	112484614.03602935	920425.7646899133	-2421.353885135148	847183588305.0116	5862954.637059074	993361.9304989432	1027438.8190837286	1.272049	30.804453	0.2245194296931192	0.1320289206288996	0.1193768743	0.0907481405	0.079377666	0.0788873701	0.0102640516	-0.0583089391	0.036751271	0.0213567622	-0.0658924043	0.1415628595	-0.0133079904	-0.0483668771	0.0410676239	-0.1082322506	-0.0893188118	0.0312873038	0.0819330653	-0.0875304021	0.1465978143	0.1347502435	0.0709565455	-0.1017208355	-0.068680898	-0.0429929285	0.0362401525	-0.2015758788	-0.0882481748	0.0478365857	0.033831731	0.0551640178	0.0759174477	-0.1985182	0.0444028496	-0.0705172787	0.0747789117	-0.0432603538	-0.0617395914	-0.0985849602	0.1525734109	-0.0363826322	-0.1309232306	-0.1145243261	-0.0190210005	-0.053597489	-0.1349057407	0.0362461325	-0.0442552053	-0.0827595183	0.0181546225	0.1236828778	0.0987108147	0.0702643753	0.0782633183	-0.1405317334	0.104105153	-0.1055581249	-0.0270325319	-0.0591946137	-0.0079073555	0.0886519306	-0.0945669621	0.1513493973	0.0416425735	-0.1091308259	0.2123072271	0.0228789607	0.1546880522	-0.0695568164	-0.011305498	0.066287952	-0.0904455548	0.0022380069	0.0707232807	0.0554689133	-0.0427073235	-0.115119186	0.0995067853	0.0714197299	-0.0643379611	0.0708944448	-0.1330803114	0.2061142489	-0.085868603	0.0099275064	-0.1273803637	-0.0577003149	-0.0824802772	-0.0829061799	-0.136813098	-0.1016382551	-0.0517098718	0.0366823758	0.0045450491	0.0771567098	-0.0043200558	-0.0164482964	0.1147705489	0.1115319001	0.1062016776	0.0	0.042384856953717	-0.0035461809183772	1.2575399105862588e-05	0.001796476098987	-0.0363331312388055	-0.1240179272648445	0.0013200964256162	0.0153804462830682	-0.0920210526463876	0.0065571076028873	0.0084678741301492	4.299566011584373e-05	-0.0008581962044815	0.0008009056289558	6.414498264930855e-07	7.365007253864525e-07	0.0004626367095685	-0.0003265990196591	2.140327250403686e-07	1.0666691964228517e-07	0.0008461985470766	-0.0006804596295253	7.160519810745488e-07	4.630253074137085e-07	0.0	0.0	0.0	0.0	0.0	0.0
925965.862737276	-1544.5743033841718	857412778954.7878	2385709.7786747	1476687.1640625	75.80595268215984	2180604980506.9487	5746.542462049857	918351.99086028	-2073.7738296332536	843370379117.0398	4300537.8964717705	993008.5046233394	1004575.6744592448	1.229895	29.783651	0.2444292431245389	0.1578141329803802	0.0381061557	-0.0649892118	-0.0617939764	0.0245224217	0.0205517831	-0.0348022433	-0.0697157929	-0.0607286639	-0.0280118885	-0.0561832362	-0.18886301	-0.0160230294	-0.1272720184	0.1486869318	-0.0195412792	0.0337329093	0.0031995146	0.0313920731	0.0366635232	0.0791448691	0.1150830785	-0.0581102157	0.1400688604	-0.0861748324	0.153912409	-0.043638933	0.0414621392	0.0415413398	0.0353982792	-0.0353183896	-0.0675508422	0.0453896966	-0.118341698	-0.0953410165	-0.0574444096	0.0391372348	-0.0559021399	0.0912084666	0.1337493392	0.1053429808	-0.0518986384	0.0417758573	-0.0017813546	0.1036096294	0.0467985576	-0.0514811258	-0.028732624	0.187001056	-0.0749776583	-0.0277950216	0.106966174	-0.061531089	0.0281587938	-0.0203212883	-0.0416861497	-0.0867385753	-0.1316583438	-0.1249265126	0.2265491487	-0.0240756593	-0.0294428369	0.0226589616	-0.0521535421	0.0474670559	0.0863617444	-0.0585105076	-0.0842569267	0.0448858104	0.0544521839	-0.0371979341	-0.0056140675	-0.062124192	-0.0761388224	0.0988308407	-0.0344752913	-0.059266378	0.0721894191	-0.1297399927	-0.1309812367	0.1235601977	-0.0467459778	0.0347060402	-0.1419022518	0.1340577271	-0.026996207	0.0252248572	0.0670559219	-0.026252625	0.0127270293	-0.0106113924	0.161656155	-0.0614894074	-0.0712929257	0.0176411381	0.203122053	-0.1069576288	0.1144113283	0.1101107184	0.103062378	0.0	0.0247716471202892	-0.0176132098334278	0.0003102251606363	0.0006136345010521	0.1008016480649587	0.1371347793037642	0.0101609722526117	0.0188059476946921	-0.0162625177839856	0.075758534862402	0.0002644694846744	0.0057393556044977	-0.0011317003495955	-0.0002735041451139	7.480451739453996e-08	1.2807456812745768e-06	0.0004670210787964	4.384369227900008e-06	2.1810868804015327e-07	1.9222693526556517e-11	0.0008467644152336	5.658681569999623e-07	7.170099749059005e-07	3.202067711065339e-13	0.0	0.0	0.0	0.0	0.0	0.0
931876.3983836076	5910.535646331613	868393621864.4042	34934431.62655666	1484321.4349063763	7634.270843876293	2203210122122.524	58282091.317659646	922497.354156612	4145.363296331954	851001368425.9496	17184036.858576126	998573.5247773248	1018924.564259486	1.345418	32.581188	0.3016599744253487	0.1849152514167013	-0.1335469566	0.037598806	0.1188860391	-0.0876060701	-0.0480126443	-0.0077450244	-0.0300153882	0.1795009275	-0.0487701176	-0.062028332	0.0377758845	0.090375838	0.0757510203	0.1038714886	0.0295821553	0.0388987135	-0.084282916	-0.0670326735	0.0500943072	0.0103622283	0.0755661467	-0.1178024532	0.0688044388	-0.0714825173	-0.0715143886	-0.0467523045	-0.1427035243	0.1046115514	0.117357451	0.1153759963	0.1341006075	-0.0845746371	0.0059981945	0.1445550557	0.07846195	0.0015333118	0.0519566657	0.0447401309	-0.032393498	0.0041578997	-0.0334705252	-0.0404364588	-0.0506298711	-0.0176490597	-0.1017115378	-0.0225508879	0.1478380036	0.0319656274	0.0183243739	-0.0033512821	0.0635510701	-0.0761848625	-0.0075414194	-0.0458699687	0.0641190104	-0.1129194085	0.2178165183	0.0186148961	0.068287208	0.1003914734	0.0859468937	0.1553162205	0.0146852109	-0.1475985636	-0.0200575001	0.001095473	0.0559473162	-0.0907294763	-0.0166281528	0.0192963473	0.0159720532	0.0955439751	0.0956434803	-0.0178192711	0.0405237262	-0.0628982029	0.113590815	0.1177259044	-0.0903350206	-0.1387613091	0.0038527469	0.1626431693	-0.0441743395	0.0907156435	-0.1111635232	0.0901281544	0.0114352025	-0.0498635286	-0.0717018458	-0.0440864391	-0.0782857474	0.0277516696	0.0518881264	0.008573738	-0.0200221375	0.1781335848	0.1140012473	0.1084937639	0.0995108621	0.0	0.0459676160129163	0.0211959688926271	0.0004492690972972	0.0021130217219109	-0.0624433411125551	-0.1632449891775138	0.0038991708492989	0.0266489264915665	-0.0979603908331085	-0.0816978730491228	0.0095962381721753	0.0066745424607506	-0.0009405983451538	0.0001911020044416	3.6519976101635494e-08	8.847252469060671e-07	0.0005188218208729	5.180074207649998e-05	2.691760818138715e-07	2.683316879676075e-09	0.0003792442956301	-0.0004675201196035	1.438262357679707e-07	2.1857506223407093e-07	0.0	0.0	0.0	0.0	0.0	0.0
