global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
989322.1534236288	n/a	978758323254.766	n/a	1297734.3887790083	n/a	1684114543819.6262	n/a	951905.2325016469	n/a	906123571664.0144	n/a	966508.418119748	966458.1322773346	n/a	n/a	n/a	n/a	-0.0395372068	0.1264398004	-0.1375770934	0.1140810794	-0.0652387318	0.0471034081	0.1301890583	0.0036541642	-0.0331084082	0.0210103354	-0.2469764539	0.0369325489	-0.0701941934	0.0263169803	-0.036765394	0.0129918387	-0.1252261703	0.061205878	-0.0366225495	0.2039506636	0.0094491492	-0.1605015513	0.2025185728	-0.0870879127	0.0347947777	-0.1518607149	0.1387182167	-0.0437452489	0.014131011	-0.2425007593	0.0283388507	0.0341209586	-0.0938955322	0.0164948502	-0.102265262	0.0535199116	-0.1350334986	0.0667984138	-0.0916902025	0.0303927632	-0.0223160213	0.0041139723	-0.0504641464	0.1289992521	-0.04575511	0.0496683089	-0.0098486085	0.1683166989	0.0490087552	-0.1064526176	0.2687056129	-0.0325536139	0.0004440231	-0.0515008958	0.0816764429	-0.1833709335	0.1155563905	-0.153013174	0.1210585267	-0.1457020629	0.1336989145	0.0081066817	-0.0106290463	0.0966763298	-0.0909515564	0.1480414306	-0.0492634304	-0.1933052467	0.0069305868	-0.1295124975	0.1509974723	-0.0447024252	0.0950116009	-0.0482798521	0.0070702548	-0.0608219484	0.0592194355	-0.1313306004	0.0623263244	-0.034863081	0.058697761	-0.0077791696	0.0662457107	-0.0066795904	0.0107109784	0.0545967034	-0.1156342855	0.0669176152	-0.0883654108	-0.0390218571	0.0921286831	0.1154637225	0.1154447293	0.1154130763	0.0628020940038567	n/a	n/a	0.0039441030112692	-0.0565461272504137	n/a	n/a	0.0031974645070199	0.0014995894113667	n/a	2.2487684026831256e-06	n/a	0.0008132072884302	n/a	6.613060939559985e-07	n/a	-0.0034767969243789	n/a	n/a	1.208811685337058e-05	0.0029929274157758	n/a	n/a	8.957614516102408e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
984884.0644581424	-4438.088965486386	969996620423.5905	19696633.665572017	1282248.124077004	-15486.26470200438	1644160251698.9956	239824394.42054683	949983.3480731226	-1921.884428524296	902468361616.2196	3693639.7566041593	964469.7172794116	958965.0947791642	1.36702	30.170868	0.1537553416206143	0.0810911202333441	-0.115287823	0.0205813127	-0.0538837579	0.0204342193	-0.2494064334	0.0377352479	0.0992624673	-0.0046578414	7.87066e-05	0.0433733733	-0.1621627279	0.1785993971	0.1130248723	0.0776007314	0.0776330784	0.0507127875	-0.0362487355	-0.0952949447	0.0173260751	0.2426322441	0.041851284	0.0772509803	0.0815006627	0.0789817342	-0.0680024214	0.1150449756	0.007221061	-0.01407686	0.0038367286	-0.0161818561	0.0092231397	-0.0205342873	0.0516216797	0.0433869272	0.1849453231	0.073982041	0.0744030106	-0.1382526081	0.1463459924	-0.068837004	-0.042920939	-0.0874300018	0.0411207987	0.0369991837	0.0535344616	-0.0782418932	0.0234301505	0.2610064509	0.0040756768	-0.1209272736	-0.0437364736	0.0008108923	0.0131505668	0.0674105815	-0.014757406	0.0664129212	0.0468840096	-0.0014944989	0.0545936989	-0.0112774823	-0.0698634419	-0.0932291369	0.0866136269	-0.2059522366	0.056731307	-0.0178824693	0.0450438557	-0.2016560923	-0.0288220943	-0.1604143287	0.1018222381	0.1011393408	-0.03784741	-0.0410831605	-0.00407843	0.0283753976	-0.0103794646	-0.0305905956	-0.0235417153	-0.0277582052	0.0329362727	-0.1751622823	-0.0516221658	0.0737437423	0.0294026996	0.0751618112	0.1555151389	-0.0532666294	0.0583055552	-0.1027289477	0.023345436	0.1154130763	0.1152422001	0.1149575937	0.0505549711444217	-0.0122471228594349	0.000149992018334	0.0025558051074133	-0.1136810047792948	-0.0571348775288811	0.0032643942302402	0.01292337084763	-0.0452357053268315	-0.0467352947381982	0.0020462690364159	0.0021841877742662	0.0008906227364018	7.741544797159998e-05	7.932088585958301e-07	5.9931515846435034e-09	-0.0032944032911252	0.0001823936332537	3.32674374514853e-08	1.0853093044576547e-05	0.0024999755671191	-0.0004929518486566	2.4300152509405784e-07	6.249877836192467e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
982408.4560240892	-2475.608434053138	965126374467.6348	6128637.1187550295	1276376.6766218354	-5871.447455168469	1629137420624.2014	34473895.21880429	948350.9443758236	-1632.403697298956	899369513698.5165	2664741.830955302	962685.6845413164	961263.3713681938	1.083091	23.904417	0.1575898742088481	0.0967260209282204	-0.0396390218	-0.0026596379	0.0291773441	0.0438975505	-0.1690214058	0.0024533759	0.0647918952	0.0209902352	0.0327693421	0.0168017112	0.077188052	0.0941531788	0.272587791	0.0574321926	-0.0359101607	0.0008362169	0.0122384517	-0.0593194885	0.1142579677	0.2780568199	-0.0405554012	0.0425388912	0.1311996572	0.0379065468	-0.0669896087	0.1138372004	0.0500566525	-0.1284133162	0.0784886541	-0.0006086321	-0.0026434482	-0.0555796842	-0.1088597008	-0.025467547	0.03389526	-0.0166138943	0.1332320998	-0.0346515543	-0.0234004363	-0.0321150949	0.0565154475	-0.0590002798	-0.0444372647	-0.0379149671	0.0041931356	-0.046120852	0.1242849726	0.2508995892	0.1051011567	-0.1558677788	-0.0018440208	-0.0346128318	0.0245787397	0.0539123533	0.0874777439	0.1493314336	0.0434423872	-0.0066075194	-0.0734079652	-0.0773033594	0.0663837214	0.0236164976	-0.0380859859	-0.0918863479	0.0349178165	-0.0130566023	0.1131185029	-0.151646333	0.0707827208	-0.1281297335	0.1491300778	0.0542013672	-0.1182353215	-0.1317090815	-0.0400650137	0.0122956682	0.0881451461	-0.036322462	-0.0222835469	0.0642315915	-0.0681361589	-0.1157928351	0.1608137573	0.0761011774	0.0109562993	0.1336387408	-0.0016640395	-0.0182474836	-0.009371501	-0.0565580657	-0.0186424741	0.1153118061	0.1148374968	0.1140484259	0.0464481031090429	-0.0041068680353788	1.6866365060016156e-05	0.0021574262824282	-0.0343065872277037	0.0793744175515911	0.0063002981616543	0.001176941927212	-0.0614794845660497	-0.0162437792392182	0.0037797270225071	0.0002638603639724	-0.0002329300053441	-0.0011235527417459	5.4256387389602466e-08	1.2623707634847291e-06	-0.0032972942486868	-2.890957561600075e-06	8.357635622972652e-12	1.087214936242305e-05	0.0024691230787734	-3.08524883457003e-05	9.518760371215727e-10	6.096568778131433e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
982102.089438193	-306.366585896234	964524514078.8644	93860.48495371456	1262411.5889372362	-13965.087684599215	1593683019883.0376	195023674.0385447	947135.2420948616	-1215.7022809620248	897065166818.092	1477932.03593627	961104.5764705882	945612.0564645235	1.308809	28.886129	0.1977892093411096	0.0915702825898147	0.0622834844	-0.0380116543	-0.156490345	0.1274011196	-0.0559652377	-0.0123450334	-0.0858018725	0.0184914969	-0.0595268929	-0.0417950145	-0.1161572734	-0.0144749464	0.2003875237	-0.045030382	-0.1215019693	0.1099362918	-0.0547001132	-0.0894800785	0.0630632019	0.2298257174	0.0633313442	-0.024304115	0.1295085475	-0.1178519559	-0.1582389178	-0.0612333868	0.0043358071	0.0507390992	0.0752868764	-0.0918986885	-0.0019916018	0.0705035541	0.0388027888	-0.0582169467	-0.0968569832	-0.0338434128	0.0095060533	0.1003167023	0.0124736669	0.0965898633	-0.0340151179	0.0630726214	-0.1291731888	0.0577400029	0.0897963472	-0.0903164838	0.0696780198	0.209180905	-0.0040994303	-0.0941438815	0.1658689417	-0.1000312297	0.1113671949	0.0270294576	-0.0687054456	-0.0112566461	0.0010896729	-0.1615741625	0.1032213815	0.0583128472	0.010298224	0.0354562662	-0.0712070494	0.047930764	0.0398728896	-0.0349815636	-0.088335725	-0.183556369	-0.1140482342	-0.0764618228	0.1688262152	-0.0455759875	0.0634956629	-0.0008799761	-0.0429830675	-0.0911878831	0.1140957272	0.0224828742	0.0537634437	-0.0342497129	0.076181894	-0.1132685943	0.0979848501	-0.0954258097	-0.0274436903	-0.0055416992	-0.089530404	-0.0008451554	0.0694813646	-0.1123855739	0.015231154	0.1151599564	0.1142313295	0.112689161	0.0405855243389794	-0.0058625787700634	3.436982983519925e-05	0.0016471847858698	-0.0760827679663549	-0.0417761807386511	0.0017452492771084	0.0057885875814221	0.0111116470149852	0.0725911315810349	0.0001234686993856	0.0052694723842151	0.0004732823414373	0.0007062123467813	2.23996174716373e-07	4.987358787464923e-07	-0.0027413534261695	0.0005559408225172	3.09070198141212e-07	7.515018607171257e-06	0.0027581562745019	0.0002890331957285	8.354018823302939e-08	7.6074260345742e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
982859.802647942	757.7132097489666	966013391661.1516	574129.3082280814	1273354.6883570675	10943.099419831298	1621432162360.9246	119751424.91231208	948559.3292160736	1424.08712121204	899764801042.8475	2028024.128801996	963014.4843662464	969264.9488802692	1.458747	32.195351	0.1561278198810172	0.0717065772524924	0.0473091035	0.2037903588	0.0236086416	0.0202769696	-0.1313320084	-0.0130867585	0.0830832956	-0.1002332107	0.1112392455	-0.0894960464	-0.1520461788	-0.0047233394	0.1842463693	-0.0402228977	-0.0215234507	0.0031424028	-0.1744956492	0.0330660007	0.0856357214	0.198925425	0.1102694374	-0.0092832238	0.0741891663	0.1275471438	-0.0976010592	0.1513456681	0.0186861239	-0.0292627882	0.0829564164	0.0435631057	-0.1226302575	0.03364453	-0.0602290949	-0.0998433278	0.0102371748	0.097235906	-0.054062891	0.0141452142	0.0622871387	0.0530735917	-0.009031506	0.0556443058	-0.0306219249	0.1452493565	-0.0665697801	0.0060922901	0.1039716044	0.1946419206	-0.0521441107	-0.1712383722	0.0003340186	0.1080051965	0.0819372096	0.0920158348	0.0446152139	0.1095419788	0.0256820392	-0.0432469878	-0.1291857907	0.0288338709	0.0366948022	0.0102099772	-0.0231596534	-0.0952251226	-0.0542092827	0.0434991965	-0.0706660554	-0.1418117123	0.0728300862	-0.1545981133	0.0652814725	0.1385754629	-0.0435942785	-0.169616701	-0.0834934028	-0.0731328056	0.0194776583	-0.0382872417	-0.062438531	0.0056638156	-0.0609987932	-0.1106677888	0.0008139555	0.1630949786	0.1759194156	0.1157586263	0.0188657551	-0.1429575022	-0.0101244071	0.0102112516	-0.008763216	0.1149575937	0.1134247617	0.1108851636	0.0321218117813941	-0.0084637125575852	7.163443025742703e-05	0.0010318107921193	-0.1070972614965199	-0.031014493530165	0.0009618988089326	0.0114698234200539	-0.0436314668166204	-0.0547431138316056	0.0019037048965698	0.0029968085119801	-1.0019633723526346e-05	-0.0004833019751608	1.0039305995362643e-10	2.33580799194356e-07	-0.0030330204908788	-0.0002916670647092	8.506967663613888e-08	9.199213298090676e-06	0.0022949953151388	-0.0004631609593631	2.145180742781472e-07	5.267003496509039e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
982160.393576622	-699.4090713199694	964639038710.5852	489173.049044662	1271283.8186972574	-2070.869659810094	1616162547681.4812	4288501.147921975	947729.003582016	-830.3256340576336	898190264230.5609	689440.6585732113	961611.9163690476	956322.667454954	1.413357	31.193563	0.1260219526575512	0.0646939519055837	-0.0530228529	0.0822007615	-0.1595783492	0.0395266325	-0.0321905031	-0.0547570318	0.0435338526	-0.0441427357	0.1600272448	-0.0520378384	-0.078398376	-0.0438371113	0.2336613384	0.0636536003	-0.0409428014	0.0932600628	-0.2077509916	0.0072474948	0.1073740896	0.2408006589	0.0676032913	0.055243163	0.1156989577	0.1088971171	-0.0604339382	-0.1962272558	0.0232106083	0.0676807462	0.0475973971	0.0991758081	-0.025994098	0.1717538365	-0.0179399484	0.0913253566	0.0416056294	-0.1354240352	0.0433149429	0.0015533839	-0.0283895552	-0.0337418518	0.0200954253	-0.0464044135	-0.0759318007	0.2176553522	0.0013463416	-0.0364946689	0.1180432663	0.2328168765	-0.0066159483	-0.2137887683	-0.0017033274	-0.0199086691	0.0350976218	-0.1750477225	-0.0400152819	-0.0363019182	-0.0239251251	-0.0307501811	-0.0078978752	0.1690071397	0.0690957061	0.0069478025	0.1232919902	0.0876066739	0.0390519252	-0.0611470865	0.0679317635	-0.182137807	-0.0736722695	-0.0809271523	0.2025413352	-0.0355750438	-0.1088146588	-0.0512077609	-0.0399544803	-0.1124461302	0.125510224	-0.03135859	-0.047191105	-0.0769618865	0.1479280934	-0.0596965214	0.1551490021	-0.0735141736	-0.0862400167	0.0828129521	-0.1173788636	-0.0519988401	-0.062256159	0.001583241	-0.0964715423	0.1147048067	0.1124192083	0.108643553	0.0322056394633563	8.382768196219664e-05	7.027080263155188e-09	0.0010372032132436	-0.068206875903769	0.0388903855927508	0.0015124620915528	0.0046521779205521	-0.0136665349380109	0.0299649318786094	0.0001867741772118	0.0008978971424897	-0.000699866954287	-0.0006898473205634	4.898137537029617e-07	4.758893256886039e-07	-0.0031709244873918	-0.000137903996513	1.9017512254257558e-08	1.005476210474095e-05	0.0026089001481469	0.0003139048330081	9.853624418584333e-08	6.806359983000917e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
987427.86387585	5267.470299227978	975013786358.424	27746243.353248887	1291906.8475738396	20623.02887658216	1669023302808.176	425309320.0443416	959938.6993165348	12209.695734518811	921482306445.5206	149076669.9295269	975357.919345238	954277.4129281325	1.883751	41.575417	0.3646794077917166	0.1842694967004426	-0.0728544244	0.1797267772	-0.0116069076	-0.0497045828	-0.1348492454	0.0380278197	0.2123050859	-0.1257588397	0.0573198623	0.0092648313	-0.1496922873	0.3084041545	-0.1901435487	0.1594042894	0.3788835426	-0.2429683361	-0.1931450563	-0.0841610581	-0.0416084173	-0.071855833	-0.2396961946	-0.0988891551	0.1498455882	-0.0479900768	-0.1748404009	-0.0514795939	-0.147562985	0.047612712	-0.3067592895	-0.0548882409	0.1743817285	0.1212334034	-0.0569839675	-0.0225815107	-0.2300309563	-0.0744552098	-0.0965978428	-0.0748536503	0.09410282	-0.1752291257	0.0364694374	-0.1876155632	0.364704724	0.1224537879	-0.2839194479	-0.0829853173	-0.1282492053	-0.0692482348	0.2371931024	0.047344701	0.1700930971	-0.0604602585	0.0863122944	0.0752328577	-0.3087535799	-0.0947171229	0.2108017908	0.1810917051	0.1817011575	0.1544085757	0.1309654822	0.1454171439	-0.0817432817	0.0752848367	-0.148612752	-0.1093106658	-0.0583016927	-0.1587711966	0.1388489875	-0.2836347999	-0.202591567	-0.0747587417	0.0948399372	0.0002234399	0.1013114784	-0.0334918352	-0.0058670756	-0.2568984415	-0.0141117668	0.0216989322	0.0011913807	0.1319692151	-0.0435722509	-0.2413848032	0.2507641491	-0.136478957	0.0581540678	0.2886471359	0.1067558002	0.2650729594	-0.1234917657	0.1144017065	0.1112164334	0.105973176	0.0701119925363116	0.0379063530729553	0.0014368916032915	0.0049156914974118	-0.04495436370172	0.023252512202049	0.0005406793237064	0.0020208948158265	0.1250753907502115	0.1387419256882224	0.015643853371318	0.0192493219436762	0.0017065683007697	0.0024064352550567	2.912375365191981e-06	5.7909306367798044e-06	-0.003290134526475	-0.0001192100390832	1.4211033418218077e-08	1.0824985202302872e-05	0.0033788271905768	0.0007699270424299	5.92787650664853e-07	1.1416473183781112e-05	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
988668.7506405351	1240.8867646851577	977465898493.1168	1539799.962770798	1271966.0585443038	-19940.78902953584	1617897654088.7312	397635067.1204568	947503.736166008	-12434.963150526746	897763330048.5442	154628308.55495808	960766.5816876752	983279.8060094042	2.058558	45.433498	0.710386682250744	0.4148464129512307	-0.1159583949	0.0796477374	0.2142700836	0.0886714129	0.0226727884	0.2212616714	0.0128084224	-0.1029448033	-0.0600959566	0.0621283614	0.1300377877	0.0639347866	-0.2014172427	0.2113054585	-0.1584202732	-0.1805050151	-0.0836611438	-0.1030108045	-0.2355934281	-0.0752125907	-0.3218018656	-0.3930028215	-0.1840253138	-0.0160017289	-0.0908344223	0.1613443417	-0.1240917601	0.0046814151	0.2346043482	0.0864985752	-0.242296492	-0.0297120981	0.0748578293	-0.1432074776	0.1323116	0.1562417497	-0.0195819756	0.1238400161	-0.0580301369	0.0959787262	0.0640442475	-0.1572473178	-0.190457828	0.0068222282	-0.2030530787	-0.0652361939	-0.2835482321	-0.0758370619	0.3159340211	0.2608881492	0.178645289	0.2486508944	0.1384757441	0.0856734888	0.0149955438	0.1740324369	-0.1482798951	-0.1762865333	-0.2617557064	0.0315675463	-0.1689911844	-0.1395068533	-0.0578317405	-0.1425870704	-0.0028523355	0.1740769776	-0.0363708485	0.0676333143	0.344532315	-0.1650843293	0.0342342968	-0.2921196532	0.3346737183	0.00080093	-0.0670683426	0.1695719527	-0.1182117564	-0.109898139	-0.0033575707	0.2026787232	-0.1540103751	0.1309853595	-0.1650060913	0.003728079	-0.3105282692	0.0246166528	-0.0080029037	0.050242863	0.2411597905	-0.0945414434	-0.1272939186	0.1140484259	0.1098185471	0.1028845713	0.1004511409081629	0.0303391483718512	0.0009204639239292	0.0100904317097515	0.2760812431299797	0.3210356068316997	0.1030638608537976	0.0762208528081949	0.2742127985400344	0.1491374077898228	0.0751926588831574	0.0222419664022679	-0.0023185905073167	-0.0040251588080864	5.3758619406191125e-06	1.620190343031553e-05	-0.0033357890161078	-4.565448963280002e-05	2.084332423631445e-09	1.1127488359985444e-05	0.0032521501031486	-0.0001266770874282	1.6047084479291838e-08	1.057648029340945e-05	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
985815.790875272	-2852.9597652631346	971832773539.038	8139379.42221028	1287258.5931896097	15292.534645305946	1657034685740.4932	233861615.87788263	958623.9909420288	11120.254776020767	918959956009.6228	123660066.28361268	974644.550420168	960616.5987290108	2.293574	50.620422	0.8794215106530016	0.5375757257247988	0.0746522281	-0.0462916047	-0.1049154479	0.1375191301	-0.0859970495	-0.0791588727	0.0349449472	0.2355572587	-0.0869914174	-0.0723949489	-0.1341853467	0.0311272336	0.180785565	-0.1871207579	0.1581278732	-0.0009189498	-0.1145190946	-0.0854082657	-0.2522579148	0.0190544856	0.1091028044	0.0321388116	0.0640367351	-0.0520522977	0.0158020867	-0.0715267115	0.0544845519	0.0792807566	-0.0536995349	0.0089614019	-0.0904398168	-0.1976666459	-0.0025466888	0.0699685957	-0.0207904938	0.1369880559	0.1252394341	0.1528552962	0.0286933672	0.0974915335	-0.0577367253	0.1683255284	0.1782892073	0.0577772603	-0.0031467008	-0.088028791	-0.2472073217	0.0768740601	-0.1374679089	-0.0876732549	0.0225470162	-0.0747822169	0.0232997394	-0.0301640869	0.0401852577	-0.1657829817	-0.0632370359	0.0096578972	-0.1021154961	-0.0997522996	-0.0661929732	0.0308726122	-0.0563231216	-0.0394343679	0.2583983914	0.1303312213	-0.0866915241	-0.1423623803	-0.1138987597	-0.1846108503	-0.1088677115	-0.0801144541	0.0096988263	-0.0910499041	-0.0111579421	0.0561725954	0.0367755024	0.3332309764	0.0607196703	-0.0106041442	0.2441598103	0.0876985555	-0.0689228905	-0.0033921671	-0.0867960198	-0.1958179252	0.1090160146	-0.2316274326	0.1080319499	-0.0612402812	-0.0728770681	0.1136451198	0.1082280018	0.0993899282	0.0811246597104826	-0.0193264811976802	0.0003735128754842	0.0065812104131416	-0.2123257572328043	-0.488407000362784	0.2385413980033725	0.0450822271844837	0.0895461405666822	-0.1846666579733522	0.008018511290388	0.034101774567047	-0.0007230361991663	0.0015955543081504	5.227813453048495e-07	2.545793550257302e-06	-0.0021513369380008	0.001184452078107	1.4029267253319908e-06	4.6282506208066585e-06	0.0022917290670223	-0.0009604210361262	9.224085666339152e-07	5.252022116634903e-06	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
986422.257027973	606.4661527009448	973028869160.1604	367801.1943718857	1287321.6661062764	63.07291666674428	1657197072026.6394	3978.192816850068	956740.824522398	-1883.1664196308705	915353005307.798	3546315.7640253506	971889.150630252	976089.4890131002	1.94354	42.894985	0.7920778993085421	0.3621645028287394	0.0223145947	0.1376611581	0.1124439552	-0.0082778519	0.1045553901	-0.1046184309	0.1418655922	-0.1038075574	0.0764309592	-0.2336675184	0.1249230488	0.0802019597	-0.2973118105	-0.0900265042	0.1578490165	-0.2022333625	-0.0687242512	0.0023196473	-0.1778412951	-0.2013175253	0.137945131	0.1333741598	0.1434346884	0.1659145569	0.2947731655	0.1998607091	-0.0440671966	-0.3776981052	0.1083203292	-0.1789608997	-0.1000482364	0.0482460804	0.1496748539	-0.1651599871	0.0104970917	-0.2505947811	-0.0052842573	-0.0522791336	0.0187012227	-0.0005713628	-0.121543108	0.08218275	0.1711508729	-0.0059968729	-0.1939181377	-0.0132267412	-0.2092797902	-0.1681307693	-0.0871001177	-0.1890908504	-0.1248040804	0.0813486288	-0.3954323208	0.0581269565	0.0779686807	0.2908069763	0.2501179785	-0.229956254	-0.008561089	-0.1461923943	-0.1288944371	-0.1102329917	-0.0389935596	0.1821466429	-0.0011995302	-0.1568598086	0.0583435857	0.1031090946	0.1183062213	0.0617365268	-0.2980455359	-0.1250706895	-0.0629720607	-0.2312694712	-0.1850697786	0.0772174578	-0.206796754	-0.0011479379	0.0043024548	-0.0098481723	0.0316880968	0.0464126291	-0.1295772424	0.0857373561	0.0463595184	0.2213712287	0.1394939763	-0.1060129524	-0.158031869	-0.1533494057	0.1703697351	0.1131919653	0.1064475877	0.0955030384	-0.0722357286373807	-0.1533603883478633	0.0235194087142074	0.0052180004917733	0.0083147827291014	0.2206405399619057	0.0486822478746813	6.913561183216293e-05	0.2213714480517552	0.131825307485073	0.0490053180125309	0.017377911693534	-0.0010798975999257	-0.0003568614007594	1.1661788263252871e-06	1.2735005935196113e-07	0.0003643027558024	0.0025156396938032	6.328443069038257e-06	1.3271649788522308e-07	-0.0005608031086891	-0.0028525321757114	8.136939813468813e-06	3.1450012671535844e-07	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
