global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24
1032772.5801337382	n/a	n/a	1066619202276.0988	1178382.8643574617	n/a	n/a	1388586175011.296	1032177.4985882957	n/a	1065390388591.9912	n/a	1069979.3911973047	868377.8232217478	n/a	n/a	n/a	n/a	-0.0234204349	-0.0679718923	0.0624515174	-0.0841890709	0.0604272892	-0.0709882284	0.0944193705	-0.0630478917	0.1648965305	-0.1155428303	0.0812998149	-0.3198169705	0.0486943266	-0.0511470341	-0.0124315643	0.0940689859	-0.0109796943	0.0472098928	-0.1107955786	-0.0326264891	0.0658842926	-0.2565985933	0.1015292043	-0.0315259016	0.2082326104	-0.0015256528	0.0621084292	-0.0267745381	0.0185454847	-0.0085054858	0.0393034071	-0.1598544347	-0.061842679	0.0541174567	-0.0953446298	-0.0606091161	0.0032769457	-0.0879233157	0.0345565587	-0.0457129729	0.0824269581	-0.0081165737	0.0648193344	-0.0561513367	0.1006875784	-0.0886441715	0.1902672703	-0.0611420749	0.3018851734	-0.0087361583	0.1118261186	-0.0806032386	0.1004761632	-0.1299049642	0.0331911996	-0.0299101918	0.0041802203	-0.0676863114	0.0837207529	-0.114426629	0.1582883999	-0.0066865573	-0.0580488455	0.00995533	-0.0635679824	0.0535167024	-0.0064154283	0.0617605041	-0.0644834829	0.0608781795	-0.1711426704	0.1533512016	-0.0544995386	0.0691000849	-0.0021995833	-0.0238189349	0.0758107265	-0.0392462581	0.0350422544	0.1154637225	0.1154447293	0.1154130763	-0.0527622256447699	n/a	n/a	0.0027838524549896	-0.1092652455324412	n/a	0.0119388938812646	n/a	-0.1291738924272181	n/a	0.0166858944847985	n/a	0.0036130125310592	n/a	1.3053859549590807e-05	n/a	-0.0017720859351995	n/a	3.140288561731886e-06	n/a	-0.002256810226733	n/a	n/a	5.093192399486656e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1028002.8013837883	-4769.778749949881	22750789.32347345	1056789759652.9166	1149583.330636161	-28799.533721300773	829413142.5643404	1321541834076.5288	1027747.8509368584	-4429.647651437204	1056265645105.331	19621778.31588314	1061607.7256365542	878909.2481286337	1.129451	28.421801	0.1863601534525706	0.0919427524606077	-0.033401717	-0.053533413	0.084059297	-0.0730263531	0.0995613264	0.0080277179	0.0458909151	0.1243284779	0.0300296932	0.034337165	-0.0365419689	0.0066761344	0.1053452441	-0.0082856806	0.0516806905	-0.049681651	0.0893928206	0.0482073877	0.1331383218	-0.0079456363	0.0407170069	-0.0617404051	0.0874936265	-0.0579939828	0.048819337	-0.0501149392	-0.0219448449	-0.1146306485	0.050100226	-0.0350040701	-0.1235347864	-0.0538576331	0.0999363109	0.0432166305	0.0672265622	0.0010323935	0.0344374664	0.1382224364	-0.0545762679	-0.0429629887	-0.0689368292	0.0189404286	-0.0125000822	0.0171409601	-0.0363582477	-0.0117981684	0.0287482249	-0.1257581509	0.0579578855	-0.0175670317	0.0344585473	-0.1281953766	-0.0621999406	-0.1000379933	-0.009342921	-0.034192358	0.0098619703	-0.0716560986	0.0886759288	-0.119785816	0.0898903808	0.0239699798	-0.0745266739	0.0482775773	-0.0864203116	-0.0346041999	0.0071930233	-0.0118140684	-0.0609508783	0.0113522435	-0.0315940021	-0.0395667664	-0.0838204542	-0.086818048	0.0007186186	0.0418129436	0.100104625	-0.1118571555	-0.0373027541	0.1154130763	0.1152422001	0.1149575937	-0.0385286472957204	0.0142335783490495	0.0002025947526185	0.001484456662438	-0.0829926040908048	0.0262726414416363	0.006887772333773	0.0006902516883207	-0.2009153049322378	-0.0717414125050197	0.0403669597560141	0.0051468302682153	0.0034841276727703	-0.0001288848582889	1.2139145640163786e-05	1.661130669614987e-08	-0.0011885950571004	0.0005834908780991	1.412758209763503e-06	3.404616048248588e-07	-0.0014869355399837	0.0007698746867493	5.927070332973329e-07	2.2109773000666178e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1025315.993656176	-2686.807727612322	7218935.765157291	1051272886847.1516	1145915.302614796	-3668.0280213649385	13454429.565518385	1313121880766.7595	1024186.5525539014	-3561.2983829570003	1048958094432.2456	12682846.172452144	1057638.2282848137	880807.7853288518	0.93902	23.629742	0.1668017257273659	0.087982515911695	-0.0058738054	-0.0600030954	0.0592038071	-0.0513627262	0.0355038969	-0.0812837646	-0.0191878581	0.0842309095	0.0007369577	-0.0448506022	-0.073560668	-0.0599718808	-0.0163424	0.0590948483	0.0819275806	0.1182535911	0.0758392669	0.0933298641	0.103180856	0.0300279696	0.1340903247	-0.1115143219	-0.0370198823	0.0577367898	-0.0140299454	0.0139020784	-0.0508671721	0.002506657	-0.0367204626	0.1413029311	-0.1118600433	0.0438798284	0.117022982	0.0086835699	-0.0121215206	0.0685567795	0.0335471928	0.0174897385	0.0461857993	-0.1363624192	-0.0777935071	0.0272604922	0.0665509537	-0.0781393885	0.0592940644	-0.1029092041	-0.0900434595	-0.0877034784	0.0739889475	0.0453173715	-0.0374576987	0.0057735764	-0.0950174302	0.0588709066	-0.1492215601	-0.0286451568	0.0029666266	-0.0580554988	0.0858205499	-0.1212925567	0.1287336066	0.0197456916	-0.06134694	0.0459461766	-0.1001749818	-0.0214189269	-0.0319082738	0.0448591424	-0.0099950148	-0.0056391136	-0.1242841201	0.1044365243	-0.0052350092	-0.0975969235	0.0375853801	0.0853314232	-0.0803948336	-0.0155205813	0.0320421802	0.1153118061	0.1148374968	0.1140484259	-0.0382454383523338	0.0002832089433865	8.020730561415331e-08	0.0014627135547621	-0.0681087083129767	0.0148838957778281	0.0046387961480621	0.0002215303535252	-0.1674039740651665	0.0335113308670713	0.0280240905328109	0.0011230092964823	0.0022697080701965	-0.0012144196025737	5.151574723915121e-06	1.474814971115506e-06	-0.0016629563886561	-0.0004743613315557	2.7654239505721382e-06	2.250186728752969e-07	-0.0021606204086358	-0.000673684868652	4.53851302250797e-07	4.668280550213531e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1023880.6812404812	-1435.312415694818	2060121.7306476936	1048331649417.472	1137205.5802774234	-8709.722337372601	75859263.19412725	1293236531814.111	1022070.4758085216	-2116.0767453798326	1044628057519.4578	4477780.792337305	1055847.9100617657	875124.8127793423	0.960778	24.177265	0.1455880842014624	0.0897335748483064	0.0053377935	-0.018460259	0.0225371157	-0.0751611428	0.063963878	0.0550830841	-0.0152585755	0.0497657512	0.0187365891	0.0802732326	-0.1006550319	0.0565174741	-0.0293239639	0.1131085175	0.0189622609	0.0321627073	0.0384044894	0.0780966486	0.0422927278	-0.0117900863	0.0462066265	-0.0071899601	0.0439586374	-0.0994515242	0.0954490021	-0.0108683433	0.0116738944	0.0175677755	0.0977998842	0.035609664	-0.024243435	-0.0063952482	-0.1298770948	-0.0805551394	0.0331711382	0.0951045847	-0.0050168236	0.0497305509	-0.0419107311	-0.059837101	-0.0749973575	-0.0093883012	-0.0433585525	-0.0053391767	-0.0029427352	-0.0642265076	0.1292072921	0.025853728	0.0146092572	0.0975202068	-0.1293295409	-0.0378407396	-0.0058071429	0.003809934	-0.0797441203	-0.0277800865	0.0039221152	-0.0450223083	0.0449965667	-0.0683790711	0.047865202	-0.0175277078	-0.0208641143	-0.014007535	-0.0119879719	-0.0400925996	-0.0129304572	0.0334380553	-0.0246215996	0.0182164414	-0.1093981645	-0.0203135741	-0.0163760156	0.0199597763	0.0397517504	-0.0134732255	0.0563454174	0.0656346746	0.0238254104	0.1151599564	0.1142313295	0.112689161	-0.0393447130510509	-0.0010992746987171	1.208404863239576e-06	0.0015480064450695	-0.0687153274909775	-0.0006066191780007	0.0047217962321922	3.679868271183631e-07	-0.1478824179369269	0.0195215561282395	0.0218692095348719	0.000381091153668	0.0017271105988302	-0.0005425974713663	2.9829110205916123e-06	2.944120159331029e-07	-0.0012550406392684	0.0004079157493877	1.575127006215234e-06	1.66395258598529e-07	-0.0006239209454597	0.001536699463176	2.3614452401257134e-06	3.89277346183326e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1023708.7113414723	-171.96989900886547	29573.64616511939	1047979525676.418	1123829.9972098214	-13375.583067602012	178906222.39832166	1262993862628.6272	1025891.2746406572	3820.798832135624	1052452907383.8324	14598503.715648953	1059963.6979418625	875325.8503185184	0.963613	24.248608	0.1067462386980987	0.0583503804609918	0.0097825575	-0.0135151793	0.0622434798	-0.002443034	0.0288608261	-0.0584345734	-0.1331571835	-0.0402903897	-0.0642668463	0.0030142824	0.0638164729	-0.0413288698	-0.0544744495	0.0573744828	-0.0045278485	0.1279432537	0.0158342449	0.0517019601	-0.0798252645	0.0095731664	0.0433603567	-0.021060949	0.0518514873	0.0476746631	-0.0107548476	0.0274134762	-0.0645732023	0.0930971148	0.0794102439	0.0008751352	-0.1301383846	-0.0274077741	-0.123747379	-0.025115271	-0.0837233622	0.057625711	-0.0365006449	-0.0446362159	0.1215071012	-0.0800640622	0.0286193451	-0.0140053612	0.0694331703	-0.041819847	-0.0582388402	-0.1195490096	0.005662821	0.0422816404	-0.0221927557	0.0728357272	0.0115431013	0.061519052	0.0446895811	-0.0405023006	-0.141570375	-0.0313929015	0.012738568	-0.036322039	0.0349608536	-0.0549550708	0.0354512572	0.0009046271	-0.0010174619	-0.0076426901	0.0236188284	-0.0510258568	-0.0144490847	0.0456807233	-0.0584480557	0.0882135707	-0.1221602335	0.0775105041	0.0550947659	0.0053694357	-0.0262958455	-0.0199572483	-0.0260727757	-0.0099563515	0.0001768686	0.1149575937	0.1134247617	0.1108851636	-0.0394722470046957	-0.0001275339536447	1.6264909332272514e-08	0.0015580582835997	-0.0292637018377348	0.0394516256532427	0.0008563642452478	0.0015564307666835	-0.1316490615066357	0.0162333564302912	0.0173314753955779	0.0002635218609928	0.0011057349874015	-0.0006213756114287	1.2226498623637951e-06	3.86107650478391e-07	-0.0008588464271368	0.0003961942121315	7.376171854056467e-07	1.569698537265792e-07	-0.0006250255751178	-1.104629658100001e-06	1.220206681554125e-12	3.906569695513367e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1029746.9371964288	6038.2258549564285	36460171.47546429	1060378754665.4258	1130516.8236507494	6686.826440928038	44713647.851094335	1278068288557.3796	1029271.7719455851	3380.497304927907	1059400380524.0046	11427762.028624842	1063631.7975687846	872964.4366051962	1.280123	32.213341	0.4086694337811261	0.2041386096785654	-0.0536534319	-0.0820012847	0.0751693532	-0.1229088445	0.0350151153	0.0848239564	-0.0230864932	0.0709090894	-0.1081729601	0.0345743666	0.0246898077	-0.0354022113	0.1016711231	-0.0318999499	0.0508362846	0.0959061194	0.1170084993	0.0561251372	0.07617492	0.1317744587	-0.038508599	-0.1145937954	0.1545941607	-0.1040734927	0.1095151265	0.0240753155	-0.0663113316	-0.0941644508	-0.1131430697	-0.0743163919	0.1844230346	0.0626435466	-0.1463865934	0.0697122202	0.0709088265	-0.025579169	0.0235191846	0.081306598	-0.0107274901	-0.1527613809	-0.0463799265	0.0640841666	0.0661595342	-0.0540776554	-0.0973875376	0.0762536622	0.1379231872	-0.0143451905	0.1845157059	-0.3062872251	-0.0134999447	-0.0734564786	-0.0992539324	-0.0340640763	0.1725980226	-0.024545392	-0.0024000059	-0.0736030249	0.0946118464	-0.1450949972	0.0883095473	0.0091782451	-0.0835236615	0.0569545806	-0.1975228141	-0.0509839886	-0.0206859373	0.0498878974	-0.0695720874	0.0447481262	-0.0281638007	0.0419826976	-0.0967035232	0.0355756992	0.0536086655	0.0949800364	0.0664774667	-0.1115327827	-0.0264588109	0.1147048067	0.1124192083	0.108643553	-0.0184269980869515	0.0210452489177441	0.0004429025020098	0.0003395542584965	-0.1459459160534493	-0.1166822142157145	0.0213002104126804	0.0136147391142818	-0.2738824879745181	-0.1422334264678824	0.075011617219112	0.0202303476047945	0.001789098745491	0.0006833637580895	3.200874321117469e-06	4.669860258702047e-07	-0.0018688471077068	-0.00101000068057	3.4925895119840714e-06	1.020101374751863e-06	-0.001505832020054	-0.0008808064449362	7.758199934411471e-07	2.2675300726199105e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1028384.1520182532	-1362.7851781755453	1857183.4418549528	1057573964122.3018	1145962.6890345982	15445.86538384878	238574757.45597804	1313230484659.4072	1027335.931724846	-1935.8402207391337	1055419116612.9576	3747477.3602313376	1059773.3194459442	878453.6368868096	1.101299	27.713377	0.2887843036729234	0.1326435434626484	-0.0484936404	-0.0644862413	0.075902909	-0.0421139331	-0.0304359763	0.0140546329	-0.006073127	0.1062370615	-0.0102980458	-0.0144355194	-0.133941368	-0.0716469917	-0.0454065087	0.0252924026	0.052639512	0.0707286868	-0.0337781383	0.0647321483	0.0771267297	-0.0536871042	0.0074943922	-0.0890102457	0.0314386823	-0.0762100122	-0.0461644672	0.1405721319	0.0057075272	-0.0395288445	-0.0855481448	0.0597735278	-0.0563443194	0.0394194412	-0.1123952485	0.0547671374	0.0650122442	0.0537605252	0.0226471183	-0.0150678955	-0.0094835749	-0.0991519203	-0.0915688909	-0.0718309745	-0.025878511	-0.1073527669	-0.0199172515	0.0153900401	-0.0507831581	0.0167012996	0.1054157445	-0.0844649768	-0.0197383888	-0.0586642746	-0.0145688697	0.0971287208	-0.0234809958	-0.0183030796	-0.0085034595	-0.0609344285	0.0629783866	-0.0836885354	0.0572663665	-0.0304553938	-0.0501194505	0.0396135592	-0.2012647617	0.0324654453	0.003546713	-0.1391347835	0.0960373939	-0.1336672479	0.0939110572	0.0101051668	-0.1108197374	-0.1093371258	-0.0891916965	0.1413659045	-0.1204520208	0.1025727476	0.0074309297	0.1144017065	0.1112164334	0.105973176	0.0459370229737032	0.0643640210606547	0.0041427272070964	0.0021102100796865	-0.1153778834248981	0.0305680326285512	0.0133120559836093	0.0009344046187801	-0.2361177252680306	0.0377647627064874	0.0557515801857491	0.0014261773022773	0.0026301262680253	0.0008410275225343	6.9175641857566914e-06	7.073272936601825e-07	-0.0025518828608384	-0.0006830357531315	6.512106135440775e-06	4.665378400560518e-07	9.18544498247002e-05	0.0015976864698787	2.552602056033463e-06	8.437239952598367e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1024014.007864969	-4370.144153284258	19098159.920484588	1048604688303.6768	1155330.0711296238	9367.38209502562	87747847.31420657	1334787573256.3816	1024908.5351001028	-2427.39662474324	1050437505321.0386	5892254.373814873	1059926.116088783	875550.8998160429	1.019351	25.651209	0.1432022222030161	0.0717491940181335	-0.0421207248	0.0012668001	0.0824845966	-0.0259466144	0.1060207397	0.0650702604	0.0601955565	0.0274876575	0.0530037743	0.0981470157	-0.0911808786	0.0164675675	0.0310701557	0.0549196008	0.0406827461	0.0342975392	0.0272473173	0.0655089968	0.1825203812	0.0049461046	0.0232090055	-0.0832301781	0.0318238716	-0.0416171485	-0.094758722	0.0470436873	-0.0575617235	0.0382634572	-0.031849078	-0.0223166031	0.0035602912	0.1043000337	-0.0042599133	0.0027094799	0.055320992	0.0412508471	0.0162707515	0.1236424141	-0.0993139053	-0.0667352523	-0.1397838576	0.0066223151	-0.0019101757	-0.1180298721	-0.0500367681	-0.0601532805	-0.037165179	0.0159235847	0.0617105623	-0.0733493907	0.0030364123	0.0840836433	0.015976089	-0.0518244684	-0.028497044	-0.018598499	0.003299566	-0.0505792973	0.0426636729	-0.0484432732	0.0073949259	-0.0160902804	-0.0428787424	0.0105193917	-0.0961222684	0.02473633	0.0282906854	-0.1209782804	-0.0072114217	-0.076974072	0.12228141	-0.1869183467	-0.1420440886	0.013443131	-0.0778152939	0.0956747293	-0.0683941353	0.047893308	-0.0919023328	0.1140484259	0.1098185471	0.1028845713	0.0660619966691342	0.020124973695431	0.0004050145662417	0.0043641874039126	-0.0715782979852832	0.0437995854396149	0.0051234527424699	0.0019184036846821	-0.1996661650235154	0.0364515602445152	0.0398665774551976	0.0013287162442595	0.0025556378612059	-7.448840681939994e-05	6.5312848776290665e-06	5.548522750492428e-09	-0.0018208226712268	0.0007310601896115	3.3153952000534995e-06	5.344490008349483e-07	0.0001428279098628	5.0973460038099806e-05	2.5982936282557573e-09	2.0399811835776124e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1021100.8897708708	-2913.118094098172	8486257.030162167	1042647027090.864	1133988.474469866	-21341.59665975789	455463747.9877893	1285929860230.4937	1022025.4498844967	-2883.085215606028	1044536020211.608	8312180.360446058	1057732.3356756435	887504.1015454669	1.003578	25.254295	0.1753552386207606	0.1036674734146919	-0.0336510455	-0.0044248344	0.1024057188	0.0801515722	0.0172224673	-0.11994169	-0.0120589681	-0.0264454683	-0.0268999506	0.138689481	0.1148625807	0.0917760726	0.0458132272	0.0982850235	-0.0065955908	-0.0068851495	0.123571609	-0.0001449644	0.078549647	0.085193998	-0.0162430184	0.0246936335	-0.0531023287	-0.0017833105	-0.0102076164	-0.0126518687	-0.0148228238	0.0151000515	-0.0906258906	-0.1162758218	0.0539590483	0.1009606006	0.0176778988	-0.0704378284	-0.0186017211	0.0696893934	-0.0177756909	0.1420558824	-0.045058288	-0.041874636	-0.0079243176	0.0954857167	0.0656899467	-0.0021330921	0.0367832528	0.0021142258	-0.0515746165	0.0603277551	0.0111780903	-0.0901938316	-0.0762618459	0.130039726	0.0690029192	-0.1206547888	0.0186631271	-0.0223283844	0.0089929791	-0.056244597	0.037428239	-0.0540019647	0.064031433	-0.0225178246	-0.0263362253	0.0104560052	-0.0564108571	0.0761198933	0.0447707096	-0.1366186213	-0.0729544828	0.0096849806	0.0998072751	-0.0405431633	0.0915901221	-0.0802949074	0.0458181077	0.0455531146	-0.0233780363	-0.0148237286	-0.0590665183	0.1136451198	0.1082280018	0.0993899282	-0.0111598642485262	-0.0772218609176604	0.0059632158035864	0.0001245425700455	-0.0868089829208855	-0.0152306849356022	0.0075357995157585	0.0002319737636075	-0.1801097799814925	0.0195563850420228	0.0324395328449816	0.0003824521959118	0.0024232819370613	-0.0001323559241446	5.872295346487566e-06	1.7518090656171123e-08	-0.0016860390402007	0.000134783631026	2.8427276450808977e-06	1.8166627192579853e-08	-0.000856958689476	-0.0009997865993387	9.99573244217442e-07	7.343781954684233e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1019411.6126453044	-1689.277125566383	2853657.206961821	1039200035996.1002	1112680.851323342	-21307.623146523954	454014804.1542834	1238058676901.637	1026633.350551848	4607.900667351205	1053976036465.3136	21232748.56017568	1060263.8172080163	842480.3409293242	1.05683	26.594351	0.1395574807817401	0.0920087696881555	-0.0038307331	-0.0292767641	-0.0278776839	-0.0790806792	-0.1024233803	-0.0635368256	-0.1065673802	-0.0981529256	-0.0567320119	0.0924428965	0.0990481849	0.0821989296	0.0235614052	0.0349944631	0.0159469859	-0.0075504688	0.0429656734	0.0125056969	-0.0755580523	-0.0104414227	0.0261626178	-0.0747750876	-0.0251498446	0.1579432512	0.2009716015	0.0232315704	-0.0379064651	0.0471184086	-0.1134683753	-0.1175339052	0.0184269102	-0.0148017578	0.0361956144	-0.0019356694	0.0015560968	0.0452719031	0.0065097343	-0.016731681	0.0539781036	-0.0231625785	0.0712899594	-0.038103019	0.0582951601	0.04971277	0.1488264747	-0.0961193378	-0.0226537015	0.0380289269	0.0910695057	-0.0922729789	-0.0967060661	0.0394397089	0.0150716748	-0.0098126294	0.037409812	-0.0155392437	0.0012132973	-0.029663541	0.0292413706	-0.0525957869	0.0241302281	-0.023271276	-0.0467225481	-0.1486181295	0.0643854518	0.0052863814	0.1250038355	-0.0471287834	0.0140681602	0.0768134157	-0.0306259147	0.0307495507	0.1524514835	0.0603686103	0.1173347743	-0.1555993602	-0.0236987955	0.0153658419	-0.0045689482	0.1131919653	0.1064475877	0.0955030384	-0.020458157189708	-0.0092982929411818	8.64582516200313e-05	0.0004185361955988	-0.0942290674425123	-0.0074200845216268	0.0088791171510855	5.505765430808568e-05	-0.1021850256176009	0.0779247543638916	0.0104417794604697	0.0060722673426728	0.0017519613758117	-0.0006713205612496	3.069368662336025e-06	4.506712959564779e-07	-0.001695064145339	-9.025105138299938e-06	2.8732424568138345e-06	8.145252275736792e-11	-0.0006390173767631	0.0002179413127129	4.749841578702206e-08	4.083432078051937e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
