global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
893375.3069915815	n/a	n/a	798119439142.3024	1140039.6262389435	n/a	1299690349395.03	n/a	910744.8248355264	n/a	n/a	829456135964.6937	921408.3143371652	851608.8388070913	n/a	n/a	n/a	n/a	-0.0278864263	0.0334255776	0.0767724202	-0.0014892331	0.225009381	-0.0783914228	0.0274999837	-0.03805507	0.1663964929	-0.1427712093	0.1226188379	-0.0955437277	0.0105456977	-0.004561542	0.0156706816	-0.0889824561	0.048878634	-0.0008247763	0.0110629067	-0.2186151045	0.1107972385	-0.077892049	0.0675590491	-0.1099725635	0.1024319298	-0.0304607197	0.00784498	0.0193354173	-0.0409321542	0.1221667862	-0.000260861	0.0089088315	-0.0211860718	0.1602201121	-0.019043603	0.1387063769	-0.1279341938	0.0405208305	-0.0141457608	0.0620011209	-0.0538235324	0.1033698648	-0.0566642858	0.1014206345	0.0503014814	0.1042203461	-0.035119568	0.0066249452	-0.0237997908	0.0691593666	-0.0003809269	0.0766898988	0.010583928	-0.1156272766	0.1732870436	-0.0926811302	0.0671275532	-0.0850866876	0.1730447256	-0.0632023024	0.0334709972	-0.0384595542	-0.0008322166	0.03087104	-0.0047222414	0.0185104516	-0.0563739341	0.0478535741	-0.1032082675	0.1403976205	-0.1685875062	0.0936989284	-0.0996068722	0.1324822662	-0.0925564876	0.0257064026	-0.117721059	-0.0331101001	-0.0019417986	0.0504357777	-0.0164925505	0.0071153244	-0.0602467101	0.0464808288	0.0531294788	-0.0447092592	0.0096422696	-0.0332660244	0.0508466287	-0.0338661038	0.0600226012	-0.0772081161	0.0003305123	-0.0138426601	0.0210996726	-0.03593836	0.1560975345	-0.0296865409	-0.1223948277	0.1086300309	0.0543105693	0.1154637225	0.1154447293	0.1154130763	0.04247411676306	n/a	0.001804050594802	n/a	0.0315570222232395	n/a	n/a	0.000995845651598	-8.080199322080261e-06	n/a	n/a	6.528962108454632e-11	-0.0008130000912031	n/a	6.609691482962489e-07	n/a	-8.795982686660153e-07	n/a	7.736931142402518e-13	n/a	0.0009340000503557	n/a	8.723560940644502e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
888238.489284958	-5136.817706623464	26386896.151080344	788967613847.2245	1112225.318426724	-27814.30781221949	1237045158949.4275	773635719.0728939	905290.8550347222	-5453.96980080416	29745786.588083763	819551532209.4985	913886.779685681	863237.1453976362	1.170036	23.471502	0.0647247670235202	0.0454799963420972	-0.0103797196	0.0646766204	-0.1695438779	-0.0022023385	-0.0085333754	0.1075556374	-0.1385487653	0.0625994976	0.0799888243	0.0531395067	-0.0019649638	0.0879228227	-0.0937312379	-0.0475217008	0.0116523989	-0.0559344747	-0.0083548037	-0.0123366417	0.0576758125	0.0178055631	-0.0317806138	-0.0989189153	-0.0282735375	-0.0135384347	0.028336778	-0.1438088622	-0.0494384971	0.0252239944	-0.1222864866	-0.1276148958	-0.0295593817	0.0082381175	0.0920268861	0.0595990994	-0.0712748922	-0.0549732219	0.038324381	0.1336528112	-0.0158708078	-0.0382042957	-0.0565794631	-0.0301113634	0.0710689256	-0.0680704892	-0.0041083084	-0.0933833194	0.1114386159	-0.0518716067	-0.0066038285	0.0307946759	-0.0308218207	0.003519212	-0.0565647156	-0.0173793576	-0.0410038918	-0.0910293025	0.055890637	-0.0215777016	-0.0570013534	-0.0801196534	0.0008873286	0.077841554	-0.0670535441	-0.0258018251	-0.1609691011	0.0363548643	0.0093948349	-0.1208389074	-0.0074431735	-0.0401765848	-0.062066621	-0.1246506465	0.0129385288	-0.110795999	0.0319194305	-0.0574127981	0.0927048605	-0.0423928679	0.0283513492	0.0168129052	0.01564864	0.0319148554	-0.0241986137	0.0247040987	-0.0520712725	-0.1283830516	-0.0040019415	-0.0142845051	0.0206329886	-0.0815406458	-0.0319733258	0.1324710475	-0.0084883126	-0.0048354142	-0.0122469692	-0.0835813684	0.0730410696	-0.0290847619	0.0024376478	0.038511106	0.1274370319	0.1154130763	0.1152422001	0.1149575937	0.0438597164599201	0.00138559969686	0.0019236747279445	1.919886519938797e-06	0.0399969600425009	0.0084399378192613	7.123255039299882e-05	0.0015997568126414	-1.3287973956721544e-05	-5.207774634641282e-06	2.7120916645213138e-11	1.7657025187451001e-10	-6.1498685375964416e-12	0.0008130000850532	3.78208830297186e-23	6.609691382965617e-07	-3.6051162055628083e-12	8.795946635498098e-07	1.2996862855611581e-23	7.73686772145303e-13	0.0006499992954172	-0.0002840007549385	4.224990840428564e-07	8.065642880563795e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
885526.0657722995	-2712.423512658453	7357241.312022424	784156413162.167	1113935.5859823995	1710.267555675469	1240852489717.952	2925015.1119961445	906473.5687134505	1182.713678728207	1398811.6458508086	821694330776.0986	916348.9372817228	854386.2610677084	1.082608	21.717659	0.0079146552776536	0.0060170468827025	-0.0443389641	-0.0038962854	0.061953857	0.0332382356	0.0046173998	0.0190446721	0.1075905189	-0.0095287542	-0.048175311	0.0028623938	-0.0299875317	0.0200758499	0.1204879208	-0.1072366286	-0.0709688417	0.0339886228	-0.0180000201	0.0237578756	0.0047692786	0.0059903391	0.0800867468	-0.0340500294	-0.1300293137	0.018191135	-0.0517514426	0.0870626722	0.0334797408	0.0310475553	0.0425741054	-0.0828545052	0.0251521065	-0.1067632792	-0.1065890499	0.0963188606	0.0122824398	0.0358846744	0.04021591	-0.0235450596	-0.1025953113	0.0828109603	0.0292478027	-0.0444601372	-0.1830721197	-0.0393149143	-0.1036023967	-0.0001017182	-0.1262451158	-0.073476428	0.0877955389	-0.0112202121	-0.0369636842	-0.0348278543	-0.0168496151	0.0657571238	0.073421024	0.0608386434	-0.0829736251	-0.0678813655	-0.0848503612	0.0264582352	0.0559336719	-0.1499751629	0.0384180131	0.011076434	-0.0884260596	0.0037106369	-0.0031285174	0.0622463316	0.0446316824	0.1070460647	0.0150250878	-0.073893008	-0.0510865267	-0.0417251592	-0.0600952905	0.0020165181	-0.0641334877	-0.0455400271	0.0052989165	0.0406135837	-0.0122018465	-0.0179917015	-0.0266260251	0.0338999512	-0.0078390503	-0.0585582453	0.0318622787	-0.0777021764	0.0821731145	-0.0342470554	0.0954151851	0.0220401061	-0.0639891245	0.0175291824	0.0200383636	0.0789758542	-0.0134590929	-0.100367666	0.1189119184	0.0178713047	-0.0154066642	0.1153118061	0.1148374968	0.1140484259	0.0379335779959433	-0.0059261384639767	0.0014389563395743	3.5119117094225294e-05	0.0384650066699236	-0.0015319533725772	2.3468811357509576e-06	0.0014795567381172	-1.980871459750233e-05	-6.520740640780787e-06	4.2520058504330217e-11	3.9238517400530186e-10	-2.348019397186221e-11	-1.7330325434265767e-11	5.513195089562744e-22	3.0034017965755894e-22	3.8945513480825856e-10	3.930602510138213e-10	1.5167530202851886e-19	1.544963609270483e-19	0.0006589997390358	9.000443618599973e-06	4.342806560492525e-07	8.100798533159698e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
884412.4177455507	-1113.6480267487932	1240211.9274814809	782185324662.5305	1107706.2814295976	-6229.304552801885	1227013205918.587	38804235.21155829	903959.4164153874	-2514.15229806304	6320961.777855664	817142626526.0477	913418.8573377474	846596.3276792868	1.002935	20.119371	0.0919509002032544	0.0534359852945166	-0.0203284215	0.0165036936	0.0017419213	-0.0832931643	-0.0567505845	-0.009487148	0.0429610492	-0.15001359	-0.1202669604	0.0740609182	-0.0886295247	0.0246014361	-0.0596733047	-0.0800916707	-0.0993291744	-0.0587025727	0.0071721296	0.071952235	0.1328307796	0.0057131181	-0.036956901	0.0321222944	0.0585645928	-0.058040968	-0.0386110414	0.0460993906	0.0978184298	-0.0693761184	-0.1162730462	-0.0105500038	-0.0269872394	-0.0147673196	-0.0055343225	-0.0167288298	0.1989998727	0.0048926082	-0.0352318781	0.067581115	-0.0627223245	0.1588038521	0.0242318081	-0.1466411958	0.090729858	0.0430705789	0.1101960072	0.0082841257	0.0458550348	-0.0523320044	0.1200594643	0.0567596189	-0.0515051828	0.0725584069	-0.1533444332	-0.0038267134	0.0236647942	0.0469463537	-0.0151116088	0.0408597162	0.0735627219	0.1199545504	0.0444424969	-0.0036675317	-0.1282341606	-0.0170352913	-0.0726274121	0.0064873817	-0.0084279065	0.0411830204	0.0086030231	-0.1218959911	0.1726259554	0.0892534164	0.0027309861	0.0302461421	0.0166047006	-0.0393269616	-0.1690242534	-0.0451882865	0.0072501317	0.0533997662	-0.0174026366	0.0194658515	-0.029279894	0.0469540786	0.0970246384	-0.1063665453	-0.0290233057	0.0604845715	0.0269040493	-0.0893638905	-0.0384384077	0.0006321578	0.0495062646	0.051742262	-0.0855220494	-0.0949660523	0.0163124546	-0.0985814189	-0.0284437833	0.0896435762	-0.0404844864	0.1151599564	0.1142313295	0.112689161	0.0349573527247315	-0.0029762252712118	0.0012220165095212	8.857916864999764e-06	0.0729146511310148	0.0344496444610911	0.0011867780034955	0.0053165463495575	3.3774234736938524e-05	5.3582949334440855e-05	2.8711324593772562e-09	1.1406989320658246e-09	-0.0006423539163423	-0.0006423538928621	4.126185538402906e-07	4.126185236751021e-07	-0.0004372148804896	-0.0004372152699447	1.9115685172153526e-07	1.9115719227284734e-07	0.0006688595266613	9.85978762550006e-06	4.473730664055783e-07	9.721541201996411e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
884055.4846790849	-356.9330664658919	127401.2139367448	781554099991.1716	1100209.1528825432	-7497.128547054483	1210460180086.5232	56206936.45105926	907140.3453033626	3180.9288879751693	10118308.590354947	822903606077.1039	915842.8806206344	842675.6793895232	1.074998	21.564991	0.0919474041248394	0.0440488871972605	-0.0498219337	0.0314870633	-0.0216511207	0.1330619811	-0.1244823197	0.0643854437	-0.050406698	0.0414288876	-0.0809552707	-0.0985297756	-0.0249895886	0.1143641971	0.0088327371	-0.0386066334	0.1061963851	-0.0242649944	-0.0317496071	0.0172167945	-0.0312301489	0.0311192911	0.0740538947	0.0691723424	0.0750619428	0.0642611861	0.0042634363	-0.0929736506	0.0850872118	-0.1900260292	-0.0488388361	-0.0486295385	0.0713733599	-0.0048995191	-0.0526734414	-0.0317101848	-0.0690385933	0.054352299	-0.0491130912	-0.1144754208	-0.0948872455	-0.007691976	0.0106020674	-0.0873855012	0.0041444885	-0.0450861497	-0.0411912491	-0.1339737246	0.0145934002	-0.0551800828	-0.0862507326	0.0114841343	-0.0153121175	0.0238481756	0.029809051	0.0362470216	0.040195464	-0.0266847108	-0.1406150071	0.0991504195	0.0140613856	0.0308604706	0.0658117926	0.1097619462	-0.0336851166	-0.0155543598	-0.0380694761	-0.0309808214	-0.1249192833	-0.0087114224	0.04239959	0.0684591099	0.0312965918	-0.1562454483	0.0160348912	-0.0188960232	0.0726252639	0.0977075036	-0.0484671471	-0.0536052449	0.0265593357	0.0450511637	0.0332984156	-0.0321566137	0.0221218545	0.050796401	-0.0376232555	-0.0564573197	0.061196573	-0.0744580077	0.072909959	-0.1031785451	-0.0248492948	-0.0027554963	-0.1212037715	-0.016856678	0.0094601598	-3.95544e-05	-0.0117689456	-0.0005229771	-0.1711133893	-0.0137597784	-0.08433538	0.1149575937	0.1134247617	0.1108851636	0.0403467186559964	0.0053893659312648	0.0016278577063061	2.9045265141078767e-05	0.0730178040449374	0.0001031529139226	1.0640523650726086e-08	0.0053315997075448	0.0294672392286088	0.0294334649938718	0.0008663288615454	0.000868318187756	2.9829006018694537e-12	0.0006423539193252	8.897696000633149e-24	4.1261855767244633e-07	-7.525779999184579e-11	0.0004372148052318	5.663736459612664e-21	1.9115678591388082e-07	0.0006079998455027	-6.085968115860003e-05	3.6966381213130715e-07	3.7039007907264557e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
885350.3741973103	1294.8895182254491	1676738.8644101357	783845285091.3174	1111128.8002649066	10919.647382363444	1234607210778.1306	119238698.95515682	905849.7449972588	-1290.600306103821	1665649.1501152762	820563760511.5988	916156.8561554132	838514.7670372596	0.999384	20.048134	0.0855810301552487	0.0508666921141948	-0.0355271317	0.0004522206	0.1488328534	0.0304971788	-0.0305241038	0.0110845879	0.0753108318	-0.0773694154	-0.0669075652	-0.0742243977	-0.0985174849	-0.025385187	0.020314032	-0.0840803761	-0.1059086437	-0.1441403266	0.0349965761	0.0784829604	0.0669198051	-0.1010623108	0.0335491187	-0.048414539	0.1156058198	0.1494941058	0.0392991638	0.0701031535	0.0195823916	-0.016958205	0.1207149726	-0.0064858254	-0.0217843906	-0.0246926122	0.0510067367	0.0471927629	-0.022132225	0.0084189919	-0.1125063766	-0.1049605259	0.0033456936	-0.0684015046	-0.0631673209	0.1198726112	0.0520753156	0.027623366	0.0905518867	0.0438996171	-0.0374547542	-0.0649826865	0.0929173689	0.1202556724	-0.0329652447	0.1236384054	-0.0043710205	-0.0706652845	0.0289956544	-0.1978256755	-0.0758021456	0.0452061586	0.0089883881	0.0048902943	-0.0417472276	-0.0431366947	0.0408869891	0.0972184812	0.126297836	-0.0250152533	-0.0202956195	-0.0223675714	-0.0024838852	0.0704811758	-0.044933336	-0.0176489392	0.0202743738	0.0615532016	-0.0985482582	-0.0086185995	0.0608387554	-0.0449628326	0.0051528865	0.0561679157	-0.0074030075	-0.0286752834	-0.0293534082	0.049907343	0.146416291	-0.041285247	0.0204691382	-0.022734357	0.0681865227	-0.0837771136	0.01021624	-0.138688884	-0.0043698007	0.0367658628	0.0124159576	-0.0206115489	0.0510528523	0.009184997	-0.0930492298	0.0505923086	0.0096865656	0.1147048067	0.1124192083	0.108643553	0.0456535951002763	0.0053068764442799	0.0020842507455799	2.816293759485287e-05	0.073012190143217	-5.61390172040821e-06	3.1515892526402256e-11	0.0053307799095092	0.0226329232301054	-0.0068343159985034	4.6707875167399554e-05	0.0005122492139398	-0.0008888815753701	-0.000888881578353	7.901104550324308e-07	7.901104603353215e-07	-0.000253915117218	-0.0002539150419602	6.44728867518307e-08	6.447284853365013e-08	0.0009338877014044	0.0003258878559017	8.721462388343938e-07	1.0620289462420723e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
887760.4697054115	2410.0955081011634	5808560.358169405	788118651571.5728	1114616.578439296	3487.7781743893865	1242370116931.7234	12164596.593746962	906630.8571134869	781.1121162280906	610136.1381183261	821979511070.3358	916121.2160397264	855186.0932842548	1.12994	22.667166	0.1097142829026972	0.0663945487432283	-0.0228113201	0.0695063828	-0.129908929	-0.0350153231	-0.0062067703	0.1046695219	-0.1106271488	0.0578824942	0.0612993523	-0.049864111	-0.0391015099	0.052214523	-0.1365358465	-0.0591879003	0.0445112079	0.0308551956	0.0186381757	0.0071301008	-0.033541577	-0.0234745844	0.0123031988	-0.0692212581	-0.0390199857	0.1048562251	-0.0188451428	-0.1203326033	-0.0667517303	0.105421391	-0.0327681483	-0.0503471874	-0.0173014084	-0.1508868486	0.1104677168	-0.0487050035	0.0314578153	-0.0508733202	0.0492788451	-0.0454240747	-0.2406050852	-0.0420802052	0.0718416832	-0.0297635579	-0.0319415532	0.0896420153	0.0178816535	-0.0511846009	0.1317714464	-0.0658960668	-0.0168656252	-0.0432993546	0.0819067852	0.0265247223	0.0448442302	-0.0390161073	-0.0698581619	-0.0962119924	-0.019051735	-0.0270541988	-0.124260687	-0.1247952509	-0.0502297864	-0.0187186363	0.0203802185	0.0156835982	-0.1025217468	0.0375273604	-0.0160574522	-0.0541191539	-0.0190277857	0.0313375457	0.1208249149	-0.0959937812	0.076687974	0.0043421144	-0.0794329144	-0.1431577548	-0.0149300888	-0.0382991929	0.0227089618	0.0120236301	0.0674995477	0.0363531254	-0.0371402882	0.0088671215	0.0301576522	-0.1239151115	-0.0064150101	0.028245145	0.0511483177	-0.0869966015	-0.1088924344	0.1201075272	-0.0398473387	-0.0711940864	-0.0277984988	-0.0552699903	-0.0344395153	0.0587702883	-0.0313586625	0.0464254646	0.0262951796	0.1144017065	0.1112164334	0.105973176	0.0455940488047303	-5.9546295545998e-05	0.0020788172864081	3.5457613132513403e-09	0.0229156996742858	-0.0500964904689312	0.0025096583573037	0.000525129291562	0.0036340502073954	-0.01899887302271	0.000360957176133	1.3206320909870551e-05	-0.000249419608093	0.0006394619672771	6.221014090126573e-08	4.0891160759389893e-07	-0.0001971019529982	5.681316421980002e-05	3.884917987570464e-08	3.227735628665965e-09	0.0008189753705911	-0.0001149123308133	6.707206576348296e-07	1.3204843772945306e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
885805.5027329765	-1954.9669724350097	3821895.863311708	784651388672.0211	1109664.279992816	-4952.298446479952	1231354814291.9749	24525259.903007746	906490.6638340644	-140.19327942247037	19654.155595226854	821725323618.3228	915594.624854482	854210.2764973958	0.956068	19.179193	0.0470372525450085	0.0283141037028091	-0.0163864882	0.0165402202	-0.0435517953	0.1035578652	-0.0551070333	0.0564847299	0.076945365	0.027416256	-0.0463517051	0.030248936	-0.080285488	0.1209481355	0.0242702721	-0.0491650875	0.0891567756	-0.0320963098	-0.0711322643	0.015819152	0.0443203996	0.0764545098	0.0074389041	-0.0233399945	-0.0160146964	0.1876414513	-0.0095767803	-0.053877546	-0.0310430485	-0.0635737164	-0.0054381978	0.0200168514	0.0493305057	-0.085765885	-0.0940200558	0.1055055499	0.0264667354	0.0554815315	-0.0336252489	-0.0483906311	-0.0112651357	-0.1034782164	-0.0491639514	-0.0095038826	-0.0279794379	-0.0536125867	0.1206322467	-0.129374342	-0.0189441016	-0.0615625607	-0.0624060742	-0.0214075234	-0.0451298218	0.0354749641	-0.0225979797	0.0126427363	0.0110755652	-0.0467421422	-0.1108816319	0.0408693021	-0.0926712137	0.0555471786	-0.1118976229	0.0568579691	0.0431620534	0.0344612313	-0.0649701502	0.0682439119	-0.0609472301	0.0939004494	0.085362082	0.0728898193	-0.0476375442	-0.0702210434	-0.0450690121	0.1101353362	0.0105046985	0.0159901281	0.0072641762	-0.0308902715	0.0106316453	0.0512605262	0.0156579636	-0.0221376524	-0.0122567769	0.0267700098	-0.0398424628	-0.11478668	0.0914702164	-0.0287007147	0.0332929087	-0.0819908254	0.01334914	-0.0124094882	-0.0397452614	-0.0826656512	0.0334540483	0.0877454322	-0.0021627946	0.0267330916	-0.0410218858	-0.0447758934	-0.0746241744	0.1140484259	0.1098185471	0.1028845713	0.0455592079359661	-3.484086876420073e-05	0.0020756414277525	1.213886136244258e-09	0.0449608316555298	0.022045131981244	0.0004859878440704	0.0020214763831568	-0.0020014404775139	-0.0056354906849093	3.17587552596995e-05	4.005763985031068e-06	1.1097141411220413e-05	0.0002605167495042	1.2314654750062298e-10	6.786897677224473e-08	-0.0002079950267974	-1.0893073799200006e-05	4.3261931172451145e-08	1.1865905679481764e-10	0.0009340013274895	0.0001150259568983	8.723584797521482e-07	1.3230970760392567e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
885878.7442315165	73.24149854003917	5364.317108390561	784781149481.2086	1111727.4651131465	2063.185120330425	1235937956686.9023	4256732.84075287	905813.1563185308	-677.5075155335944	459016.4336045037	820497474159.7391	915192.7499090512	846055.2770633013	0.928858	18.633347	0.1083813690518287	0.0593322125486751	-0.0067513861	0.0291259148	0.0679313076	0.0714654866	-0.0287826215	0.0310529583	0.1419131537	0.0372046075	-0.034274128	-0.0059636393	-0.0883488932	0.0442084706	0.0697149111	-0.1179806707	-0.1319912679	0.1052780849	0.0133223811	0.0611052411	-0.050444317	0.0408856951	-0.0232849381	0.0565399454	-0.1279808688	0.0552928009	-0.0639262385	-0.0265997402	-0.0753600105	0.0010038225	-0.014986619	0.055489963	0.0227904903	0.0316159918	0.0371647306	-0.0426877395	-0.096730202	-0.1132969553	0.0709932259	0.0133187102	-0.0911965031	0.0428564374	-0.0184639502	0.0028489047	-0.0069920292	0.0356684705	-0.1444585362	-0.0324235075	-0.0949667678	-0.0835697026	0.1410010582	-0.078411966	0.0241511962	0.0027546043	0.0134825492	0.0464524903	-0.1322505439	0.0630255717	-0.0581671125	0.0022752142	-0.1260428683	-0.0485930378	-0.0151615489	0.0017561589	-0.003862185	0.0323081123	-0.0206274997	0.0133078266	-0.0171365721	-0.0569504223	-0.1386118888	-0.0128142292	0.0005424142	-0.0538475273	0.0142802765	-0.1110632784	-0.0764499741	-0.0322255582	0.0346268972	-0.0278717102	0.0097441796	-0.0035152788	0.0435328109	0.0624283244	-0.0900373579	0.0079713687	0.084878626	-0.0353498894	0.0668430829	-0.0893465644	0.0163337688	-0.1013971603	-0.0050370071	0.0154878993	0.0620209553	0.0040269453	-0.0421373462	-0.0521580133	-0.0876458341	-0.0394453474	0.1078778532	-0.1098271777	-0.0698354826	0.1136451198	0.1082280018	0.0993899282	0.0329550315069298	-0.0126041764290363	0.0010860341016227	0.0001588652634542	0.0019851899620846	-0.0429756416934452	0.0018469057789633	3.940979185561455e-06	0.0116333294017323	0.0136347698792462	0.0001859069496599	0.0001353343529692	-0.0005929398547488	-0.00060403699616	3.51577671349528e-07	3.648606927300206e-07	-0.0001477411046202	6.025392217720002e-05	2.182743399439688e-08	3.6305351377360766e-09	0.0008149566248247	-0.0001190447026647	6.641543003456669e-07	1.4171641232550628e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
886440.5567196325	561.8124881159747	315633.27180306223	785776860597.412	1115999.84757487	4272.382461723639	1245455659787.1333	18253251.89924374	906683.6880482456	870.5317297148285	757825.4924402913	822075310172.7684	916538.7881621072	850074.7358723958	1.070633	21.477434	0.0628467664637684	0.0332657337098747	-0.0020010672	0.0306872718	-0.0139249965	-0.1072636612	0.0085412252	0.0402342054	-0.1334384179	-0.0551760462	-0.0478774387	-0.037800638	-0.1243975606	-0.0212310994	-0.1306875716	-0.0277388604	-0.0182865862	-0.0195228931	0.0654922294	0.0073235727	-0.0330951973	-0.021770671	0.0513094095	0.126850314	0.0468036568	0.1090764916	-0.080487319	-0.032052289	0.1148531131	0.0313442565	-0.0210881309	0.1473164997	0.0577866966	0.0605815204	0.1094314681	0.0624998092	-0.0080151593	0.0042030745	-0.0532812314	-0.1055634148	-0.111858873	0.1382958016	0.2028980871	-0.0284951184	0.1138852316	-0.0913650186	-0.1357699429	0.0407550016	0.1242600545	-0.034070995	0.0266613945	0.0292251479	0.075287572	0.0229612125	0.0392053671	-0.0169127418	-0.0356020043	0.0403084448	-0.1568535816	0.0852059339	-0.0063729381	-0.016238429	-0.0345729172	-0.0185874622	-0.1072796851	-0.034805532	0.0332645981	0.1495589053	-0.0371275006	-0.0782416008	-0.0648924651	0.0990695071	0.061235118	0.1066343431	-0.0635550345	-0.0845066032	0.0268451871	-0.1554463936	0.0325036166	-0.0118772064	0.0195479798	0.0288046961	0.0754380153	-0.0421448565	-0.0351260974	0.0048935072	0.0380218228	-0.0484109258	-0.0562064825	0.0534349174	0.1116215783	-0.039293567	-0.058238451	-0.0185897366	-0.0892840364	-0.0749854329	-0.0258775746	0.0014637142	-0.043871417	0.0695054232	-0.0344471748	0.0606239362	-0.0687996286	0.1131919653	0.1064475877	0.0955030384	0.039363510778017	0.0064084792710872	0.001549485980771	4.1068606567954366e-05	0.0171659223099851	0.0151807323479005	0.0002304546346185	0.0002946688887524	0.0017203564056416	-0.0099129729960907	9.826703362122344e-05	2.9596261624320857e-06	-0.0001459030327313	0.0004470368220174	2.12876949601908e-08	1.9984192023950598e-07	-0.0002085680174499	-6.08269128297e-05	4.35006179029818e-08	3.699913324391922e-09	0.0009339845269513	0.0001190279021265	8.723270965844437e-07	1.4167641484659456e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
