global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
956391.071338567	n/a	n/a	914683881336.1318	1403113.1451271186	n/a	n/a	1968726498028.5144	956852.142714466	n/a	n/a	915566023017.2648	1006468.8998006406	1081628.009217626	n/a	n/a	n/a	n/a	-0.0876964612	0.0682047794	-0.0516600614	0.0892137444	-0.0325028534	0.0359971113	0.055216799	-0.289911664	0.0641122202	-0.1481323312	0.2551600921	-0.0824413403	0.3453228049	-0.0855800898	0.0658500829	-0.1160698375	0.0452652427	-0.001566839	0.0495449008	0.0282258722	-0.1482711056	0.1295033242	-0.0745989147	0.1570464547	-0.0377431367	0.098183019	-0.0559195879	0.053969179	-0.0299639378	-0.0328354939	0.1168898668	-0.0490190677	0.0321524701	-0.1756869452	0.0175486005	-0.036888423	0.0723562736	-0.1481092132	0.0366572483	-0.0684773454	0.0159120873	-0.044275593	0.1072640786	-0.0012171122	-0.0698639577	0.0481564555	-0.0224705586	-0.139909738	0.0821706017	-0.0077056292	0.0052436554	-0.0778711582	0.1851029673	-0.0314436979	-0.0389477987	0.0984340373	-0.0854478534	0.2787775699	-0.1025338616	0.103176375	-0.0802358948	0.1914461203	-0.0730750123	0.09265273	-0.0124177081	0.1003913452	-0.1183660425	0.0896315876	-0.2133761495	0.0492709954	-0.3610940268	0.0268173704	-0.014328329	0.1566815146	-0.0833673301	0.1491018737	-0.0080767259	-0.003705384	0.0140354721	-0.0744435421	0.0010033943	-0.0486986217	0.0181439027	-0.066125869	-0.0289069039	0.0305963894	-0.0327424815	0.0442610035	-0.075051768	0.1843281875	-0.0288335881	0.0170176962	-0.0057159451	0.0284508494	-0.0782169134	0.0251156316	0.0241092123	-0.0713506146	0.042994886	0.0863586734	0.1154637225	0.1154447293	0.1154130763	-0.0178244670827041	n/a	0.0003177116267824	n/a	0.0614244782342865	n/a	0.0037729665263543	n/a	0.030138442816181	n/a	0.0009083257353842	n/a	-0.0007659999193109	n/a	5.867558763843054e-07	n/a	1.2358558620917393e-11	n/a	1.527339711866516e-22	n/a	3.258511960691629e-11	n/a	n/a	1.0617900197970405e-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
947784.1754436943	-8606.895894872607	74078656.94517493	898294843221.4836	1353381.081700212	-49732.06342690648	2473278132.697849	1831640352304.036	951762.9960050464	-5089.146709419554	25899414.22999588	905852800564.502	996526.466888461	1085327.2727724072	1.412841	28.377811	0.196246352636927	0.1032508555731997	-0.013396794	-0.1049625336	0.1858049704	-0.0173851097	0.0046736852	-0.0183230461	0.033878706	0.0998513237	0.0903786766	0.0766167244	-0.0478033631	0.023904541	0.0755320039	0.1373298168	0.1382918278	-0.0399588812	0.0622603714	-0.1230222748	-0.0519528005	0.0718758475	0.0864839928	0.0223153207	-0.0025107079	-0.140169938	-0.0623458472	0.0925114436	-0.0174018581	0.0304992342	-0.1125930473	-0.0213515654	0.0699002703	0.0186718854	0.1034058187	-0.0144522552	-0.1237915756	-0.066904536	-0.0457484313	0.0449922994	-0.1174241667	0.0266428242	0.1087208867	0.0771389413	-0.1465280426	-0.0358123843	0.1525212906	0.043166625	0.1610526561	0.1453169968	0.0561157764	-0.1582880974	-0.0583460351	-0.04652036	-0.0598275384	-0.0133308014	0.0187875616	-0.0402475258	0.0061718383	0.0629650254	0.058900503	0.0730824067	-0.0566468111	0.0529922688	0.0389136837	0.1875818933	-0.05084486	-0.0255313223	-0.0903158645	0.1118272887	-0.1065510741	0.0327524862	-0.0723131366	-0.0432814845	0.0544922113	-0.1303618163	0.1094441371	0.1145405583	-0.1254594137	-0.0313420252	-0.0014270983	-0.0048755563	-0.0846760805	0.0895326717	-0.0522610797	0.0399980653	0.0014476228	0.1055495422	-0.1135112127	0.0042277851	0.0665545028	-0.0153625586	-0.1566756602	-0.0133382514	-0.0784358229	0.0089926129	-0.052362804	-0.0294520133	-0.0767880623	-0.0120079714	-0.1085415633	0.0651855448	0.1154130763	0.1152422001	0.1149575937	0.0095559094294799	0.027380376512184	9.131540502442286e-05	0.0007496850179489	0.1434701766866197	0.0820456984523332	0.0205836915984898	0.0067314966345311	0.059289162666289	0.029150719850108	0.0035152048096696	0.0008497644677794	-0.0016419895683365	-0.0008759896490256	2.696129742525885e-06	7.673578651999938e-07	-0.0001990646919181	-0.0001990647042766	3.962675156844807e-08	3.962675648875355e-08	7.83368357288966e-05	7.833680314377699e-05	6.136654726786869e-09	6.13665983201613e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
947674.4550579764	-109.72038571792656	12038.56304209058	898086872769.4326	1350267.0483315678	-3114.0333686443046	9697203.821030196	1823221101810.0444	954264.125578217	2501.1295731705613	6255649.141788354	910620021365.5592	999886.6817300812	1073596.2106798936	1.42192	28.560177	0.2659468266726336	0.1562981313262009	0.1142178326	0.0481755827	-0.0787797145	-0.1407682313	0.0117950089	-0.031367718	-0.073469713	0.126274099	-0.0191162409	-0.0306201168	0.109569607	0.0604305449	-0.0550953677	0.0760550604	-0.072513168	0.0458185062	-0.028828353	-0.0234799963	0.0387596328	0.014718336	0.1114875987	0.0676005588	-0.1434454811	0.0230939857	0.0218347967	-0.0078317001	0.0954114283	-0.0471548063	0.0443098779	-0.1286295102	0.1213879378	0.0044310775	0.0802051444	-0.0801547466	0.0394222741	0.0582300469	-0.2162705007	-0.0562098791	-0.0632447858	-0.0642162118	0.0339030844	0.0432219468	-0.0305333147	-0.0397690003	-0.0592976372	0.0124016981	-0.1800636114	0.0605006518	-0.0889720582	0.0909914165	0.0431112814	-0.0777045217	-0.010591562	-0.0978544654	-0.0732027188	-0.0252493193	0.0092519364	0.092467437	0.0016054443	-0.07339229	-0.0652919226	-0.097890973	-0.0035261494	0.036586064	0.0689625638	-0.0866560631	0.1119841912	0.0797073443	-0.0857523627	-0.0766134486	-0.0392674468	0.0221447304	-0.1975901252	-0.0719660129	0.0968771902	-0.1127073906	0.043193828	0.0339123563	0.0616319973	0.0217338972	0.0700165286	-0.0679782306	0.0793338758	0.0843332692	-0.1389475929	0.00806715	0.1146759213	0.0752486113	0.0071850269	-0.0162970451	-0.0783748935	0.0243340065	-0.0188255047	-0.0148683513	0.0645586174	0.0064957851	0.0791068607	-0.0707914039	0.0562045418	0.0851238863	0.1153118061	0.1148374968	0.1140484259	0.0028540433170576	-0.0067018661124223	8.145563255641148e-06	4.491500938883439e-05	-0.0009395674281336	-0.1444097441147533	8.827869520095875e-07	0.0208541741952885	0.0219529306048258	-0.0373362320614632	0.0004819311621402	0.0013939942245474	-0.0010839386789063	0.0005580508894301	1.174923059629135e-06	3.114207951938372e-07	0.0003327071073058	0.0005317717992239	1.1069401925179313e-07	2.827812464498239e-07	-0.0003818201632969	-0.0004601569990257	2.1174446375242694e-07	1.4578663710007137e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
945047.8322361422	-2626.622821834171	6899147.448180105	893115405214.2317	1350678.904462394	411.85613082628697	169625.47249919962	1824333502959.733	951685.0536164844	-2579.0719617325813	6651612.183795145	905704441277.0107	996830.7508391836	1057880.5610433528	1.334627	26.806843	0.2074480008420441	0.1242029099857174	-0.0750464954	0.0805476033	0.0258066976	-0.0302438985	0.0665571322	0.1972614738	-0.0118554216	0.0037833554	0.1312514774	-0.1197723134	-0.1434597701	0.0819109166	-0.1267651734	0.093339934	0.0035549598	-0.1320196679	0.1525719819	0.0443184956	0.0933838157	-0.065035682	-0.1661736534	-0.1078919822	0.0555516144	-0.0205842804	-0.0873013696	0.1236900125	-0.0238918475	0.001193102	0.0122001834	-0.1344973267	-0.0565561887	0.0623682501	0.0667444777	-0.0539627198	0.0790721174	-0.0920670075	-0.0310302228	0.0364500041	-0.045468742	0.139131307	-0.0470078748	0.0157193346	0.0555060947	-0.025653861	0.0450606469	-0.1329989669	-0.0054767214	0.0040652281	-0.0399076331	-0.1910861963	0.0420977945	0.0504474881	0.1534006763	-0.0735157688	0.0763776586	0.0437381684	-0.0183327582	-0.0580391029	-0.0409095536	0.0997836279	0.0023456676	0.1199812034	0.0666821162	0.0201519716	0.0329372624	-0.1026385999	0.0949613546	0.0128927985	-0.0347314315	0.0715057099	0.0860955634	0.0265654226	-0.0229839819	-0.0131942398	-0.0867491106	-0.0103055042	-0.0980668885	-0.047997817	-0.0058876709	-0.0908035313	0.0283233502	-0.0136367793	0.0298523483	-0.0672065142	-0.0233279327	0.1123951539	-0.0265315151	0.0183557006	0.0769535739	0.2217722522	-0.1043963908	-0.0658061639	0.0446639278	-0.0651658257	-0.0599818773	-0.001339913	-0.0473106539	-0.0148658062	-0.0467951347	-0.0916748139	0.1151599564	0.1142313295	0.112689161	0.0064463352195929	0.0035922919025353	4.1555237763363845e-05	1.2904561113020689e-05	0.1107946566282009	0.1117342240563345	0.0122754559373609	0.0124845368254711	0.0651592067751352	0.0432062761703094	0.0042457222275648	0.001866782300505	-0.0014829220747599	-0.0003989833958535	2.199057879810206e-06	1.591877501668703e-07	0.0007421577280004	0.0004094506206946	5.507980932307157e-07	1.676498107871932e-07	-0.0002119500055878	0.000169870157709	2.88558704801145e-08	4.492280486866845e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948547.443844578	3499.611608435749	12247281.409898251	899742253224.0829	1361584.4373675848	10905.532905190716	118930647.9461975	1853912180081.6023	955065.4163162322	3380.362699747784	11426851.981846128	912149949443.298	999537.8210260188	1059962.531629384	1.342473	26.964422	0.1804526953068194	0.0965447153035486	0.0345217011	-0.1407886046	-0.0866212395	-0.0482047171	-0.056203778	0.0931407714	0.1149531604	0.0765670937	-0.0681903389	0.0460920285	0.071693232	0.0161502627	-0.0529261872	0.0056956336	0.1096826097	-0.0027824234	-0.0553401797	-0.0249995334	0.0067060171	-0.0662555257	0.0127939595	0.221659834	-0.0557086091	-0.0119944889	0.0030402243	-0.1348755058	-0.0883995388	-0.0275088567	0.1581697899	-0.1694449601	0.0644628759	-0.0835380916	-0.103326392	-0.1164497977	0.2156501074	0.0861532464	-0.0088884766	-0.0975086904	-0.092902452	-0.0017248747	0.1444588782	0.2159556118	-0.0440838509	-0.0157935089	-0.0332604852	-0.0379018933	0.1216539444	0.0494526495	0.1013783958	0.0472793758	0.0428582924	-0.0505618401	-0.0095057309	0.0159278026	0.0471876433	-0.1064307334	-0.070865181	0.1718861212	0.0864723524	0.0622256309	0.0104981441	-0.0052733856	0.0369482002	-0.0235009788	0.1389593084	0.0367698444	0.1575300106	-0.0130114589	-0.1349872122	-0.2142939892	0.1799793284	0.1446251241	-0.1275279245	-0.0288116179	-0.118403834	-0.0162865212	0.0382751288	0.0368561442	0.0223485938	0.0139425272	-0.0502381665	-0.0166006053	-0.0234218669	0.1064923537	-0.1112866031	0.0622750444	-0.004286372	-0.0415818223	-0.012850054	0.0292242842	-0.0432404606	-0.0510007561	0.0520933422	0.0428824723	0.0446183854	-0.0038537668	0.0146271773	0.041761826	-0.0418688859	0.1238320691	0.1149575937	0.1134247617	0.1108851636	-0.009836729614193	-0.0162830648337859	9.676124950274156e-05	0.0002651382003812	0.0388991114737677	-0.0718955451544332	0.0015131408734486	0.0051689694130531	0.0102909882845949	-0.0548682184905403	0.0001059044398736	0.0030105214003256	-0.0012509799920501	0.0002319420827097	1.5649509405096682e-06	5.3797129731759664e-08	0.0002731031453044	-0.000469054582696	7.458532797515622e-08	2.200122015481187e-07	-0.0001648293344324	4.71206711554e-05	2.220357650135345e-09	2.7168709489427965e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
948523.1512055282	-24.292639049817808	590.1323120047331	899696168372.8652	1353524.401615466	-8060.035752118798	64964176.32543324	1832028305768.5051	957134.9094301936	2069.49311396142	4282801.748733735	916107234849.945	1002014.3445423256	1085218.8975756897	1.488733	29.902155	0.2493140666820756	0.1379142115350751	0.0212127069	0.1004938178	0.0931959987	-0.1021158595	-0.0495872155	-0.1235979739	-0.085089978	0.0849964397	0.0181969995	-0.0279282041	-0.1557585263	0.0170293251	0.0101028494	0.0325786698	-0.1599694944	-0.0915351437	0.000986419	-0.0999131681	-0.0598560689	0.0223083244	-0.1084962428	0.0105791678	-0.0636490091	0.0172499562	0.1207864187	-0.0805242455	-0.0077668102	-0.0201326311	0.0533365047	0.0764561741	-0.0761182793	0.0545935226	-0.0282565768	0.0705307758	0.0077503377	-0.0400398142	0.0303501939	0.0925499435	0.1760173791	0.0033195499	0.0330702085	-0.0006157745	0.0266001099	-0.07459187	-0.0149322474	0.0147544756	0.0056322377	-0.0053644209	-0.1643517587	-0.076633979	-0.023373932	-0.0167296356	-0.0810695233	0.1047522788	-0.0117491577	0.0589439556	-0.0273591369	0.1081284903	-0.0215473558	-0.0563576493	0.0727794985	-0.0779199919	-0.033395459	-0.0843829034	0.0072235436	-0.0140341336	0.060439533	-0.048578729	0.1158596277	0.0254446287	0.0356062923	-0.105047161	-0.0099940578	0.1188737597	0.0307121585	-0.0816536634	-0.1441728691	-0.0317030119	0.0381100758	0.0053151289	0.0691839019	0.0666677783	0.077371507	-0.0042341945	-0.0884510535	-0.0078057326	-0.1064663938	0.0682874097	-0.048159285	-0.0356351158	-0.0520939536	0.0098362708	-0.0659579105	0.0459525856	0.0026200151	-0.0074735359	0.0490950427	-0.0528477728	-0.0950958286	-0.0154177684	0.1147048067	0.1124192083	0.108643553	0.0012405219649451	0.011077251579138	1.538894745511252e-06	0.0001227055025475	0.1577090224688078	0.1188099109950401	0.0248721357680669	0.0141157949506493	0.0669833346569674	0.0566923463723725	0.0044867671217672	0.003214022137205	-0.000902002245951	0.0003489777460991	8.136080517006482e-07	1.2178546727240794e-07	-0.0004769960084742	-0.0007500991537786	2.275251921003191e-07	5.626487404993719e-07	-9.215079599602596e-06	0.0001556142548327	2.421579630716681e-08	8.491769202701192e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
949620.5242175392	1097.3730120110558	1204227.527490217	901779140015.194	1364962.3054819915	11437.903866525508	130825644.85987914	1863122095386.7131	957542.5239697224	407.6145395288477	166149.61283531453	916887685210.3064	1003264.5270540826	1066903.7671893735	1.330327	26.720474	0.239738342093917	0.1279068229171204	-0.1331775526	-0.0308323979	-0.1289283015	-0.0527045115	-0.0261714664	-0.0554851071	0.1978368357	0.0272926048	0.0537318709	0.0334298953	-0.0149968036	-0.0457345263	-0.0364881864	-0.0580894329	0.0777528199	-0.0402213242	-0.0338735708	0.005156677	-0.1008363151	0.1098929686	0.0284589727	-0.0289532751	-0.0660851005	0.027234988	0.0850212258	-0.0199785185	0.0804179189	-0.0669942816	-0.1292974026	0.0574915514	0.0176921838	0.1760904934	0.003053356	-0.1014570767	-0.0252982122	-0.043438921	-0.1671357931	0.1104125397	0.1454470208	-0.1164797843	0.0254207018	0.0278259451	0.0894500189	0.090180262	-0.0025757637	-0.0331910568	0.0884433464	-0.0472829699	0.121945454	-0.0198652404	0.0590400613	-0.046715548	-0.0827508396	0.0332583222	-0.1272342894	0.0486296639	-0.0380582316	-0.0192094178	0.0820787611	-0.0531182921	0.036711884	-0.0536138593	-0.0640006808	-0.0276294192	-0.0011261815	0.0322860695	0.017875929	0.1005668992	-0.0206651246	0.2231032014	0.1319533878	0.021330644	-0.1881092398	0.0478057215	0.0808462231	0.0214735215	-0.0125545315	0.0046545761	-0.0279482723	-0.132419042	-0.0562269724	-0.0934370225	0.024218636	0.1176455471	-0.021220693	-0.0453893672	0.0470285299	-0.0012978085	0.011611667	-0.0892346389	-0.019521435	0.0279443695	0.01530705	0.0699030408	-0.0084457639	0.0459252561	0.1066808126	0.0846789412	0.0046138142	-0.1433610141	0.1144017065	0.1112164334	0.105973176	0.0114395206492901	0.010198998684345	0.0001308626326855	0.0001040195741632	0.0586470843732058	-0.099061938095602	0.0034394805054779	0.0098132675792568	0.0493878470895623	-0.0175954875674051	0.0024391594401419	0.0003096011827347	-0.0016154173504879	-0.0007134151045369	2.609573216257347e-06	5.08961111381396e-07	0.0008841561373909	0.0013611521458651	7.81732075285996e-07	1.8527351641931664e-06	-0.0001922861841289	-0.0001830711045292	3.3515029313576936e-08	3.697397660685323e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
947920.7839665376	-1699.740251001669	2889116.920875217	898553812675.7352	1349449.7711864407	-15512.53429555078	240638720.27063915	1821014684955.1367	951940.679037006	-5601.844932716456	31380666.65020104	906191056405.436	995257.1804031488	1062654.8568504571	1.264406	25.396402	0.1520715805540938	0.0770871800340368	0.0902183151	-0.0945990252	-0.0619959582	-0.0280937772	-0.0111704886	0.0581149702	-0.0176941304	0.1159234293	-0.1206494685	-0.0678842617	-0.0644009162	-0.0323412348	-0.0500589321	0.1397650099	0.0656614982	0.0319112467	-0.0083227218	0.1269337031	-0.0573573554	-0.0503488551	-0.0274832585	-0.0092876568	0.0178135555	-0.0147742193	-0.0746526928	-0.0194724288	-0.0710662527	0.1666065809	0.0922879541	0.1803914836	0.0236046312	-0.0323059852	-0.0412266786	0.0215854228	0.0124625279	0.0405670071	0.1818122409	-0.1756886203	-0.0090702052	-0.0159525376	-0.0962276316	-0.0779523294	0.1358788218	0.0242186721	0.0926174176	0.0188739864	0.0026829907	0.1701191832	0.0205385387	0.0341885492	0.0954498168	0.0542194551	0.074496613	0.0834613212	0.0241801182	-0.0037380757	0.0547307594	0.0151437373	-0.0969202421	0.0069162904	0.021514716	0.032424244	0.1450341344	0.0280199445	-0.0892399877	0.1677022938	-0.0101702725	-0.0591355463	0.0777224895	0.0424070903	-0.0181831627	-0.0087546098	0.0259107437	0.1169903593	-0.0987903957	0.014412287	-0.061418777	0.0051753982	0.0746113131	0.067957525	-0.0583878583	0.0152680834	-0.0071394056	-0.0328519351	-0.0810923521	0.0589426949	0.0576497961	-0.0723296389	-0.0146587279	0.0665983577	-0.0257246119	-0.105218123	0.0572742588	0.0256289285	-0.1059385792	0.0180296274	-0.0187554598	-0.0523289345	0.143933645	-0.0267545112	0.1140484259	0.1098185471	0.1028845713	0.0047218774427193	-0.0067176432065708	2.2296126584061356e-05	4.512673025078683e-05	0.1042467429170983	0.0455996585438925	0.0108673834088235	0.0020793288593195	0.0460857864294581	-0.0033020606601042	0.0021238997108216	1.0903604603007805e-05	-0.0009009973078937	0.0007144200425942	8.117961488316948e-07	5.103959972602986e-07	1.1240610306773036e-05	-0.0008729155270841	1.263513200687322e-10	7.619815174245591e-07	-0.0005339949773211	-0.0003417087931922	1.1676489934486973e-07	2.8515063580416213e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
951699.6333416296	3778.849375092075	14279702.599633768	905732192102.5924	1364655.1751853814	15205.403998940716	231204310.77100235	1862283747160.244	958829.2091568544	6888.530119848438	47451847.21205913	919353452332.3588	1005573.626401479	1076209.8884330036	1.225312	24.611177	0.1437653717496694	0.0769136992581312	-0.0127058276	0.1286772973	-0.0232898114	-0.0017004466	0.0059287569	0.0440187334	-0.0296202842	-0.0496507626	-0.0339560759	-0.0315773241	-0.0561979042	-0.1402876342	-0.1969936308	-0.0456096217	-0.1096439368	-0.0017235655	-0.0347180649	0.015519725	-0.1217923603	0.003454218	-0.024972504	0.1449126712	0.0704190584	-0.0336566943	-0.0130400561	0.0485258158	0.0001353322	-0.1315260497	-0.0639030198	0.0942834337	-0.0431280556	-0.0852173045	0.0449092652	0.0746578802	-0.0090561441	-0.0844464871	0.0336496035	-0.0687465951	-0.0068695385	0.02217681	0.1507418604	-0.0239119343	-0.1195253114	0.0153856	0.0541671035	-0.0060635195	-0.1145364185	-0.1037706974	-0.0662096935	0.0347150255	0.0411044979	0.0553624863	0.0212987966	0.1279017674	0.0060593286	-0.0937341365	-0.1718036335	-0.0411211977	0.0885470511	-0.0560860999	-0.1133775411	-0.0311865019	0.0541630001	0.0789878261	-0.1454877297	-0.1054508811	0.0168155652	0.0368045998	0.0572208268	0.0184906179	0.0268460628	0.0174634781	-0.0033974798	0.0840042724	-0.0042407664	0.154039734	0.0267667521	0.032680205	0.0167498906	-0.0599857463	0.0679245667	-0.0378210195	0.0550055958	-0.0257334745	-0.0507709064	-0.0148814193	0.0660459872	-0.0416818744	0.0168294993	0.0194044573	0.0016453722	0.0182024175	0.1364555793	0.0063649589	0.0380536509	-0.0989057183	0.0134125722	0.0516441676	-0.1393836201	-0.0217772714	0.1136451198	0.1082280018	0.0993899282	-0.005527271455648	-0.0102491488983673	3.055072974442116e-05	0.0001050450531409	0.0428685152852352	-0.0613782276318631	0.0018377096027604	0.0037672868272288	0.0123932390063004	-0.0336925474231577	0.0001535923730672	0.0011351877518617	-0.0007018441604379	0.0001991531474557	4.925852255407807e-07	3.96619761415516e-08	0.0005701913911135	0.0005589507808067	3.251182224999484e-07	3.124259753644498e-07	-0.0005448000049842	-1.0805027663100017e-05	1.1674862280035662e-10	2.968070454307844e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
949544.8611793276	-2154.772162302048	4643043.071431844	901635443392.0684	1370704.8879766949	6049.712791313417	36599024.85738118	1878831889923.204	955017.0517767032	-3812.157380151213	14532543.89104136	912057569184.2662	1001188.3800478803	1084913.7542879758	1.233444	24.774504	0.1519265292464529	0.0852496531026197	-0.1248704406	0.0295788556	0.0793337702	0.0815690402	0.0496552871	-0.1347423375	-0.0241385862	-0.1284758799	0.0627458171	0.0235763128	-0.1334815979	0.0291787912	-0.0719794329	-0.0023128521	0.0646280521	-0.1464123257	0.064657304	-0.0055332069	0.0049918513	-0.0518600721	-0.1516664808	0.0967082758	-0.0633310125	0.1138097196	-0.0775552579	0.0870340707	-0.0677240157	0.1204660438	-0.0171737536	-0.0010495707	0.0195499719	-0.0308037992	-0.0175444817	0.1155530323	0.0241759518	-0.0312753735	-0.0805981189	0.1351711483	0.0106085262	0.0070685054	0.025443999	0.1070778732	0.0143155895	0.1629192255	-0.0731512706	0.0567959135	0.053548921	-0.0173073078	0.0279668608	-0.1286399551	-0.0559326683	-0.0274796793	0.1252165821	0.0492193106	0.0252625667	0.0643407317	-0.0258896335	0.0975156608	-0.0995619031	-0.0202240951	-0.1509061634	0.0330817498	0.0780610288	-0.0539269334	-0.0367346732	0.0185865882	-0.0235709779	-0.0306223238	0.026703224	-0.0738409061	0.2083420647	-0.0998505911	-0.0084836623	-0.0805754604	-0.086653614	-0.0214796597	-0.0538230228	-0.0226399255	-0.0018816783	-0.0789438345	-0.0661957309	-0.0155102631	0.008107244	-0.0634150131	0.0178925551	-0.0292304749	-0.1027951022	0.063151458	-0.158290182	0.1216172311	-0.0408260332	0.049497006	-0.0449334708	-0.0096253814	-0.0845043064	0.0444703428	0.03639523	0.1091588371	-0.0441910948	0.0146325876	0.1131919653	0.1064475877	0.0955030384	0.0140902940808729	0.0196175655365209	0.0001985363872854	0.0003848488775796	0.1190685066387686	0.0761999913535333	0.0141773092731864	0.0058064386822785	0.030591759727983	0.0181985207216826	0.0009358557632546	0.0003311861564575	-0.0009739758885143	-0.0002721317280763	9.4862903140722e-07	7.405567742584768e-08	9.226894553537868e-05	-0.0004779224455781	8.513558310210677e-09	2.284098639873724e-07	-0.000552954864024	-8.154859039799923e-06	6.650172595900652e-11	3.057590816478003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
