global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
998395.2886257824	n/a	n/a	996793152350.1592	1471044.3552839116	n/a	n/a	2163971495212.6592	1021934.6061876386	n/a	n/a	1044350339323.884	1064490.998269087	1017957.0220413056	n/a	n/a	n/a	n/a	0.1008529352	-0.0451534886	0.0589937281	-0.0593970492	0.0034652519	-0.3654637234	-0.2527788495	0.4043299475	-0.4045301568	0.0165744829	-0.0709173534	0.1205730205	0.0227674909	-0.0215320841	0.1642897241	-0.155502836	0.0210620509	-0.0890384911	0.0359058871	-0.0018478108	0.0752779936	-0.1364823225	0.0133245128	-0.1573126605	0.1047853823	-0.1120694083	0.0703276176	-0.265445389	0.1295716768	-0.0194930947	0.1505384781	-0.0809278832	0.0478647951	-0.0024917179	0.0213968758	-0.0866636146	0.0626866737	-0.129079116	0.0388725712	-0.0604782797	0.0757877265	-0.1201079971	0.0361006053	-0.0283836743	0.2321032031	-0.0210665373	-0.0054783254	0.0976103902	-0.0393508089	0.1779300936	-0.0063593618	0.1838794637	-0.2220388448	0.2939484416	-0.2104216084	0.3465795878	0.2212063314	-0.0368731465	0.1798412367	-0.216565632	0.2270202228	-0.1534845868	0.0058882424	-0.1344188719	0.1338265856	-0.0018704281	-0.1058209477	0.0493773509	-0.0983816897	0.0778269467	-0.032590824	0.0869782599	-0.0008758753	0.1955907783	-0.0984332383	0.1028769725	-0.1158511258	0.0310399413	0.0872547604	-0.0447427436	0.0833632577	-0.0899556917	0.0187256356	-0.0500776985	0.033513438	-0.042795058	0.0855275498	-0.1613286472	0.1199505476	-0.0969287427	0.0415842034	-0.0222268969	0.2781112614	-0.1355481436	0.006982532	-0.0582620304	0.0867008429	-0.0223366175	-0.0049839073	0.0914398386	-0.0234912046	-0.0837445857	0.1154637225	0.1154447293	0.1154130763	-5.8643359949428486e-05	n/a	n/a	3.439043666158233e-09	-0.0370012304408646	n/a	0.0013690910541379	n/a	0.0095100831743906	n/a	9.04416819838272e-05	n/a	-0.0003088905107819	n/a	9.541334765110309e-08	n/a	-0.0003331011516733	n/a	n/a	1.109563772460788e-07	0.0006549485324838	n/a	4.289575802026833e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0
992128.5077895088	-6266.780836273567	39272542.04988562	984318975968.6376	1420757.2025581624	-50287.15272574918	2528797729.262824	2018551028620.8955	1017955.9018847006	-3978.704302937957	15830087.93021701	1036234218181.8944	1055188.4008906016	1010630.880586711	1.40222	26.062204	0.0795922693195576	0.0451345010646976	-0.1461034671	0.0289435626	-0.0622172378	0.0181571551	0.0001119464	0.0639460119	-0.0884453372	0.1226767041	-0.0525332726	-0.069353517	-0.0367845743	0.0104817535	-0.0732096063	0.1742918925	0.0112812815	-0.0023455474	-0.0300753381	-0.0850172716	-0.0147809974	-0.0709586029	0.0647320709	-0.0077552721	0.0252035944	0.0603373774	-0.0064085954	-0.2159434883	0.1341345086	-0.0052830078	0.0675988633	-0.1080444713	0.0520658803	-0.1229567371	-0.0853089617	-0.0693625442	-0.1025163573	-0.088100695	0.0095139034	0.0650005341	0.0391300967	-0.0808482549	0.0031763969	0.049287613	-0.1087625673	-0.0623404387	-0.1138049461	0.0157196242	0.0551907112	-0.0186271628	0.1109530573	-0.070862937	-0.0271193224	0.0455705147	0.0590747938	0.1531403065	-0.0322555708	0.0277593399	0.1343884444	-0.0028285767	0.0245585024	-0.0794394991	0.079511822	0.0944752796	0.0041651208	-0.0842908187	-0.1511250444	-0.0457978979	-0.1326157951	0.1462331933	0.0114355182	0.1056944562	-0.0523494899	0.0192182389	0.1017473068	-0.0387589669	0.0921764509	-0.0701548263	-0.0651363487	-0.0283772835	0.1205468729	0.0428612093	0.0912280313	-0.0859719758	-0.0023458403	-0.0757929754	0.052522753	0.0196406748	-0.0176097862	-0.1478877467	0.0611437532	0.1798243317	-0.0370416603	-0.0744311692	0.2023514763	0.1462642438	0.1276600181	-0.0230420334	0.0450478654	-0.1220331391	0.0969780029	0.0443683341	-0.0327112829	0.0919602827	0.1154130763	0.1152422001	0.1149575937	0.0112204214219104	0.0112790647818598	0.0001272173023533	0.0001258978568852	-0.0642107200325057	-0.0272094895916411	0.0041230165670928	0.0007403563238376	0.0068280432015939	-0.0026820399727966	4.662217396283268e-05	7.193338415679322e-06	0.0003731372576964	0.0006820277684783	1.392314130811896e-07	4.651618769754896e-07	-0.0004193773585488	-8.62762068755e-05	7.443583872824073e-09	1.7587736886336876e-07	0.0006550780565952	1.2952411139997586e-07	4.291272602325441e-07	1.6776495433953348e-14	0.0	0.0	0.0	0.0	0.0	0.0
991078.5991841294	-1049.9086053794017	1102308.0796497203	982236789760.7762	1407643.186415615	-13114.016142547363	171977419.38699284	1981459340262.306	1016788.9470967297	-1166.9547879709862	1361783.4771684094	1033859762938.076	1053320.892835423	996895.0109993812	1.154632	21.460434	0.0659087027481895	0.0456524462816823	0.0785804052	0.0339656437	-0.0132828125	-0.1054070949	-0.0228484859	-0.0500814192	0.1487554063	-0.0254577191	0.0392419465	0.0180141357	0.0135406803	-0.0256001905	0.0983040313	0.0857690949	0.0572468514	-0.0947448105	0.0025536937	0.0161494261	-0.0202713626	-0.0294755734	0.0120126086	0.1044126176	0.0128026622	-0.016829341	0.1294522289	-0.114401101	0.1167390458	0.0351052917	-0.0373481489	0.0171935414	0.1297835349	0.0430709019	-0.1134263103	0.0369240338	0.1106146223	-0.0253364968	-0.0103186582	0.0089651462	0.0018656981	-0.0720628706	0.0626318412	0.1402112521	-0.0620425543	-0.0184848174	-0.1224424357	0.0661361549	0.0160718395	0.0805489176	-0.1044447278	-0.0626787386	-0.0748806162	0.1267363905	-0.0214440644	0.0168563986	0.0327651306	-0.0697842509	0.0546128634	0.135890175	0.0588289678	0.0020358692	0.0334520226	-0.033356672	-0.0896712834	0.0040701222	-0.0324100134	0.0069629797	0.0247880248	0.1351420214	-0.013726402	0.062970379	-0.1366350977	-0.130304256	-0.0588649825	-0.0491934034	-0.0098003394	0.0833890336	-0.1043833773	-0.0314320864	0.0593460253	-0.037174628	0.1536389266	-0.1192664171	0.0651170241	0.0164732791	0.079213507	-0.0068851951	0.0400676584	-0.0457246887	0.1194831856	0.0735044155	-0.0241686594	0.0887359682	0.2262010604	-0.0594610815	0.0521877942	0.0266838619	0.1399882394	-0.0209690703	0.1044385885	-0.0634525863	-0.0110810257	-0.0070745602	0.1153118061	0.1148374968	0.1140484259	0.0117579285112583	0.0005375070893479	2.889138710992516e-07	0.0001382488828758	-0.0267114693034073	0.0374992507290984	0.0007135025923468	0.0014061938052437	0.0069100860315671	8.20428299731996e-05	4.774928896365875e-05	6.731025950011338e-09	-0.0001818623438008	-0.0005549996014972	3.307391209272038e-08	3.080245576620508e-07	-0.0004200595250787	-6.82166529900009e-07	4.653511745158198e-13	1.76450004609343e-07	0.0006549617826269	-1.1627396829996113e-07	4.289749367018067e-07	1.3519635704220363e-14	0.0	0.0	0.0	0.0	0.0	0.0
992970.7439156604	1892.144731531036	3580211.6850606566	985990898272.42	1415668.7565247929	8025.5701091778465	64409775.57732891	2004118028200.4531	1020947.2152161862	4158.268119456596	17291193.753289092	1042333216257.6855	1056835.64166808	1005331.3913269648	1.167273	21.695402	0.0764078371311969	0.0484350839887664	-0.1608195244	-0.0442996261	0.0426137409	0.0570483605	-0.003213742	0.1357404783	-0.0714514538	0.0086997677	-0.0137749076	0.0033511348	-0.0469809106	-0.0162260637	-0.1133032557	0.0802786116	0.0538212807	-0.0236784458	0.053866497	-0.0658534849	0.0503678734	-0.0239698631	-0.0218436969	0.0324218937	-0.0304233607	-0.0133487659	0.0389313398	-0.1398219557	0.144322412	0.0140107854	0.0920299666	-0.0152501706	0.0718594929	0.0128168262	-0.1236818277	0.175167396	-0.119696181	0.1139861112	0.0524889315	-0.0048254824	0.077906829	0.0341361564	-0.038083651	-0.0156622051	0.0234557454	-0.0191708073	0.0896473187	0.0197211593	0.0667846433	-0.0558466521	0.1427879766	-0.0193369841	-0.0358599245	0.0209929667	0.0023292639	0.0251631104	-0.0289109401	-0.1095197771	0.0876977024	-0.0248461131	0.0037981641	-0.0890461198	-0.0500868638	0.0433261038	0.0392189817	0.0227552444	-0.1390296375	-0.0191800219	-0.0699409344	0.1598647357	-0.1142556366	0.1682316492	-0.0076197781	-0.0489246312	0.0112596116	-0.005403264	-0.0554236329	0.0728280571	0.0558834829	0.0436207295	0.1230379373	0.0435920587	0.0581166175	-0.0718455443	-0.0392564337	-0.0694258392	0.0372983965	0.0434795267	-0.0556929872	-0.0926827012	0.1445389799	0.133082166	0.0012268653	-0.0923569018	0.1671586242	0.097475	0.0646537931	0.1301518434	0.0788606518	-0.00062546	-0.0211144165	-0.0304234495	-0.2007206327	-0.046704859	0.1151599564	0.1142313295	0.112689161	0.0069785035409353	-0.004779424970323	2.2842903046947017e-05	4.869951167084652e-05	-0.0696577871146928	-0.0429463178112854	0.0048522073057158	0.0018443862135479	3.972642018368333e-05	-0.0068703596113834	1.5781884606105623e-09	4.720184118972849e-05	0.0002541375869086	0.0004359999307094	6.458591307972623e-08	1.9009593957860162e-07	-0.0004199163736526	1.431514260999867e-07	2.0492330794459943e-14	1.7632976086155e-07	0.0006550533952555	9.161262859999977e-08	4.290949506357584e-07	8.392873719001496e-15	0.0	0.0	0.0	0.0	0.0	0.0
993106.7402457496	135.99633008916862	18495.00179772211	986260997521.5388	1404015.838870268	-11652.91765452479	135790489.86313555	1971260475798.5825	1017970.275914634	-2976.939301552251	8862167.605126403	1036263482645.716	1053166.9541775824	1000454.469049737	1.286949	23.919746	0.1083820412477388	0.0560627550479381	0.0856598142	0.0776993336	0.0252409958	-0.1185962676	-0.0084993467	0.0082174744	0.1546886127	-0.0803877965	0.0557262273	0.0476603755	-0.0181093553	-0.092825714	0.1036614735	0.0557781599	-0.04117853	-0.1085133774	0.0682154427	0.0556392566	-0.0431094868	-0.0470900334	-0.0406695968	-0.1164186959	0.0102922367	0.0489037495	0.1410078232	-0.1512319347	0.0126323932	-0.0137890171	-0.1409675257	0.0790323059	0.0526577092	0.0118277441	-0.1614238717	0.0505458984	0.0908142053	0.0214572155	-0.1093668385	0.0395321561	0.1939885639	-0.2526601431	0.0221500871	-0.0587649697	-0.0439082629	0.0960159489	-0.0560860129	0.0088247592	0.033720252	-0.0111610252	-0.1098616509	-0.1268110475	-0.0268729512	0.0754839463	-0.069336834	0.0407003623	0.1066783428	-0.0425554194	-0.0799223011	-0.0439112118	0.0503783471	0.0687974008	0.0832742436	-0.1319084446	-0.1595087965	-0.0238396799	-0.1061571672	-0.0014768097	0.0142923402	0.0953994742	0.0562106808	0.0952248018	0.0236479973	-0.0772334522	-0.0701650513	-0.0846293203	-0.0011843316	-0.0174468836	-0.1756767231	-0.0469152639	0.0193890785	-0.0182449978	0.1930474719	-0.1436156577	0.0185376125	-0.0213331863	0.1130320223	0.0303184259	-0.0229836169	-0.0042246702	0.0407579714	-0.0849715118	-0.0122587182	0.1878307889	0.2292708182	0.0381145878	0.0573835206	-0.0871121092	0.1529963461	0.154279758	0.0163166937	0.0662854492	-0.0374400745	0.0119740287	0.1149575937	0.1134247617	0.1108851636	0.0001463389895661	-0.0068321645513691	4.667847245698589e-05	2.1415099867227125e-08	-0.0431174154339686	0.0265403716807241	0.0018591115137054	0.0007043913289509	0.0103772316198984	0.0103375051997147	0.000107686936093	0.0001068640137541	-0.0005290297188519	-0.0007831673057605	2.798724434285203e-07	6.133510288121605e-07	9.032673106701417e-05	0.0005102431047196	2.603480259139112e-07	8.158918345252701e-09	0.000655023809417	-2.9585838500021527e-08	4.290561909031584e-07	8.753218397493562e-16	0.0	0.0	0.0	0.0	0.0	0.0
991894.985790755	-1211.7544549945742	1468348.8591991975	983855662836.842	1407106.2023733242	3090.3635030561127	9550346.581021247	1979947864757.4785	1020098.1036931818	2127.8277785477694	4527651.055159535	1040600141158.4254	1055376.815328815	1000862.690443224	1.306608	24.285135	0.0582797290677161	0.03333903352686	-0.024313494	-0.1191949851	-0.0061582981	-0.0024883124	-0.0227453176	0.0402406771	-0.0641395312	-0.0963720807	0.1793773723	-0.0062782462	0.1089184732	-0.0385351014	-0.0844166125	-0.0465349767	0.1354356729	-0.0471170933	0.0007003015	0.1797456031	-0.0300284758	-0.1041693384	-0.0245901534	-0.0768664289	-0.2171205505	0.0472241583	0.0328971519	0.02213492	-0.2617841819	0.2614628753	0.2476366865	0.0242404767	0.0700810787	0.1663255041	-0.0973594824	-0.0508493876	-0.1790183942	-0.1621848813	0.0676157995	0.0382872021	0.1123093301	-0.0829042285	0.0366210239	-0.0485417505	0.0538334364	0.1768972418	0.0060760302	-0.0572628708	-0.030661583	-0.0140802491	0.0835608504	0.0518808502	-0.0564985734	0.0601036199	-0.0075510528	-0.1595655899	0.1691838986	-0.0556566351	-0.1281939644	-0.0215033094	-0.0389160481	-0.0435529068	0.2129547735	0.0681877973	0.1272751152	0.0787812359	0.0123461249	0.3666232653	-0.1273009689	0.0482552428	-0.115030853	-0.1311510458	-0.1048834636	-0.0573715456	0.0590438831	0.0327500362	0.0258758236	0.0410684618	-0.1655391933	-0.1093573627	0.0997204986	0.0604731149	-0.1813720461	-0.1153896947	-0.1237799197	-0.0168465843	-0.018740425	0.0427909411	0.0604037891	0.0422986686	0.370295927	-0.0510693302	-0.1591011384	-0.2072980053	-0.1114291666	0.0369550381	-0.1212265058	-0.1163087947	0.286288791	-0.0587503787	-0.0904653303	-0.1895571414	0.1579971872	-0.0833619807	0.1147048067	0.1124192083	0.108643553	-0.0070730657139108	-0.0072194047034769	5.211980427258439e-05	5.0028258593300496e-05	-0.0619880189060921	-0.0188706034721235	0.003842514487902	0.0003560996754021	0.0107336305160856	0.0003563988961871	0.0001152108240558	1.270201732034545e-07	-0.0003430094250883	0.0001860202937636	1.1765546569940609e-07	3.4603549691896046e-08	9.096491710658404e-05	6.381860395698744e-07	4.072814211018813e-13	8.274616144207706e-09	0.0002050158493016	-0.0004500079601154	4.2031498464856374e-08	2.025071641672235e-07	0.0	0.0	0.0	0.0	0.0	0.0
992684.1574391008	789.1716483457712	622791.8905527816	985421836430.5774	1409516.575438683	2410.3730653587263	5809898.314206823	1986736976436.3923	1018490.0043999446	-1608.0992932372028	2585983.336909991	1037321889062.5992	1055396.6250614007	1007549.7320360844	1.461851	27.170532	0.085266264978861	0.0476489080540098	0.0704785094	0.1701595872	0.0099503415	0.0297579768	0.0088952676	-0.0115469662	0.1197138298	-0.0690868526	0.0394495173	0.0021554633	0.02253457	-0.1099793161	0.0546757458	-0.1112235995	-0.0180726156	-0.0326386643	-0.1052987369	0.2796381507	-0.2086662378	-0.0985357766	0.1798113328	-0.1085445102	-0.1921122241	-0.0351829617	0.0167780943	-0.1512593938	-0.0947301458	-0.0915835037	-0.1333218948	-0.0609764518	-0.1606322647	-0.0982916067	0.0369541211	0.1989387723	-0.1288786038	-0.1538151498	0.2068276236	0.1428313664	-0.1339927535	0.2726959186	-0.0563652653	-0.1686516491	-0.1791230814	-0.1715981611	-0.0307390902	-0.0326392773	-0.0060968152	0.0357850691	-0.0993898182	0.0503405078	0.0581810517	0.0169487372	0.1224181816	-0.168886328	0.3223247975	0.0351179453	0.0832133666	-0.0710003675	-0.004597581	-0.2394273684	0.2003082508	-0.0320043767	-0.0262466096	-0.0040853587	-0.1573646524	0.0778694348	0.0657321478	-0.2282988382	0.1094479665	0.1847113121	0.1653488144	-0.0226864249	0.2214060026	-0.0588269606	-0.0876442781	0.0919546821	0.2266770876	-0.0663830397	-0.2427647861	0.1628165053	-0.0623216708	-0.2170933581	-0.1069198226	-0.1931866611	0.0857724083	0.1510948848	0.1359526347	0.1070348111	0.2514819027	0.1510401261	-0.250828017	-0.1933051341	-0.3101573142	0.0977961874	-0.233788872	-0.1333899255	-0.2288067442	-0.0954334358	0.0655924581	0.1113376402	-0.1061317547	0.1111917791	0.1144017065	0.1112164334	0.105973176	0.0048776900022602	0.011950755716171	0.0001428205621875	2.3791859758149118e-05	-0.0259808163608994	0.0360072025451927	0.0006750028187787	0.0012965186351305	0.000131706157731	-0.0106019243583546	1.7346511984263047e-08	0.0001124008001002	-0.0004220295332912	-7.902010820290005e-05	1.781089269699881e-07	6.244177500398032e-09	9.086073285002882e-05	-1.0418425655521513e-07	1.0854359313962884e-14	8.255672774044308e-09	0.000660019204025	0.0004550033547234	4.356253496817946e-07	2.070280528095482e-07	0.0	0.0	0.0	0.0	0.0	0.0
996477.6142541064	3793.456815005629	14390314.607312651	992967635709.5555	1413200.2001182963	3683.624679613393	13569090.780256871	1997134805614.3928	1021039.8732330932	2549.868833148619	6501831.066262701	1042522422731.851	1056241.71118895	1001822.9676554764	1.66306	30.910294	0.1478069807619627	0.1015671568234507	-0.1027118153	-0.023884756	0.1197858793	-0.1490941255	0.0817990771	0.1596940611	0.0795607842	0.0191104415	-0.0533430922	0.1751226728	0.0987878175	-0.0601942038	0.0787356949	0.0187066553	-0.010119626	-0.06304382	0.1742479571	0.0807489203	0.0616445579	0.0016301768	-0.1694159887	-0.0388022832	-0.0972033467	-0.0467696891	-0.3956914227	0.1010925447	0.0520264818	-0.0181032854	0.0931499524	0.2814330299	-0.0048732928	0.1666176735	0.0452890285	0.0069055618	0.0144015937	0.0546216099	-0.1223915283	0.0494571586	-0.0629350107	0.0886503969	0.2061208086	-0.023577319	-0.0778571363	-0.0700784838	0.137641523	-0.0711218461	-0.0729041843	-0.0336658728	-0.0514983816	-0.1537319821	-0.0064577685	0.0435053472	-0.1325149204	-0.10525792	-0.015015779	-0.095449878	-0.1389997945	-0.1851390472	0.0129619685	0.0208560692	-0.1189534659	-0.0639308774	0.1531970223	-0.1260375024	0.1965125665	-0.1545234688	-0.0378358634	-0.0583747965	-0.2857868383	-0.1577012349	0.1631145309	-0.1793729065	0.1489061407	0.0568046431	-0.0668769174	0.0587842458	0.0942005474	-0.2338371149	0.0175918373	-0.1756343315	-0.1122984762	0.0304552654	-0.1598284972	0.0986815452	-0.0044660267	-0.0180203647	-0.1527348554	0.0764849496	-0.022430831	-0.1299540612	-0.0981276373	0.0987912715	0.0850077736	-0.0539777991	0.1740317654	-0.1284727076	-0.2552307822	0.100204767	-0.0511289704	0.1406119023	0.1118538045	-0.0357636235	0.1140484259	0.1098185471	0.1028845713	-5.361245158042038e-06	-0.0048830512474182	2.384418948491285e-05	2.8742949644629198e-11	0.0711764953885563	0.0971573117494557	0.0050660934957971	0.0094395432263809	-3.852118003067062e-05	-0.0001702273377616	1.483881310955337e-09	2.8977346521425892e-08	-0.0001719969288312	0.00025003260446	2.958294352736488e-08	6.251630329305082e-08	-4.701162155651417e-05	-0.0001378723544065	1.90087861096034e-08	2.210092561372908e-09	0.000135996354345	-0.00052402284968	1.8495008395130802e-08	2.745999469867479e-07	1.0	0.0	0.0	0.0	0.0	0.0
996392.656256774	-84.95799733244348	7217.861310739474	992798325442.4296	1419180.715201104	5980.515082807746	35766560.65569094	2014073902398.7173	1021837.594927938	797.7216948447749	636359.9024260201	1044152070408.1128	1057659.6161933944	1026859.4126527692	1.402443	26.066351	0.1280708732378354	0.0918071670033622	0.0809156765	-0.0072583771	0.009240157	0.1833920627	0.2032513989	-0.0210932715	-0.0749358498	-0.2107707294	-0.0820469361	0.1067262869	0.2066229208	-0.151324682	-0.0839040936	-0.049647517	0.0288691052	0.0347510575	0.0706180853	-0.0758513069	-0.1680049133	0.0094913276	0.1395839844	0.0539417409	-0.0327788903	0.0036788777	-0.2632959468	-0.0124220939	-0.0454646196	-0.038839416	0.050231791	0.2713128388	0.0072061043	0.0876256462	0.1476030488	-0.0515082607	0.0493244151	-0.0133056628	-0.0480080574	-0.027341068	-0.2000273918	-0.1402442968	-0.1171535133	-0.0823338516	-0.0246304802	-0.0412934282	0.0368362536	0.1058221558	-0.1585638089	0.0681876483	0.0688336773	0.0421300588	-0.0068822931	-0.0934533618	-0.0481138824	0.0055483293	0.1906322018	-0.0984811749	0.0810929818	0.0540270311	-0.0821220244	0.2016542278	-0.0155425091	-0.0804845772	0.1070711046	-0.1692355457	0.0450937572	0.0027468954	0.0320840299	0.0340994012	-0.1071437214	-0.1449181686	0.1307864586	0.0222467935	-0.0201091232	0.1933274564	-0.0245506376	0.0075946051	-0.0828798381	-0.0406124193	-0.0775608103	0.0480781688	0.0089469245	0.0138020811	-0.0369891128	0.1600310741	0.1037396599	-0.0784929121	-0.1919406608	0.0242941839	0.0637104869	-0.0418790662	0.0301961326	-0.0363915034	-0.1022282334	0.0572214959	0.0078367058	-0.1356772109	-0.0816344905	-0.0311227856	-0.264986422	0.2349422311	0.0102352264	-0.0860418355	0.1136451198	0.1082280018	0.0993899282	2.3057300424511595e-05	2.8418545582553637e-05	8.076137330276787e-10	5.316391028661825e-10	-0.0188060082085996	-0.0899825035971559	0.0003536659447419	0.0080968509536121	-0.0025966542608983	-0.0025581330808676	6.742613350641295e-06	6.544044859429308e-06	0.0001750347834609	0.0003470317122921	3.063717542120415e-08	1.204310093363869e-07	-0.0003439821535489	-0.0002969705319923	8.819149687184066e-08	1.1832372196013903e-07	0.0002020304703451	6.603411600009999e-05	4.0816310947862326e-08	4.360504475914661e-09	0.0	0.0	0.0	0.0	0.0	0.0
994002.7725237176	-2389.883733056369	5711544.257527447	988041511784.8376	1413005.1572111594	-6175.557989944704	38137516.48716987	1996583574305.3333	1020354.7536031044	-1482.841324833571	2198818.39463418	1041123823200.452	1056905.766703897	1005781.4915358138	1.323735	24.603453	0.0879127714760623	0.0493738636118624	-0.0172599031	0.0614762069	0.0553544834	-0.1939234154	0.0874792866	-0.0370311354	0.1440225572	0.0412463823	0.0076475477	0.0334705061	0.06049347	0.0400925396	0.1086323001	-0.0108776342	0.0647945211	-0.1093383408	0.1105131486	0.0985263047	0.0697686816	-0.0272158249	0.0141129348	0.1568401042	0.0731955177	0.1145445868	0.0139921132	0.062570454	0.0886172959	0.0626635404	0.0619196424	0.1883867982	0.0765195676	-0.075679021	0.1928005701	0.0130591635	-0.0101533552	0.0595811172	0.0306006869	-0.0315158449	-0.038213594	0.0554500487	0.0666996641	0.1250927845	-0.0435696679	0.0005248707	0.0207911366	-0.1149185493	0.0287628997	0.0197926718	-0.1184235255	-0.0471987402	-0.0132423936	0.1109137806	-0.1260496324	-0.0900093242	-0.030380257	-0.0497081843	0.0013349526	0.1233552741	-0.0039668803	-0.0056953375	-0.0161291007	0.1281561205	-0.1153824299	-0.1365579295	0.0305184278	0.0010362449	-0.0340871695	0.0577307259	-0.0272168269	-0.2109261225	0.0001992975	-0.0288091067	0.01836212	0.0216017689	-0.0942905308	0.0644969021	0.1406580248	0.0562187501	0.0456683447	-0.1291025965	-0.0544200713	-0.0631524429	-0.0219107309	-0.0298636084	0.184226833	0.0245013508	-0.0399610079	0.0580289597	-0.1309422528	0.0360292893	0.0648824086	0.1508590704	-0.0158229858	-0.0695985733	-0.0025044065	-0.0112526925	-0.0474546152	-0.0476958086	-0.0647383718	0.023633798	0.1352147603	0.0925942581	0.1131919653	0.1064475877	0.0955030384	-5.235090121402664e-05	-7.540820163853823e-05	5.6863968743584395e-09	2.740616857920776e-09	0.0147490279133677	0.0335550361219673	0.0002175338243892	0.0011259404491465	8.593698359504742e-05	0.0026825912444933	7.385165149415451e-09	7.196295785032365e-06	-0.0004220089479553	-0.0005970437314162	1.780915521543391e-07	3.564612172233795e-07	9.095729431596312e-05	0.0004349394478648	1.89172323308992e-07	8.273229389280738e-09	0.0002020189314669	-1.1538878199994235e-08	4.0811648671028046e-08	1.331457101143022e-16	0.0	0.0	0.0	0.0	0.0	0.0
