global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26
1001561.2635839185	n/a	1003124964711.8154	n/a	1528016.266101108	n/a	2334833709469.572	n/a	998891.8220471324	n/a	n/a	997784872152.64	1055091.2005912163	1173202.2010672432	n/a	n/a	n/a	n/a	-0.0489169123	-0.0727678272	0.0671371357	-0.0751954705	-0.2019735598	-0.005323014	0.284300614	-0.1301590191	0.5000734287	-0.1742791398	0.0801021452	-0.145459743	0.0606222753	-0.1411733497	0.0436889707	-0.0678341047	0.0342477361	-0.0139144748	0.0604584761	-0.0011137322	0.0075210581	-0.0286502078	0.0501769513	-0.1395151655	0.0361777096	-0.2313298982	0.0502116204	-0.1491865911	-0.0309566093	0.0459838254	-0.1204134545	0.1250615293	-0.160057162	0.0497259485	-0.0625917799	0.0917976205	-0.1175064738	0.054385656	-0.0643597277	-0.1222298484	-0.1203763073	0.0363320323	-0.064455686	0.3752483327	-0.0379943862	-0.0168152998	0.1056906985	-0.0937766885	0.0865311384	-0.1640627614	0.0835350934	-0.216857201	0.1527049681	-0.1730698435	0.2725975979	-0.059188469	0.000254411	0.1939736493	-0.1701059649	-0.2575513689	0.0772839744	-0.1574722327	-0.0893716781	0.0919054781	-0.031579006	0.0033195384	-0.0988263656	0.0807507785	-0.0595203785	0.1189388766	-0.0648812169	0.0208042337	-0.0566964222	0.0854872623	-0.060700199	0.1041252171	-0.0847561594	0.0919456078	-0.1329192368	0.000744171	0.0538886825	-0.1673777932	0.0946887741	-0.0607208635	0.1356447153	0.1154637225	0.1154447293	0.1154130763	0.0188131040980721	n/a	n/a	0.0003539328858048	-0.1240337178621757	n/a	n/a	0.0153843631667138	-0.0586778578218911	n/a	0.003443090998566	n/a	0.004301047638533	n/a	1.8499010788930293e-05	n/a	-0.0015201946354359	n/a	n/a	2.3109917296080887e-06	0.0020067800652184	n/a	n/a	4.027166230157965e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
996703.3182951508	-4857.945288767689	993417504700.5646	23599632.428660184	1473262.931613573	-54753.33448753483	2170503665666.62	2997927637.5038705	991773.3080990914	-7118.513948041014	50673240.82845447	983614294657.8152	1045149.9777630308	1172093.3777087985	1.251765	28.807491	0.0663457940066991	0.0417507966976297	0.0438344491	0.0444680355	0.0968200238	-0.1775139819	0.0297831007	0.1361707634	0.124544066	-0.0612752169	0.0765022498	0.1083486252	-0.0828117691	-0.1210527274	0.0429013574	-0.1698039531	0.0341163833	-0.0591608021	0.0495490283	-0.0855460054	-0.0398032125	0.0281253538	0.028727969	-0.0547363779	0.0429474183	0.1387183859	-0.0423718773	-0.0612040655	-0.0372542216	0.1027983474	-0.0492799161	-0.0126165379	0.0332471818	-0.0700911945	0.0263804301	-0.0567453431	-0.0422008587	-0.1582472996	-0.1118340833	0.0717756166	0.0648848009	0.111251954	-0.0530709185	-0.0729078619	-0.0720175098	0.18295915	0.0836317058	0.0093718365	-0.0362622738	0.0310191538	-0.1303878468	0.013298649	-0.0412777777	0.0294063178	-0.0241585958	-0.0479622003	0.0341208247	0.1067854204	-0.0387333326	-0.0739111532	0.0379748259	0.0327358348	0.018065404	-0.1372372233	-0.0977069378	0.0575862937	-0.0416248445	-0.0148224588	-0.1231083531	0.070676753	-0.0739380128	-0.0028230695	-0.0323547438	0.0039875992	-0.0864616402	-0.0007228198	-0.0571503038	0.0493769606	-0.0647338719	0.0797799848	-0.0980738534	0.0310914772	0.0174655511	-0.1045104775	0.0822897486	0.0654912253	0.0981968238	0.1154130763	0.1152422001	0.1149575937	0.0246602608022925	0.0058471567042204	3.418924152370957e-05	0.000608128462837	-0.1283025785783706	-0.0042688607161949	1.8223171814272104e-05	0.0164615516698589	-0.0504676981774423	0.0082101596444487	0.0025469885593294	6.740672138733555e-05	0.0044179598806111	0.0001169122420781	1.951836950668924e-05	1.366847234772826e-08	-0.001560849784955	-4.065514951910013e-05	1.652841182420387e-09	2.43625205119407e-06	0.0012039551179789	-0.0008028249472394	6.445278959101058e-07	1.4495079261075867e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
996208.4974495074	-494.82084564340767	992431370390.6052	244847.66928325707	1484926.841066482	11663.909452908903	2205007723319.681	136046783.72565773	995305.8169363998	3532.5088373083854	12478618.68566184	990633669227.4342	1049496.148841699	1184029.3940507192	1.172626	26.986237	0.0978851559641924	0.0525173378604359	-0.0758160778	-0.0859858666	0.0859325649	-0.0987748533	-0.075042416	-0.0583712223	-0.1290688291	-0.1025273092	0.0914914546	-0.0812837908	0.0427552948	-0.157940959	0.0803996494	-0.0507300181	-0.0917039013	-0.046094376	-0.0524827791	-0.039600116	-0.1098093413	0.0572019722	0.0049998037	-0.0375616842	0.0083267458	0.0135632489	0.0144362556	0.0184789915	-0.0077275076	-0.060479221	-0.0473300257	-0.0130010491	0.0210130903	-0.0548042295	0.1216826799	-0.0397526471	0.0780926553	-0.0496391065	-0.0342594625	-0.1068759418	-0.0565300999	-0.0777215847	-0.1839714624	0.0060486329	-0.0644988882	0.0019578095	0.0979333742	0.0941151683	0.0361029358	0.0241923353	-0.0707717442	-0.0026185483	-0.0191598852	-0.0212450392	0.1074344339	0.0459369609	-0.0351217284	0.0737923431	0.0238875925	-0.117601785	-0.0074128063	-0.0011127324	0.0419114748	-0.13473203	-0.0668865711	0.0146409822	-0.023590062	0.0306405438	-0.153237442	-0.0337828421	0.0837053608	0.0775659409	-0.0226673585	-0.0632347869	-0.1190700763	0.013001856	0.07251166	0.1108322781	-0.1114479941	0.0333979653	-0.0401751525	-0.0327330633	-0.0407996245	-0.065771922	0.012603154	-0.0180806588	-0.0429454883	0.1153118061	0.1148374968	0.1140484259	0.0247276754238754	6.741462158290148e-05	4.544731203165807e-09	0.0006114579318685	-0.1160023302045942	0.0123002483737763	0.0001512961100565	0.0134565406128957	-0.0179482621223741	0.0325194360550682	0.0003221401132134	0.0010575137213396	0.0039929601612032	-0.0004249997194078	1.5943730848955888e-05	1.806247614967931e-07	-0.0016369887505107	-7.613896555569996e-05	5.7971420758920654e-09	2.679732169298583e-06	0.0017627775712906	0.0005588224533117	3.122825343253072e-07	3.107384765845186e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
991835.5268157804	-4372.970633726916	983737712253.9368	19122872.16343799	1460990.2157202216	-23936.625346260374	2134492410430.22	572962032.9672347	990411.0065303803	-4894.8104060194455	23959168.910876248	980913961856.5212	1043582.2538368726	1181933.80578032	1.287528	29.630527	0.0678175049355921	0.0376178248348439	0.1029322632	0.0283490488	0.0154373473	-0.160485327	0.0976521187	0.1030289518	-0.0581660803	0.0706672596	0.0467738178	0.0546280323	-0.1060333821	-0.1742617909	0.0895421234	0.0373578477	-0.0823611407	-0.0795316491	0.0558140326	-0.0864733202	-0.0089560178	0.0876310432	-0.0230345311	0.0333973651	0.0359398147	-0.0383028733	0.0797889107	-0.024624658	-0.0045735883	-0.0828272435	0.0031857673	0.0954459205	-0.0661411204	0.0286655223	0.0269938962	-0.0557594442	-0.0973707952	-0.026837152	0.0413273546	-0.0947162989	0.1082534902	0.0836681254	-0.1743499575	-0.0281815169	0.0720893349	0.0337791562	0.0707766678	0.0417338236	0.0974984169	-0.008955418	-0.106085336	-0.0903872168	-0.0682853688	-0.0198328875	-0.0606361934	-0.0597482954	-0.0341166813	-0.0309546022	0.0562745952	0.001200078	0.0703516755	-0.0779483944	-0.0001659264	-0.145921255	-0.0835939099	0.0047184499	-0.0159807377	0.0570797468	-0.0717837211	0.0902061098	0.0385334135	0.0130966243	-0.1046346203	0.054983996	-0.0836189885	-0.0310962373	0.0972973449	0.0082026645	-0.0443239042	0.0416083883	0.0491733289	0.0200165474	-0.0149979569	-0.082309284	0.0645088853	-0.0333552503	-0.0654471488	0.1151599564	0.1142313295	0.112689161	0.0251419548852851	0.0004142794614096	1.7162747214591002e-07	0.0006321178954537	-0.0959156568976311	0.0200866733069631	0.0004034744445406	0.009199813238104	0.0099659908147202	0.0279142529370943	9.93209729190874e-05	0.000779205517036	0.003883159611713	-0.0001098005494902	1.5078928570039056e-05	1.2056160668349964e-08	-0.0018906349238161	-0.0002536461733053	6.433638123247299e-08	3.5745004151531103e-06	0.0017381783094837	-2.4599261806900093e-05	6.051236814444135e-10	3.0212638355596126e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990763.5983664228	-1071.928449357627	981612507847.9824	1149030.6005422466	1471157.2326004156	10167.016880193958	2164303603032.5127	103368232.24214888	991878.1066865416	1467.1001561612356	2152382.868208322	983822178524.0784	1044540.6263392858	1159860.3037729417	1.310036	30.148521	0.1102234861541797	0.0538915198905523	-0.1029656744	-0.0155322277	0.0486240252	-0.0989581272	-0.0508899091	-0.0069995113	-0.1559517665	0.0975555865	-0.0509243103	0.0472610522	0.0505052738	-0.1698841508	-0.0880473389	-0.0137181263	-0.0138344542	-0.0696985204	0.1073982278	-0.0890795557	-0.0762614956	0.1068981436	0.0097406954	0.0532163245	0.0932922604	0.0493163274	-0.0537647474	0.0329666497	-0.0056940785	0.0708502645	-0.1170158549	0.0847382222	-0.092383348	-0.0751326685	0.0306065282	0.0290586373	-0.0222926626	-0.0298439411	0.0071506436	0.0026937139	-0.0693766693	0.0166640454	-0.0849161201	-0.1793101213	0.0516012098	0.0394388753	-0.0149026358	0.0549405925	0.0667813052	0.1024209766	-0.1504979861	-0.0525371775	-0.0834444632	0.0002055716	-0.0367072868	-0.0066959583	-0.0205673053	0.1337294862	-0.0290914554	0.0250530871	0.1040868911	0.1102787164	0.0059859888	-0.1523098316	-0.1083662944	0.0057819799	-0.0244047432	0.0503109088	-0.0757218564	0.0656598152	-0.0211539811	0.0693790169	0.0634054506	-0.0421841033	0.0359505599	0.0683435784	0.0391189955	-0.0330096999	-0.0464928384	-0.0930638581	0.0012220058	0.0183635941	-0.0217699203	-0.0707569568	0.0437685255	0.0106311913	-0.0495925943	0.1149575937	0.1134247617	0.1108851636	0.0243323000579778	-0.0008096548273072	6.555409393820121e-07	0.0005920608261114	-0.0856634453602396	0.0102522115373914	0.0001051078414074	0.0073382258709867	0.0300544539420712	0.020088463127351	0.000903270201756	0.0004035463508189	0.0041897030261302	0.0003065434144172	1.7553611447164554e-05	9.396886492255525e-08	-0.0011479822837354	0.0007426526400806	5.515329438188336e-07	1.3178633237703449e-06	0.001205911230739	-0.0005322670787446	2.8330824311541654e-07	1.4542218964224496e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
989882.0858149814	-881.5125514414394	979866543817.418	777064.3783487964	1457822.0324619114	-13335.200138504151	2125245078331.3784	177827562.73396114	991649.4157084044	-228.69097813719415	52299.563481346624	983368563674.8198	1043900.4704512547	1182652.018376426	1.347069	31.000774	0.1054010253772261	0.0524062538852086	0.119617038	-0.056741035	0.094567523	-0.0327404636	0.1287105333	-0.0182239185	-0.0972148793	0.0940423635	-0.0016901418	-0.0482356086	-0.0909908391	-0.1838119414	0.0744197154	0.0759848522	-0.0314761592	-0.0260601902	0.0267340217	-0.0409796158	-0.0746557158	-0.0140346231	-0.0336081181	-0.1254764735	-0.0788975543	0.0484797846	0.0070340482	0.0502829396	0.0517384109	-0.0274232933	-0.0243041559	-0.0118985932	0.1588137327	0.0169263456	0.0588248646	-0.0470890603	0.0153217329	-0.038444945	-0.0308331482	0.0078156514	0.0965948935	-0.033677027	-0.2168173719	-0.022829766	0.0812347651	-0.0375778051	0.0201455102	-0.0039713589	-0.0689279179	-0.0750301584	-0.0541619885	-0.0460807794	-0.0662847872	0.1145515594	0.0377178813	0.0121719681	-0.070287367	0.0702218189	-0.0456132932	-0.0198829513	-0.0202209209	-0.0363358652	0.0125567038	-0.1470550884	-0.0835060516	0.0159032249	-0.0184848005	0.0558604128	-0.0643535536	-0.0711967522	-0.0114107579	0.0003253462	-0.1406066979	0.0575419816	0.0327176842	0.023478935	-0.0133473717	-0.0640752946	-0.0518534421	-0.1623034169	-0.0311471455	0.0173760854	-0.0241059983	0.0414728858	0.0002603295	-0.026330666	0.0042456034	0.1147048067	0.1124192083	0.108643553	0.0243444800419894	1.2179984011598949e-05	1.4835201052280603e-10	0.0005926537085148	-0.0577991500632322	0.0278642952970074	0.0007764189523988	0.003340741748032	0.0102270497191341	-0.0198274042229371	0.0001045925459576	0.0003931259582197	0.0047647295426034	0.0005750265164732	2.2702647614157607e-05	3.3065549464730373e-07	-0.0009088264921941	0.0002391557915413	5.7195492627745774e-08	8.259655929138325e-07	0.0015456718401899	0.0003397606094509	1.1543727173444706e-07	2.389101437556032e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
991113.8467705532	1231.760955571779	982306657260.3236	1517235.0516711022	1476112.5805921052	18290.548130193725	2178908350582.284	334544150.9029332	991232.1669151052	-417.2487932991935	174096.5555096331	982541208727.215	1047919.4085183396	1168680.922607422	1.259403	28.983269	0.0601463235682984	0.0442836013137822	-0.0785310893	0.0838976335	0.1376230996	-0.0419336987	-0.0942524311	0.1138332633	0.0074460535	0.18288584	-0.0839475837	0.1236261441	0.0538717286	-0.1822643589	-0.0435928578	0.0753460649	-0.0250079461	-0.121162804	-0.004440213	-0.0520027299	-0.1265080588	-0.0854624719	-0.020730729	-0.1594079317	-0.1099864202	0.0385683385	-0.0372481646	0.0283967614	-0.0279931738	0.0471083046	0.1124539085	0.0920755456	0.0135875935	-0.0014426933	-0.0261779364	-0.0886660457	0.1232060513	0.0221311905	-0.0292757584	0.0363375245	-0.1074581871	0.1130878654	-0.1255777854	-0.1044493694	0.1211487548	0.0173901568	-0.0566100955	0.0592083732	-0.1102160725	-0.155667095	-0.095495421	0.0715424048	-0.00155947	0.0642027578	0.1316984071	0.0692916891	0.0303234187	-0.0173552486	-0.0597715126	-0.0970159083	-0.0087172895	0.116931458	-0.1054209333	-0.1451140179	-0.0918197511	-0.0142385379	-0.0237404421	0.0408945869	-0.0885581949	0.009181489	0.0231242353	-0.0465660961	0.0825566169	0.0280503897	0.0627806994	0.0365764175	0.0614248951	-0.1060026502	-0.0819406494	-0.0122782484	-0.0785216838	-0.0043913625	-0.0361722528	0.0595237936	0.0440216978	0.0281546682	-0.0034051689	0.1144017065	0.1112164334	0.105973176	0.0243566079381736	1.2127896184200432e-05	1.470858658547434e-10	0.0005932443502539	-0.0785351559187432	-0.020736005855511	0.0004299819388397	0.0061677707151813	0.0098291834180059	-0.0003978663011281	9.661284666480215e-05	1.582975935734347e-07	0.0040221991033961	-0.0007425304392073	1.6178085627360386e-05	5.513514531493869e-07	-0.0009089691146721	-1.4262247799998534e-07	2.0341171230856296e-14	8.262248514277812e-07	0.0015083384315657	-3.7333408624200086e-05	1.393783399501497e-09	2.275084824138076e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
990398.0745773822	-715.7721931709675	980888346126.586	512329.8325167768	1462563.6533933517	-13548.92719875346	2139092440227.308	183573428.23712125	990531.5165743897	-700.6503407155396	490910.8999448018	981152685327.1604	1041085.625603282	1167486.107716394	1.294577	29.792751	0.0710891283767182	0.0325308192792092	0.019279205	-0.1531700007	0.1088737569	-0.0834529647	0.0905687336	-0.1031653787	0.0234640198	0.015860452	-0.0312062865	-0.0775923762	-0.0776177211	-0.1770357081	-0.0979519386	-0.0436169862	-0.0230457081	-0.0731529778	-0.0334385439	-0.0364437168	-0.0427165483	0.0687343043	0.0019287764	-0.0694735171	-0.0455102122	-0.0413625381	0.0263755015	0.0308036966	0.010041536	0.0086533889	0.0978238563	0.112464176	-0.0619439893	0.0126731118	-0.0775738047	-0.0362241748	0.1604874261	0.01667197	-0.0453714044	0.0432786014	0.0619698331	-0.0974932245	-0.078372791	-0.1744007131	-0.0347847503	0.0949014328	-0.0281804982	0.0149803522	-0.0236198183	-0.1237253163	-0.0560969555	0.0063143479	-0.0567351719	-0.0722314718	0.0553425576	0.0370613518	0.0056159938	-0.0803478518	-0.0106210543	-0.0769610218	-0.058476795	0.0791172074	-0.1096011265	-0.1573126306	-0.1075806525	0.0401845494	-0.0059724388	0.1133945435	0.0235961783	0.0688734424	0.0206721941	0.0477811245	-0.0723299211	0.0036315808	0.0004317144	0.0962893512	0.0185187083	-0.0549950479	0.1170542627	-0.0987007392	0.0426218931	-0.0197253497	-0.035573944	-0.060962913	0.0689150163	-0.0359733346	0.0959478331	0.1140484259	0.1098185471	0.1028845713	0.0423118337306931	0.0179552257925195	0.0003223901332603	0.0017902912736538	-0.0845909493783807	-0.0060557934596374	3.66726344257883e-05	0.0071556287167357	0.0102117053863821	0.0003825219683761	0.0001042789268982	1.4632305629040172e-07	0.0044499234479147	0.0004277243445186	1.980181869230105e-05	1.8294811489386627e-07	-0.0006431820763848	0.0002657870382872	7.064274972153466e-08	4.1368318338266274e-07	0.0012679380712479	-0.0002404003603177	5.7792333240928016e-08	1.607666952519845e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
992297.6813185832	1899.606741201016	984654688350.2365	3608505.771216344	1461351.039387119	-1212.614006232703	2135546860317.813	1470432.7281117262	992475.5360945484	1944.019520158763	3779211.8947583074	985007689746.1613	1044256.8377533784	1168330.5020190042	1.154049	26.55871	0.1659824705033477	0.0824067402885054	0.0566751237	0.0602776768	0.0476147223	-0.2033895398	0.0881643638	0.0910660655	0.053397435	0.0204107392	-0.0285204946	0.1127459305	-0.0628737936	-0.1249318595	0.0881346898	-0.1287329274	-0.0204470601	-0.0083661751	0.1067884789	-0.0650318185	-0.0335415885	0.0293605005	-0.063862288	-0.0323498274	0.0501729675	-0.0532102197	-0.056647014	-0.0336722054	-0.0378334919	0.0545119143	0.0073832752	0.0688966574	0.0129774944	-0.0118977579	-0.0300785428	0.0776157186	0.0017696539	-0.0409306395	-0.0638373296	-0.0866777323	0.0707500311	0.1032130143	-0.0404039884	-0.0524294106	0.0087842599	0.1557854117	0.1539450988	0.0047279839	-0.0764831015	0.0290874844	-0.1291818744	0.0162871771	-0.0455449158	-0.0020107944	-0.0084968287	-0.0269333597	-0.0867505846	0.0399306113	0.0374782429	0.0470039234	0.0597253	0.0508882362	-0.0768903746	-0.1599834986	-0.0959732564	0.0269530613	-0.0316755004	0.0999262624	-0.0051181331	0.0276631232	-0.1099393421	-0.1062910371	-0.0125067653	0.0370205979	0.0758854947	0.0474326079	-0.0055314692	-0.134747466	0.1333882004	-0.0042917786	0.076467034	0.0805408987	0.0503163755	0.0596357948	0.0667429103	0.0260158876	0.0281552756	0.1136451198	0.1082280018	0.0993899282	0.025879463250888	-0.0164323704798051	0.0002700227995855	0.000669746618154	-0.0390005460334492	0.0455904033449315	0.0020784848771535	0.0015210425909071	0.0165969585317782	0.0063852531453961	0.0002754590325055	4.077145773079079e-05	0.0052979041799735	0.0008479807320587	2.806778870018068e-05	7.19071321942978e-07	0.000236769125828	0.0008799512022128	7.743141182757521e-07	5.605961894535529e-08	0.0010443811348552	-0.0002235569363927	4.997770380928976e-08	1.0907319548414354e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
995217.9911828208	2920.3098642375558	990458849973.9692	8528209.70316317	1492568.3102493074	31217.270862188423	2227760160760.4727	974518000.0832384	998138.83056502	5663.294470471563	32072904.25927378	996281125081.7056	1052979.777726834	1159091.6113959418	1.358452	31.262745	0.1080423966242234	0.058962494711897	-0.148292237	-0.0800778781	0.0218039192	-0.1253339176	-0.1482817783	-0.0791492584	0.011888015	-0.0145858777	0.0304450155	-0.0207011401	0.1383301041	-0.1492808329	0.1340587702	-0.070379176	-0.0342957053	-0.048540464	0.0591642106	-0.0518111114	-0.1238248199	0.0514517904	0.0095227509	0.0256696038	0.0273421055	-0.0114466141	-0.087008608	0.0770805944	-0.0949881201	0.0848952327	-0.080708341	-0.0090540139	0.0447279202	-0.0930241273	0.0263041478	-0.0276006947	0.0161134427	0.0251657387	0.0792986162	-0.0439317568	-0.1382278892	-0.0358330239	-0.1274593105	0.0375951175	0.0334978913	0.1283573128	0.1023927789	0.0279189038	-0.0167607393	0.0665438428	-0.1240265767	0.0156702596	-0.0435119873	0.0154032456	0.0659651494	0.0815452699	-0.0146722381	0.0860125663	-0.014237665	-0.0043241376	-0.0127581719	0.1517718881	0.0663474325	-0.1661386049	-0.1051619768	-0.0163142986	0.0101814608	0.138935115	-0.0599947611	-0.0967089551	-0.0425420222	-0.0114438033	0.1029737649	-0.0414734422	0.0767982906	0.0941495008	-0.0190707914	-0.1306147234	0.0706911426	-0.1073432381	-0.0029799997	0.1138540446	0.0013381091	0.0751042484	0.0073180366	-0.0184813459	-0.1088040612	0.1131919653	0.1064475877	0.0955030384	0.049376599996691	0.023497136745803	0.0005521154352509	0.0024380486272332	-0.0390155118505788	-1.4965817129598824e-05	2.2397568235659357e-10	0.0015222101649626	0.0663658277230325	0.0497688691912543	0.0044044230893632	0.0024769403405761	0.0053100206956432	1.2116515669700031e-05	2.819631978815909e-05	1.4680995197408643e-10	1.0061150991669264e-05	-0.0002267079748363	5.1396505854390366e-08	1.012267592771674e-10	0.0005879771279605	-0.0004564040068946	2.0830461750953733e-07	3.457171030046782e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
