global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23
909436.4084268708	n/a	n/a	827074580972.3662	1342779.8173245613	n/a	n/a	1803057637814.182	918704.1554978942	n/a	n/a	844017325329.0989	968861.8109021374	839181.1910794323	n/a	n/a	n/a	n/a	-0.00456119	-0.0243054752	-0.3637315998	-0.1197428205	0.0856348491	-0.0949651376	0.0956756848	-0.1931773175	-0.0073887218	0.2201079006	-0.0385802674	0.0500760226	-0.0072751682	0.211882268	-0.10609325	0.0935806158	-0.1542377496	0.0601422054	-0.1423811541	0.069666557	-0.2353991358	0.1651544842	-0.1520979208	0.0725218682	-0.0420445877	0.0212413187	-0.1265210169	-0.0837279145	0.0292603318	-0.1063982662	0.1460482777	-0.0689221537	0.0332042332	-0.0602996725	0.0746782322	-0.0642142693	0.2176677128	-0.0383783515	0.008659781	-0.0699100166	0.2410477391	-0.0674835174	0.0829571424	-0.0726258243	0.0279171613	-0.2162383928	0.2163369024	-0.2301131463	0.239365095	-0.045969644	0.16502202	-0.1234935798	0.0804841942	-0.008315405	-0.1180304026	-0.016962888	-0.0475701224	0.024534197	-0.1438933123	0.0866924361	-0.1103410956	0.0343915859	-0.1338617004	0.0133659339	-0.1012022455	0.0637314771	-0.1893233666	0.0417671424	-0.1293452496	0.2147361901	-0.1469798196	0.1786840801	-0.0622323754	0.0035718851	-0.0891363031	0.0334886528	-0.0228316927	0.0663402954	0.0269710183	0.1154637225	0.1154447293	0.1154130763	0.0784258196806888	n/a	n/a	0.0061506091925879	-0.1606526312496328	n/a	n/a	0.0258092679274304	-0.2539932804725211	n/a	0.0645125865251927	n/a	-0.0082810424420973	n/a	n/a	6.857566392781682e-05	-0.001108165796928	n/a	n/a	1.2280314334810695e-06	0.0010019285961677	n/a	1.0038609118185782e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
901454.9532245068	-7981.455202364013	63703627.147343576	812621032692.9978	1275230.6019736845	-67549.2153508768	4562896494.519129	1626213088210.1658	910790.9387409748	-7913.216756919399	62618999.441989966	829540134092.666	956172.730956622	838715.2291459163	1.134911	30.850489	0.2299391807592305	0.1138994625060136	0.0074036412	-0.0193291875	0.0371213418	-0.1101981105	0.0766284058	-0.0406104007	0.0364087389	-0.0790513442	-0.0259642469	0.0232794939	0.0491517701	-0.2259720499	-0.0100059396	0.0502353672	-0.0170257413	0.0894933123	-0.1174638423	0.0613000062	-0.0819234544	0.1007359209	-0.216254726	-0.0091230842	-0.0649660288	-0.0495525051	0.0781731616	-0.0946569609	-0.1283703013	0.0178425699	-0.1691405797	-0.0362120796	-0.0451200026	0.0239058566	-0.0750307345	-0.0120569201	0.0874632782	-0.0037786781	-0.0070289607	-0.1883315791	0.0379981251	-0.0564716915	-0.0093931448	-0.0290403581	0.009823101	-0.1012958369	-0.0294126211	-0.1548612694	0.1552391282	-0.0414337644	0.1174988545	-0.0958090755	0.1719552238	-0.0251198904	-0.022123403	-0.0135362736	0.2345033014	-0.0127855277	-0.0328860722	0.0033727336	-0.1186758832	0.066654194	-0.0961022346	0.0092133634	-0.1373325211	-0.0085595164	-0.0604262877	-0.0152355761	-0.1600068892	-0.1372186094	-0.132891873	0.1942526382	-0.0479513737	0.0745609004	0.0664712012	0.0083148899	-0.0932234689	-0.0117634509	0.0526653361	0.001590684	0.0088589918	0.1154130763	0.1152422001	0.1149575937	0.0536289235834601	-0.0247968960972287	0.0006148860560567	0.0028760614447206	-0.1133642052821244	0.0472884259675084	0.0022361952304845	0.0128514430392476	-0.1682401885098627	0.0857530919626584	0.0283047610298341	0.0073535927811561	-0.0072569014081637	0.0010241410339336	1.0488648573865832e-06	5.26626180478083e-05	-0.0014473717010143	-0.0003392059040862	1.1506064536700413e-07	2.0948848408970283e-06	0.0009232601995509	-7.866839661680011e-05	8.524093960747677e-07	6.1887166262581685e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
902320.4396394724	865.4864149655914	749066.7344899919	814182175791.1708	1285243.9070449562	10013.305071271723	100266278.450356	1651851900596.184	913001.5907415764	2210.652000601636	4886982.267764017	833571904696.6489	955451.9489428896	824759.9125354053	0.991311	26.946978	0.0856734463102235	0.0569156672573729	-0.0202662521	0.0009257084	-0.0481375225	0.0588381605	-0.0124170614	0.0005993433	0.1237304278	-0.0668386597	-0.0396269826	-0.0182341431	0.0225229416	0.0364167468	-0.0077558287	0.1391985318	-0.0581128265	0.0606376934	-0.0627313776	0.0151553466	-0.0022917494	0.155712335	-0.2147241344	-0.026775787	-0.0395406269	-0.0871811747	-0.0851806903	-0.0565240634	-0.1318605591	-0.0103804752	-0.0118288977	0.0497786318	0.0140074784	-0.0302911784	0.111664058	0.1650960305	-0.0689519649	0.0544932553	-0.0280774977	0.0111577844	-0.0355864838	-0.0445669931	0.1327729328	-0.0157506884	0.0274831414	0.0219290316	-0.0063449279	-0.116619565	0.237999589	-0.0507700584	0.084504391	0.0101002175	0.073786902	0.0442982327	-0.0491124914	-0.050886233	0.0697259092	-0.023157971	-0.020750099	0.0167259239	-0.116120231	0.0537377294	-0.071464407	0.0177871043	-0.1164644673	0.0449253667	-0.0486066756	0.0054149694	-0.1691252176	-5.60128e-05	-0.0776783641	0.1367218825	-0.0495099884	0.1424967657	-0.0020085428	0.020868669	-0.0911371264	0.0036101155	6.63343e-05	0.114771487	0.0423049918	0.1153118061	0.1148374968	0.1140484259	0.0533214808445592	-0.0003074427389009	9.45210377028893e-08	0.0028431803194566	-0.1183522233764051	-0.0049880180942806	2.488032450887158e-05	0.0140072487781384	-0.1162628383428057	0.051977350167057	0.0135170475795253	0.0027016449303888	-0.0075268593302251	-0.0002699579220613	7.287727968370881e-08	5.665361137699664e-05	-0.0013161189002468	0.0001312528007674	1.722729770931303e-08	1.7321689595868463e-06	0.0010900621829217	0.0001668019833708	1.188235562636022e-06	2.782290165643268e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
902973.1511492124	652.7115097399801	426032.3149470441	815360511696.3384	1293914.4401864037	8670.533141447464	75178144.95693883	1674214578522.8943	912199.4675090252	-802.1232325511519	643401.6801983092	832107868523.7491	958007.7979555218	836933.1452665899	0.856337	23.277948	0.0916189515598843	0.0478125411069283	-0.0202824132	0.0234235897	-0.0907195569	-0.0309217269	-0.0849106199	-0.0254939633	0.0338741044	0.0607198205	-0.0468621227	0.0468716096	-0.0156789565	0.0656165374	0.0424901747	0.0695898653	0.044996676	-0.0094697988	-0.1917873179	0.0452268422	-0.020191444	0.0469014302	-0.1717739553	0.0637704494	0.0196865529	-0.0436117387	0.0007149948	-0.0120417952	-0.1163619119	0.0734481427	0.0461655546	0.0036191433	-0.0830212658	0.0831304013	-0.0276359597	-0.0418684426	0.0235335558	0.0213931674	0.1073168635	0.0564078244	-0.0052666039	-0.0632892867	0.0607388134	0.0516570398	-0.052261905	-0.0543325562	-0.0189616637	-0.1008814791	0.0942207809	-0.0697220882	0.1341969894	0.0383771294	-0.0343361253	-0.0428795592	-0.0094660358	-0.0831269427	0.0608923231	-0.029858143	-0.0078326033	0.0397856759	-0.085308648	0.0418778815	-0.0861987218	-0.0084045017	-0.0866014438	-0.0351727924	-0.0392218536	-0.007327151	-0.1177463917	-0.0290649221	-0.092759194	0.0589349388	-0.1029625911	0.0775269013	0.0157254776	-0.0011032783	0.0202892272	0.0276685846	-0.013605806	-0.0543985115	0.0766326459	0.1151599564	0.1142313295	0.112689161	0.0431662128491296	-0.0101552679954295	0.0001031294680589	0.0018633219317363	-0.1072785376154854	0.0110736857609196	0.0001226265163315	0.0115086846329171	-0.0947233609925106	0.0215394773502951	0.0089725151177174	0.0004639490845238	-0.008211046132513	-0.0006841868022879	4.68111580424942e-07	6.74212785902567e-05	-0.0013398938366142	-2.377493636739991e-05	5.652475992739149e-10	1.7953154933967206e-06	0.0008210135125122	-0.0002690486704095	6.740631877276204e-07	7.23871870491198e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
903798.1316318274	824.9804826150648	680592.7966957852	816851062741.1821	1271067.8707785087	-22846.56940789497	521965733.7097625	1615613532125.4116	913605.0335815282	1405.5660725029884	1975615.984171476	834674157385.5054	955461.727931161	841335.8613183983	0.812504	22.086441	0.1127287979758008	0.0567429055188086	-0.0276410283	0.0342827142	0.0467552991	-0.0894156872	-0.0346000606	-0.0435031724	0.0127466784	0.0754364559	-0.0296427276	0.0399804433	0.0179441613	-0.0209000033	-0.0056287691	0.0508146107	0.1352521058	0.0399868919	-0.0037432651	-0.0933641159	-0.0438859789	0.0055093832	-0.154383832	0.0433147699	-0.0667954609	0.0060557209	0.0183172337	-0.1700231564	0.1150286402	-0.0928829063	0.0557319596	-0.0135390197	-0.1969353454	0.0182251395	0.0886295809	-0.0863243596	-0.1056138098	0.0214272324	0.0506405359	-0.0236245393	-0.012365093	-0.0313362035	-0.0498004182	0.1358338947	0.0821476458	0.0199392062	-0.083156537	0.0504143019	0.0966950973	-0.0281531866	0.0809095873	0.0531605019	0.1346678381	0.0105433952	0.0723186549	0.0987130666	0.060887049	-0.0277168659	-0.0065115755	0.0568898259	-0.0762866875	0.0132422585	-0.0565890205	-0.0160387261	-0.0531342136	0.0565635412	-0.0575864475	0.0122450378	-0.0690602577	-0.0142311505	-0.1671588664	0.0142931028	-0.0507206948	0.0098178376	0.0201065207	0.0624354018	0.0188757143	0.0133379595	0.0184522679	-0.1033549675	-0.0419089832	0.1149575937	0.1134247617	0.1108851636	0.0452707967075696	0.00210458385844	4.429273217206197e-06	0.002049445034538	-0.0930573046142768	0.0142212330012086	0.0002022434680746	0.0086596619420743	-0.0694822186868933	0.0252411423056172	0.0048277787136532	0.0006371152648924	-0.0089861844881956	-0.0007751383556825	6.008394704503242e-07	8.075151165588721e-05	-0.0016890706998529	-0.0003491768632387	1.2192448182121784e-07	2.852959829101565e-06	0.0011199350698016	0.0002989215572893	1.2542545605715144e-06	8.935409741232e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
902665.5672072946	-1132.5644245328149	1282702.175717346	814805126221.667	1277228.4644188597	6160.5936403509695	37952914.00153281	1631312550321.7583	913282.543998195	-322.4895833332557	103999.5313584569	834085005171.815	956968.266155438	858260.5736195842	1.112344	30.237049	0.2366057210226628	0.1113108807492631	-0.0170280675	0.0318959733	0.0388483073	-0.0499921637	0.0668743673	-0.0083976417	0.0698277985	-0.0861601111	-0.0160170514	0.0205455079	0.0576858562	-0.0947075994	-0.0961667191	0.0614505385	-0.0687980035	-0.0052615398	0.0420239874	0.0324167129	0.0295491405	0.0571401262	0.0376135281	0.0562448641	-0.0227516636	-0.1120733238	0.0223381687	-0.090859831	-0.0186872597	-0.0252877345	-0.0565368957	-0.0116914039	0.1229273876	-0.1129573811	0.1324407234	-0.0003601017	-0.0429010322	-0.000887369	-0.0354569855	-0.1535242145	-0.0058733305	0.0302529034	0.0987077814	-0.0200993954	0.0020057838	0.0148888339	-0.0061201086	-0.0506939475	-0.0122336717	-0.0541909584	-0.077425074	0.0221618292	0.0323153148	0.0067315382	-0.0048241937	0.0172078354	0.0341570358	-0.0247556654	0.0020742004	0.0558187672	-0.0780472385	0.0429879951	-0.0025413121	0.0288220031	-0.0164042863	-0.0158432174	0.0068635045	0.0140926402	-0.0408325861	-0.0280753165	0.0053019369	0.1268296678	0.0309188987	-0.0443579427	0.090193263	0.0151017391	-0.022665441	-0.0195329975	-0.0330971285	0.1074426111	0.0246093554	0.1147048067	0.1124192083	0.108643553	0.043120029238409	-0.0021507674691606	4.62580070639951e-06	0.0018593369215212	-0.1866234258820469	-0.09356612126777	0.008754619049095	0.0348283030879518	-0.0320245663863261	0.0374576523005672	0.0010255728522322	0.0014030757158701	-0.0077651185364186	0.0012210659517769	1.4910020585890695e-06	6.0297065884631744e-05	-0.001185036967324	0.0005040337325289	2.540500035270148e-07	1.404312613924463e-06	0.0007764111544042	-0.0003435239153973	6.028142806832625e-07	1.1800868044995997e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
901074.0633419774	-1591.5038653172087	2532884.553319616	811934467627.622	1270235.9310855262	-6992.533333333442	48895522.4177793	1613499320620.714	912279.3237815883	-1003.2202166066272	1006450.803008248	832253564599.3921	954464.1968759825	846402.9856861616	0.960564	26.111191	0.1897160850625037	0.1060884677213476	-0.0231276525	0.0486445166	0.0448018782	0.0016410327	-0.0591137554	-0.0145684528	0.0609251076	-0.0025973437	-0.0044572323	-0.0289776456	0.0550552471	-0.0319790943	-0.0648510458	0.1490043486	0.0012942961	0.0787941844	-0.0739654683	-0.0199160066	-0.0123148232	0.016721411	-0.0983520101	-0.030463281	-0.0724751514	0.0267552702	-0.0361204485	-0.0973928159	0.083267464	-0.0813466887	-0.0310347058	0.0522079095	0.0180297497	-0.0815114476	-0.0675675406	0.0981504802	-0.1363051001	0.0221950049	-0.0423747564	-0.042075099	-0.0179979915	-0.0651004004	0.1053849187	0.0569859864	0.0049894135	-0.0664160669	-0.1226170338	-0.0305280852	0.0616549338	0.0092779755	0.0513880678	-0.0600271573	0.0472620404	0.0682923238	0.0692592434	0.0564487532	0.0753364305	-0.0302540499	0.0053698972	0.0731224973	-0.0727159251	0.0190320713	-0.0501714413	0.0005762129	-0.0491215861	-0.0303345517	-0.0829066329	-0.0094883322	-0.1084355199	0.0149994366	0.0011143813	0.0268154732	-0.007260352	-0.0075738182	-0.0226446703	-0.0084183338	-0.0261163086	0.0174696675	-0.0406706878	-0.0108472417	0.0174738464	0.1144017065	0.1112164334	0.105973176	0.0432528746194407	0.0001328453810316	1.7647895261457223e-08	0.001870811162845	-0.0842515096983618	0.102371916183685	0.0104800092231194	0.0070983168864531	-0.061471304339868	-0.0294467379535419	0.0037787212572446	0.0008671103761045	-0.0086592839824617	-0.0008941654460431	7.995318448974571e-07	7.498319908891778e-05	-0.0011055948989862	7.944206833779993e-05	6.311042221787674e-09	1.222340080664306e-06	0.0005947269579002	-0.000181684196504	3.537001544532263e-07	3.3009147259304094e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
901063.8950042716	-10.168337705777958	103.39509169874574	811916142880.269	1278128.546765351	7892.615679824725	62293382.2694151	1633612582056.508	913034.9353564982	755.6115749098826	570948.8521377932	833632793181.445	958149.243991644	848115.3764687345	0.889888	24.189981	0.2352618608108296	0.1109923275129523	-0.0351559038	0.0364021573	-0.0140906982	-0.0804269454	0.0379736984	-0.0446817351	-0.0406992325	0.0750019195	-0.0252141357	0.0936342966	0.0301900665	-0.0803140339	-0.0344385454	-0.100172787	0.1509364065	0.0514445515	0.0585380121	-0.0247274652	0.0818781933	0.0151099082	0.1261540375	0.0328380513	-0.0044023625	0.0493574793	-0.0433822283	-0.0530774236	0.0572836533	0.0023236688	-0.0422395251	-0.06861561	-0.0065394206	0.0135318457	-0.0290272793	-0.053393491	0.0629714545	-0.0151425992	0.0889815746	-0.0722150796	-0.0193316199	0.0349745622	-0.1023884951	0.0597936869	0.0707472515	-0.0615850634	-0.045924916	0.0315828736	-0.05636714	0.0170925604	-0.2145639895	-0.0748037644	-0.0100035639	-0.0236216038	0.0732862102	0.0188696971	-5.66573e-05	-0.0287557843	0.0057823004	0.0743285668	-0.0420145969	0.0279195414	0.0454672743	0.0412322046	0.0209513761	0.078619693	-0.0210465803	0.0543318783	0.0165002085	0.007394871	-0.0163561395	-0.0514680073	0.0031012986	0.0005675037	0.0976203105	0.0243841858	0.0080121186	-0.0007951575	-0.0062517777	0.0672032564	-0.0521562695	0.1140484259	0.1098185471	0.1028845713	0.0130660603187493	-0.0301868143006913	0.0009112437576244	0.0001707219322531	-0.153015491575303	-0.0687639818769412	0.0047284852035722	0.0234137406620316	-0.003470714300171	0.058000590039697	1.2045857753411476e-05	0.0033640684449529	-0.009285728571248	-0.0006264445887862	3.924328228196359e-07	8.622475509889143e-05	-0.0007133184695422	0.000392276429444	1.5388079709733354e-07	5.088232389900265e-07	0.0011422154315399	0.0005474884736397	1.30465609204788e-06	2.997436287683285e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
897189.1273630025	-3874.767641269136	15013824.273826385	804948330258.386	1267761.5572916667	-10366.989473684223	107474470.74747951	1607219366146.592	908871.013537906	-4163.921818592236	17338244.911348477	826046519249.4205	950882.597178201	847435.6072010784	0.997989	27.128513	0.1796292801154514	0.0899955227172804	-0.0345284081	0.0661041115	0.0711909085	0.0427557944	-0.0202733626	0.0037648592	0.0436531626	-0.0822763005	-0.0126416817	-0.0719330206	0.0272596341	6.7066e-05	-0.0500804753	0.0090568828	0.0972124806	-0.0466776415	-0.0993340755	-0.0288005914	0.0606966446	0.0736076859	0.0697022596	-0.0411710472	0.1103879524	0.0274492416	-0.0145176865	0.007906391	0.0091179987	0.0397817554	0.0600517178	-0.0685000944	-0.0405424588	0.0007528849	0.0035459744	0.0213813443	0.1012908235	0.0319776289	-0.0706132967	-0.0125749164	-0.0030074923	-0.0097890081	0.0252329645	0.0888316657	-0.0753702335	-0.0526861677	0.0065985246	-0.0498607066	0.0569171761	0.1032622911	-0.0904555697	0.0880051764	-0.0453861455	-0.0089467716	-0.0636054987	-0.0965192547	-0.0114062947	-0.0289381685	0.0189662057	0.1002630948	-0.0216202413	-0.0132921229	0.0192506566	0.0037623061	0.0069333829	-0.0683477866	0.0190010596	0.065111346	0.0468279397	0.0043012507	0.0130180694	0.0098157695	0.0955394295	-0.1180444905	-0.0358356853	-0.0296991237	-0.068815236	0.0062020729	-0.0557241659	0.0324096407	-0.0382308496	0.1136451198	0.1082280018	0.0993899282	0.0081077420336299	-0.0049583182851194	2.4584920216549388e-05	6.573548088388911e-05	-0.116560669859524	0.036454821715779	0.0013289540263292	0.0135863897581009	0.065697922766077	0.069168637066248	0.0043162170557774	0.0047843003536023	-0.0084974017862801	0.0007883267849679	6.214591198978262e-07	7.220583711747624e-05	-0.0005858867791155	0.0001274316904267	1.6238835725006325e-08	3.432633179423346e-07	0.0006770238459684	-0.0004651915855714	4.583612880098439e-07	2.1640321128652613e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
899214.501037611	2025.3736746085344	4102138.5217972766	808586718876.3198	1259027.5345394737	-8734.022752193036	76283153.4358256	1585150332728.5457	909102.182912154	231.1693742480129	53439.27959021785	826466778975.6436	950114.1244335446	818926.5788541391	1.283745	34.896259	0.1247905677183676	0.0772206243143638	-0.0388289992	0.0502098696	0.071492094	0.0824638845	-0.1142675409	0.0093501685	0.0318872779	0.0830683022	-0.027236096	-0.1427752099	0.0146989222	0.0810417276	0.0122004492	0.0080902299	0.1710022177	0.0778401508	0.0194606793	0.1059866007	0.1141264194	-0.09660397	0.0149498296	-0.0709613323	-0.0407237005	-0.0139394995	-0.069060256	-0.0805428465	-0.0185555083	-0.0033223512	0.0384791592	0.065474961	-0.0465732852	0.1690462769	0.0267516436	-0.0541112101	0.0185023084	0.0816231662	-0.0758044292	0.1105215726	-0.0142567515	-0.0890280381	-0.0350276363	0.1069332727	0.0743103972	-0.092092667	0.0961160967	0.109933894	0.0373561075	0.0544464765	-0.0566833201	-0.1170078802	-0.0039319996	0.003350969	0.0209832884	-0.0811662939	-0.0049779514	-0.0325511998	0.0093499682	0.0938247978	-0.0168601762	-0.0054604397	0.0262893403	0.0393017979	0.0146905684	0.0003407338	-0.0508792103	0.013576908	-0.0307672486	-0.0108343157	-0.0121467553	-0.2294006623	-0.0384985184	0.0381465125	-0.0119151317	-0.0070942425	-0.0316711012	0.0018704486	0.0895722426	-0.0650561897	-0.0098340019	0.1131919653	0.1064475877	0.0955030384	0.0082106794970115	0.0001029374633815	1.0596121367438154e-08	6.741525780264501e-05	-0.1129383758293869	0.003622294030137	1.312101404076687e-05	0.0127550767349798	0.006366028391163	-0.059331894374914	4.052631747709337e-05	0.0035202736901159	-0.0096414502830362	-0.001144048496756	1.3088469629298916e-06	9.29575635602588e-05	-0.0005570744803382	2.881229877730001e-05	8.301485608324038e-10	3.103319766440755e-07	0.0007388318874337	6.180804146529995e-05	5.458725578888436e-07	3.820233989776238e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
