global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01
1004862.1498041628	n/a	n/a	1009747940109.0436	1242672.8609118853	n/a	n/a	1544235839246.9297	1023299.507564935	n/a	1047141882182.6384	n/a	1041557.0979388298	903256.4764205904	n/a	n/a	n/a	n/a	-0.0481291891	-0.0515305709	0.0569144486	-0.1479159555	0.0185276816	-0.029442275	0.012345375	0.2070828267	-0.0665233074	0.0397086084	-0.0307586827	0.5551780765	-0.1252674656	0.1957973769	-0.0611349285	-0.0150588723	0.1106038273	-0.1512170018	0.094329901	0.0579022427	-0.1113303631	0.1066278233	-0.1571671426	0.0201080163	-0.0448361359	0.0423536151	-0.0965606402	0.0204201608	-0.0830018301	0.0948831334	-0.0179941877	0.1239515492	0.0034358331	-0.065974333	0.2595476063	-0.0193382462	0.2363885722	-0.0834472492	0.069645153	-0.1132266954	0.0001997474	-0.0565940853	0.0495062251	-0.1479456207	0.0189804901	-0.0365039239	-0.1209168092	0.1699489843	-0.0757517227	-0.0149580668	0.1893380227	-0.145323889	0.0780122799	0.0347558481	-0.0387166681	0.1108873115	-0.1337024853	0.185621003	-0.0372679502	0.0543822649	-0.1072615761	0.1060400556	-0.0559038123	0.0469975212	-0.1079813856	0.2707152093	-0.3104885579	-0.15302813	0.1175408548	-0.0546873659	0.1028601637	-0.139902043	0.0044703934	-0.056384575	0.1302089344	-0.0985791653	0.0188472536	-0.0080306012	0.2418068931	0.0127999132	-0.1400424896	0.033065293	-0.0393863384	0.0295771467	-0.0125154005	0.0652297651	-0.0032773941	-0.1149137985	0.0605604295	-0.0713760877	0.0365999759	-0.0592295011	0.0477780196	-0.064185659	0.0515749165	-0.0009693197	-0.1708976994	0.0231962313	-0.1776605274	0.0133571883	0.0323425016	-0.1004349291	-0.0678069248	0.1154637225	0.1154447293	0.1154130763	-0.0066443165737553	n/a	4.4146942732279374e-05	n/a	-0.1008563213471944	n/a	0.0101719975556885	n/a	-0.0278066779005285	n/a	0.0007732113358637	n/a	0.0005971420152177	n/a	n/a	3.565785863382558e-07	0.0005068324935884	n/a	2.568791765570356e-07	n/a	-0.0005611513449814	n/a	n/a	3.1489083197443415e-07	0.0	0.0
996845.5381545172	-8016.611649645609	64266062.34123369	993701026938.569	1196243.778944672	-46429.08196721319	2155659652.318201	1430999178663.8296	1015592.6150974026	-7706.892467532423	1031428359840.381	59396191.50610801	1032009.908962766	893945.1320917483	1.261771	23.504503	0.1079731302642529	0.0538891629069065	0.0603429078	0.1015805771	0.093817002	-0.0774834662	-0.0418749543	0.0271020285	-0.028720049	-0.055726572	0.0209463963	0.1100246448	-0.0639042388	0.0181746725	0.002249959	-0.1425991387	0.1318910601	-0.0057371683	-0.0101586259	0.1927620814	0.140712127	0.0334192477	-0.1172681298	-0.1179426553	-0.0961665899	0.0126072609	-0.0585076116	-0.0669743059	0.0209270328	0.0979018486	-0.0682521176	0.0966798873	0.041136654	0.0706165637	0.1213737283	-0.0270013137	-0.0173010564	0.1095064519	-0.177812092	0.0463283902	0.0002730354	-0.1292208608	0.098795965	-0.057367644	-0.076968333	-0.1015263507	0.1830328535	0.0574882347	0.0628400105	0.0321488936	0.1173140323	0.0506160102	-0.0177134694	0.1643494749	0.1758019358	0.0323734593	0.1562595876	-0.0336503007	0.0119901933	0.1131878363	-0.044650834	-0.0443582551	-0.0683399293	-0.1000553715	0.0308198595	-0.0022725874	-0.0124722899	0.0819477857	-0.016418828	-0.0339060642	-0.0867721143	0.0454310249	-0.0893853609	0.1829944787	0.096300132	-0.0205364184	0.0129671496	0.0166003657	0.1102813321	0.129909314	0.0819191074	0.0080939537	-0.1643230442	0.0361010245	0.0879392315	-0.0281588432	0.0423128749	0.0425407971	0.0068909958	0.0567127324	-0.064773091	-0.0470521662	0.0383927089	-0.0802926161	-2.87162e-05	-0.1596723248	0.0751435924	-0.0559052873	-0.1399837228	0.0453517689	-0.1039625615	0.0565272848	-0.0351751954	-0.1117345352	0.0298801508	0.1154130763	0.1152422001	0.1149575937	0.0001985776556097	0.006842894229365	3.943308530744462e-08	4.682520143427682e-05	-0.0570998761967587	0.0437564451504357	0.0032603958616851	0.001914626492203	-0.0164751281908763	0.0113315497096522	0.0002714298489058	0.0001284040188223	0.000164044148709	-0.0004330978665087	1.875737619743877e-07	2.6910482725660503e-08	0.0001309447154862	-0.0003758877781022	1.7146518513761862e-08	1.4129162172660878e-07	-0.0006730105238665	-0.0001118591788851	1.2512475900848814e-08	4.529431652350608e-07	0.0	0.0
996348.1391976046	-497.3989569125697	247405.7223377124	992709614482.5292	1207333.4605212605	11089.681576588424	122981037.4701247	1457654084894.2422	1017186.9463311688	1594.3312337661628	1034669283786.528	2541892.0829623346	1034096.0538031916	893523.9205380616	1.100443	20.499268	0.0421786571241444	0.0245073915443726	0.0011986066	-0.0417346589	0.1357208423	0.0120496469	-0.1102272668	-0.0437150154	0.1577509806	0.1117790374	-0.1105112756	0.060679434	0.0273160072	0.0854698311	0.0857341873	-0.1828082599	-0.0517063604	0.1176984193	-0.0458733398	0.1439369355	0.0788596335	0.0246966322	-0.1644244204	-0.055492831	0.0795177441	0.1448027876	-0.0083649426	-0.0767333448	-0.0293871475	-0.0656806634	0.1040095289	0.0895191286	-0.0911799319	-0.0031720901	0.0345826947	0.1192214724	0.007933062	0.0040654327	-0.1181357825	0.1394575324	0.1003306759	-0.0460697342	0.0568754199	0.0436411012	-0.0593700507	0.1761557147	0.0254479415	-0.0038274845	0.0488105606	0.1200823334	-0.0254154475	-0.1159665478	-0.0534739755	0.1713413681	0.0957557459	0.0149732051	0.0612222266	-0.0661981715	-0.2349075714	0.0279811104	-0.0528212135	-0.0209984489	0.081413898	0.0573952666	-0.0908709833	-0.1142462126	-0.1032772639	0.088967241	-0.0049313991	-0.0038722343	-0.1703360149	0.1100643388	-0.0620674196	0.132268776	0.0411141915	-0.0390673455	0.0781904915	-0.0113487543	-0.0368775898	-0.0522903139	-0.163566626	0.0252221806	-0.1541962249	0.0114707709	-0.0613495678	-0.0687127008	0.1241584434	0.034448971	-0.0141885781	0.0783528179	-0.0226618031	-0.0651786591	0.0202330229	-0.1295898815	0.0323371649	-0.0168088847	0.2174112303	-0.0491726586	-0.0174178196	0.0578531143	-0.0186718508	-0.0164913054	0.0057768715	-0.0192589831	0.1338746697	0.1153118061	0.1148374968	0.1140484259	0.0001141558095838	-8.442184602590001e-05	1.3031548861732804e-08	7.127048086420769e-09	-0.0560554425546513	0.0010444336421073	0.0031422126399978	1.0908416327657271e-06	-0.0387757806246185	-0.0223006524337422	0.0015035611630485	0.0004973190989705	4.609190806592183e-05	-0.000117952240643	1.3912731072722621e-08	2.1244639891573893e-09	0.0002179807444773	8.703602899110002e-05	4.7515604962877964e-08	7.575270342539603e-09	-0.0008430052382777	-0.0001699947144111	2.8898202927745423e-08	7.106578317636417e-07	0.0	0.0
996308.0654526867	-40.0737449178705	1605.9050317425515	992629761286.0752	1191691.4943327357	-15641.96618852485	244671106.2429546	1420128617664.9883	1018343.741948052	1156.7956168832025	1037023976764.7606	1338176.099240189	1035198.4069680852	901060.65848321	1.182994	22.037039	0.1039182808068689	0.0574943646436951	0.0725626287	0.0997052361	0.0427778415	0.0066904064	-0.027729641	0.1928083985	0.0558823936	-0.0839139877	0.0625174295	0.1722397633	-0.0040733136	-0.0216743159	0.0901806612	-0.17633122	0.108311781	-0.0276335176	-0.0376511737	-0.0277818598	0.12540092	0.1205006405	-0.175985796	-0.1038179127	0.0828218136	0.0361953235	-0.0951556422	-0.0440475028	0.0973703579	0.0532329135	0.1178984829	-0.0696537845	0.0330181771	-0.0457951714	0.0465048699	-0.1560336647	-0.2057448249	-0.0392750155	0.0115599134	0.0522578438	0.0779943393	0.0735623082	0.070402649	0.0297709658	0.0485793139	-0.0476246603	0.07214229	0.0107877652	-0.1854220902	0.0761631633	0.0955077354	0.062554092	-0.0246421502	-0.0459382064	0.1217460867	0.0833047157	0.1010540112	-0.0786790387	-0.1485434266	-0.0308444249	-0.1098503753	0.0542347208	0.0743126135	-0.1686529182	-0.0994993562	0.0474294459	0.0252004639	-0.0072177045	0.1419525301	-0.0162052786	0.1094340595	0.1289745592	-0.1912079374	0.037702679	0.0414669235	-0.0481413233	0.1403437379	-0.0617841148	-0.0740521441	-0.0415503307	0.103733546	-0.003001307	-0.1242640618	0.0209568572	-0.0081730394	0.0384393493	0.0682862708	-0.0411852317	0.0901380762	0.1650825001	0.0656017885	-0.0456166431	0.0133639282	-0.0867333566	-0.1309972826	-0.133246318	0.0858041488	-0.1001293711	0.0480249748	0.1107538578	-0.0477907233	-0.1604668343	-0.1676561246	0.0820146427	0.1249542938	0.1151599564	0.1142313295	0.112689161	0.0024728012919297	0.0023586454823459	6.1147462293691945e-06	5.563208511390724e-06	-0.0371605127063645	0.0188949298482868	0.0013809037045998	0.0003570183739716	-0.0187472234968311	0.0200285571277873	0.0003514583888401	0.000401143100621	0.0010415470072018	0.0009954550991358	9.909308543956212e-07	1.0848201682110265e-06	0.0001306498313835	-8.73309130938e-05	1.7069378440536986e-08	7.626688381796848e-09	-0.0006730682835384	0.0001699369547392	2.8878568586066885e-08	4.53020914305328e-07	0.0	0.0
1000172.8413935148	3864.775940828025	14936493.072803147	1000345712661.1768	1192914.939805328	1223.445472592255	1496818.8244064865	1423046053610.749	1021864.35737013	3520.615422078059	1044206764863.4688	12394732.95017387	1037440.4084574468	891704.760592809	1.21374	22.609781	0.0287466470877797	0.0162204549136762	0.0088189409	-0.0594583847	-0.0533013254	0.1605194122	0.0865874238	0.0270711964	-0.1554687768	-0.0190568946	0.0813219383	0.0244321233	0.1592674649	-0.1050629908	-0.0068183576	-0.0363649108	-0.0255747001	-0.1260810474	-0.0118163575	0.0441849179	-0.0264905093	-0.0279707587	-0.111178093	0.0377017296	0.0586016777	-0.0581928946	-0.072382548	0.0135568668	0.0648732329	0.0178029637	0.0111727462	-0.0650411832	-0.0796206159	0.0701997511	0.0678689157	-0.1056476626	-0.1962528555	0.050316618	0.1276625594	-0.1254539325	0.029516223	0.0435912101	-0.0479053443	-0.0993710427	0.1809700406	0.0477144339	-0.0356944567	-0.0993241663	-0.0070643413	0.0528287209	-0.0567118365	0.1084750474	-0.0199961593	0.0249503858	-0.0232146865	-0.0415898081	0.1038924884	0.0803232319	-0.0286678593	-0.0573908545	-0.0814493358	0.0375201444	0.0332254659	-0.0337122429	0.006765788	0.1039341257	-0.025786235	0.0227116309	0.201737609	-0.0518848395	0.0787866967	-0.122069692	-0.0789977849	-0.1089924291	0.0160433945	-0.0194625598	0.0431050395	-0.0086352735	0.0056838048	-0.2690053794	0.0153547518	-0.0017960347	-0.0916107719	-0.0229421132	-0.0549493957	0.0691711376	-0.0168539693	-0.1168066233	0.0634907769	-0.000640398	0.0579014134	-0.0657709898	-0.1163424302	0.0840900465	-0.2181226894	-0.0028931547	0.0177301798	-0.0207123044	-0.070331967	0.0115016508	0.0795291066	-0.0678042785	-0.0517356009	-0.0368443264	0.05249561	0.1149575937	0.1134247617	0.1108851636	-0.0023622017812101	-0.0048350030731398	5.579997255152169e-06	2.337725471727132e-05	-0.0371854572045862	-2.494449822169897e-05	0.0013827582275141	6.222279915323433e-10	-0.0068630157139892	0.0118842077828419	4.710098469046269e-05	0.0001412343946257	0.0010799773920857	3.843038488390003e-05	1.4768944823246916e-09	1.1663511674162298e-06	-7.086346597162674e-05	-0.0002015132973551	5.0216308095119004e-09	4.060760901093573e-08	-0.0006729621311059	1.0615243249993343e-07	1.126833892565292e-14	4.528780299025946e-07	0.0	0.0
1001287.8192020112	1114.9778084964491	1243175.5134395445	1002577296882.3196	1198518.1074859118	5603.167680583894	31395488.056739897	1436445653971.6116	1019716.266103896	-2148.091266234056	1039821263356.8716	4614296.088071031	1035722.4302526596	894310.8805512816	1.09317	20.363781	0.0485454818350309	0.0296943661429348	-0.0720215229	0.0543483849	-0.0494589477	0.0121757937	-0.0009618563	-0.0785902301	-0.0473136127	-0.0818293307	-0.0529221901	-0.0656019883	-0.0023336971	-0.0145020251	-0.0610121058	-0.0299718047	-0.0020767537	0.1216881947	-0.0322718392	0.045804889	-0.0457268175	-0.0128746659	-0.0662113635	0.055756699	0.054401658	0.0482894557	-0.1081460028	-0.0652106981	-0.0860502611	0.0176269393	-0.0509021017	-0.0439281146	-0.1088729521	-0.0351838158	0.1767239715	0.048060795	-0.0008066161	-0.0461116446	0.0431677617	0.0061452263	-0.120695478	0.0103861158	-0.0019863761	0.0912808128	0.1672472464	0.0520660834	0.0916201095	-0.1045950178	0.1099383139	-0.0736090561	0.033723359	-0.115820814	-0.0654290567	0.0398350273	-0.0293132456	0.0136484968	0.0433995622	0.0812686947	-0.0816244536	-0.0072535703	-0.1125248163	-0.0788243144	-0.0583894738	0.0314954632	0.0312699952	0.0341944599	-0.0258726935	-0.0606224697	0.1403061605	-0.1624648948	-0.0719478668	0.0442348727	-0.0401366545	0.0229952422	-0.0869730033	0.2017340596	-0.1266281878	-0.079647477	0.0140292614	-0.1214794137	-0.0511373866	0.0114645693	-0.1158799694	0.0074370128	0.0043845393	0.0564898381	-0.0135497925	0.0481570894	-0.0360398212	-0.0345282483	-0.0161696632	-0.0112106317	-0.018394479	0.0121006625	-0.0780424189	0.0346319244	0.0962155416	0.011469805	0.0265901136	0.0414586247	0.0414075303	-0.0737991923	0.0704432749	-0.0926450523	0.1739961217	0.1147048067	0.1124192083	0.108643553	0.0001367108708905	0.0024989126521006	1.868986221963896e-08	6.244564442828454e-06	-0.0374061283643243	-0.000220671159738	0.0013992184392083	4.869576074015647e-08	-0.0067006620695906	0.0001623536443986	4.4898872170850186e-05	2.6358705849507087e-08	0.0006449693688926	-0.0004350080231931	1.892319802423687e-07	4.159854868097187e-07	-0.0001931019993153	-0.0001222385333436	3.728838213956612e-08	1.4942259034012322e-08	-0.0003169378000668	0.0003560243310391	1.267533242918387e-07	1.0044956911118292e-07	0.0	0.0
998185.4783518356	-3102.340850175591	9624518.750668207	996374249192.4828	1209456.172067111	10938.064581199083	119641256.78248188	1462784232151.229	1020261.5618831168	545.2957792208763	1040933654656.177	297347.4868361027	1036784.9189760638	895367.0344224276	1.101059	20.510727	0.0624028893911455	0.0313741014940249	0.0165480619	-0.0410365842	0.0885934443	0.0298698513	-0.1575287217	-0.1172096945	-0.0101604831	0.095727422	-0.0616070443	-0.037013459	-0.0796608956	-0.057690323	-0.0063134859	-0.1381767639	-0.1095767497	0.0663706493	0.0319399146	0.0713725792	0.0532905409	0.0435835077	-0.0443338719	-0.078603456	0.0153680818	0.0572273463	0.0169309361	-0.0036729048	-0.053420344	0.02238653	-0.0984001302	0.0539879904	-0.1395435148	-0.1370244986	-0.0205254841	-0.0723492716	0.119371991	-0.0340227716	0.0205255348	0.0331845333	0.1643683971	-0.0799000392	-0.0379748302	-0.0279835415	0.0467206164	0.0295301622	-0.1772887835	0.2050753783	-0.0604649493	0.0765475974	-0.0907697413	-0.0827511868	0.0098362777	0.0806499311	0.0663946556	0.0719437984	0.0427406571	-0.0635587555	-0.0485580707	0.0321217143	0.0369317565	-0.0481861539	-0.0275597257	0.0241135783	0.0607306296	-0.1106048036	-0.0972182453	-0.117639541	-0.0894269753	-0.0627350433	0.0805600579	-0.009856994	-0.0059442907	-0.0564198848	0.0685763755	0.0714867635	0.1472555128	-0.0729968819	-0.008810508	0.0167371324	-0.0194248076	-0.0171202963	-0.0826373577	-0.0360938429	-0.0196022578	-0.0408847666	0.0728997684	0.0055325017	-0.0316597984	0.0605545535	-0.051756239	-0.0462222525	0.0208681134	-0.0088477176	0.082701571	0.0845865821	0.1430140792	0.0510719545	-0.0880337867	0.1387233105	-0.0205056576	0.0624060045	-0.075392321	0.0795164187	0.0895540138	0.1144017065	0.1112164334	0.105973176	0.0002018065282669	6.509565737639999e-05	4.0725874851139115e-08	4.237444609265658e-09	-0.02738089010532	0.0100252382590042	0.0007497131429596	0.0001005054021498	-0.0233604711013555	-0.0166598090317649	0.0005457116100772	0.0002775492369748	0.0006780441620024	3.307479310980007e-05	1.0939419392560782e-09	4.597438856255369e-07	0.0001307717886871	0.0003238737880024	1.7101260716423533e-08	1.0489423055502355e-07	-0.0006730441478146	-0.0003561063477478	1.2681173090627706e-07	4.529884249074811e-07	0.0	0.0
999499.9778590436	1314.4995072080055	1727908.9544500895	999000205740.2288	1192550.4563268442	-16905.71574026672	285803224.690702	1422176590885.3645	1018375.685487013	-1885.8763961038785	1037089036791.1436	3556529.781381753	1034259.5339228724	888545.1024671741	1.251661	23.31617	0.1122662518793012	0.0645466258813174	-0.0411134731	0.1338946663	-0.0574954191	0.1359184902	-0.0041309973	0.0727577249	-0.0355476821	-0.1562553215	0.0175420479	-0.0038624625	0.0499200724	0.0035449969	-0.0469729293	-0.1197635243	0.1289909655	0.0439073907	0.0115106108	0.0199063665	0.0841500146	-0.024417518	-0.0239267048	-0.0748665339	-0.0662459105	-0.0485560881	-0.1199535385	-0.0403601522	0.1142638574	-0.0029271065	-0.0335320418	0.1572375702	0.0373758999	-0.2177210697	-0.1796914575	0.0825307795	-0.1119570688	-0.077466692	0.0762389914	-0.0238427442	-0.0917496341	-0.1607671015	0.0211609783	0.236662089	0.0172566748	-0.0619512457	-0.1843957179	0.0521353169	0.1378626902	0.0628318569	0.1388796296	-0.0017333366	-0.0111136636	-0.01661419	0.0786837129	-0.0207043728	0.1317342436	-0.0462592209	0.0823297531	-0.0030375842	-0.1320281727	0.0105340602	0.0463887125	-0.0234195951	0.110416828	-0.1714524933	-0.0017402523	-0.0798359444	-0.0341328947	0.0803567777	-0.058854746	0.2288428905	-0.1321838314	-0.1143888814	-0.189969901	-0.0734406045	-0.0169375566	-0.1218610887	0.0305259625	0.0466946887	0.1371488501	0.0404748137	-0.0917057365	-0.007860637	-0.0513984358	0.0591944426	-0.084599467	-0.0308690065	0.0621175106	0.2248789851	-0.0807098503	0.0312473467	0.0726514606	0.1128273627	-0.0798873402	0.0282632059	-0.0460150054	-0.0137328404	-0.054328932	-0.0072732579	0.0783392976	0.0336923612	-0.1326728748	-0.0187538888	0.055333363	0.1140484259	0.1098185471	0.1028845713	-0.0052098534618494	-0.0054116599901163	2.714257309394418e-05	2.928606384862556e-05	0.0260514132633886	0.0534323033687086	0.0006786761330198	0.0028550110432857	-0.0481443926311868	-0.0247839215298312	0.0023178825418258	0.0006142427663968	0.0010350563132634	0.0003570121512609	1.274576761480071e-07	1.0713415716264217e-06	0.0001300403309165	-7.31457770599981e-07	1.6910487664872828e-08	5.350304701710944e-13	-0.0008880678785959	-0.0002150237307813	4.623520479910898e-08	7.886645569938222e-07	0.0	0.0
1004765.9376605022	5265.959801458521	27730332.630577065	1009554589482.788	1208019.819864242	15469.363537397934	239301208.25217676	1459311885184.836	1022755.6325324676	4379.947045454639	1046029083876.888	19183936.120986823	1038518.3252659574	904061.3004563516	1.362119	25.373814	0.148415019294	0.0750717825923041	0.0620644067	-0.0921423204	-0.1018999623	0.0810238624	-0.0287633124	-0.1162980632	-0.1604125091	0.0526480692	0.0511909548	-0.1340031749	0.0764240616	-0.1552985963	-0.1433554728	0.0744612665	-0.0485308505	-0.1130725552	-0.025594599	0.0722111785	-0.0870602482	-0.0655890902	-0.0502746324	0.0774103856	0.0503675678	-0.044507313	-0.0166865701	0.1560800783	-0.013023094	0.1600671454	-0.0516511864	-0.0142924704	-0.0148783845	-0.1214463126	-0.1634743934	-0.0781141154	-0.1081389955	-0.0212748623	-0.1148543621	-0.1681200945	-0.3049982605	-0.1532705708	-0.0673204765	0.1199371586	-0.0624775802	-0.088243867	0.0346546277	-0.0821339952	-0.0795353595	0.0287827236	-0.0748647777	0.0960479926	-0.0389841562	0.0644928898	-0.0918712644	-0.0514210707	0.0582715142	0.1269834158	-0.0234304248	-0.0568234696	0.0347860674	0.0555261463	-0.0969959327	-0.1048714062	0.1493897172	-0.0924050259	-0.0102164774	-0.1743942755	0.0852349753	0.0574073327	0.1473553531	0.0483416354	0.0306185857	-0.025769895	-0.1056575336	-0.2330287649	-0.2793186806	0.0180947285	0.1446414165	-0.0095653567	0.1312691442	-0.0100411854	-0.0732775021	-0.0718565086	0.021841448	-0.0831973955	-0.0907648645	-0.0808861234	0.0513132344	0.0027113203	-0.0933973392	-0.0036528119	-0.1046640477	0.1065639402	-0.0980574164	0.0212431156	0.0380026664	-0.0621113126	-0.0152699863	0.1316945316	0.1765970699	-0.023471486	0.0533659191	-0.0517201967	-0.1418661465	0.1136451198	0.1082280018	0.0993899282	-0.0225453923167577	-0.0173355388549083	0.0005082947147165	0.00030052090739	-0.0245258163490262	-0.0505772296124148	0.0006015156675861	0.0025580561552669	-0.0196252912619598	0.0285191013692269	0.0003851520571167	0.0008133391429082	0.0003451215490614	-0.000689934764202	4.760099788544693e-07	1.1910888362654036e-07	0.0002108003452461	8.076001432959999e-05	4.443678555587495e-08	6.522179914517195e-09	-0.0011570360892133	-0.0002689682106173	7.2343898322726e-08	1.3387325117420073e-06	0.0	0.0
1002714.6927834464	-2051.244877055753	4207605.545647471	1005436755123.8011	1197710.9123975409	-10308.907466701232	106273573.1570084	1434511429676.15	1020835.0403896105	-1920.5921428571453	1042104179687.2576	3688674.179204602	1037658.0689029256	902306.1813007888	1.300549	24.226871	0.1536469046105756	0.0726344685168599	-0.1085440489	0.0880257083	-0.1361936805	-0.0148460025	0.0101141248	-0.0086581707	0.0009917635	-0.1196595947	-0.0703449364	-0.1036707765	-0.0090082902	0.048333081	-0.0392476569	0.0180901815	0.0610515604	0.0832226125	0.0185485514	0.0106827108	-0.0600516231	-0.0336412735	-0.0977789918	0.0535141103	-0.1447660897	-0.0323816951	0.0746541449	0.0816645835	0.0429534475	0.0193717783	0.02970945	-0.0188431907	0.0344035134	0.0037705202	-0.0145495819	-0.0734999534	-0.026512693	-0.0939911307	0.0381291757	0.1243792885	-0.0955002287	0.2198453388	-0.0233420722	0.0634845519	-0.1777021207	-0.0323519609	-0.1329203659	0.0380401003	-0.0464296184	-0.1584313874	0.0912878194	-0.0781867546	0.0262069493	-0.0028002102	-0.0649162255	-0.0260097982	0.0633369431	0.1178221825	0.0204421972	0.0811298315	0.0910800296	0.1392020482	0.0198442126	-0.006275857	-0.0146013624	0.0360352947	0.0518140552	-0.0153247825	0.0138512908	-0.0295571777	0.1104220825	0.0878914097	-0.0053216799	-0.0384430235	0.0574851255	0.0090471256	-0.0532398709	0.1998495993	-0.1746724156	0.1362818167	-0.0553040614	-0.0108198895	-0.0773360565	0.0468206061	-0.0848965771	-0.0576740861	-0.0282566262	0.1503141786	-0.0226519785	0.0142431294	0.0596985616	-0.0447002725	-0.0336984694	0.1218297637	-0.013584632	-0.00981593	-0.0065812768	0.003214534	0.1124405488	-0.1124927014	-0.1533590439	0.103604781	0.1369213652	-0.108039352	-0.1320346156	0.1131919653	0.1064475877	0.0955030384	-0.0162496652948931	0.0062957270218646	0.000264051622196	3.963617873383612e-05	-0.0758371422954837	-0.0513113259464575	0.0057512721515454	0.0026328521703836	-0.0068112820038663	0.0128140092580935	4.639356253619292e-05	0.0001641988332665	0.001233215618082	0.0008880940690206	7.887110754295664e-07	1.5208207606813694e-06	0.0005740414055597	0.0003632410603136	3.29523535296956e-07	1.3194406789774845e-07	-0.0007438543708643	0.0004131817183489	1.7071913237783234e-07	5.533193250539235e-07	0.0	0.0
