global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
945034.1386015876	n/a	893089523122.4447	n/a	1409878.950768849	n/a	n/a	1987758655821.0708	916999.2685769544	n/a	n/a	840887658570.6693	960894.9064235148	989569.543001734	n/a	n/a	n/a	n/a	-0.0886626424	0.0019020063	-0.0431817478	0.0324681307	0.2882261084	0.0967087849	0.3547582983	-0.2470725491	0.2323017921	-0.0968412669	0.125783801	-0.0439706484	0.1201693925	-0.0346354035	0.0726830672	-0.0004624265	0.0566891262	-0.0413416305	0.1081044104	-0.0131662737	0.1354653165	-0.0763354624	0.1589831367	0.1708853922	-0.1257766969	0.0527806779	-0.0193621906	0.0127697585	-0.0212034696	0.029115988	-0.0185099669	0.1500032649	-0.0987177909	0.0160250734	-0.0330266155	0.0770935099	-0.1134482637	0.2083168445	-0.0204787913	0.1066197918	0.0053503349	-0.141649996	-0.0616025214	0.0649658029	-0.0926656116	-0.1976922364	-0.0093296309	-0.1085116707	0.0144638453	-0.0786211862	0.0042501071	-0.0509043433	0.1396462358	-0.0162675203	0.1028975714	-0.3687258521	0.1606087284	-0.1185835999	0.1769549231	-0.1521812363	0.3239805651	-0.1166997466	0.2029773777	0.2175162533	-0.0460441265	0.0081100562	-0.1422006081	0.2129286036	-0.0675718066	0.0686254437	-0.0031272346	0.1831184888	-0.1449333037	0.1430659919	-0.0941455997	0.0913546379	-0.0018095764	0.0123881651	-0.0312178183	0.1297897187	-0.0240704392	0.0062128776	0.0076667682	-0.1466899204	0.1889022042	-0.1211515646	0.0465716361	-0.0158726984	0.1101791657	-0.0254011312	0.056936252	-0.0988425523	0.0751600582	-0.1060089606	0.0828741976	-0.0129440941	-0.0077634917	0.0212250067	0.007859098	0.1154637225	0.1154447293	0.1154130763	0.0352979814944234	n/a	n/a	0.0012459474975806	-0.0510495867972764	n/a	n/a	0.0026060603121726	0.0002079712721609	n/a	n/a	4.3252050044223145e-08	-0.0002583234237189	n/a	n/a	6.673099124185436e-08	-0.0013181343174746	n/a	1.73747807890423e-06	n/a	0.001027330973654	n/a	1.0554089294288756e-06	n/a	0.0	0.0	0.0	0.0	0.0
939838.3819499328	-5195.75665165484	883296184186.2677	26995887.18321551	1370449.2037450396	-39429.74702380947	1554704950.3616116	1878131020045.413	914342.5784303746	-2656.6901465797564	7058002.534933968	836022350730.7058	952307.8914578706	987334.7878986354	1.287063	24.001818	0.1438111493621221	0.0685674947035771	-0.0680421548	-0.0750122172	0.0062205398	0.0922832763	-0.0015329832	0.1492380573	0.1646555597	-0.1259355547	-0.0189133636	-0.1163095922	-0.0097659031	-0.0130263388	0.1442602836	0.0940299755	0.1453453481	-0.0825373866	0.2203481424	-0.045713776	-0.0317348297	0.0797481586	-0.0179146706	0.0303072025	-0.0578573594	0.0215103815	0.050582358	0.0446330071	0.142100007	0.0884532972	-0.128291297	0.0156686434	-0.1005666067	-0.0515317501	-0.100371057	0.0956163936	0.0389782136	-0.0446079865	-0.1006476829	0.0178380117	0.0075225643	-0.0162207252	0.0271009236	-0.1005625539	-0.0317386412	-0.0013184699	-0.0410046324	-0.0299890952	0.1019989937	0.0009993303	0.0663803724	-0.0634031948	0.1751194947	-0.2282721308	0.1886273897	0.0417434732	0.0126497507	0.0003185991	0.0480185228	-0.2210025666	-0.0013309137	-0.0690244493	0.0915761611	-0.0074974291	-0.0030667405	-0.044052737	0.0164050666	-0.0712427935	-0.0989040161	0.0233646536	0.0375483368	0.0314451946	-0.0917804611	0.0125278315	-0.0896411942	-0.1053897737	-0.0901728958	0.1537224731	-0.1383558579	-0.0124649162	-0.0627277197	0.0564452884	0.0711314556	-0.0318669081	0.0413525022	-0.1422338416	0.1829079583	0.0312298441	-0.0414702536	-0.1030315811	0.1303431799	-0.0631453502	-0.0147996928	-0.1009880685	0.0592895273	-0.093299453	0.0311143686	0.0624285004	0.108182807	0.0005043867	0.027195498	0.1154130763	0.1152422001	0.1149575937	0.0205277440382332	-0.0147702374561901	0.0002181599145122	0.0004213882752992	-0.0901664591644504	-0.039116872367174	0.0015301297037897	0.0081299903582545	-0.003969935551737	-0.0041779068238979	1.7454905429172636e-05	1.5760388284945356e-05	0.0004582124238913	0.0007165358476102	5.134236209104678e-07	2.099586254083404e-07	-0.0008438848906355	0.0004742494268391	7.121417086428898e-07	2.24912518857215e-07	0.0005031935938061	-0.0005241373798479	2.532037928474984e-07	2.747199929538218e-07	0.0	0.0	0.0	0.0	0.0
941111.5336054432	1273.1516555104172	885690918685.1892	1620915.137928916	1361056.75437128	-9392.449373759562	88218105.23863639	1852475488619.683	913914.1430679968	-428.4353623777861	183556.85973578488	835239060899.7109	952312.6333243684	997908.742451372	1.163511	21.697741	0.0801465310385353	0.0353269755436554	0.0179003713	-0.1253800553	0.021758113	-0.0958027803	-0.0285423716	0.1268999224	-0.0537227737	0.1330235921	-0.0443596936	-0.110285523	-0.0448365614	-0.04941605	0.1769259125	0.1152702825	0.1615684772	-0.0043653493	0.0517009339	0.0334036035	0.0041880614	-0.0142558741	-0.0199777662	-0.1720005648	0.0241988628	-0.0154278893	-0.0207667575	-0.0707041735	0.1491729506	0.0558876949	0.0587499288	-0.1432370852	0.043900377	0.0695576528	-0.0265424962	0.0740257009	0.0441838831	-0.060503003	-0.0283270014	-0.1679427342	0.1191736524	0.0718521537	0.0292824074	0.0352003647	-0.0585506306	-0.0698477347	0.0406688758	-0.0103400593	0.1376242816	-0.0732654699	0.111865507	-0.0029917287	0.0576098719	-0.02902787	0.1443452688	0.0050172261	-0.1637392203	-0.0410497012	-0.0833865262	-0.1706188927	-0.176804705	0.0019070467	0.1315455476	0.0471191457	-0.0808964901	0.0242466449	0.0271778478	0.0931646474	0.0930718535	-0.0727977304	0.0612361565	-0.105885561	0.1165602068	0.0941923692	0.0341188851	-0.0704354958	0.0442572123	0.0729719003	-0.0466907673	0.0983108359	0.0679718787	0.131712436	0.0502225499	-0.0112050044	0.0624753687	-0.1457913589	0.1968078814	0.0245829492	-0.0622901666	-0.1141800225	0.0015109651	-0.0722688551	-0.0249426185	-0.042097906	-0.0183767786	-0.0392274584	0.0171282953	-0.0138141293	0.0883683844	0.1186575621	-0.0127507109	0.1153118061	0.1148374968	0.1140484259	0.0315117969218192	0.010984052883586	0.0001206494177494	0.0009929933452419	-0.0771215802293454	0.013044878935105	0.0001701688664315	0.0059477381370713	-0.0185472486696767	-0.0145773131179396	0.0002124980577384	0.0003440004332148	-5.168542433889225e-05	-0.0005098978482301	2.599958156297803e-07	2.671383089091355e-09	-0.0010920144385864	-0.0002481295479508	1.1924955340811702e-06	6.156827256631796e-08	0.0005759719196631	7.277832585700003e-05	3.317436522403965e-07	5.296684714547681e-09	0.0	0.0	0.0	0.0	0.0
941710.4779540532	598.9443486100063	886818624288.4513	358734.3327318647	1360597.5949590774	-459.1594122026581	210827.36581429053	1851225815408.4255	916877.1504478828	2963.007379885996	8779412.733258873	840663709013.4296	953300.940458426	995398.062259688	1.243714	23.193413	0.1272545247630802	0.0651169379544199	0.1338049865	-0.0602099175	0.0158744462	-0.0565144318	-0.1255562284	0.0516518875	0.0367514683	0.0206283123	0.0853363797	-0.0343661762	-0.1111002157	0.0170445576	0.0271522135	-0.0802089269	0.0540159681	-0.0947370455	0.0605229004	-0.0764202356	0.0262170112	-0.139787866	-0.0339256491	-0.1218950423	-0.0186123739	0.1535051501	-0.1502677664	-0.046584162	0.0921991482	0.1345061866	0.0108411483	0.011546053	-0.0616382504	0.0233926226	-0.0229305091	0.0970963012	0.0792102373	0.0373427561	0.0770403016	-0.1600258083	0.0067768148	-0.0295543827	0.0551322398	0.0111625841	0.008667438	0.0883419306	-0.0545368553	0.0793596069	0.0777185113	0.1045253887	-0.0748404847	-0.0098226176	-0.0163344042	0.0186700936	0.1701653516	0.0311836125	0.004616957	-0.0881784836	-0.0575423767	0.0228238212	-0.2352104235	-0.0071971956	0.1303085109	0.0820816247	-0.1192518715	0.1878106675	-0.0122110216	-0.1007074707	-0.0739962133	-0.0553143917	0.1289879239	-0.0546979955	-0.0598935888	-0.0616626446	0.0518523239	-0.1307978028	0.0426697518	0.0914606814	-0.1586056453	0.1577157048	-0.0899842909	-0.003984538	-0.0328771873	-0.0374722861	0.0235539559	-0.1312458022	0.1932255529	0.0525224925	0.0635071653	-0.0047829035	-0.0379747975	-0.0715647073	0.0195697594	-0.0618984437	0.0816733689	-0.1465371296	0.1499150276	0.0606091103	0.0344014107	-0.0424405309	0.022672088	0.1151599564	0.1142313295	0.112689161	0.040150715376356	0.0086389184545368	7.463091206413648e-05	0.0016120799452331	-0.0687625969254526	0.0083589833038928	6.98726018747586e-05	0.0047282947359322	0.0332228749766443	0.051770123646321	0.0026801457023553	0.0011037594217137	0.000883802669658	0.0009354880939968	8.751379740099383e-07	7.811071588946079e-07	-0.0009307119713641	0.0001613024672222	8.662247736404494e-07	2.6018485932001136e-08	0.0006489113456105	7.293942594740002e-05	4.210859344620298e-07	5.320159857536251e-09	0.0	0.0	0.0	0.0	0.0
940623.0866606444	-1087.3912934088148	884771791158.9982	1182419.8249812953	1362792.8834945436	2195.288535466185	4819291.753949267	1857204443303.3728	915963.1461726384	-914.0042752444278	835403.8151650918	838988485146.4781	954362.7030512562	994774.7362079688	1.118253	20.85375	0.1928598130554148	0.0904257593760973	0.108483149	0.0395901681	-0.0063721981	0.1012786467	-0.1194682933	-0.0535259879	-0.1311797659	0.0003508918	0.08299007	-0.006115437	-0.1053699878	-0.0368660665	0.2268010342	-0.035371147	0.0151402268	-0.1056619748	-0.0603920448	-0.0518511209	-0.0404447739	-0.01225009	0.0003125124	0.1052514348	0.0821944411	0.0499202815	-0.0636402775	-0.0674585385	0.0420711766	0.1303886329	0.0283697624	-0.0735494758	0.0387755363	0.0093196145	-0.0463500361	-0.0523041642	-0.0025198158	0.0866045377	-0.0732061588	-0.1099875759	0.0936851628	-0.0290215674	-0.0284546266	0.1233279848	0.026902083	0.0709524928	-0.0542566961	0.0932916049	0.0450762047	-0.1431684571	-0.0930405809	-0.115728117	0.0051170358	0.0045026721	0.154798204	0.0215037596	-0.0539452825	0.1070206168	-0.0728859117	0.0298588014	-0.0369219202	-0.0474883311	0.0580004179	0.1249315937	0.0120514965	0.0553387534	-0.1105834238	0.0057368447	0.0273612046	-0.1402360213	0.0252584008	0.015179873	-0.0178961325	0.0359833283	0.1161576011	-0.0858407191	-0.0268397123	0.121050754	-0.110722357	0.0717800941	0.16053004	-0.0239264885	-0.0013190202	-0.0043732789	0.0476043377	-0.026849254	0.2185114209	0.0335513579	0.1361737874	0.0182485629	0.0685872347	-0.0320886634	-0.0368208598	-0.0355591531	-0.0231118429	0.0097900314	0.0980532905	0.0436728494	0.0913857313	-0.0575628404	-0.0192685189	0.1149575937	0.1134247617	0.1108851636	0.0020176376041121	-0.0381330777722438	0.001454131620384	4.070861501527215e-06	-0.1002308923634842	-0.0314682954380316	0.0009902536177752	0.0100462317839803	-0.0373230743627601	-0.0705459493394043	0.0049767309681978	0.0013930118798881	0.0005770692235153	-0.0003067334461427	9.408540698257668e-08	3.330088887285513e-07	-0.0006019333421363	0.0003287786292278	3.62323748375376e-07	1.080953870369112e-07	0.0002301736108663	-0.0004187377347442	5.29798911392309e-08	1.7534129049870404e-07	0.0	0.0	0.0	0.0	0.0
941053.6388886608	430.5522280164296	885581951265.5901	185375.2210499116	1364876.339874752	2083.456380208489	4340790.488231458	1862887423149.9	918062.3915411236	2099.2453684852226	4406831.1171066575	842838554762.2074	956727.2035934896	999580.9986146712	1.156537	21.56769	0.1454431244930241	0.0678128304475384	0.0487606006	0.1118685735	0.0261427121	0.0215232975	-0.0243044509	-0.1000546569	-0.1739095866	0.0251177433	-0.0650768059	0.0993443053	-0.0526012625	-0.1068288792	0.0774853223	-0.1187871028	0.1589476466	0.0849674962	0.0861435609	-0.115460753	0.0860245374	0.0304270184	-0.073468692	-0.0722277866	0.0321503977	0.0468180783	-0.0388530546	0.0119445857	-0.0149005585	0.0840559447	0.1373617334	0.0833034707	0.0725467442	-0.0149925067	-0.0083459492	0.0659642871	0.0960027426	-0.0201241579	0.0888681986	-0.0400218997	0.0280863298	-0.0230308134	0.0317695156	-0.0509483779	0.0585479902	-0.0112444038	0.036153706	0.0852745075	-0.060325017	-0.1289058564	-0.0020641057	0.1845536996	-0.1303229947	-0.1183404695	0.1171284353	-0.0568723173	0.0317728201	-0.0589526241	-0.0362963604	-0.0631749279	-0.1033334019	0.011424399	-0.0360881306	0.0267633621	-0.0574495631	0.0607204779	-0.0574776349	-0.0436371413	-0.0050718692	-0.0404762731	0.0377742051	-0.1515330983	0.0890948046	0.0494442267	0.1589396859	0.0241449083	0.0683945864	0.1432867319	-0.0255815088	0.0719436827	-0.0363417492	0.0184868993	-0.2202616026	0.0029303435	0.0279296776	-0.0982193236	0.1355337366	0.0375198682	-0.0648348203	-0.095378697	0.1475754204	-0.0744487919	0.0308513377	0.0408194977	0.0386423564	0.0098251436	0.1496642464	-0.0264852668	-0.0568407282	0.0855573566	-0.1109670124	0.1147048067	0.1124192083	0.108643553	0.01123466218678	0.0092170245826679	8.49535421575044e-05	0.000126217634451	-0.0689320330880036	0.0312988592754806	0.0009796185919463	0.0047516251856456	-0.0212706604171444	0.0160524139456157	0.0002576799934813	0.0004524409945814	-0.000212066558212	-0.0007891357817272	6.227352820023567e-07	4.4972225111883586e-08	-0.0012539864884797	-0.0006520531463434	1.5724821132896486e-06	4.251733056563274e-07	-0.0001061339948482	-0.0003363076057145	1.1264424862437746e-08	1.1310280566141961e-07	0.0	0.0	0.0	0.0	0.0
940919.8745099948	-133.76437866606284	885330210247.9043	17892.908999917847	1361926.609343998	-2949.7305307541974	8700910.20406344	1854844089239.2388	919472.5270765472	1410.1355354235277	1988482.2282641984	845429728048.5317	957763.9372527417	995056.755970107	1.271141	23.704884	0.0373367833302514	0.0258223703591425	-0.0262442082	0.0597046685	-0.0339784564	-0.0181261931	-0.025477712	-0.1167908572	0.0122590326	-0.0903026068	-0.1468266025	0.1595750661	0.0286786511	-0.0141914091	0.1295648201	0.1382370243	-0.0698368192	0.0064783099	0.1432954432	0.0052723579	0.0243023887	-0.0336032146	0.0242753146	0.0415103139	-0.0822102163	0.0408559252	-0.1961374819	-0.043544328	-0.0950118153	-0.0181382501	-0.2386505773	-0.0072598314	-0.1079753146	0.0784250006	-0.1496268468	-0.2256508296	0.0593194053	-0.1037252217	0.0752699567	0.1373027448	-0.0178519837	-0.0070158763	-0.0922600762	0.127722978	-0.0734993981	-0.0964936815	0.0208600781	0.0532988963	-0.1251575545	-0.0569264541	0.0580158051	-0.1183985438	0.0948536843	-0.0667471501	0.0185926495	-0.0005282358	0.0469336155	-0.0852292051	0.0305697759	0.0886815499	-0.157455523	0.15226041	-0.1679099995	0.0923165919	0.0699506168	0.133447561	-0.0777816311	-0.0994511497	-0.0264576838	0.1028461061	-0.2422695538	0.1141323899	-0.0541635527	-0.068376328	0.0135441528	-0.1293209698	0.0064038064	0.1322052537	0.0349746625	-0.0717693999	0.0844452625	-0.0659057319	0.0579706782	0.0525902977	-0.0369239429	-0.0001193953	0.0882525978	0.1962970856	0.0602119509	-0.2111139534	-0.0280264521	0.0594991528	-0.065298587	-0.0259021197	-0.0473649766	0.2003429419	0.1006104434	-0.0165450315	0.03834925	-0.0263930528	0.1106807888	0.1144017065	0.1112164334	0.105973176	0.0105578527918908	-0.0006768093948891	4.58070957010285e-07	0.0001114682555752	-0.0675446363553078	0.0013873967326957	1.924869693894959e-06	0.0045622779003707	-0.0156100880515879	0.0056605723655564	3.20420795057019e-05	0.0002436748489783	-0.0002117898535113	2.767047006999837e-07	7.656549138946759e-14	4.4854942050337926e-08	-0.0011380351477314	0.0001159513407483	1.2951239974720292e-06	1.3444713421328378e-08	0.000369878056445	0.0004760120512932	1.3680977663953065e-07	2.265874729763601e-07	0.0	0.0	0.0	0.0	0.0
941195.7350786468	275.8605686520459	885849411730.2343	76099.05333703014	1372243.1046316964	10316.49528769846	106430075.02110454	1883051138209.2368	914735.7920399024	-4736.735036644735	22436658.807377804	836741569238.8676	954965.8046614728	996884.736335193	1.412689	26.34454	0.3990194883653871	0.241260876525682	-0.1012585922	0.0656658422	-0.014681794	-0.1184006083	0.1090362064	-0.0839298024	-0.1544382682	0.0177300951	0.0415461387	-0.0144712511	0.0431016054	-0.2137393246	-0.2058440704	0.1149450566	0.0158807538	-0.1284628754	-0.1155413782	-0.0828196011	-0.0858815225	0.0530439392	0.0854497274	0.1650036934	-0.1367689025	0.0082946123	-0.0713284297	-0.047709725	0.0482496362	-0.1719654575	-0.2207184729	0.1573070691	0.072282762	-0.0221686844	0.1119973165	0.086192266	0.0389520689	-0.029264736	0.0149680732	-0.1199018643	-0.0154650198	0.038918544	-0.1439306933	-0.2673596484	-0.0014821218	-0.0455524769	0.1364981411	-0.0549213787	-0.0459926087	-0.0257281116	-0.0480462739	0.2204199677	0.1853948486	0.154137224	-0.0150137473	0.055431448	0.143104764	0.2207528485	-0.0283375004	-0.0042841953	0.0505961713	0.0624922634	-0.1121377696	0.0439820729	0.1920748104	0.0440903255	0.2440552057	-0.0730852422	-0.0485972227	-0.0809842571	-0.114666939	0.023660503	-0.0576062271	0.0855749286	-0.0382196571	-0.0456242001	-0.0660363231	-0.0728556844	0.340603465	-0.0113396129	-0.0612411273	-0.0271463809	0.0183098224	0.0294041786	0.0043343337	0.1133486265	0.060042385	0.0097918196	0.1911274265	-0.0770926624	-0.0815241684	-0.011747823	-0.2116393236	0.261485745	-0.3664904833	-0.0528536171	0.0956397674	-0.0993728874	-0.0376917783	0.1869665878	0.3053246449	0.1140484259	0.1098185471	0.1028845713	0.010430419964905	-0.0001274328269858	1.6239125393593156e-08	0.0001087936606442	0.0419320482716614	0.1094766846269692	0.0119851444769128	0.0017582966722569	0.0641770316810692	0.079787119732657	0.0063659844752333	0.0041186913953929	-0.0037109107823975	-0.0034991209288862	1.2243847274969426e-05	1.3770858834914026e-05	-0.001141971884218	-3.936736486599961e-06	1.3040997843444089e-06	1.5497894164927407e-11	0.0010593854146477	0.0006895073582026	1.1222974567682791e-06	4.754203970156664e-07	0.0	0.0	0.0	0.0	0.0
938502.590321343	-2693.1447573037585	880787112039.8706	7253028.683792721	1358095.6440042162	-14147.460627480175	200150642.2061018	1844423778263.2268	917102.0873371336	2366.295297231176	5599353.433698379	841076238598.1274	957249.9578315866	987386.722795254	1.423418	26.544619	0.2530240134651917	0.1419636123531755	-0.0769252301	-0.0264631133	-0.0937896486	-0.0620631256	0.0542012539	-0.0104117438	-0.0886234549	-0.1174950001	0.0007574772	-0.0963445374	0.1444189716	-0.0837816323	-0.0225462552	-0.045069064	-0.2388809783	-0.0922531327	-0.0157538638	-0.0145250806	-0.1150474629	-0.0091869664	-0.041229338	0.0690448838	-0.0596723994	0.042913364	-0.1300074086	-0.1201073436	-0.1098355278	-0.2144684549	0.0735606092	-0.0422605393	0.0196888604	-0.0175400323	2.86049e-05	0.1723605173	0.0803670682	-0.127358144	0.0375949072	-0.1289589987	-0.0728978162	-0.0164890884	0.0605907613	0.0744306374	-0.0357723943	-0.0190352743	-0.014177168	-0.1542137366	-0.0318787276	0.017973764	-0.1668748398	-0.0548499181	0.1345041385	0.0718623724	-0.0545337937	0.05130773	0.031551351	-0.0708498987	-0.1602709901	0.0629226022	-0.0464610153	-0.0207286115	-0.2186096884	0.1118305921	-0.0414191206	-0.0455114774	0.0239154794	0.1530128215	-0.0403227951	0.1453197172	-0.0467613083	-0.0266376259	0.1101503527	0.0352972723	0.1544063018	-0.0156552189	-0.1096442327	0.0409528722	0.0513728933	-0.1150455375	-0.0886449187	-0.0664655034	0.1627615394	0.0628091386	-0.0331906088	0.1293164578	0.018666017	0.0655307733	0.1669389667	-0.01365774	0.002340545	-0.0448673555	0.0555906807	0.0110450725	-0.0882509122	0.0883727153	0.0680487932	0.0736187503	-0.2553779348	0.0630722271	0.0055233687	0.1136451198	0.1082280018	0.0993899282	-0.0077730375886062	-0.0182034575535112	0.0003313658669024	6.0420113353884894e-05	-0.0059740515509218	-0.0479060998225832	0.0022949944002113	3.568929193307116e-05	0.0348641661255868	-0.0293128655554823	0.0008592440870737	0.0012155100796325	-0.001398766548965	0.0023121442334325	5.3460109561951645e-06	1.956547858503456e-06	-0.0007024611936103	0.0004395106906076	4.934517285284075e-07	1.931696471584573e-07	0.0006590085280156	-0.0004003768866321	4.342922399972879e-07	1.603016513492135e-07	0.0	0.0	0.0	0.0	0.0
939993.9616875148	1491.3713661717484	883588648008.989	2224188.551836987	1368873.8551587302	10778.211154513992	116169835.69128984	1873815631337.1245	916789.5494197884	-312.5379173451802	97679.94977846267	840503077925.3386	957863.311484939	998900.130873511	1.184179	22.08317	0.165368593626764	0.0944199350771384	-0.1066426168	-0.03932673	-0.0798153617	0.0559079084	0.0731455288	0.0117578166	-0.1297901692	-0.0260856258	0.0784611079	-0.1240237956	0.1274370549	-0.0751865187	-0.032169556	-0.0412216664	-0.0872073672	0.0461838968	-0.0540573766	-0.010395156	0.0577388758	-0.0022530803	0.1123489737	-0.0139704044	-0.1497736643	0.0341656438	-0.0571098394	-0.0086934321	-0.061658235	-0.0010296667	0.275345469	0.0690870961	-0.0738805371	0.0596050975	-0.0468159779	0.0538247549	-0.1828822715	0.1038138248	0.0631394102	0.1097118388	-0.0280563599	0.0162507256	0.0002608513	-0.102211473	-0.0591010199	0.0397911128	-0.2653860192	-0.1581717912	0.0091614094	-0.0684940682	-0.1250962722	0.0203706907	0.045580892	0.0005995347	-0.115430741	-0.0584443177	0.0043753147	0.0072586345	-0.0571247212	0.1597216433	0.0992755505	0.0888027479	-0.0582768845	0.0345312567	0.0593386737	0.1565394579	0.0257221026	0.1978802139	0.0319264968	0.0588859541	0.2633857117	-0.0337222609	-0.0726132688	-0.0413091755	-0.1467763456	0.0027671804	0.1341093366	-0.0451798603	0.1627326371	-0.0379726217	-0.0084300602	0.0654647799	0.1027020541	0.117455393	-0.0697853979	0.0693179349	-0.0228026186	0.0631836384	0.1801988576	-0.0932263186	0.1693532344	0.1612320833	-0.0379622027	0.012516998	-0.1166054093	0.0648492264	-0.0002160827	-0.1089990153	-0.106805503	-0.08170159	-0.1315769774	0.1131919653	0.1064475877	0.0955030384	-0.0078713473027249	-9.830971411869947e-05	9.66479989010042e-09	6.195810836011456e-05	0.072656545316363	0.0786305968672848	0.0061827707637054	0.0052789735773087	0.0370418298348624	0.0021776637092756	4.742219230695964e-06	0.0013720971575149	-0.0019523246104647	-0.0005535580614996	3.064265274513055e-07	3.8115713846261424e-06	-0.0014272413900129	-0.0007247801964025	2.0370179853659547e-06	5.253063330973913e-07	0.0002481063191962	-0.0004109022088193	6.155674562508669e-08	1.6884062521266177e-07	0.0	0.0	0.0	0.0	0.0
