global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54	motion_outlier55	motion_outlier56	motion_outlier57	motion_outlier58	motion_outlier59	motion_outlier60	motion_outlier61	motion_outlier62	motion_outlier63	motion_outlier64	motion_outlier65	motion_outlier66	motion_outlier67	motion_outlier68	motion_outlier69	motion_outlier70	motion_outlier71
1038080.25811868	n/a	n/a	1077610622295.7452	1496643.2429716012	n/a	2239940996732.552	n/a	1013961.297068404	n/a	n/a	1028117511952.6404	1047723.298233373	891435.7176274671	n/a	n/a	n/a	n/a	-0.0646809946	0.0005481345	-0.0022918468	0.0213231778	-0.068697712	0.0502067733	-0.0274383599	0.1221002736	-0.0751421578	0.0309141635	-0.0151713574	0.0455814587	-0.1330205852	-0.0957760703	0.0080666822	-0.091825639	0.0592991469	-0.0111354863	0.0521610057	-0.0031709098	0.0495378934	-0.0889882722	0.0010244702	-0.0423723861	0.0019825106	-0.088853809	0.1560253428	-0.0071838519	-0.072493411	0.0325496319	-0.0884865053	0.0816604543	-0.0494602134	0.0089639669	-0.0296309078	-0.0073480995	0.1015635543	-0.053726851	0.0303047456	-0.0044080128	0.0963667248	-0.0810171298	-0.0312894652	0.000229615	-0.0340799904	0.0509039639	-0.0558920398	0.1197117002	0.0902292163	-0.014008267	0.0187327524	-0.0442813165	0.0702336906	-0.0364063473	0.0397700361	-0.0578572145	0.0121391131	-0.0499704527	0.0368391423	-0.015373829	0.1193514877	-0.0043459696	0.0657985043	0.0130200244	-0.0295226427	0.1288745583	0.1154637225	0.1154447293	0.1154130763	-0.036805212327593	n/a	0.0013546236544792	n/a	-0.5279839971753972	n/a	0.2787671012733099	n/a	-0.78089192583451	n/a	n/a	0.6097921998335298	-0.0085890903336038	n/a	7.377247275880623e-05	n/a	0.0067791547584103	n/a	4.595693923847701e-05	n/a	0.0040862448958441	n/a	1.6697397348811958e-05	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1041622.2900970184	3542.0319783383748	12545990.53557166	1084976995226.957	1482611.959796989	-14031.283174612094	2198138223333.0688	196876907.52615243	1021097.3689332248	7136.071864820784	50923521.65988678	1042639836842.3542	1052829.6940617578	926424.6646052632	1.389593	49.631752	0.8847178311293443	0.4050351267192928	0.0346975561	-0.0260600866	-0.011738101	-0.0389744044	0.0652425521	-0.0160462406	0.1143630813	0.0750868785	0.0034586786	0.0298369059	-0.0351051911	-0.0825207453	0.0666527109	0.0775412424	-0.0674001551	0.0454067753	0.0160602417	-0.0246961344	0.0695647989	-0.0589563827	-0.0699691231	-0.0609825517	0.0241024685	-0.0972549212	0.114162133	-0.0622002123	0.0046230672	0.2268530022	0.0372690199	-0.0903153565	0.0843878427	-0.0059696693	-0.0265507091	-0.0751135965	0.0751492579	-0.0037579297	0.0668253045	-0.1321637999	0.0458880195	0.0234433843	0.0186037055	0.1251704048	0.0223467163	0.0229563205	0.0115611627	0.0083490006	0.0461622738	0.0029002012	-0.0501546419	0.0350170903	0.0012036537	-0.0597243363	0.1379605724	-0.0731696634	0.0657629513	-0.1290515074	-0.0203168641	-0.0364874181	0.0722446844	0.1070675019	0.3237158368	0.0177545852	0.0339709687	0.1652109943	0.1553835397	0.3062060612	0.1154130763	0.1152422001	0.1149575937	0.0352526747256121	0.0720578870532051	0.0012427510753098	0.0051923390865724	-0.3353762978368877	0.1926076993385095	0.1124772611507768	0.0370977258444736	-0.6563530723430802	0.1245388534914297	0.0155099260289598	0.4307993555742006	-0.0026708734841154	0.0059182168494884	7.133565168150736e-06	3.5025290677568405e-05	0.0044843428092653	-0.0022948119491449	2.0109330431009404e-05	5.266161881938672e-06	0.0023890058695535	-0.0016972390262905	5.707349044761074e-06	2.8806203123638625e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036920.7161083616	-4701.573988656746	22104797.970813707	1075204571494.6776	1444837.490163093	-37774.46963389614	2087555372980.7856	1426910556.1221414	1015991.9	-5105.4689332247945	26065813.02812352	1032239540865.61	1043785.8036965558	922391.451564556	1.630107	58.222141	0.3422280744010212	0.169928952076312	-0.0255566682	-0.0269188922	0.0310669391	-0.0020149761	0.0860727034	0.054837111	-0.1282041759	-0.0889097954	-0.0167920298	-0.0460732055	0.0906651424	-0.0236497943	0.0295351442	-0.0294383513	-0.1437923746	0.0135696399	0.1131523768	-0.0216831924	-0.021486587	0.0222457222	-0.00676245	-0.031979431	0.0036961842	0.0264398713	0.0269169412	-0.0552727007	-0.0581905081	-0.0666017953	-0.0908252388	-0.1302245962	0.0094702184	0.0767287166	-0.0084396102	0.0401545718	0.0217321908	-0.0089083863	-0.0073564022	0.0082555694	-0.0487304978	-0.005552025	0.0020184185	-0.0173665855	-0.019400233	-0.0115944196	0.0563643042	0.0295234512	0.0007603381	0.0887386256	-0.0453949086	-0.0272769591	-0.003108395	-0.0318160231	-0.001078254	-0.1059575044	-0.0655651404	-0.0698433827	0.0005225241	-0.0425294122	0.0475674207	-0.0247313393	0.005172656	-0.0038562489	-0.000282779	0.0192739301	-0.0008379839	-0.0886526673	0.1153118061	0.1148374968	0.1140484259	-0.0046923320267211	-0.0399450067523332	2.2017979848992545e-05	0.0015956035644439	-0.3911337407172226	-0.0557574428803349	0.1529856031274475	0.0031088924365538	-0.605356373002877	0.0509966993402031	0.002600663343595	0.3664563383351984	-0.004374845023769	-0.0017039715396536	1.9139268981996383e-05	2.903519007949461e-06	0.0061749798990098	0.0016906370897445	3.813037675317508e-05	2.8582537692197527e-06	0.0018730359903886	-0.0005159698791649	3.508263821291004e-06	2.662249162054415e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1034655.397319348	-2265.318789013661	5131669.215858322	1070511791202.0576	1457753.2945226962	12915.804359603208	2125044667691.775	166818002.25554523	1010689.4602605863	-5302.439739413676	28115867.19011337	1021493185081.8352	1041307.6709471496	921116.3779893093	0.8927199999999998	31.885056	0.2021278696083999	0.1427865283857433	-0.0671385992	-0.0425143498	0.0320175431	0.0521218297	0.0482126109	-0.0162884487	-0.0263751091	-0.0311549799	-0.0710912692	-0.0459354547	0.0190652582	0.0347479666	-0.1143262074	-0.1326222101	-0.0048009433	-0.0561415091	0.0132664666	-0.0142859488	-0.01885946	-0.0264929708	0.0008590033	-0.0905436636	-0.0834417478	-0.0542323695	-0.0060455101	-0.0734610393	0.0520789828	0.0196540776	-0.1137593549	0.0442505224	-0.0723632902	0.0175822625	-0.0056865683	-0.0198823863	0.0253357728	-0.024832322	0.0822028741	0.0707512053	0.0041576917	0.0014127506	0.0474282053	0.0518043623	-0.040762676	-0.0279082709	0.0507024478	0.0616197386	-0.0176683006	0.1243189762	0.0075906034	0.0096048426	0.0253453601	-0.0272514381	0.0564618161	-0.0441380899	-0.0077781542	-0.0499219089	0.0027568854	-0.0507693796	0.0389129715	-0.016204032	0.0936182931	-0.001119574	0.0287641982	-0.0135636255	0.0347529999	0.0280423779	0.1151599564	0.1142313295	0.112689161	-0.0196967570888944	-0.0150044250621733	0.0003879622398189	0.0002251327714463	-0.3757533350416793	0.0153804056755433	0.1411905687949445	0.0002365568787442	-0.5882264763200737	0.0171298966828032	0.0002934333603635	0.3460103874439302	-0.0068955416613847	-0.0025206966376157	4.754849480389207e-05	6.353911538887096e-06	0.006026202714743	-0.0001487771842668	3.63151191591759e-05	2.213465055835757e-08	0.0022958250122637	0.0004227890218751	5.270812486935618e-06	1.7875055701810386e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1031797.786006512	-2857.611312835943	8165942.415247962	1064606671207.94	1448004.1170449362	-9749.177477760008	2096715922979.0847	95046461.49286298	1016073.397068404	5383.936807817663	28986775.55057385	1032405148230.1266	1045538.8181710214	914415.5732421876	0.832186	29.722979	0.1028727266718834	0.0461889925878483	-0.0627611802	-0.0461634327	0.0532596096	0.0478066105	0.0813710077	0.0021946025	0.0275421883	-0.059497232	-0.0536111534	-0.0299845844	0.0143072227	-0.0206851435	0.0625769933	-0.0587177399	0.0175551115	0.1267796691	0.0735263915	-0.032418332	-0.050398536	0.0707753941	0.0384440977	-0.0344129581	-0.0548784114	-0.0281129707	-0.0517625011	0.0033282264	-0.0253641854	-0.03917646	-0.085419815	0.0217339423	0.0816269166	0.0044005488	-0.0105197023	0.1403029815	-0.028776085	-0.0061638109	-0.0109925336	0.0579866156	-0.0094383769	-0.0079958803	0.0651084814	0.0290802878	-0.0457496251	-0.0353434781	0.0488487617	0.0590591609	-0.0186337248	0.1367690816	0.0332235749	-0.0205477177	0.0123122444	-0.0207931889	0.0021898427	-0.0581118139	0.015179256	-0.0285994813	0.0060918762	-0.0292427717	0.0317501701	-0.0434969487	0.0134177716	-0.0163220483	0.04104226	-0.0495645556	-0.0006276296	-0.0622539328	0.1149575937	0.1134247617	0.1108851636	-0.0332431708080775	-0.0135464137191831	0.001105108405375	0.0001835053246512	-0.3573637527608184	0.0183895822808609	0.1277088517872953	0.0003381767364645	-0.6020285239227832	-0.0138020476027094	0.0001904965180274	0.3624383436166451	-0.0075606368151229	-0.0006650951537381	5.716322905019175e-05	4.42351563526039e-07	0.0061527805819905	0.0001265778672475	3.785670889011936e-05	1.6021956476925857e-08	0.0019448043718668	-0.0003510206403969	3.7822640448322185e-06	1.2321548998464984e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1034292.2178007788	2494.4317942667985	6222189.97624908	1069760391803.2535	1466913.0596415943	18908.942596658133	2151833924547.0637	357548110.1237124	1017280.5740228014	1207.1769543973496	1457276.199228061	1034859766284.1604	1051139.7825564132	911649.914320518	1.091479	38.984077	0.4432243962318023	0.3149542425006649	-0.1215769128	0.0097749381	0.0069283596	0.0391626743	-0.0572254839	0.0710964365	-0.0470479233	0.0081396623	-0.082173229	0.0425891713	0.0317502467	0.0203438126	-0.1624523143	-0.0635074705	-0.031020291	-0.1941564929	0.1512002808	0.0418551667	0.031103804	0.110345088	0.0169399916	-0.0327323629	-0.1179907194	-0.0946445733	0.0106783348	0.0537552589	-0.0003288424	0.1911588615	-0.0419394757	-0.0029613276	-0.1210100087	0.1936725502	-0.0302761913	0.0074102284	-0.0864656428	-0.0782354627	0.065512458	0.0192119069	0.0345364231	0.0314045272	-0.0002925064	0.1974887112	-0.064285263	-0.0302384494	0.0010603543	0.0735757097	-0.0420560787	0.1317567932	0.153563077	0.0121221731	0.060838108	-0.0244590651	0.0555836334	0.0451490692	0.0862982186	0.0249871235	0.0069047138	-0.0280722976	0.0354894493	0.016839798	0.04302068	0.0295431742	0.0638774131	0.0085865396	0.0082821916	0.0827136829	0.1147048067	0.1124192083	0.108643553	-0.0477440610071084	-0.0145008901990308	0.0022794953614504	0.0002102758165643	-0.4546278328088249	-0.0972640800480065	0.2066864663644488	0.009460301267585	-0.5930477620291583	0.0089807618936248	8.06540841899841e-05	0.3517056480477932	-0.0128659532930195	-0.0053053164778966	0.0001655327541381	2.8146382930641197e-05	0.0067478017329878	0.0005950211509973	4.553282822771316e-05	3.540501701341517e-07	0.0024940400247957	0.0005492356529289	6.220235645282937e-06	3.016598024482352e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1040025.4980116446	5733.280210865778	32870501.97630514	1081653036514.3694	1496585.905109489	29672.845467894804	2239769371372.3887	880477758.1615652	1022797.7043566776	5517.130333876237	30438727.12097732	1046115144037.2896	1062890.325148456	944347.1435074012	1.743679	62.278542	2.23492538782961	1.6100014095399744	0.1284090886	0.0155175269	-0.2009225006	-0.0050106994	-0.0323391618	0.0066176055	0.1143830831	0.1307457418	0.0781609649	0.1326739857	-0.0535255327	-0.1290809069	-0.0821119247	0.076203001	0.0352117527	-0.0301921957	-0.032934043	-0.026748564	0.1110019309	-0.102660214	0.1559692711	0.065180871	0.1592963337	0.0596319532	0.0864359312	-0.030345409	-0.0269113706	0.2468226889	0.1249416607	0.0233351875	-0.0597278738	-0.02371526	-0.0800930572	-0.0418789464	-0.0481289278	0.198448986	0.0458125242	-0.1381234986	0.0544473699	-0.0982001071	-0.0406340075	-0.0175826753	0.0852720076	0.1066703378	-0.0492396261	-0.071597769	0.0147236508	-0.175364245	0.0787075766	-0.030967297	0.026032842	-0.2037401825	-0.0328650988	0.2079546968	0.0814122258	0.0695368459	0.0189420265	0.019765938	-0.271573586	-0.0365217881	-0.0042704363	0.2054436427	0.050492515	-0.1074881169	0.1359617605	0.0212675061	0.1144017065	0.1112164334	0.105973176	-0.0182060298129442	0.0295380311941642	0.0003314595215498	0.0008724952868274	-0.4811749236586564	-0.0265470908498314	0.2315293071579138	0.0007047480325892	-1.1832944774309624	-0.5902467154018041	0.3483911850426183	1.4001858203186144	0.0111058018538304	0.0239717551468499	0.0001233388348165	0.0005746450448205	0.0109624231385818	0.0042146214055939	0.0001201747210693	1.776303359249114e-05	0.006079534480028	0.0035854944552323	3.6960739493849326e-05	1.2855770488501567e-05	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035659.4607929832	-4366.037218661397	19062280.994736545	1072590518730.0128	1453867.043225365	-42718.86188412411	2113729379376.8647	1824901160.674872	1011709.3208469056	-11088.383509772017	122952248.85978396	1023555749888.507	1048912.6255047503	929427.971017681	1.639261	58.549076	1.6292609402131168	1.0357610903431873	0.1162040452	-0.0201860847	-0.0526025037	-0.0109287645	0.0064743281	-0.0796215286	0.0873878423	-0.0209189011	0.0546629612	0.1292643725	-0.2499442919	0.0144130173	0.241223931	-0.063244452	0.1558329899	0.0700784445	-0.2498071485	-0.1566373703	0.024500848	-0.1456778097	-0.0235112162	0.1562453287	0.1533270377	0.0790525626	0.0470694245	0.0365537857	-0.101423844	-0.0667250461	0.0324145594	0.1785792984	-0.0012658556	-0.2699201547	-0.0708272128	-0.0555111632	0.1470039139	0.1346546911	-0.1204422514	-0.1176965553	0.0260502909	-0.0777800691	-0.0576677293	-0.0953086539	0.124086612	0.0838853754	-0.0443860137	-0.0897420632	0.0969102591	-0.0976837538	-0.0237225804	0.0289739272	0.0193300467	-0.0284848943	-0.0656123249	0.3760197268	0.1536834071	0.1060575026	-0.0717601286	-0.0263747219	-0.1074861512	-0.0709016906	-0.3616244621	-0.0714464702	-0.049179906	-0.3497014036	-0.0196384591	0.0537278903	0.1140484259	0.1098185471	0.1028845713	-0.013995660499205	0.0042103693137392	0.000195878512809	1.77272097580767e-05	-0.2808360308577278	0.2003388928009286	0.0788688762279226	0.0401356719687019	-0.9581279390355631	0.2251665383953992	0.0506999700129668	0.918009147560536	0.0304059324794758	0.0193001306256454	0.0009245207299464	0.0003724950421669	0.0145487710342158	0.003586347895634	0.000211666738606	1.2861891228518429e-05	0.0071839587528096	0.0011044242727816	5.160926336206967e-05	1.2197529743091658e-06	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036498.0675179265	838.6067249432672	703261.2391200726	1074328243968.396	1435462.073334854	-18404.969890510896	2060551363982.798	338742916.6706127	1018123.782980456	6414.462133550434	41145324.46275239	1036576037470.4348	1049952.197595012	920099.5652138158	1.384046	49.433636	1.4696449706223915	1.1460333445665911	0.0707532173	0.067420594	-0.1075663171	-0.064208975	-0.0674420205	0.0618831271	-0.0123702115	-0.1244018746	0.0552897212	0.0642277187	0.009287017	-0.1544311609	0.009213924	0.0401601982	-0.1008778844	0.1315115916	-0.0018414333	-0.1435505856	0.059698893	0.0415878644	-0.0631933183	0.2670880617	0.0988000958	0.0969252	0.1106967221	-0.0836547096	-0.0251909055	0.0058147777	-0.0013017485	-0.1248677881	0.0461749278	-0.052619066	-0.0981394702	0.0695811293	0.0374691776	0.1179807034	-0.268162719	-0.0993334037	0.0534859407	-0.0415695777	0.0180020538	-0.0353843548	0.0812667375	0.0890358642	-0.0223817603	-0.0864668208	0.0424584323	-0.2022495514	-0.1368112066	-0.0046845473	-0.029034219	-0.1688760323	-0.0580507143	0.1717748605	0.0300222395	0.0769185347	0.0511621871	0.0206272619	0.0216287709	0.0351313038	-0.1031785037	0.0363243187	-0.0873334025	0.0444767905	-0.077107521	-0.018870427	0.1136451198	0.1082280018	0.0993899282	0.0215936464028061	0.0355893069020111	0.0004662855649694	0.0012665987657655	-0.2628097086046779	0.0180263222530498	0.0690689429368757	0.0003249482939708	-0.8881559076028225	0.0699720314327406	0.0048960851828244	0.7888209162097933	0.0103649781104418	-0.0200409543690339	0.0001074327712299	0.0004016398520217	0.0104393854531914	-0.0041093855810244	0.0001089807686403	1.6887049853531252e-05	0.0044131525021762	-0.0027708062506334	1.9475915007464056e-05	7.677367278549121e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1042735.9246401648	6237.857122238376	38910861.477460034	1087298208535.1794	1473908.9888800182	38446.91554516414	2172407707501.3176	1478165314.936984	1018694.4993485342	570.7163680781377	325717.1727923004	1037738483002.9608	1054514.0814133016	919720.764399671	1.061295	37.90601	0.4744886686192349	0.35772460140844	0.1151458241	0.0299336333	-0.0289978435	-0.0183325899	0.005128511	0.077140219	0.0093933618	0.0233774675	0.0514326549	0.0317952269	-0.0253787198	-0.0573770626	0.1201999286	-0.003653742	0.103652184	0.07078229	-0.1347898686	0.0785111098	0.075809494	-0.1889428808	0.0087910045	0.0459717575	0.0534948996	-0.0036118468	-0.1243995631	0.0340285422	-0.1177343958	-0.0751455471	0.0464526195	0.1154357765	0.0242422117	-0.1433279625	0.0581227863	-0.1281599917	-0.0271019966	0.1444698808	0.018697525	0.0282972435	0.0482296846	-0.0142263327	0.0008250663	-0.0602533489	0.0660277674	0.0879926052	-0.0257848641	-0.0671584015	0.0362081283	-0.0524489814	-0.1831575921	-0.0255539879	-0.0269583585	-0.1436950023	-0.0593630009	0.0665733851	-0.0973385618	0.0260441358	0.0870670599	-0.0133388641	-0.0328572654	-0.0273380206	-0.0040300285	-0.0094627814	-0.1414212883	0.0465594941	0.0341925975	-0.0786648484	0.1131919653	0.1064475877	0.0955030384	-0.0182992683170652	-0.0398929147198713	0.0003348632209399	0.0015914446448469	-0.2757114577227497	-0.0129017491180717	0.0760168079196036	0.0001664551303056	-0.8455475530284957	0.0426083545743267	0.0018154718795315	0.7149506644324768	0.0043349976365211	-0.0060299804739207	1.879220450864352e-05	3.636066451586491e-05	0.0105452045414076	0.0001058190882162	0.0001112013388201	1.1197679430907922e-08	0.0029672390601738	-0.0014459134420024	8.804507640221096e-06	2.090665681763228e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
