global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40
1033728.0417627224	n/a	1068593664326.5928	n/a	1185990.2029697848	n/a	n/a	1406572761540.3115	1054172.8161572623	n/a	1111280326324.933	n/a	1067220.3127729257	913338.8627169598	n/a	n/a	n/a	n/a	-0.0397105244	0.017269829	-0.1193280922	0.0177326053	-0.0929643042	0.0106349217	-0.0462663762	0.0099588775	-0.2265418977	0.0159758522	-0.0655835987	-0.0100367452	-0.0157614184	0.0509852859	-0.0548210728	0.0445065285	-0.0162273761	0.0306408211	-0.110018754	0.0796072866	-0.0885805367	0.0268907581	-0.1020647394	0.0081497884	-0.0295469754	0.0200129933	-0.0380004469	0.0980323949	-0.0055709596	-0.1397754693	0.0814912842	0.1040943148	-0.0887420869	-0.0181223427	0.0152819518	-0.0511430812	0.0551482295	-0.0562562562	0.0098886484	0.0119203041	-0.0589005427	0.0920638549	-0.0596661171	0.1333724452	-0.0135777639	0.0870261876	-0.0109668914	0.0105121558	-0.041310049	0.1314299473	-0.0484642899	0.1427970685	0.0772324508	-0.0106133597	-0.028902121	-0.0111849381	0.0259762896	-0.003208619	0.0082620909	-0.0048739855	0.0052280796	-0.0294940659	0.0653057828	-0.0407543602	0.0513196779	-0.056654623	0.0155165803	-0.0289183579	0.0064639406	-0.0191848035	0.0067143981	0.0027883111	-0.065297098	0.0632386017	-0.0582807127	0.1122404225	0.0014257415	0.1154637225	0.1154447293	0.1154130763	-0.1004119926495548	n/a	0.0100825682678542	n/a	0.0140965443043938	n/a	0.0001987125613257	n/a	-0.0318242614840968	n/a	0.0010127836190081	n/a	0.0012099778159958	n/a	1.4640463152019658e-06	n/a	0.0007737546362598	n/a	5.986962371335355e-07	n/a	-0.0012329681411814	n/a	n/a	1.5202104371683166e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1030835.1454742304	-2892.8962884920184	1062621097144.8778	8368848.935970895	1164429.5964403974	-21560.606529387413	464859753.9150632	1355896285066.347	1052281.2737068965	-1891.5424503658437	1107295878994.2085	3577932.8415360185	1064554.1566457422	875500.1664716784	1.207053	32.610981	0.0737577790276807	0.0404353316334397	0.0163654158	0.0382365411	-0.0086669742	0.0425120114	0.0385257131	-0.0397928977	0.0606625083	0.0301016607	0.1363933271	0.0056127766	-0.0385291315	0.0098854877	0.0468926809	0.0229867044	-0.0344871008	-0.0809824498	-0.0672474116	0.0322683273	0.1108673627	-0.0180235478	-0.0135471793	-0.0261581929	-0.0696142881	-0.0127070684	-0.0388581074	-0.0208593859	0.0224144245	0.0603633586	-0.0282927239	-0.1295842583	0.094798493	0.0303963743	-0.0283913218	0.006326609	-0.0524493826	-0.0276360192	0.0424388147	-0.0141925839	-0.0973607732	0.0427772903	0.1156277764	-0.0125010227	-0.0133446926	-0.0260163854	-0.0365129927	0.0685884538	-0.0485280447	0.0346521011	0.0077814943	0.0644077375	0.0255492858	0.1544695329	0.0454445741	-0.0176850374	-0.0239342844	-0.0038874745	0.0345774475	-0.0457257941	0.0005633334	-0.0397941404	-0.0147716726	0.0082329657	0.0655060496	-0.0094896228	0.0160627218	-0.0162877557	-0.0638681138	0.0235105268	0.0345701837	0.0544072689	-0.0121000032	0.0034357906	-0.0144747376	0.0163816939	-0.0607386475	-0.0843489541	-0.0607326677	0.1154130763	0.1152422001	0.1149575937	-0.0816806507320535	0.0187313419175013	0.0066717287040117	0.0003508631700303	0.0093929667465175	-0.0047035775578762	8.822782430118354e-05	2.212364184295757e-05	-0.0357543616769149	-0.0039301001928181	0.0012783743789236	1.544568752558887e-05	0.001158128841569	-5.184897442679984e-05	1.341262413673954e-06	2.6883161491109435e-09	0.000320031017869	-0.0004537236183908	1.0241985239826821e-07	2.0586512188564038e-07	-0.0008106855468093	0.0004222825943721	1.7832258950963153e-07	6.572110558054937e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1032410.8233999036	1575.677925673197	1065872108273.267	2482760.925453789	1173379.8567880795	8950.260347682051	80107160.29128963	1376820288316.014	1052756.9894200626	475.7157131661661	1108297278772.794	226305.439753194	1064988.8018286026	871223.7839814563	0.905649	24.467947	0.0890021139504539	0.0426160652116165	0.0246544861	0.0224287996	0.023464973	0.0630337309	0.0289834258	-0.0305023862	0.0286348462	0.0172151621	0.0207281805	0.028366511	-0.0074900248	0.0287831103	0.0522141319	-0.0497625955	0.0157099604	-0.0459779489	-0.0174736348	0.1156352379	-0.0339341811	-0.004761064	0.034971089	0.0191475861	0.0185514217	0.0334366358	-0.0595182643	-0.0649297908	0.0437779349	0.0201767849	-0.0227214496	-0.0065306951	0.0882844413	-0.0144961843	-0.0463450052	0.0244256794	-0.0565407424	0.0469572374	0.0030002811	0.0220175366	-0.0451961852	0.104562997	-0.0056320354	-0.024772712	0.0114307337	0.0445691891	0.0195657341	0.0094414584	-0.0209792579	0.0611573018	-0.0342439165	-0.0074737147	0.0592911567	0.0425591855	-0.0094830188	-0.0122285002	-0.0245516884	-0.0075452844	0.0289818044	-0.0211997422	-0.0066659774	0.0075746875	-0.0060807981	-0.0456068852	0.0362530923	-0.0003269403	-0.0054852982	-0.0484433864	-0.0053325472	0.0289591189	0.0225220956	0.0284665318	-0.0484083754	0.0186499813	-0.0475465407	0.0031485092	0.0063766698	0.0438079733	-0.0682424205	0.1153118061	0.1148374968	0.1140484259	-0.0855602273026647	-0.0038795765706112	0.0073205524960836	1.5051114367235412e-05	0.0401861679152091	0.0307932011686915	0.0016149280917093	0.0009482212382155	-0.0205668185532488	0.015187543123666	0.0004229940254022	0.0002306614661332	0.0006346231644778	-0.0005235056770912	4.0274656089181684e-07	2.7405819394671577e-07	0.0003948011763117	7.477015844270003e-05	1.5586796881710205e-07	5.590576593546467e-09	-0.0006261255205935	0.0001845600262158	3.406240327677678e-08	3.920331675384814e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035054.26515161	2643.441751706414	1071337331808.5394	6987784.294664674	1182745.5280939569	9365.67130587739	87715799.00973508	1398886984226.253	1054551.67927116	1794.689851097297	1112079244253.6233	3220911.6616316377	1067026.064956332	892451.1042380137	1.002051	27.072439	0.1541328910447102	0.0790579863430598	0.011667994	-0.0003529479	-0.1146067392	0.0456998009	-0.0392292689	0.0014263352	-0.0235904232	0.0226104437	-0.0811213241	0.0071576107	0.0184680466	0.0014807547	0.0034241653	0.0477394529	-0.0735294328	-0.069621949	0.0475783595	-0.0841426825	-0.0097932346	0.0604412349	0.0109798156	-0.0209099793	-0.0505645998	-0.0054470691	0.0404442382	-0.0609687221	0.0496619167	-0.025861232	0.0515747279	0.0038430594	-0.0166664552	0.0505353197	-0.0010474449	0.0037548484	-0.0060212021	-0.0384787493	0.067865754	0.0588245513	-0.0496747111	-0.0988816336	-0.0180641775	7.68147e-05	-0.0212211514	0.0484150152	-0.0402404871	0.048934427	0.0192456668	0.0417889105	-0.0210282011	-0.0654111737	-0.0343503695	-0.0105447069	0.0054448888	-0.0166944734	-0.0193358381	0.0034655203	0.0257804995	-0.0520979997	0.0189597252	0.0192234255	-0.0273525213	0.0280708768	0.0334223914	-0.0584206489	0.0609544251	-0.0394678433	0.03982208	0.0164288667	-0.0393674116	-0.07937293	-0.0108509087	-0.0089937816	-0.0689057763	0.0579233119	-0.028730246	0.0252591762	-0.0013812774	0.1151599564	0.1142313295	0.112689161	-0.0739505153180886	0.011609711984576	0.0054686787158108	0.0001347854123648	0.0519491254127615	0.0117629574975524	0.0026987116311508	0.0001383671690892	-0.0778254258864805	-0.0572586073332317	0.006056796914412	0.0032785481137412	0.0008464544283897	0.0002118312639118	7.164850993405337e-07	4.4872484370513e-08	-0.0004430871792997	-0.0008378883556114	1.963262484597645e-07	7.020568964691758e-07	-0.0002058128555298	0.0004203126650637	1.766627364129501e-07	4.235893150133034e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035190.5088684316	136.24371682154015	1071619389651.2822	18562.35037334802	1181182.0671564569	-1563.4609375	2444410.103088379	1395191075772.0005	1052624.5222701149	-1927.1570010450669	1108018384884.3877	3713934.106677016	1064686.2848799126	906569.102399206	0.755055	20.399349	0.1421833288613192	0.0703146782579265	0.0121516382	-0.0103988976	-0.0545808286	-0.017493284	-0.057077712	0.0008969356	-0.0240993549	0.0133428179	-0.0476369651	0.0671631453	0.0379742581	0.001745502	0.0384930815	0.0112553347	-0.0608361799	-0.0898304996	0.0821042216	-0.0416292266	-0.0535686832	0.0468599063	-0.02434343	0.0646248152	0.0180049796	0.03580666	-0.050814929	-0.0877611376	-0.011625157	-0.0534680918	-0.0010335025	0.019495586	0.0529193512	-0.0184816747	-0.0411346098	0.0049444691	-0.0306538835	-0.0103746826	0.0762433118	0.1030717069	-0.024139057	-0.0550231291	-0.0375922724	0.0547656909	-0.0441262288	0.0332463307	0.0166830718	0.0009030943	-0.0038398591	0.0807842263	0.046295251	0.0136769529	0.0473579838	0.01400922	0.0129317112	-0.0166590489	-0.0221626416	0.004910856	0.0272761183	-0.0466086258	0.0097091178	0.0309077832	-0.0074679784	-0.0675693742	0.0023680546	-0.0524632694	-0.0093801801	-0.0345815897	0.0341799666	0.0333568836	-0.0173879747	0.0027577385	-0.0361944009	0.0071965887	-0.0776087864	0.0210780826	0.0251632271	0.0218430521	-0.0513083483	0.1149575937	0.1134247617	0.1108851636	-0.0596302606620327	0.0143202546560559	0.0035557679866219	0.0002050696934142	0.0800631168057464	0.0281139913929849	0.0064101026726505	0.0007903965120448	-0.0186529809520621	0.0591724449344184	0.0003479336983979	0.0035013782395167	0.000653945041791	-0.0001925093865987	4.276441176830327e-07	3.705986392860773e-08	-0.0001921879393493	0.0002508992399504	3.693620403133021e-08	6.295042860768839e-08	-0.0005739369865379	-0.0003681241310081	1.355153758304688e-07	3.294036645162056e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1036579.1110596594	1388.6021912278377	1074496253485.2336	1928216.045482752	1177111.2101096853	-4070.8570467715617	16571877.09524968	1385590800965.8877	1053076.9510188089	452.42874869401567	1108971064767.0708	204691.7726448328	1065364.7460016375	877659.7461764477	1.180936	31.905373	0.131370314216077	0.0605431198263427	0.0696005584	0.0073553137	0.139094295	0.003652699	-0.0036133858	0.0345932888	0.015181214	0.1052144068	-0.0129904343	0.0213064948	-0.0179558456	0.0695540786	0.0553063176	-0.1125602455	0.0176890553	0.0011928301	-0.0284566798	0.0329811406	-0.0107720084	0.0697186986	0.0357622043	0.0334448414	0.0219177669	-0.0390261291	0.0056139584	-0.019126647	0.0387287438	0.0467624583	-0.0369442905	-0.0954393186	-0.0690719982	-0.0910474653	-0.0156909688	0.0569641965	-0.0503123445	0.118833027	0.0062694325	-0.0250499037	-0.0167045209	0.0145851064	-0.0234120312	-0.0210682243	-0.0545900309	0.0628615116	0.0048436126	-0.0159947568	-0.006033322	0.0149045796	-0.0150945443	-0.0147688881	0.0349037686	0.0468242399	0.1217267899	-0.0200137981	-0.0299056351	0.0321438203	0.0031321787	-0.0694820663	0.0106201597	0.0041875632	-0.0494204196	0.0527351836	0.0058294278	0.0339517776	-0.0501473209	0.007481073	0.0003262909	0.0700994697	0.0165534862	0.0739715285	-0.0135797858	0.0634652628	0.0452973492	-0.0356816379	0.0350833771	-0.0829322091	0.0018921803	0.1147048067	0.1124192083	0.108643553	-0.0401467849927712	0.0194834756692614	0.0016117643452557	0.0003796058241547	0.0396332259707037	-0.0404298908350427	0.0015707926008448	0.0016345760729334	-0.0446666104309443	-0.0260136294788821	0.0019951060873897	0.0006767089186645	0.0013419959628219	0.0006880509210309	1.8009531642302783e-06	4.734140699314698e-07	-2.3419800852186867e-05	0.0001687681384971	5.484870719560926e-10	2.8482684571780763e-08	-0.0006259842916677	-5.204730512979995e-05	2.7089219712745e-09	3.918563334147121e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1035741.26407563	-837.8469840293983	1072759966108.984	701987.5686471588	1179256.660285596	2145.4501759107225	4602956.45731535	1390646270827.9375	1048181.8436520376	-4895.107366771321	1098685177361.7844	23962076.132218853	1060296.6756550218	897935.6631820127	1.04725	28.293592	0.1051481488628944	0.0558550763785809	0.044589412	-0.0310367865	0.026512227	0.0219197098	0.0157893359	0.0006769363	0.0358503368	-0.0221314918	0.0490043838	0.0516595161	0.0259944289	0.0415862084	0.1517557921	-0.0760756496	-0.0754416477	0.0005945172	-0.021114472	0.0228303309	-0.0603937523	-0.0236352737	0.0741066228	0.0187154906	0.0220292258	0.0433368202	-0.0450211574	0.032390201	0.0272528476	-0.0291227821	-0.11675946	-0.0796806668	0.0294024431	-0.0352071024	0.0156661265	0.0366587065	-0.1319891738	0.0812458748	0.1045095989	0.0175747897	0.0021715846	0.0467846332	-0.0594738658	-0.0376633898	0.0155349753	-0.0323962457	0.0824025221	-0.0074569363	0.0256243237	-0.0052099697	0.0025337557	0.0138843755	0.0777941873	0.0516620744	0.0179474934	-0.0157474638	-0.0254987117	0.0244909985	0.0059658425	-0.0628177596	0.0240861141	0.0399967689	-0.0084748663	-0.0509559197	0.0018800855	-0.0015100847	-0.0689922785	0.0047055787	0.0090809648	0.074699125	-0.0153722983	0.0638960931	-0.0353356338	0.0111287067	-0.0173850816	0.0018342991	0.0456173318	0.0165125311	-0.0281298932	0.1144017065	0.1112164334	0.105973176	-0.0178517269295213	0.0222950580632499	0.0003186841543661	0.0004970696140436	0.0614761928573557	0.021842966886652	0.0037793222882347	0.0004771152024113	-0.0018449783289824	0.0428216321019618	3.4039450344146894e-06	0.0018336921758757	0.001433407027785	9.14110649631e-05	2.054655707303428e-06	8.355982797688091e-09	-0.0002779620780153	-0.0002545422771631	7.726291681458373e-08	6.47917708633831e-08	-0.0006438007857621	-1.7816494094399977e-05	3.1742746181578926e-10	4.1447945174789733e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1038314.1782495292	2572.9141738992184	1078096332753.9952	6619887.346251498	1189306.100062086	10049.439776489977	100991239.82129893	1414448999644.889	1055988.4713949843	7806.62774294673	1115111651719.1155	60943436.71694556	1069085.359989083	867853.4217096046	1.071589	28.951149	0.1666069118455846	0.070756709088225	0.0640366982	-0.0155875601	-0.0487683214	0.0635147477	0.0083193079	0.0519429499	-0.0273731473	0.0233480252	-0.0710215832	0.0155324543	0.0057272856	0.0071659546	-0.0205679316	-0.0069602819	-0.0487741789	-0.0305882318	-0.0462677731	-0.1645759871	-0.0536994578	0.0871143324	0.012381527	-0.1036044294	-0.0256212135	0.0301450997	-0.0612544871	-0.0391742726	0.0881076715	-0.0495781513	-0.0854647319	0.0221802029	-0.0368625351	-0.0129928347	0.0181875009	0.018791986	0.0293260912	0.0050102314	0.0460248327	0.0014121627	-0.0618988143	-0.1245290478	-0.117480411	-0.0187516959	-0.0720933699	-0.0833608115	-0.1016327147	0.0867787388	-0.0373206175	0.0238295075	-0.0440692146	-0.0763081685	0.1059584802	-0.0517269261	0.0062701557	-0.019131162	-0.0236929447	0.0249430279	0.0066873401	-0.0523652533	-0.0268820164	0.0569438493	-0.0500101436	0.0417701467	-0.0215299111	-0.0312856801	0.0628120264	-0.022123412	0.0786255314	0.0182274457	-0.0481292486	-0.0858464313	-0.0701506362	0.0223995375	-0.0007589695	0.0310256685	0.03835029	-0.0009620741	-0.003836992	0.1140484259	0.1098185471	0.1028845713	-0.0353988500977919	-0.0175471231682706	0.0012530785882459	0.0003079015314824	0.1011095241319566	0.0396333312746009	0.0102231358701907	0.0015708009479222	-0.0525074837302455	-0.050662505401263	0.0027570358476819	0.002566689453533	0.000939904070245	-0.00049350295754	8.834196612631179e-07	2.435451691007271e-07	-0.000623144520913	-0.0003451824428977	3.883090939438923e-07	1.1915091888482393e-07	-0.0003072071461708	0.0003365936395912	1.1329527821331793e-07	9.437623065840728e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1044011.0494401286	5696.871190599399	1089959071353.0786	32454341.36228141	1183939.131415563	-5366.968646523077	28804352.45276175	1401711866897.0376	1059696.1279388715	3707.65654388722	1122955883568.6372	13746717.047429727	1072049.7719978166	914472.3684960696	1.293556	34.948025	0.1489691082866104	0.0906831581918414	0.0679532591	-0.0308623637	0.1210678121	-0.09101595	0.0171186376	0.0827235731	0.0049215152	0.0383148543	0.0327171672	0.022869354	-0.0269010238	0.0865257712	-0.0739008781	-0.0831997144	0.0905488443	0.0244875197	-0.0144592801	0.0368928878	-0.0036546715	0.1362019916	0.0555193216	0.0353475096	-0.0256512487	-0.0526021012	0.1136940394	-0.0446693195	0.02399164	-0.0392505062	-0.0247698375	-0.0744951219	-0.0747515322	0.0012836753	0.0937689176	0.0690732575	0.0594350331	0.0871566082	-0.1045953045	-0.047617538	0.0050875862	-0.0035527116	-0.010812354	-0.0413355113	-0.0814461803	0.1208668795	-0.01515639	-0.0201144823	0.0547414113	0.0253413734	0.0436949088	-0.0600775991	0.0046477865	0.0913442529	-0.0063224284	-0.0165823899	-0.0292630707	0.0338444298	0.0001948253	-0.065567734	0.0462078048	0.0384595321	-0.0489728135	-0.0416648337	-0.0299394688	0.0342778304	-0.0594952991	-0.0026574084	-0.0181160757	0.06783352	-0.026104137	0.1124180086	-0.0363521371	0.0791909561	0.0117449755	-0.0319318939	0.065131341	-0.0516672086	-0.0319682156	0.1136451198	0.1082280018	0.0993899282	-0.0358155339091581	-0.0004166838113661	0.001282752469198	1.7362539865466084e-07	0.0148286536754653	-0.0862808704564913	0.0002198889698268	0.0074443886067298	-0.0461443760406226	0.0063631076896228	0.0021293034401783	4.0489139469738e-05	0.0015669803523181	0.0006270762820731	2.455427424550957e-06	3.932246635386221e-07	-0.0001322410695772	0.0004909034513358	1.748770048292185e-08	2.4098619853340017e-07	-0.0003073963393445	-1.891931737000121e-07	3.5794056974682954e-14	9.449250944239901e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1038640.4873433878	-5370.562096740818	1078774061948.9102	28842937.234949127	1191031.3051014072	7092.173685844289	50298927.59018217	1418555569731.5613	1055499.0261886104	-4197.10175026115	1114078194285.1047	17615663.102045212	1068055.7299672489	892663.9144662593	0.956794	25.849726	0.1194589003151403	0.0767127707873897	0.0707048342	-0.0502698256	0.0539647699	-0.0106469154	-0.0162219954	0.0524661414	-0.030229013	0.0015913643	-0.0273808031	0.0296942458	0.0358089764	0.0617703031	0.0070746077	-0.108883984	0.0438236567	-0.0453297343	0.0691431697	0.0243333233	-0.1077070352	0.0285907374	-0.0041604798	0.0688678068	-0.04968633	0.0076329964	-0.0092278343	-0.1001771045	0.0684228546	-0.0517073942	-0.0250242625	-0.0096390511	-0.1218628921	-0.0348606415	-0.0116262246	0.0601157221	0.0027960063	0.1172605638	-0.0161878653	0.0802940321	0.0086600922	0.0051295786	-0.0758744351	0.0614394063	-0.0180835914	0.0958357481	0.0502310269	0.0540634752	-0.0243580271	0.0758924141	0.0027417419	-0.0498561149	0.0651057855	0.0352310293	0.0212253106	-0.0223525599	-0.0432153448	0.0396099683	-0.0049671596	-0.0537119321	-0.013395101	0.04176802	-0.070818274	0.0189167515	-0.0126578205	0.0237364099	-0.0396959908	-0.0062059191	0.0393083251	0.0677692554	-0.0247934645	0.0349964199	-0.0183646016	0.0498138265	0.0270262086	-0.0470455333	0.0700874872	0.0519966389	-0.0138401624	0.1131919653	0.1064475877	0.0955030384	-0.0582237825187661	-0.022408248609608	0.0033900088507925	0.0005021296057499	0.0825018479100663	0.067673194234601	0.0068065549085757	0.004579661217914	-0.0186674124450263	0.0274769635955963	0.0003484722873927	0.0007549835284337	0.0016049821021291	3.800174981099993e-05	2.5759675481547445e-06	1.444132988697833e-09	-0.0001322470083282	-5.938751000000721e-09	1.7489271211759e-08	3.526876344000958e-17	-0.0003073941503998	2.188944700032367e-09	4.79147889979979e-18	9.449116370001487e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
