global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
987329.5152127298	n/a	974819571610.204	n/a	1385387.8344350962	n/a	n/a	1919299451800.7656	1000361.8941110558	n/a	n/a	1000723919189.4592	1041358.2904411764	871786.7463443562	n/a	n/a	n/a	n/a	-0.0551793969	-0.1373370072	0.174098083	-0.0355944322	0.0114492307	0.3223597601	0.1065411708	-0.066672118	0.18098507	-0.0526728566	0.2120245899	-0.0044893271	-0.0103854255	0.0412337607	-0.0875430512	0.154005492	-0.1003309785	0.0757144543	-0.0434602019	0.018315887	-0.0366957806	0.1317827668	-0.1734538136	0.1019237475	-0.0725809639	0.03028296	-0.0640822645	0.0753811788	-0.1247289886	0.1805779191	0.0168502647	-0.0950222511	0.1186784582	-0.0635378353	0.1208895929	-0.1180574029	0.0291769009	-0.084540719	0.1532091047	-0.1449104913	0.0114056565	-0.0652224687	0.1104393163	-0.0328729663	0.0073116034	-0.0839319351	0.0126957403	-0.1916089606	0.1145528156	-0.2587384645	0.1567636888	-0.0137919633	0.1075917011	-0.1084356629	0.2936115529	-0.1783694874	0.1623450166	-0.1422922246	0.0207192925	-0.2177419804	0.1341312308	-0.2096717308	0.0304978801	0.1815403847	0.2097934025	-0.1691689613	0.1068547526	-0.0577238581	0.1809706154	-0.0245437328	0.019698011	-0.008839788	0.0668819453	-0.0426741118	0.0237844203	-0.0462525395	0.0257711685	0.071457829	0.1428886552	-0.0266541573	0.0095389615	-0.0196381204	0.037872986	-0.096651674	0.0437751249	-0.0556052819	0.1901829612	-0.1619424833	0.0307299779	0.0057615432	0.0450966225	0.1154637225	0.1154447293	0.1154130763	0.0201641444192404	n/a	0.0004065927201599	n/a	-0.0244394797693416	n/a	n/a	0.000597288171396	0.0986233336661968	n/a	n/a	0.0097265619434339	-0.0026439984655288	n/a	6.990727885718648e-06	n/a	-1.0975833281356984e-05	n/a	n/a	1.2046891622014362e-10	0.001115986277508	n/a	n/a	1.245425371586163e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
980908.0800365336	-6421.435176196159	962180661480.9587	41234829.7220894	1348203.0088641827	-37184.8255709135	1382711252.7392623	1817651353110.4355	992752.3272949868	-7609.566816068953	57905507.12821778	985557183349.6128	1031357.4389143012	844705.6182380288	1.394616	28.85334	0.1320459181577282	0.0641525781930743	-0.0210982955	-0.1040081712	0.0658204016	0.1594215013	0.0556954788	0.122436441	-0.0251196088	0.0765081259	0.1182334381	-0.024903626	-0.0958417761	0.1251984116	0.087711443	-0.100086134	-0.1323745314	0.1604279042	0.1580666593	0.0445150679	-0.0474907932	0.0184969562	0.1697039457	-0.1545094253	0.0180603088	0.1006029161	-0.0979812681	-0.0928556675	-0.0815142908	0.0078911542	-0.014167106	-0.0948907792	-0.1385091565	-0.0017836984	0.0170100866	-0.0705276721	0.0981413737	-0.0166343526	0.1345327913	0.0042094424	-0.0128651263	0.105882488	-0.0253485966	-0.029376657	-0.0469427187	0.0260271111	-0.1196391474	-0.0168683813	-0.2821121901	-0.0788366338	-0.0164932752	-0.0594391717	-0.0276242547	-0.0854810829	-0.0746519148	0.0142242576	0.1086762155	-0.0667632798	-0.0164565853	0.0085259575	-0.0204434931	-0.1405607637	-0.0601762154	0.0551156713	0.0388766432	0.1304273538	0.1417460615	-0.1275954204	-0.0522115051	-0.059276193	0.1655047746	0.0276213612	-0.0129707133	-0.0290348432	0.0823602038	0.0226096187	-0.0043749704	0.0336700527	-0.032096266	-0.1326091841	-0.0421527224	0.0410647004	0.0287975468	-0.0074822665	0.0339130141	0.0050632997	-0.0201656128	0.1041841204	0.2004274306	-0.2056777719	-0.0545547079	-0.0963670361	-0.0024761744	0.1154130763	0.1152422001	0.1149575937	-0.0029533161122401	-0.0231174605314805	8.72207605881698e-06	0.0005344169814245	0.0279662760840011	0.0524057558533427	0.0027463632465601	0.0007821125980065	0.107433801174011	0.0088104675078141	7.762433770624968e-05	0.0115420216346969	-0.0031749579891573	-0.0005309595236285	1.0080358232913763e-05	2.819180157318037e-07	-6.785479887927437e-05	-5.6878965597917386e-05	3.235216727489069e-09	4.6042737309467745e-09	0.0014823924735834	0.0003664061960753	1.3425350052244446e-07	2.197487445736712e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
980816.7872317686	-91.29280476504935	962001570115.6484	8334.376201869421	1328928.8474158654	-19274.161448317347	371493299.53580266	1766051881494.0603	996525.987134794	3773.659839807194	14240508.586573662	993064043034.9756	1032034.642648484	856887.6191395905	1.354048	28.014029	0.1231039772033738	0.0628809219964671	-0.0296447902	-0.048423234	0.1287179178	-0.0452702949	-0.1242902979	-0.115511071	0.0956142024	0.0976458918	0.0249410155	-0.0996192446	-0.061122756	0.1148114663	0.0531724963	0.1232243546	-0.0397229064	0.1349920802	0.1423666374	0.0737552707	0.0249942981	-0.0381822395	-0.0996085804	-0.0530022445	-0.0321808414	0.0580880739	0.0311780094	-0.0574960368	-0.1051697298	0.0457729922	0.1057277354	-0.1274006223	-0.0402698933	0.0640989436	-0.2603178407	0.0842845085	0.0833410192	0.0646217976	-0.1227705119	0.1299637393	-0.0252365006	-0.009316745	-0.0134966302	-0.0144581418	0.1074343018	0.0759803086	0.1090290602	0.0368058575	-0.1390832997	-0.0577570962	-0.017388231	0.0006183631	0.1239256131	-0.0168644656	-0.0133912795	-0.0606945334	-0.020925848	0.013572409	-0.0072159854	0.0188048188	-0.0580385305	-0.0293564928	-0.1950824391	0.054024825	0.1843305433	0.0063230264	-0.2028173145	0.0666926353	0.0051622945	-0.0405320015	0.1125597336	0.0180534776	-0.0268857954	-0.0528898633	-0.0852766981	0.0307126365	-0.012182557	-0.046370025	-0.0985184227	0.1377724803	-0.0119793275	0.0480652488	-0.038920499	0.0121244151	-0.0102845143	-0.0631587779	0.0350015675	0.0654509126	0.0530151246	-0.0570649065	-0.0205571685	0.1846774287	0.0526982093	0.1153118061	0.1148374968	0.1140484259	-0.0067167604158555	-0.0037634443036153	4.511487048400335e-05	1.41635130264152e-05	0.0144865267689766	-0.0134797493150244	0.0001817036415959	0.0002098594578282	0.0948626663342508	-0.0125711348397601	0.0001580334311594	0.0089989254640434	-0.0022812302294309	0.0008937277597263	5.204011359669357e-06	7.987493085055694e-07	0.0004478300004771	0.0005156847993563	2.659308122872241e-07	2.0055170932731938e-07	0.0010260120577667	-0.0004563804158167	2.08283083941024e-07	1.0527007426826582e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
980831.2439225316	14.456690763006918	962029929054.6208	208.99590781720957	1326397.5619891826	-2531.2854266827926	6407405.911336687	1759330492450.8474	996026.1175713812	-499.8695634128526	249869.58042655585	992068026884.3188	1031461.6137960271	836772.6840385825	1.236533	25.582735	0.0877401313106592	0.0456431337804248	-0.0169379833	-0.1256927765	0.0587804446	0.0026167727	0.0877286003	-0.0833260111	-0.0321518711	0.0575821192	0.086600137	0.0247344004	0.0230576224	0.140391953	0.0714415354	-0.0225703754	-0.1083264516	0.0729814435	-0.0274258438	-0.0284470522	0.0129394112	-0.1351981952	-0.0263888801	-0.0395667092	0.0197567385	0.0239231952	-0.0805055626	-0.0453991268	-0.1044292902	0.0608990047	-0.0324406952	-0.0297018123	-0.1309205828	-0.0188384356	-0.0575840155	-0.0397078152	-0.0070221928	-0.0433939136	-0.0212883555	-0.0438310366	-0.1265193702	-0.1195595661	0.021532076	0.135279317	-0.0416967921	0.0898901907	-0.0136628904	-0.0848234717	-0.0304320769	-0.090299378	0.082995664	0.0204917681	0.0469638359	0.0044809181	-0.1165409491	-0.0189333214	0.0577029326	-0.0175373458	0.0186864608	0.0528369201	0.0309728808	-0.0160575742	-0.0176385526	0.0753828406	-0.1069572095	0.0426075135	-0.0840921407	0.0701374055	-0.1390738837	-0.0308284823	0.1166838099	-0.0139979815	-0.0045398544	-0.0333622751	0.055594653	-0.020680926	-0.0104286062	-0.0712309172	0.0639058963	-0.0287194135	0.1275068002	-0.0147411606	-0.0441166529	0.0377127261	0.0464185894	-0.0591520673	-0.0728875585	0.073407226	0.0574204051	-0.1794655077	0.0859297887	0.0624266399	-0.0640937185	0.1151599564	0.1142313295	0.112689161	0.0032997794457685	0.010016539861624	1.0888544390716267e-05	0.0001003310707995	-0.0227940761953533	-0.0372806029643299	0.001389843357384	0.0005195699095995	0.0814286138484305	-0.0134340524858203	0.0001804737661917	0.0066306191532768	-0.0019301348696152	0.0003510953598157	3.725420614904485e-06	1.232679516841159e-07	0.0002590101222588	-0.0001888198782183	3.565294641037365e-08	6.708624343251853e-08	0.001025748575823	-2.634819437001383e-07	6.942273465600285e-14	1.0521601408029126e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
982014.3064686704	1183.062546138768	964352098109.1436	1399636.9880763448	1338591.6110576922	12194.0490685096	148694832.68521988	1791827501194.0278	995339.764940239	-686.3526311421301	471079.9342757249	990701247671.2904	1032289.7090529526	844498.1600776284	1.047232	21.666273	0.194069663659037	0.0947013996265402	-0.0255370179	-0.0750102706	0.0461273473	0.1107215043	-0.0060203929	0.0028721494	-0.0288621225	0.0389837427	0.0562433163	0.0463576182	-0.1335832305	0.1253180594	0.0572881644	-0.1222888765	-0.0709765529	0.1061129072	0.1426354851	-0.0520408977	-0.0053319632	0.1113531154	0.0617311786	-0.060184825	-0.0096541614	0.0469354029	0.0080028213	-0.0366247521	0.0070102076	-0.0993107938	-0.0190063391	-0.0580727668	-0.0221549901	0.0575484237	0.0708236889	0.0765760435	-0.0005063808	-0.0842334312	-0.0140925301	0.0442032586	0.0653148222	0.0246640176	-0.0189148354	-0.1114480051	0.0633786012	0.0179215884	-0.1055995703	0.0218501238	-0.2246157299	-0.0231019154	0.0015412177	0.0542672295	-0.084585802	-0.0346379255	-0.0263952266	-0.018204731	-0.0684360241	-0.0191285367	-0.0473086272	-0.0524041711	-0.0602218161	0.0127374934	-0.0211048801	0.0475555278	-0.0407846202	-0.0586903337	0.0682907421	0.0209013344	0.0307707176	-0.0429603569	0.1180288162	0.0229019552	0.0054648479	-0.0909051575	0.0205222615	0.0360236289	-0.0253552195	0.0188075577	-0.0767497349	-0.0564570863	-0.0710413457	0.0278639194	-0.019814713	-0.0448032628	-0.02328362	-0.0339870829	0.0147037331	-0.0420158779	0.0799532078	-0.1228372314	-0.1085203057	-0.1173091195	-0.0142226297	0.1149575937	0.1134247617	0.1108851636	-0.0141602309486188	-0.0174600103943873	0.0002005121405182	0.0003048519629721	0.0507078836181165	0.0735019598134698	0.0054025380964209	0.0025712894610284	0.1116032028552354	0.0301745890068048	0.0009105058217295	0.0124552748875468	-0.0026601928102772	-0.000730057940662	7.076625787850506e-06	5.329845967236403e-07	0.0005951584889669	0.0003361483667081	1.1299572444052329e-07	3.542136269893636e-07	0.0006332927943056	-0.0003924557815173	1.5402154044643316e-07	4.01059763319395e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
983278.5772147292	1264.2707460587844	966836760409.422	1598380.5193400353	1337915.5860877405	-676.0249699517153	457009.7599982176	1790018115496.5022	997707.738877822	2367.973937582923	5607300.569071974	995420732216.6962	1033341.0648939807	841405.9501725537	1.020306	21.109196	0.1739018022671879	0.090984349278692	-0.0235085705	-0.0698704451	0.0624760268	-0.0479678811	-0.023434885	-0.095914189	0.1507981509	-0.0777541661	0.1305079592	0.1153510735	0.0200294237	0.1069917016	0.0397140157	0.0734555992	-0.0494559748	0.1299410405	-0.0545400392	-0.0345884543	-0.0796818128	-0.0156995381	-0.015678116	0.0574390797	-0.0378540603	0.1312720814	0.0655235002	-0.0257078655	0.0099057886	-0.0759227877	0.0162706762	-0.0860579504	-0.0055998606	0.0613766406	-0.0825424553	-0.095571188	0.1156268212	-0.0564208098	0.0547072774	0.0109367803	0.0379974534	-0.0630455218	-0.1388540117	-0.0481568654	0.0061006906	0.0696304083	0.0905872631	-0.0090555772	-0.0318692627	-0.1177643888	0.0591291626	0.0050003587	-0.0143777019	0.038898559	-0.0993897706	-0.0268702243	-0.0997399411	-0.0140306491	0.0233493914	-0.1514508026	-0.0727428779	0.0096032422	0.0510413778	0.1669905204	0.0643362717	-0.0052509494	-0.0280382075	-0.0686197699	0.0857875262	-0.02346998	0.0842564751	0.009883045	-0.0243750049	-0.0795076228	-0.0568914475	-0.0006461702	-0.0461506536	-0.1050867583	-0.0398983855	0.0337558313	0.0331951226	0.0461805754	-0.0433297266	-0.0120945155	-0.1038799541	-0.034352299	-0.0020910425	-0.0962918157	0.0643937779	-0.0853315248	-0.0544201024	-0.0751312336	-0.0001056838	0.1147048067	0.1124192083	0.108643553	-0.0312989608545422	-0.0171387299059234	0.0009796249505741	0.0002937360627881	-0.0141351044950397	-0.0648429881131562	0.0042046131074429	0.0001998011790856	0.0729809277377171	-0.0386222751175183	0.0014916801352532	0.0053262158134578	-0.0018046340889986	0.0008555587212786	3.256704195175807e-06	7.319807255558731e-07	0.0005380677028405	-5.709078612639996e-05	3.259357860530342e-09	2.895168528400527e-07	0.0004799861190988	-0.0001533066752067	2.3502936662963253e-08	2.3038667452752745e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
987340.5282140976	4061.950999368448	974841318654.0931	16499445.921270331	1343031.6516826923	5116.065594951855	26174127.17185008	1803734017421.5408	998895.3086819388	1187.5698041168507	1410322.0396501352	997791837706.7858	1036051.725490196	850040.3138696703	1.11126	22.990957	0.1274502081712411	0.0658152875804068	-0.031101359	-0.0467049798	-0.0181360148	0.0806717685	0.0013210116	-0.0095130496	-0.0401983544	-0.0700234539	-0.0787112189	0.124184323	-0.0308571449	0.0923324749	-0.043245487	-0.1390660315	0.0431280273	0.0620858329	0.0671293237	-0.0518349606	-0.1423305749	-0.0424884493	0.0117390558	0.0279540878	-0.0426471664	0.0564645432	0.1006369482	0.0904523623	-0.0025340695	0.0037274024	-0.0198834461	0.0487884823	0.0938377224	-0.0718421088	0.059599141	-0.0128109853	0.0285697156	0.1429732355	-0.0833477355	0.0940188902	0.0631309249	-0.0513158095	0.1857956364	-0.008402707	0.0906412297	-0.0617702049	-0.071710502	0.08135566	-0.0814658153	0.0124648525	0.0677357438	0.0049793741	-0.029426356	0.1144380626	-0.095916254	0.0533068301	-0.0845781023	0.1496848252	0.0551139778	-0.0587264601	0.1039587333	0.0254914931	-0.0552843108	0.0485889405	-0.156676037	-0.0888735551	-0.0050614991	0.0596064637	0.190140852	-0.0200393608	0.0486468119	-0.0086011744	0.0417557439	-0.0893067277	0.0570936572	-0.022982748	8.68371e-05	-0.1350425074	-0.0076306572	-0.0764902307	-0.0891778683	0.0660829391	0.017473723	-0.0093477491	-0.0882954183	-0.0585878397	-0.0073731616	-0.0917235414	0.0332641912	0.0136918965	0.0098008743	-0.0721829561	-0.1230543925	0.1144017065	0.1112164334	0.105973176	-0.0202957362049431	0.0110032246495991	0.0004119169081006	0.0001210709526895	0.0372901656026698	0.0514252700977095	0.0026445584046223	0.0013905564506745	0.0377019522434096	-0.0352789754943074	0.0012446061119279	0.0014214372029643	-0.0018401170903479	-3.548300134930001e-05	3.386030906190421e-06	1.2590433847544263e-09	0.0008777611315071	0.0003396934286666	1.1539162547927049e-07	7.704646039846246e-07	0.0002603077905222	-0.0002196783285766	4.825856804620864e-08	6.776014580654955e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
986358.9356032406	-981.5926108569838	972903949844.3578	963524.05368903	1332323.92109375	-10707.7305889423	114655494.36537065	1775087030718.625	997933.2667247676	-962.0419571711682	925524.7273577318	995870804835.9662	1032132.6277929776	880205.7928549557	1.212009	25.075369	0.064906155003415	0.0299576493731454	-0.0075684175	0.027485601	0.1343430482	-0.0776732754	-0.0705498311	-0.1312039933	-0.0045912738	0.0255618244	-0.134274943	0.0521991881	0.0076411267	0.1172256065	0.0391533467	0.0720756569	-0.0255694092	0.0517171776	0.0563583371	-0.0731945748	-0.0878310168	0.0178212844	-0.0500288257	0.0565303286	0.0073906234	0.0195952725	0.019031355	0.0502988289	0.0608661118	0.1251790241	-0.0446206023	-0.0455605447	-0.1473295701	-0.0285781532	-0.0475820158	-0.1670975868	-0.0476232154	-0.0985502602	-0.1697717184	0.0260660177	-0.0376649296	-0.0143355378	0.0343619716	-0.0114283861	0.0197811256	0.0720787859	0.0837558911	0.0020780868	-0.0761359844	0.0127898652	0.0981548579	-0.0231974603	0.0229077389	0.0498128777	0.0868008536	0.0239857725	-0.0881792459	0.154752949	-0.0103535598	-0.0188709884	0.091105992	-0.0382831053	-0.0580008871	0.1126935217	-0.1371974376	-0.0001222182	0.0435551161	0.056610512	-0.0319157825	-0.0156540326	0.0649666827	0.0155659893	0.0159169898	-0.070831559	0.1056017709	0.0073250235	0.0377928004	-0.0323723513	-0.1315728944	0.0316682625	0.0423656086	-0.0025560185	0.0354506361	0.0292039353	-0.0426200902	0.0510704002	0.0352233716	0.0887738853	-0.0130684536	0.1195977113	0.064822995	-0.0434767548	-0.0953934453	0.1140484259	0.1098185471	0.1028845713	-0.0244900835747046	-0.0041943473697615	0.000599764193496	1.7592549858225216e-05	0.0216557559807881	-0.0156344096218817	0.0002444347642247	0.0004689717670994	0.0510890364646314	0.0133870842212217	0.000179214023946	0.0026100896468844	-0.0017971093307992	4.300775954870005e-05	3.229601946845548e-06	1.8496673813988003e-09	0.000483089460239	-0.0003946716712681	1.5576572810155527e-07	2.3337542659400837e-07	0.0004564346355164	0.0001961268449942	3.8465739327378963e-08	2.083325764989889e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
983945.5298797938	-2413.405723446864	968148805770.428	5824527.185966079	1335312.3855769231	2988.4644831730984	8930919.967187054	1783059167075.1335	996650.9039467132	-1282.362778054434	1644454.2945394851	993313024337.8004	1032506.5165084928	855654.65784519	1.14441	23.676804	0.0457933501632893	0.0281151989029556	-0.0142475176	-0.0250373679	0.0365206757	0.0197706883	0.0910458609	-0.0440524713	-0.0904076807	0.0606224488	-0.0523613753	0.0168079371	-0.0025459357	0.087990084	0.0712164509	-0.060064986	-0.1389179206	0.0174751692	-0.050015522	-0.0301545797	0.0515192245	-0.0741358343	0.0390161675	0.0891943103	0.0396632355	0.0246445211	0.0241972424	-0.0657970501	-0.0516613924	0.154017179	0.0285573748	-0.0736875582	-0.0004413504	-0.066264425	0.2027716309	-0.0372875867	0.107226826	0.0733510142	-0.0220689254	0.0992653772	0.055469091	0.1394612751	0.0635067721	0.0163520319	0.0927867358	0.0795959346	-0.0695152725	-0.1454799337	-0.0289583397	-0.0404156968	0.008070286	0.0464219915	0.0172467526	0.0157652932	0.0314895763	0.1184814023	0.0778254564	0.0854193646	0.102214339	0.0253322624	0.0431467962	0.0343524854	-0.1219944581	0.1441163342	-0.0970894303	-0.0488420239	0.1382682407	-0.0523022722	0.0089783035	-0.0264250769	0.0785032976	0.0127113061	-0.0099688556	-0.0713377227	-0.0600725221	0.0155869837	0.041876774	-0.0398506191	-0.0695278853	-0.0943891576	0.1143235825	0.0119436346	0.0008085382	-0.0075382757	0.0944837217	-0.0438964622	-0.1029616568	0.1073563444	-0.1200308054	0.0229355108	0.023997074	0.0333074686	-0.0224775013	0.1136451198	0.1082280018	0.0993899282	-0.0312588322840525	-0.0067687487093478	0.0009771145957625	4.581595909029883e-05	-0.0032293832466905	-0.0248851392274786	0.0006192701543709	1.0428916154005274e-05	0.0569001496266992	0.0058111131620677	3.376903618235758e-05	0.0032376270275407	-0.0019081217392671	-0.0001110124084679	3.640928571863703e-06	1.2323754833843896e-08	0.0005380645100441	5.497504980510006e-05	3.022256101073232e-09	2.8951341696899744e-07	0.0004570141585313	5.795230149000072e-07	3.35846924798794e-13	2.088619410980722e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
984749.3296489974	803.7997692036442	969731242244.1498	646094.0689718317	1351996.9987379808	16684.6131610577	278376316.3341398	1827895884596.508	1000223.7145376826	3572.8105909693986	12764975.518943105	1000447479123.5596	1039203.7581651846	851751.3372999289	1.028117	21.270807	0.0624553991449711	0.0294463823840227	-0.0241439285	-0.0672037365	-0.0118393423	0.0685760532	-0.0725024121	0.0880296055	-0.0567303643	0.0043924433	0.0130820927	-0.0944565535	-0.1025554669	0.0391604189	-0.0463471143	-0.0949757421	0.0325887807	0.0823620248	0.071349667	0.0260510181	-0.0832685369	-0.0404836562	0.0322447879	-0.0456601206	0.109253548	0.0879249854	0.0620445563	0.0848421965	0.0245653038	0.0101416666	0.0039480053	0.0020903178	0.0704904171	-0.0331259337	0.0826473682	-0.00879845	-0.1094252109	0.0138501083	-0.1317775717	0.0303103173	0.0217864831	-0.0539039096	0.0191490367	0.0778954788	0.0928477935	-0.0791243106	-0.0621844198	0.0765100674	-0.0990360019	-0.0358648202	-0.0239252481	-0.0653999084	-0.0268617438	-0.0892608547	-0.0409118829	0.0719923646	-0.0309101176	0.0986906528	0.0128215034	-0.023675038	0.0672849027	0.0150828293	-0.0579498045	0.0057247477	0.0037959933	-0.0465841268	-0.0346279516	0.061133489	0.0131799886	-0.0119980696	0.0588368226	0.0062629688	-0.0178237691	-0.0793755419	-0.0297249276	-0.0012190542	-0.0159496337	-0.1187781484	-0.0335281082	0.0085091597	-0.0927306429	0.0821290594	0.0399424478	0.0170160736	0.0019694647	-0.0628856005	0.0452597976	0.0635722002	-0.0462739824	0.0226743446	-0.0382956434	-0.0653425225	-0.0570529309	0.1131919653	0.1064475877	0.0955030384	-0.014937018833109	0.0163218134509434	0.0002231145316206	0.0002664015943274	0.0064124593458956	0.0096418425925861	9.296512858020744e-05	4.1119634862763824e-05	0.0554963981337977	-0.0014037514929014	1.9705182538231878e-06	0.0030798502058249	-0.0017041792798285	0.0002039424594386	2.904227017796785e-06	4.1592526761865077e-08	0.0009546809674076	0.0004166164573634	1.7356927254611294e-07	9.114157495303108e-07	0.0003758132431626	-8.120091536870002e-05	6.593588656714784e-09	1.412355937363915e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
