global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19
866009.7631779608	n/a	n/a	749972909919.5477	1147224.6447539749	n/a	1316124385530.8838	n/a	857528.460111465	n/a	735355059901.1404	n/a	875273.1958222599	835631.7158647017	n/a	n/a	n/a	n/a	-0.0340028068	-0.0856465547	0.0320337419	0.0645889423	0.2359910754	-0.0825583145	0.1220609196	-0.0054435318	0.201099093	-0.136977403	0.0820746904	-0.0523226497	0.1332270003	-0.1141887259	0.2435011989	-0.0274085272	-0.0208195437	0.0323471764	-0.1070457862	0.0410331949	-0.0301601663	0.124332543	-0.0399643525	0.1188914775	-0.0473374256	0.0856724082	-0.125249086	0.010331907	-0.1643117687	0.1540373016	-0.0706839539	0.0481880989	-0.0595161481	0.0817504533	-0.033379429	0.0281221439	-0.0752977785	0.0036917259	-0.1020601667	-0.1659316559	0.0121704394	-0.1424777675	0.0471653314	-0.0164069684	0.0898546436	-0.0447154159	0.1872360912	-0.0075298329	0.2669049512	0.0871477397	-0.0093281182	0.0103188292	-0.0146807868	0.0328601476	-0.169949522	0.0841455826	-0.0318534743	0.1438740607	-0.036822631	0.2286021411	-0.0256082327	0.18797573	-0.0120051635	0.0378937331	-0.147756881	0.318799289	-0.0257551399	0.0623056823	-0.1413720786	0.0835559509	-0.1171419363	-0.0679652065	0.080413245	-0.0401896438	0.0615440862	-0.0895504574	0.153115553	-0.0058703011	0.0060160692	-0.0850846946	0.0638946981	-0.0858624631	0.1216428682	-0.1245251135	0.0619200606	-0.0731435275	0.0387928574	-0.0179341613	0.0581163043	-0.0408065169	-0.1276972863	0.0465318669	-0.022288384	-0.1073170059	0.1154637225	0.1154447293	0.1154130763	0.091392411965387	n/a	n/a	0.008352572964851	0.0510081768525196	n/a	n/a	0.0026018341058179	0.1187576071333182	n/a	0.0141033692520315	n/a	-0.002508014905918	n/a	6.290138768306875e-06	n/a	-0.0015549092939937	n/a	n/a	2.4177429125479867e-06	0.0019180591372594	n/a	n/a	3.678950854024274e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
862668.7672729188	-3340.9959050419275	11162253.637506928	744197402028.1774	1124212.8545949836	-23011.79015899124	1263854542436.6018	529542486.3214459	855917.2431130573	-1611.2169984076172	732594327058.2565	2596020.2159576514	872396.2970563752	865271.4566170828	1.530239	29.757414	0.2473177744278646	0.124644723473622	0.0106224824	-0.0682313612	-0.0994230117	0.0883674667	0.1032747714	0.1206063516	0.041139863	0.0381489818	0.0085998312	-0.0493423295	0.1004306708	-0.0638167191	-0.0010999504	-0.0399416328	-0.011293528	-0.000247897	0.0408853762	-0.0153909741	0.02436727	-0.1776778392	0.0012340674	0.017556163	-0.1014767095	0.0401283081	-0.1071646138	-0.0209255567	-0.0031312014	-0.0638673759	-0.0949135814	-0.0626072991	0.0254493569	-0.0026354374	0.1200070932	0.0638852359	0.001117829	-0.0662445339	-0.0386186176	-0.0965636387	-0.0209555265	0.0319963842	0.0109395374	-0.0660257213	0.0988798921	-0.0330468101	0.0201527329	0.0589284176	0.0148280922	0.0325630466	0.0293191746	0.0347143173	0.076798425	-0.0026554104	0.1330572197	-0.0800543285	0.0840978718	0.0920209291	0.0522061867	-0.0045684751	-0.051203456	0.0270681817	-0.0153831638	-0.0627654191	0.0816428996	0.0749030195	-0.0207447377	0.1056107256	0.1140065214	-0.054582883	0.0784852079	0.0222476278	-0.0782482365	-0.0141222517	0.0966562192	-0.0628059629	0.0643743922	0.0868035639	-0.0206993484	-0.0659752372	-0.0475813571	-0.1670855059	0.03196548	-0.0084025836	-0.0327585308	-0.0239570966	0.0260013886	0.0323670521	-0.0661999363	-0.0457692397	0.0659704482	0.0846146946	-0.1292550596	-0.0453135011	0.113701156	0.0834694059	0.1154130763	0.1152422001	0.1149575937	0.0710365045825085	-0.0203559073828785	0.0004143629653803	0.0050461849833007	-0.0036546933268368	-0.0546628701793564	0.0029880293762451	1.3356783313225436e-05	0.0421371413655435	-0.0766204657677747	0.0017755386824597	0.0058706957744707	-0.0012270360396457	0.0012809788662723	1.505617442589404e-06	1.6409068558362674e-06	-0.0011140569085623	0.0004408523854313	1.943508257405556e-07	1.241122795515389e-06	0.001726319767006	-0.0001917393702534	3.6763986105170416e-08	2.98017993795565e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
861280.3515771835	-1388.4156957353698	1927698.144164331	741803844012.9167	1114955.296806469	-9257.557788514532	1243125313876.8015	85702376.20768608	854837.0488455414	-1080.194267515908	730746380078.9546	1166819.655574229	870013.5776629704	869585.8264001623	1.098249	21.356829	0.1491742635986064	0.0703362964176089	0.0402791681	-0.0809522261	-0.1139485476	0.0181230459	0.0854139399	0.0700907268	-0.0907071917	-0.1271159533	0.0351688478	0.0345057369	0.0758158572	-0.0808544162	-0.0076613887	-0.0733846571	0.0632583917	-0.0681528453	0.0348408866	0.0079834855	0.0263930165	0.0853254853	0.0019973148	0.0929765766	-0.0377164426	0.0167694856	-0.0314253937	0.0528639473	-0.0109697654	0.0264867394	-0.1130397654	0.0261862984	-0.0306539462	0.0039407578	-0.0360504861	-0.0449873546	0.1154223049	-0.0580720031	0.0052485062	-0.0450922861	0.0250841568	0.0163292149	0.0210832943	0.0075136829	0.093129325	-0.0858545786	0.0247621774	0.0485330225	0.0624688709	-0.0692964935	-0.0356489821	0.0631224758	-2.55753e-05	-0.000527167	-0.0598397249	-0.0297769062	-0.1062138186	0.0017952413	0.0082635726	-0.0158084962	-0.0403093047	0.067050207	-0.0724057855	0.0264885144	0.013789437	0.0073776962	0.0299746342	0.0045570059	0.0865717803	-0.0665380294	-0.0694079838	-0.0085653153	-0.074194674	-0.0317917739	0.0961494833	-0.0048066976	0.0583061246	0.0271648741	0.1129718964	0.0799754047	0.0133228687	-0.017430062	0.0018079327	-0.0096836476	-0.011587184	0.0169653011	-0.0106327178	0.0686288194	0.0797759287	0.0278894901	0.0139689747	-0.0046491719	-0.1246808952	0.0090763063	0.0728606107	-0.0900202164	0.1153118061	0.1148374968	0.1140484259	0.0631934400017257	-0.0078430645807827	6.151366201832958e-05	0.0039934108592517	0.035320714822447	0.0389754081492838	0.0015190824404032	0.0012475528955686	0.0635730242563283	0.0214358828907847	0.0040415294130957	0.0004594970753074	-0.0021409517790922	-0.0009139157394464	4.583674520398056e-06	8.352419788080426e-07	-0.0008848397337111	0.0002292171748512	5.25405132467656e-08	7.829413543539304e-07	0.0012510545217486	-0.0004752652452574	2.2587705334957657e-07	1.5651374163876182e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
859263.57914125	-2016.772435933468	4067371.058341014	738333898438.6312	1115564.2993421052	609.0025356360711	1244483705966.642	370884.08841116406	854868.2707006369	31.221855095471252	730799760250.6974	974.8042356026044	871172.8209539956	865779.3243286661	1.115942	21.70088	0.1062352746957343	0.055591424387047	0.0019147862	-0.0617737815	-0.0923910707	-0.0047685527	0.0977376591	-0.039470586	-0.0567066318	-0.1112739825	-0.0603595363	-0.0264437124	0.0648929402	-0.0785527855	-0.0421795661	-0.0172763889	0.0307611211	0.0158251979	0.0702298684	0.0177854205	0.0181059606	-0.1119340164	0.02252983	0.0801758974	-0.0061778944	0.0529732231	-0.0084162429	-0.0783922484	-0.0174161291	-0.022698894	-0.0289478529	-0.0469358889	0.0295673617	-0.004488608	-0.0768711155	-0.0023181687	0.1890484028	-0.0908394215	0.0038386277	-0.0873292457	-0.1826031157	0.0812474887	0.0297643015	-0.0510724011	0.070321008	-0.0707320604	-0.0418658083	-0.0151310716	0.0512099329	-0.0304297095	-0.0797857147	0.0093549022	0.0669813792	-0.1234356439	0.0529309012	0.030745693	0.0683824341	0.0604780564	0.0752002494	-0.0319794202	-0.0207285591	-0.0234386486	-0.0173958815	-0.0364814274	0.0330680647	0.0918095882	-0.012070508	0.1073901018	0.0130331723	0.0273867731	-0.0395590678	0.0080103076	-0.0486617326	0.0241812656	0.0662599228	-0.0387269747	0.0489307812	0.1041300442	0.0338320625	-0.0204101252	-0.0834768256	-0.0863939072	-0.0638125879	-0.0267953387	-0.0159256568	-0.0039792633	-0.034999504	0.0279642364	-0.0993673782	-0.0694964589	0.0339184115	0.0534122339	-0.1186865421	-0.0756177252	0.0148311705	0.0125472533	0.1151599564	0.1142313295	0.112689161	0.0669034489910558	0.00371000898933	1.3764166700910082e-05	0.0044760714868988	-0.0087164059922173	-0.0440371208146643	0.0019392680096453	7.597573342116164e-05	0.0468091617585884	-0.0167638624977398	0.0021910976245416	0.0002810270858431	-0.0016008475557659	0.0005401042233263	2.5627128968016564e-06	2.917125720549057e-07	-0.0008582162745449	2.6623459166199995e-05	7.088085779743186e-10	7.365351738937272e-07	0.0015188124871361	0.0002677579653874	7.169432802845364e-08	2.306791371080546e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
858330.1889738801	-933.3901673698564	871217.2045427287	736730713303.9368	1114264.8527960526	-1299.4465460525826	1241586162176.6086	1688561.3260479865	854320.6141321656	-547.6565684713423	729863711731.1605	299927.71698980604	870390.3571335839	856945.7040709128	0.998658	19.420149	0.0155039120473469	0.011388350326866	-0.018621366	-0.0627977418	-0.0555217015	-0.0139410618	0.0743661049	-0.0234925226	-0.0280536679	-0.0892790965	-0.0862595817	-0.0514929805	0.0406022262	-0.0738502596	-0.0336235509	-0.0297031162	-0.0367258616	-0.0012993117	0.0477332653	-0.0165055106	-0.0102540509	-0.0535914105	0.0534211796	0.0368046784	0.076139212	0.0719582332	0.1292151113	0.0267878441	0.064508488	-0.0152253413	0.0394197565	-0.0385608047	-0.010011587	-0.0064743947	0.0397077413	-0.0384989184	0.0931709508	0.0065722383	-0.0976943428	0.1104395585	-0.0402758124	0.1312655169	-0.0510853474	-0.0720364853	0.0401470244	-0.0773920759	-0.0104959437	0.0101347727	0.0128434394	0.0198466755	-0.0893582703	-0.0163134251	0.080974488	-0.1187703313	0.0006892931	0.0905550157	0.0726739845	-0.0110385079	-0.0533734524	-0.024685547	-0.0548569366	-0.010809281	-0.0114523175	-0.1074437393	-0.0795511941	0.0796823626	0.0509056162	-0.0563864262	-0.0513009956	-0.0724137227	-0.0519527319	-0.054080533	-0.0501957876	0.0057837101	0.053397619	-0.022774698	0.0606345622	0.0361030074	0.0860311369	0.0769189314	0.0597009163	-0.0721963407	-0.093867028	-0.0200793925	-0.0184133185	-0.0184867849	0.0213071961	0.013111701	-0.0338771339	0.0636760619	0.0202092655	0.0582676568	-0.0686149856	-0.0084596591	0.0055972062	0.0332959974	0.1149575937	0.1134247617	0.1108851636	0.066992879700507	8.943070945120757e-05	7.997851792946307e-09	0.0044880459305666	-0.0086169241882032	9.948180401410032e-05	9.896629329899865e-09	7.425138246524137e-05	0.0458498444159118	-0.0009593173426766	0.0021022082329633	9.202897639601e-07	-0.0016797578752815	-7.891031951560014e-05	2.82158651957022e-06	6.226838526054104e-09	-0.0008589502729146	-7.339983697000028e-07	5.38753606722262e-13	7.377955713400659e-07	0.0017262818130749	0.0002074693259388	4.3043521205500074e-08	2.980048898153164e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856631.0062641755	-1699.182709704619	2887221.8809591318	733816680893.174	1109073.7084703948	-5191.144325657748	1230044490820.2744	26947979.409808632	853073.3566480891	-1247.2574840764282	727734151822.8379	1555651.2315846616	868824.2390945748	844634.2825520834	0.994582	19.340881	0.1557219553838046	0.0796587489940538	-0.057863633	-0.0551783208	-0.0702093562	-0.0523009948	0.0612569418	0.0256508339	0.0464338118	-0.1505359628	-0.1289374712	-0.0108336407	0.0340385678	-0.11303762	0.0488845832	-0.1106337919	-0.0822365869	0.0146389417	0.0015415371	-0.091266666	0.0538446356	-0.0969508431	0.1485366282	-0.0365072176	0.0140517444	0.1746707251	-0.0988442823	0.0687808309	0.0044398279	0.0206370161	0.0241555132	-0.0924199481	0.0470167912	-0.0663616487	0.0158450076	-0.0505691184	0.0190803117	-0.072083097	-0.0205229796	0.1536466752	0.0238577574	-0.036356561	0.0940322193	-0.0373448973	0.0472752795	-0.1308260393	0.061120258	0.0182079723	0.0299288535	0.0419268419	-0.1221681998	-0.1133985097	0.0525792842	-0.0975114347	0.0097040955	-0.0004912137	0.1173316889	-0.0290201624	0.0099898876	0.0756237434	0.0053978901	0.1296707142	0.0482941322	-0.0763242376	-0.0654022967	0.0093199424	0.0436409815	0.0687226805	0.1759963739	0.006483297	0.0301496153	-0.0005047888	-0.1047745293	-0.0182054255	0.0319061114	0.0066081366	0.0660805838	0.0500283014	0.0736814661	-0.0040824986	-0.1216786064	-0.033543648	-0.0816803311	-0.0728338948	0.0209773106	0.0013383859	0.0259646679	0.0525268526	0.006874486	-0.0320363557	0.1070787809	0.0179079368	0.0214135382	-0.0365598313	0.1259391257	0.1073016854	0.1147048067	0.1124192083	0.108643553	0.0668109082994306	-0.0001819714010764	3.31135908097121e-08	0.0044636974677949	0.0261739078467115	0.0347908320349147	0.0012104019936816	0.0006850734519681	0.0990090996015453	0.0531592551856335	0.0098028018039087	0.0028259064118913	-0.0022139965083369	-0.0005342386330554	4.901780538927985e-06	2.854109170489024e-07	-0.0009811435589359	-0.0001221932860213	1.493119914868323e-08	9.62642683241404e-07	0.001030915796908	-0.0006953660161669	4.835338964398255e-07	1.0627873803144567e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
857569.4841131018	938.4778489263264	880740.6729253845	735425420082.0116	1108504.0490679825	-569.6594024123624	1228781226800.112	324511.8347568098	855097.1382165605	2023.7815684713423	731191115786.1515	4095691.8368843263	871269.8451475439	848912.1063142586	0.896263	17.428951	0.071297309180408	0.0385019939637306	-0.0635068415	-0.0525856319	-0.0581615635	-0.0582186461	0.0988098769	0.0329205649	-0.0139498117	-0.0570216002	-0.027849903	-0.0284247245	0.0710188071	-0.0759460679	-0.0436877701	-0.0636273637	0.0038184151	0.0392604012	0.0718665188	-0.004612494	0.0618864889	-0.047061507	-0.0156588952	0.0240901295	0.0237593442	0.0857839062	0.0891614237	-0.0399468413	-0.0850034917	-0.0831378783	-0.0934361154	-0.0654416459	-0.0614485	-0.0111321379	0.0419502806	-0.0720384255	-0.0016362033	-0.0409303343	-0.0144306661	-0.0487866623	-0.0141762816	-0.0076953861	0.0245790115	-0.0517493144	0.076312943	-0.0675420159	-0.0307085146	0.0355355376	0.0599493415	0.0435660096	-0.0387030454	0.0313315625	0.0323789778	-0.0655402113	0.0327941012	0.0088243739	-0.0008393318	0.0748082127	-0.1051419405	0.0628127559	-0.0387169102	-0.0506331208	-0.067203393	-0.0059960972	0.047469688	0.0451323596	0.0120833022	0.0526635016	0.0408092203	-0.0264579044	0.0393829481	-0.0351115926	-0.098862159	0.0343756112	0.0541610464	-0.0203904609	0.0506999336	0.0250954664	0.0890587743	0.0305842469	0.0280321007	-0.072027907	-0.0134878524	-0.0341430852	0.0075431761	0.0363270233	0.0118807381	0.04824282	-0.000966522	-0.031444948	-0.0387165738	0.0319854295	-0.0806517527	0.0089667151	-0.0305209773	0.0156902607	0.1144017065	0.1112164334	0.105973176	0.0508495583974024	-0.0159613499020281	0.0002547646906949	0.0025856775892108	-0.004491208307499	-0.0306651161542104	0.0009403493487512	2.0170952061348038e-05	0.0822670061198209	-0.0167420934817243	0.0067678602959186	0.0002802976941507	-0.0021409517331095	7.304477522740004e-05	4.583674323504572e-06	5.335539188021395e-09	-0.0010096680580675	-2.8524499131600024e-05	8.136470507086506e-10	1.0194295874817966e-06	0.0010879215153979	5.700571848990012e-05	3.2496519405497403e-09	1.1835732236656634e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
855700.3849595196	-1869.0991535822395	3493531.645921844	732223148819.87	1107815.490439967	-688.558628015453	1227255160858.7446	474112.984214523	854120.2747611465	-976.8634554139572	729521443758.0564	954262.210523296	870065.5939600135	828850.6079101562	1.031892	20.066423	0.0598535784793876	0.0314651328942768	-0.0807142913	-0.0515799512	-0.0234241031	-0.0660093401	0.0316957813	-0.0339964641	0.0967992878	-0.1064863811	-0.0500715933	-0.0815400168	-0.0353892358	-0.0635099208	0.0052472615	-0.0223593916	0.0728536274	-0.0033516699	-0.1489749859	-0.0545550407	0.0880094584	0.0304650423	-0.035036767	0.0724170593	-0.1233481043	-0.0385558723	0.0038859742	-0.1550607891	0.0185654968	0.1161979458	0.0406262839	0.0614179793	-0.0352387333	-0.0930741861	-0.1042728351	0.1090902715	-0.0514246039	-0.0447206704	-0.0027326017	-0.0107703774	-0.0370365195	0.0847841172	-0.0143076542	-0.0848421308	-0.0390039221	-0.0831985145	0.0099579203	-0.0248162839	0.0433099365	-0.0833130066	0.0062161332	-0.185420904	-0.0298246438	0.0486949788	-0.0103036878	-0.032145035	-0.01176379	0.061804722	0.1445666137	-0.0846867329	-0.0901182663	-0.0832221107	-0.0793321373	0.1260477746	-0.0977540747	-0.0734255848	-0.0079686329	-0.0474461355	-0.0641181758	0.0352259847	0.0093311347	-0.0135347912	-0.1051647748	0.0233886477	0.01888344	-0.0015318802	0.0809307255	0.0160220641	0.0844993367	-0.0314612763	-0.0592390269	-0.0270247685	-0.046661616	-0.0594694835	0.065013034	0.0470427792	0.011965539	-0.0114168836	0.0637577972	0.048973264	0.0014496306	-0.0332503891	0.0808156626	0.0194565379	-0.0433588674	-0.034048307	0.1140484259	0.1098185471	0.1028845713	0.0567559435603186	0.0059063851629162	3.4885385692716645e-05	0.003221237129422	0.0205808457833001	0.0250720540907991	0.0006286078963319	0.0004235712131559	0.0947459932955183	0.0124789871756973	0.0089768032455544	0.0001557251209312	-0.0022208174677456	-7.986573463609993e-05	4.932030225043979e-06	6.3785355689639316e-09	-0.0011083760675811	-9.870800951359985e-05	9.743271142136918e-09	1.2284975071865428e-06	0.0012372708122477	0.0001493492968497	2.2305212469529667e-08	1.530839062840083e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856891.0749194203	1190.6899599006863	1417742.5806082983	734262314276.5596	1105653.6522580867	-2161.8381818803027	1222469998751.6462	4673544.324635533	856082.5858678344	1962.311106687877	732877393826.1581	3850664.879430602	872019.5147143054	834932.2428871584	0.985774	19.169609	0.116447547971152	0.0613191596059136	-0.0779616907	-0.0729180087	0.0205492773	-0.0514874925	0.0098821622	-0.0151262646	0.0996920103	-0.0045934968	-0.0778393718	-0.0760582852	0.0364919041	-0.0140309555	0.0912988707	-0.0893003717	0.0027357068	0.0519362153	-0.1189158034	-0.1186137214	-0.0627501149	0.1183955448	-0.0198931787	0.0010796836	-0.0039798282	-0.0055751884	0.0135313126	-0.0950714629	0.1294022763	-0.005358648	-0.0954041959	0.085649091	0.0264445772	0.1017194275	-0.1187261703	0.0431953536	-0.1036780674	-0.0325607407	-0.133409724	0.0046935537	-0.057367742	0.058992432	-0.0476573474	-0.0869359194	0.0118107875	-0.0021023311	0.058754305	-0.0168688511	0.0506786521	0.0688295127	0.0329991013	-0.12666975	0.0486896368	0.1316990343	-0.0592840347	-0.0162089505	0.015309014	-0.1122434214	-0.0091286597	-0.0319183407	-0.1633872554	-0.0182768196	-0.0453333271	0.1461456112	0.0036422178	-0.0189305051	0.0399729558	-0.0079585939	-0.0392892632	0.0412104638	-0.0513314238	-0.0011021355	-0.0643592018	-0.0041049393	-0.0444288047	0.0102393323	0.0676320071	0.0248448558	0.0323844268	0.0059976946	0.03188364	-0.0241753072	-0.0200338234	-0.0358814867	0.0665841867	0.0197850762	0.0065263572	-0.0616394992	-0.0332608704	0.0428463998	0.0432652754	-0.0077620882	0.0753767958	0.0080079618	-0.115780389	-0.11085426	0.1136451198	0.1082280018	0.0993899282	0.0439344843217952	-0.0128214592385234	0.0001643898170051	0.001930238912622	0.0492134686995058	0.0286326229162056	0.0008198270950616	0.0024219655014372	0.0570595091941754	-0.0376864841013429	0.0032557875894801	0.0014202710839207	-0.001725970915364	0.0004948465523816	2.978975600682444e-06	2.448731104039556e-07	-0.0008580733327605	0.0002503027348205	6.265145905867153e-08	7.362898443947118e-07	0.0012382611593471	9.903470993999786e-07	9.807873772899512e-13	1.5332906987476242e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856678.0441053323	-213.0308140879497	45382.127750974585	733897271252.1377	1107219.2101836624	1565.5579255756456	1225934379399.7332	2450971.618332719	853891.9926552548	-2190.59321257961	729131535120.7617	4798698.622999855	869592.8379612659	831450.8944149925	1.080521	21.012074	0.2188381998528757	0.135541680423539	-0.0846444614	-0.0646383755	0.0124977639	-0.0455135684	0.021315084	0.0555409328	0.1244268482	-0.1171515415	-0.0647031893	-0.0869816683	-0.0400483159	-0.067449907	0.1382041902	-0.0290243435	0.0437125047	-0.0316139003	-0.2015516574	-0.1203414739	0.1374849839	0.1426019016	-0.028437185	-0.0252568379	0.0158786341	0.0548232072	-0.0729844641	0.015842423	-0.0144824888	0.0442725141	-0.0828955197	0.0353069554	-0.0102860561	0.0267228188	0.0145943566	-0.0500780757	-0.0057942114	0.0699435035	0.1112891033	-0.0636690472	0.0974591455	0.0191006836	-0.1424413709	-0.0928152837	-0.0388720987	-0.092354891	0.1341590606	-0.0633886501	-0.0004210015	-0.0526180475	-0.0053525386	-0.1903759419	-0.0776101826	0.072748935	-0.0317488426	-0.0543842967	-0.098697877	-0.089989348	0.0479407261	0.0856855289	-0.015669579	0.0766766366	-0.0481325033	0.1356119747	0.0180781791	0.0513097358	0.1323187316	-0.1454137407	-0.0407103702	-0.1300908779	0.0908455523	0.0391732674	-0.1458040114	-0.1359147004	-0.0758821572	0.0323505547	0.0398366796	0.0456850261	-0.024192689	-0.0347400267	-0.0565300653	0.0443281426	-0.0464604874	-0.1440657078	0.0362819789	0.0302232477	0.0141586341	-0.0176040606	0.0950708833	0.043812857	0.0904436038	-0.0992184327	0.1524611924	0.0462510901	0.0417928014	-0.1210336973	0.1131919653	0.1064475877	0.0955030384	0.0437250472181602	-0.0002094371036349	4.386390037901615e-08	0.0019118797542303	0.155037154644333	0.1058236859448271	0.0111986525069494	0.0240365193202108	0.141110558794054	0.0840510495998785	0.0199121898031701	0.0070645789388412	-0.0015150367236098	0.0002109341917541	2.295336273886318e-06	4.4493233250997546e-08	-0.0009562347280127	-9.816139525219992e-05	9.635659517858621e-09	9.143848550575224e-07	0.0009722762022628	-0.0002659849570843	7.07479973951369e-08	9.453210134865732e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
