global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
1004650.6866322948	n/a	n/a	1009323002150.7412	1382706.9484645731	n/a	n/a	1911878505332.212	1029033.1630631256	n/a	1058909250683.7012	n/a	1055007.216306473	997994.9315779	n/a	n/a	n/a	n/a	0.1023843088	-0.008744574	0.0382598934	-0.2640426704	0.2398724775	-0.0757205645	0.3149156309	0.2192171995	0.0964408086	-0.1402109998	0.0083731499	-0.1467427183	0.4824278785	-0.0633001037	0.2313652582	-0.1007011484	0.0669810022	-0.0109982611	-0.2412871722	0.0684041576	-0.004288675	0.1742731138	-0.041622162	0.2260470806	-0.0673374202	0.0578627887	-0.2047766739	0.0922584455	-0.0025346521	0.0454886952	0.2685663138	-0.0237932445	-0.0217515917	0.0799493667	-0.1127649784	0.0652211856	-0.0792021134	0.1423748385	-0.0809914049	0.1385347569	-0.0708323067	0.012878549	-0.136126545	0.1970843147	0.1064488013	-0.1196194224	0.012480684	-0.1770871213	0.0123217353	-0.1395013156	0.1720433269	0.1010185449	-0.2878207058	0.2676877682	-0.154075754	0.0920287465	-0.1723998329	0.1267500148	-0.1476061638	0.0356469993	-0.0800493139	0.1280814384	-0.0488780526	-0.0423459627	0.1920657108	-0.1162667038	0.111613211	-0.090630264	0.0649039017	-0.0145290226	0.1443406536	-0.1010194698	-0.0774812308	0.0602413168	-0.0894795703	0.1523042827	-0.0915137146	0.1914360952	-0.0705096286	-0.0008050534	0.0498337961	-0.0641352052	0.2475689041	-0.2555604198	0.0352911702	-0.0620650171	0.0107525848	-0.0091817727	0.0817794678	-0.2447448354	0.1810367398	-0.0066130585	-0.2358056595	0.0079212654	0.1139452331	-0.1785412966	0.1154637225	0.1154447293	0.1154130763	0.0272630056948202	n/a	0.0007432714795157	n/a	0.0582623657775087	n/a	n/a	0.0033945032659922	0.1109114584336339	n/a	0.0123013516118757	n/a	0.0011462930767683	n/a	1.313987817846936e-06	n/a	-0.0022370882603461	n/a	5.004563884578341e-06	n/a	0.0016017848392076	n/a	2.565714671115317e-06	n/a	0.0	0.0	0.0	0.0
995507.865667922	-9142.820964372831	83591175.18657538	991035910606.7012	1346720.7800220451	-35986.168442528	1295004319.173998	1813656859343.1855	1020927.8201821469	-8105.342880978715	1042293614021.87	65696583.21823233	1045465.7038037576	1009348.3842919436	1.445887	31.435535	0.2375149344161328	0.1103573181034204	0.0683966281	0.1473802926	0.0532455516	-0.1432300284	0.1767781464	-0.1043274466	0.160340602	0.0225978585	0.0391182195	-0.0107261838	0.0548235165	-0.2308257678	-0.0720819105	0.1279148406	-0.0016631251	0.0414831032	0.048922767	0.1305375276	-0.1335773707	0.1268716751	0.0668677332	0.0524254591	0.0807161408	0.0423520254	-0.0448594808	0.0158143011	-0.0089037216	0.1264518012	-0.0332179676	-0.03843012	0.2230765894	0.1875307995	0.003878963	-0.1359511574	-0.0989052876	-6.78634e-05	-0.1173340399	0.0229719702	0.0640525024	0.1104942669	0.0242832345	0.0041789392	0.0460386963	-0.0086694537	0.0180761936	0.0883903161	0.1507488843	0.0413829055	0.0635479596	-0.0860298285	0.0915872621	0.081123704	-0.1239523488	-0.0006108515	-0.1041136022	0.0630294682	-0.0271771836	0.1096657196	0.0620566509	0.0515647444	0.0162048126	0.1343865923	-0.1519703488	0.0018238341	0.076823673	-0.0097446743	-0.0897253259	0.1321802215	-0.1035667752	-0.1326593688	0.1223075438	-0.1091924825	-0.0869325599	0.0454288375	-0.0128457102	0.1566048578	-0.0716577398	0.0641129487	-0.0424040228	-0.1396471063	0.1320807325	-0.1960138229	0.1468289258	-0.2149738281	0.0407555457	-0.1234917023	-0.0432843776	-0.1753971605	0.0665443216	-0.0014685898	0.1589578952	0.0696400513	-0.1830079456	-0.0630534718	-0.0355586478	-0.0109981863	0.1154130763	0.1152422001	0.1149575937	0.0613075781734693	0.0340445724786491	0.003758619141496	0.0011590329152539	0.0276763124126091	-0.0305860533648996	0.0009355066604404	0.0007659782687603	0.0332911115709748	-0.077620346862659	0.001108298109631	0.0060249182470795	-0.0002272897147261	-0.0013735827914944	5.166061442027193e-08	1.8867296850895488e-06	-0.0027656851133557	-0.0005285968530096	7.649014146237332e-06	2.794146330116528e-07	0.0015986852495131	-3.0995896945001586e-06	2.5557945270107627e-06	9.607456274251586e-12	0.0	0.0	0.0	0.0
993814.523690852	-1693.3419770699693	2867407.0513072326	987667307498.875	1324640.9413675745	-22079.83865447063	487519275.0074554	1754673623547.1738	1017044.1549290878	-3883.6652530590072	1034378813075.4224	15082855.797817882	1040632.4440432232	976423.9948889985	1.366037	29.69949	0.3185610979161858	0.1500778238575199	-0.063021815	0.1273062613	0.0814408505	-0.0367613055	0.1045281596	-0.0675319539	0.0321203984	0.0023579718	0.0364310204	0.1508282553	-0.0020542382	0.0677016843	-0.1062202048	0.0780437125	-0.089377837	0.086363028	0.1209485909	0.1050617305	-0.0181341393	-0.0746638745	-0.2030487983	-0.106730283	0.0598493806	0.0836334281	0.0392255107	0.0510815382	-0.0147434435	0.2378323823	0.0803627713	-0.042920985	0.0353517895	0.0750825037	0.065831094	-0.2622985149	0.2254883308	0.0254575695	-0.0903007251	0.0641890609	0.0184641826	-0.0964445427	-0.0563203028	0.1399476949	0.0212996214	0.0187787608	0.0023447816	0.0373322371	0.1191032932	0.1272084305	-0.111578898	0.135152956	-0.0026529044	0.2027849263	0.0710041925	0.0258578162	-0.101955298	0.0257016681	0.0149635951	0.1441776922	0.050563785	0.135852397	0.0894382698	0.2091947096	0.00073644	0.0231127652	-0.0152830632	0.2094982354	-0.1392005508	0.0435830616	0.0085503314	-0.1282853044	-0.1248611169	-0.0346089893	-0.0880000821	-0.0279553998	-0.0616715226	0.0366260489	0.0339954862	0.0048354653	-0.1321181632	-0.2740749777	0.0729535193	-0.0452039337	0.060542268	-0.0786352707	-0.0275346561	0.0142364486	-0.0310288593	-0.0737619795	-0.2730863945	0.0369057992	-0.0288134037	-0.0437568946	0.1830769719	-0.266628377	-0.1688299683	0.1516499404	0.1153118061	0.1148374968	0.1140484259	-0.0059792511288776	-0.0672868293023469	3.5751444062184055e-05	0.0045275173975631	0.0820406324163371	0.054364320003728	0.0029554792894677	0.0067306653672725	0.0929531549295035	0.0596620433585287	0.0086402890113482	0.0035595594177149	-0.0003830280328037	-0.0001557383180776	1.467104739134723e-07	2.4254423717639717e-08	-0.00180599623923	0.0009596888741257	3.261622416112904e-06	9.21002735120654e-07	-3.084566331524298e-05	-0.0016295309128283	9.514549453573264e-10	2.6553709958631727e-06	0.0	0.0	0.0	0.0
989509.4075475855	-4305.116143266438	18534025.007013287	979128867625.1736	1298670.7854656558	-25970.155901918653	674448997.5699602	1686545809021.9834	1019646.3112486096	2602.156319521717	1039678600042.8964	6771217.511226807	1043063.5973542028	940423.292903862	1.238142	26.918884	0.14919063586996	0.0753535813391204	-0.0445179863	0.0491202243	0.0838726477	0.0640644703	-0.0366949273	-0.025409672	-0.1183496898	-0.058146905	-0.013723117	0.1109826503	-0.0494065373	0.223302324	-0.104620863	-0.0780981718	-0.0979729135	-0.0182903871	0.0986734623	0.0544622984	-0.1455454541	-0.0284722288	-0.1738848923	0.029834661	0.0965240968	0.1162252791	0.0383975502	-0.0301642766	-0.0787504141	0.1571405744	-0.0187065636	0.000921304	-0.1647439736	-0.0705337799	0.2317373982	-0.0369959179	-0.1410031619	-0.1669850459	-0.0559870131	-0.0062887851	0.0574496166	0.0714450237	0.0714545534	-0.0680980836	0.0342185942	0.0116857615	-0.0837750258	-0.0750109631	0.0576118525	0.0345718647	-0.0865105285	0.0951134816	0.0319690878	0.1502424703	-0.0470390449	-0.0369764979	-0.1576986288	-0.0147703943	0.0686416382	0.0673187811	-0.0007820884	-0.1406017212	0.0390195355	-0.0635336519	0.2937528269	0.1236131055	0.1704389795	0.1198517716	-0.1479266967	0.0448816172	-0.0424432455	0.1389582432	0.0420163612	0.067831179	-0.0813822416	-0.0262002127	-0.0918339136	-0.0418220435	-0.0447813034	0.2214320188	-0.1249783123	-0.1034492883	-0.0089127265	0.0408868564	0.0769234771	-0.0242972761	-0.1098957802	-0.0971355341	-0.0818047839	0.182507057	-0.0572979793	-0.1216355731	-0.0721421448	-0.087347391	0.1368090808	-0.0460441757	0.0141151561	-0.1206273701	0.1151599564	0.1142313295	0.112689161	-0.0183622462622139	-0.0123829951333362	0.0003371720877941	0.0001533385684722	0.0668152905832641	-0.015225341833073	0.0002318110339339	0.004464283055726	0.1223219866444935	0.0293688317149899	0.0149626684166556	0.0008625282763034	-0.0011564723406569	-0.0007734443078532	1.3374282747044489e-06	5.982160973505157e-07	-0.0008300371211293	0.0009759591181007	6.889616224526162e-07	9.52496200203896e-07	6.4020254502072e-05	9.486591781731498e-05	4.098592986510071e-09	8.99954236332156e-09	0.0	0.0	0.0	0.0
990980.2876184452	1470.8800708596827	2163488.1828521853	982041930448.3364	1307706.5191444927	9035.73367883684	81644483.11486636	1710096340213.0054	1020412.5702864294	766.2590378198074	1041241813598.5573	587152.913040537	1043582.6756081668	935707.0456680856	1.166179	25.354315	0.2030755226728429	0.1111036157453417	0.069901681	-0.0114902943	0.088321223	0.0565765576	-0.0367931072	-0.0450550145	-0.0867537484	-0.0690151111	-0.0928226758	-0.0525941021	-0.1968055495	-0.0264238161	-0.062683534	0.0133340581	-0.0113427302	-0.0222464735	0.0551148425	0.0560636583	-0.1663674153	-0.0609475155	0.0567784658	0.157708875	0.0190067953	-0.0816562294	-0.0651700867	-0.0334610094	0.0004766289	0.007402659	0.0572220461	0.0076759339	-0.0545400798	0.1029758483	0.0888319724	0.0885706722	-0.0295542276	-0.0115245717	0.0319450947	-0.1337217556	-0.0974270192	0.0213788649	0.1182534543	0.117135663	-0.035216674	-0.126104484	-0.0150010881	0.0385775615	0.0506916847	0.007481017	-0.0222887059	0.0109590158	0.18397758	-0.105390849	-0.1695585683	-0.1053254104	0.0045547943	0.0529452476	0.0651647501	0.0561783567	0.0510613381	-0.0591611972	-0.0546153613	-0.1609004856	0.0220402071	0.0042479822	0.1083182632	0.06336091	0.0243659538	0.0351272019	-0.1032082525	-0.031606213	0.0722906364	0.0766850186	-0.0726131341	0.0038393096	-0.0061202123	0.0274003896	-0.0360321194	0.0424230195	0.01408203	-0.0395367626	0.1062133547	0.0172260082	-0.0602958048	-0.0537123626	-0.1256322237	-0.0957808644	-0.0832195337	0.003217603	0.1341393483	-0.0266277069	-0.0222927493	-0.1033761482	0.0446206153	-0.0375193626	-0.038482626	0.072324555	0.1149575937	0.1134247617	0.1108851636	0.0287790328105046	0.0471412790727185	0.0008282327295081	0.0022223001926119	0.0234601907497591	-0.043355099833505	0.0018796646815731	0.000550380550015	0.0334155554059378	-0.0889064312385557	0.0011165993430872	0.007904353515576	-0.0009880107081298	0.0001684616325271	9.761651593791489e-07	2.8379321633695714e-08	-0.001051989252351	-0.0002219521312217	1.106681387062016e-06	4.926274855385476e-08	-1.9020232310402432e-05	-8.304048681247444e-05	3.6176923714167663e-10	6.895722450052741e-09	0.0	0.0	0.0	0.0
992974.8771121996	1994.58949375432	3978387.248595114	985999106575.9878	1315620.648630879	7914.129486386199	62633445.52728748	1730857691103.9346	1021099.2119716352	686.641685205861	1042643600689.0944	471476.8038623447	1043152.3693391616	937440.9262527684	1.219815	26.520433	0.1989510481873161	0.0942700664516263	0.0784943485	-0.0747655837	0.0505155833	0.0751222034	0.0313807386	-0.0103048843	-0.0810305516	0.0588357051	-0.0690491183	0.0654075166	-0.1664678284	0.0322193493	0.0080341174	0.0899065521	0.0734594291	0.004828723	0.0303997832	-0.028673826	-0.079487724	-0.0768597889	-0.0607930348	0.0250083069	-0.0241368871	0.0181915356	-0.1097826032	-0.0135051965	-0.1410117638	-0.0210751824	0.0517347694	0.035321631	-0.1419524386	0.0013807909	0.092635852	0.0686364028	0.0355074806	0.0753709474	-0.0011667136	-0.0268878901	0.0461590807	0.0410294951	0.0140244014	0.0183804755	0.0521674073	0.146263475	0.1229661044	0.0546794905	-0.0039673005	-0.0046318998	-0.0739442995	0.0846233303	0.0747949135	-0.0104764325	-0.0499794313	0.0097307299	0.0074124592	0.0945886207	0.010473009	0.094937682	-0.0858768063	0.0058438283	0.0442519349	-0.1229220173	0.0821795632	-0.0073049044	-0.02759989	0.0966004508	0.0475656099	-0.0146273872	0.0751265105	0.0002808146	-0.0628748666	-0.0423391607	-0.0626250807	-0.028476027	-0.0627403885	0.0920198232	0.0640984646	0.0438085914	-0.0118670592	0.0009207966	0.0314081963	0.1165164299	-0.014123332	-0.0544829396	-0.102010698	0.0268573222	-0.0418555866	0.1773491815	0.0377034866	-0.1411690284	0.0301083852	-0.0031218354	-0.0211826294	-0.0509798207	-0.0862977507	0.1304777689	0.1147048067	0.1124192083	0.108643553	-0.0014180314159375	-0.0301970642264421	2.010813096585712e-06	0.0009118626878958	0.0938128121194523	0.0703526213696932	0.0049494913335874	0.0088008437177596	0.0784911365148985	0.0450755811089607	0.0061608585114004	0.0020318080123104	-0.0012353048896277	-0.0002472941814979	1.5259781703381043e-06	6.115441220271639e-08	-0.00076381660207	0.000288172650281	5.834158015977608e-07	8.304347636997555e-08	0.0005120285655551	0.0005310487978655	2.6217325194441337e-07	2.8201282571439537e-07	0.0	0.0	0.0	0.0
992193.2562220752	-781.6208901243517	610931.215878784	984447457692.5646	1318584.2335434714	2963.584912592545	8782835.534146164	1738664380949.424	1020106.8320008344	-992.37997080083	1040617948694.7786	984818.0064466564	1043557.18884394	952851.2933710548	1.077267	23.42124	0.1820281055003545	0.1097383648840189	0.0751359832	-0.0052328041	0.0810628814	0.0308924159	0.0181146026	-0.0552223463	-0.0427355693	0.0032282693	-0.0556205681	0.0475471778	-0.1800465941	-0.0087245225	0.0393321278	0.1023483863	0.0344893582	0.0875570295	0.0815568348	-0.0312082603	-0.0537264405	-0.0966744371	-0.0319844703	0.1070130766	-0.0916083989	0.0523903628	0.0342539704	-0.0376685902	0.0912969573	-0.0294958861	0.1193858799	0.1056394727	0.0352501039	-0.1212451845	-0.017155552	-0.0505989808	-0.0594396782	-0.040825038	-0.0857858217	0.0375701517	-0.1682115205	0.0159168183	-0.1660642442	-0.0224687719	0.1151184547	-0.1440538283	0.0811354817	0.0712182895	0.0328129997	0.0564805021	-0.0853222645	-0.0190130928	0.0866316211	-0.02745216	-0.0936382607	0.0487326446	0.0219078747	0.0330304112	0.0410972958	-0.1586847927	-0.0576937331	0.097121373	-0.0095503306	0.0561476962	0.1460654467	0.0664020501	-0.0009571675	0.1191122873	0.0479531112	-0.1277787381	0.0693209459	-0.086017904	0.0423847516	0.0286835712	-0.0718799593	-0.1063551157	-0.0178025686	0.0509616612	0.0217798202	-0.0102685917	-0.0568701564	0.007435798	0.0394226381	0.0339202553	-0.1459098465	-0.0528936296	0.0059136502	-0.0411835485	-0.0109840564	0.0274522474	-0.0503246561	0.0103911608	0.0319812462	0.0175869631	-0.042898027	-0.0397346949	-0.064377153	0.1975443318	0.1144017065	0.1112164334	0.105973176	0.0055479475297772	0.0069659789457146	3.077972179316093e-05	4.852486267214048e-05	-0.0075509247368614	-0.1013637368563137	0.010274607149476	5.70164643817454e-05	0.0601797064452824	-0.0183114300696161	0.0036215970678403	0.0003353084711944	-0.0018839316507422	-0.0006486267611145	3.549198464668231e-06	4.207166752338866e-07	-0.0005507508729816	0.0002130657290884	3.033265240899945e-07	4.5397004911971477e-08	0.0002659818631838	-0.0002460467023713	7.07463515427257e-08	6.053897974779111e-08	0.0	0.0	0.0	0.0
990527.065008908	-1666.191213167156	2776193.1588354395	981143866515.1616	1331937.9584622525	13353.72491878108	178321969.20647478	1774058725192.593	1019225.8824735816	-880.9495272528147	1038821399504.0511	776072.0695669578	1042300.7711840248	966793.7614548728	1.205081	26.200087	0.1718607312648727	0.0894282379392428	0.0570371994	0.1007331258	0.0689629625	0.0819298038	0.0554813226	-0.1503243727	0.0290724422	0.0338262657	0.0001378075	0.151389697	0.0358182165	-0.1582335661	-0.1046171758	0.0515233751	-0.0634480453	0.0111064695	0.069592908	0.0294824263	-0.2663167761	0.0187682767	-0.0075128781	0.0967047349	0.0631213375	-0.0857744988	0.0187950658	0.0594828754	-0.1414149639	0.0523416168	0.0852833459	0.103021522	-0.1786057811	0.1304380173	-0.0863661071	0.1689338789	0.0306176203	0.0468473303	0.1495504901	0.0202722448	0.0464126666	-0.1937952667	-0.0324506446	0.1200176198	0.0435517675	0.0185455731	0.0208904799	0.0496462636	0.0616020081	0.0472020484	-0.0775525169	0.0607839683	0.1504886168	0.0790753434	-0.1673137938	-0.0976024698	-0.0967275288	-0.0620528787	-0.0179517123	0.1744562582	0.0147947004	0.036703272	0.0146594682	-0.2426532292	-0.0480655974	-0.0034695505	-0.0519368979	-0.1590253603	-0.0597019283	0.0861689534	0.1967534619	0.0144579996	-0.1562219308	-0.0608691733	-0.0746546474	-0.0222562426	-0.0780321269	0.0833116806	-0.013603195	0.1304893938	-0.0424806974	-0.0962366649	0.0612237406	0.0271774136	-0.0159144081	0.0321009661	-0.0577596016	-0.1859079281	-0.0343269765	0.1750911813	0.0444999341	-0.1024299847	0.0074341697	0.0258208177	0.0341172064	0.1338545596	-0.0912729634	-0.1002653915	0.1140484259	0.1098185471	0.1028845713	0.0003768419002341	-0.0051711056295431	1.4200981777204738e-07	2.6740333431892338e-05	0.0616397950874301	0.0691907198242915	0.0047873557098036	0.0037994643384203	0.1017482383451806	0.0415685318998981	0.0103527040063476	0.0017279428443128	-0.0010878599841487	0.0007960716665935	1.18343934511201e-06	6.337300983529526e-07	-0.0007831943868288	-0.0002324435138471	6.1339344756014e-07	5.402998712963344e-08	0.0003560741609659	9.009229778210003e-05	1.267888081075697e-07	8.116622119658587e-09	0.0	0.0	0.0	0.0
991660.3708874658	1133.3058785577305	1284382.2143735094	983390291188.666	1335631.2481822402	3693.2897199876606	13640388.955766533	1783910831120.8489	1024235.0016337596	5009.119160178001	1049057338571.7076	25091274.76086236	1049457.7015638575	933575.9459613787	1.291778	28.08499	0.3158367364164194	0.1688480834365486	0.0070124089	0.0406595402	0.1155756428	0.0834415361	-0.0665669995	-0.0569944787	0.105298549	-0.0786809022	0.0352128568	0.0487165587	0.0086971663	-0.2232233446	-0.0657208272	-0.0140002968	0.0022162654	-0.1030530291	0.027635259	0.0678288677	-0.0676407866	-0.0086739116	0.0845971636	0.0596178657	0.1734048085	-0.0487680864	-0.1065956675	-0.0960604326	6.69006e-05	-0.1816133357	-0.1195923067	-0.0326753291	0.1298982291	0.0967816917	-0.0838495552	0.13878425	-0.0401367068	-0.0750520898	0.2668843699	-0.1015598756	-0.0030930096	0.0387435154	0.0017277549	0.0158953556	0.0671002509	-0.0371967858	-0.0643599243	-0.0138646003	0.1229468795	-0.0777008973	0.05131954	-0.0626210962	0.0854754767	-0.0891016196	-0.0216238911	-0.1056191563	-0.1132986577	0.1196560574	-0.0107495984	-0.0648405658	-0.0467362398	-0.1622100343	-0.1268242593	-0.0731321101	-0.1737119641	-0.1329194575	0.0186402386	-0.152973859	0.0355808217	0.0164085346	-0.188733751	0.1500927868	0.0290640372	-0.0934200348	-0.0554666842	-0.0082802168	0.0918094078	-0.0816999558	-0.0646414666	0.0173196358	0.1795343598	0.0478826132	0.0724219244	-0.170828866	-0.0911700534	0.0031759437	-0.116922238	-0.1839393903	0.0995040573	-0.0779944138	0.2151001399	0.2285046372	0.1112317519	-0.1885742942	0.0921120253	0.2141057192	0.0526602953	-0.1902261781	0.1136451198	0.1082280018	0.0993899282	0.0807289181637571	0.080352076263523	0.0065171582278905	0.006456456159859	-0.0450352620090654	-0.1066750570964955	0.0113795678065405	0.0020281748242251	-0.0012948070560554	-0.103043045401236	1.6765253124108515e-06	0.0106178692055611	-0.0012937659037507	-0.0002059059196019	1.6738302137078656e-06	4.2397247727145275e-08	-0.0009598146398035	-0.0001766202529747	9.212441427811223e-07	3.119471376084704e-08	0.0004888791414925	0.0001328049805266	2.390028149864438e-07	1.7637162852670606e-08	0.0	0.0	0.0	0.0
993136.0234116936	1475.6525242278583	2177550.3722600504	986319160997.992	1315434.204178914	-20197.044003326213	407920586.47229534	1730367145523.8127	1021799.8140989988	-2435.1875347608	1044074860092.7484	5930138.329454384	1045580.5418521938	944818.8561446654	1.238767	26.932459	0.2337427560643151	0.1244358781223009	-0.0161453183	0.0714885671	0.171178196	0.0445605848	-0.1606970557	-0.0373732314	-0.0266806792	-0.0691589454	0.0215091068	0.1326349579	-0.0347949782	-0.0363254031	-0.086194613	-0.0051410549	-0.0696489271	0.0607940269	0.2288077757	0.0376425875	0.1472369114	-0.0696926775	0.1055172371	-0.0195663393	0.0632302222	0.0070322707	-0.1035988985	0.0513637724	0.1419918571	-0.1193245415	0.0150631306	-0.0805475839	0.1146098463	-0.1413669074	-0.0186417993	-0.0682774498	-0.1424202394	0.078786566	0.1158009822	-0.0245866931	-0.1521602211	-0.1873386338	0.0048060249	0.1232060727	0.059704154	0.0724533325	-0.049347928	-0.0264641117	0.1634102411	0.0942932173	-0.1522283935	-0.0788058218	-0.0150593923	-0.1163724456	0.1465374906	-0.0775676344	0.0098963114	0.0931157791	-0.0760981316	-0.1740831454	0.0230446012	0.0014340392	0.0538713883	0.0389320966	0.0319384876	-0.0244337947	0.0343934006	0.0002333617	0.1059081428	-0.1192288363	-0.03545251	-0.0441336365	0.0250995935	0.01394396	-0.0793475185	-0.1739978158	0.1182321289	-0.081479072	0.0444033694	-0.062716337	0.0318410964	0.0101861464	0.0964227887	-0.1159555311	-0.185365086	-0.026331384	0.0012677411	0.010328911	0.2750399597	-0.0501256569	-0.0243294869	0.2503961702	-0.0114479749	-0.1494216342	-0.0803890429	-0.0549363178	-0.0529500256	0.0111164028	0.1131919653	0.1064475877	0.0955030384	0.0669877666262266	-0.0137411515375305	0.0044873608775697	0.0001888192455773	-0.0970081933266868	-0.0519729313176213	0.0027011855897461	0.0094105895725078	0.0401184984567351	0.0414133055127904	0.001609493918423	0.0017150618734957	-0.0030849844021178	-0.001791218498367	9.51712876131012e-06	3.208463708892488e-06	-0.0006445984753455	0.000315216164458	4.1550719441774313e-07	9.936123033561294e-08	6.300645039014423e-05	-0.0004258726911023	3.969812790765706e-09	1.8136754902676253e-07	0.0	0.0	0.0	0.0
